"","X1","NFG","OXY","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01174289245983,0.993243243243243,NA,0.727272727272727,0.38961038961039,0.884508417630726,0.130896073036902
"3",2009-01-06,1.00278121137206,0.991634491634492,NA,0.346320346320346,0.45021645021645,0.281787797250119,0.5851367898759
"4",2009-01-07,0.96229913473424,0.93484555984556,NA,0.0735930735930736,0.0909090909090909,0.247211913932024,0.445780995061711
"5",2009-01-08,0.976514215080346,0.949163449163449,NA,0.787878787878788,0.649350649350649,0.806818507290277,0.380688364491487
"6",2009-01-09,0.949011124845488,0.905727155727156,NA,0.112554112554113,0.116883116883117,0.326622382297657,0.362740308653946
"7",2009-01-12,0.927070457354759,0.87467824967825,NA,0.142857142857143,0.19047619047619,0.224963171923966,0.498359643556079
"8",2009-01-13,0.924289245982695,0.905888030888031,NA,0.484848484848485,0.861471861471861,0.111374376715352,0.955911691525177
"9",2009-01-14,0.88566131025958,0.864543114543115,NA,0.0735930735930736,0.116883116883117,0.157758690267777,0.572494100894257
"10",2009-01-15,0.877935723114957,0.861164736164736,NA,0.346320346320346,0.41991341991342,0.313746164613093,0.535639497424318
"11",2009-01-16,0.899567367119901,0.861164736164736,NA,0.865800865800866,0.480519480519481,0.959364127613314,0.105104623500691
"12",2009-01-20,0.862175525339926,0.818532818532819,NA,0.0735930735930736,0.103896103896104,0.196418881933263,0.513726309391508
"13",2009-01-21,0.90203955500618,0.897522522522523,NA,0.948051948051948,0.965367965367965,0.544888679023756,0.82976401239309
"14",2009-01-22,0.884734239802225,0.871299871299871,NA,0.19047619047619,0.207792207792208,0.317417828168117,0.403490175665045
"15",2009-01-23,0.902348578491965,0.893500643500644,NA,0.835497835497836,0.770562770562771,0.776911011565868,0.513212797464686
"16",2009-01-26,0.931087762669963,0.914092664092664,NA,0.909090909090909,0.74025974025974,0.935146225756435,0.268867211355062
"17",2009-01-27,0.944993819530284,0.912644787644788,NA,0.792207792207792,0.45021645021645,0.914036001470208,0.139970009146766
"18",2009-01-28,0.961372064276885,0.955276705276705,NA,0.813852813852814,0.9004329004329,0.42664503027481,0.869084734689656
"19",2009-01-29,0.938504326328801,0.914092664092664,NA,0.138528138528139,0.12987012987013,0.378669622375623,0.316616710344975
"20",2009-01-30,0.925834363411619,0.877574002574003,NA,0.246753246753247,0.147186147186147,0.620507327123836,0.149118340996894
"21",2009-02-02,0.934796044499382,0.871138996138996,NA,0.67965367965368,0.385281385281385,0.842675703007745,0.155360549437631
"22",2009-02-03,0.953337453646477,0.889317889317889,NA,0.835497835497836,0.705627705627706,0.841507971268378,0.389133921237539
"23",2009-02-04,0.959208899876391,0.896557271557272,NA,0.619047619047619,0.562770562770563,0.609384851351187,0.453530976372637
"24",2009-02-05,0.977132262051916,0.903314028314028,NA,0.826839826839827,0.54978354978355,0.910871571369745,0.198475578982629
"25",2009-02-06,1.03399258343634,0.913288288288288,"OXY",0.965367965367965,0.588744588744589,0.995770934484589,0.0472300178480992
"26",2009-02-09,1.03708281829419,0.942889317889318,"OXY",0.571428571428571,0.835497835497836,0.210022430912329,0.911981342921216
"27",2009-02-10,1.02194066749073,0.891891891891892,"OXY",0.229437229437229,0.0909090909090909,0.776151763724238,0.0597383568461967
"28",2009-02-11,1.01483312731768,0.897522522522523,"OXY",0.372294372294372,0.545454545454545,0.234715731984788,0.694343140272791
"29",2009-02-12,1.03028430160692,0.898326898326898,"OXY",0.796536796536797,0.502164502164502,0.898733228096169,0.183004884196166
"30",2009-02-13,1.03399258343634,0.91023166023166,"OXY",0.584415584415584,0.623376623376623,0.484928293479243,0.593975708568074
"31",2009-02-17,0.991347342398022,0.842342342342342,"OXY",0.0735930735930736,0.0606060606060606,0.436166523657714,0.253468631570554
"32",2009-02-18,0.992892459826947,0.829150579150579,"OXY",0.532467532467532,0.316017316017316,0.739990461528966,0.170874484782464
"33",2009-02-19,0.99938195302843,0.825450450450451,"OXY",0.619047619047619,0.411255411255411,0.753610806658926,0.227698844577683
"34",2009-02-20,0.983930778739184,0.805341055341055,"OXY",0.225108225108225,0.255411255411255,0.30789145554813,0.435851874270606
"35",2009-02-23,0.947775030902349,0.765122265122265,"OXY",0.0779220779220779,0.103896103896104,0.217600607863818,0.485168220992737
"36",2009-02-24,0.975896168108776,0.811936936936937,"OXY",0.896103896103896,0.926406926406926,0.558483279075659,0.80759336512858
"37",2009-02-25,0.963226205191595,0.806467181467182,"OXY",0.264069264069264,0.38961038961039,0.209780804011438,0.613210913117724
"38",2009-02-26,0.948702101359703,0.844594594594595,"OXY",0.225108225108225,0.904761904761905,0.00914220910547809,0.994805190174565
"39",2009-02-27,0.936650185414091,0.834459459459459,"OXY",0.277056277056277,0.354978354978355,0.268760279084567,0.531939239089741
"40",2009-03-02,0.878553770086527,0.786196911196911,"OXY",0.051948051948052,0.0909090909090909,0.129030824036598,0.616453381969104
"41",2009-03-03,0.860630407911001,0.784749034749035,"OXY",0.168831168831169,0.445887445887446,0.0573254915725465,0.838411077491917
"42",2009-03-04,0.88504326328801,0.8497425997426,"OXY",0.887445887445887,0.952380952380952,0.369081510659823,0.918606873820703
"43",2009-03-05,0.84734239802225,0.805019305019305,"OXY",0.0735930735930736,0.0909090909090909,0.247211913932024,0.445780995061711
"44",2009-03-06,0.838380716934487,0.813063063063063,"OXY",0.324675324675325,0.584415584415584,0.148768830048373,0.791091993874888
