"","X1","BMY","CBZ","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.972780569514238,0.996602491506229,NA,0.0822510822510823,0.428571428571429,0.0479367266554901,0.69824207768231
"3",2009-01-06,0.935929648241206,0.977349943374858,NA,0.0562770562770563,0.173160173160173,0.0715667128069466,0.457141530768816
"4",2009-01-07,0.928810720268007,0.961494903737259,NA,0.367965367965368,0.19047619047619,0.537171553206583,0.175540644695447
"5",2009-01-08,0.942629815745394,0.964892412231031,NA,0.783549783549784,0.614718614718615,0.79971232709635,0.462952032775918
"6",2009-01-09,0.935929648241206,0.93431483578709,NA,0.376623376623377,0.0822510822510823,0.653596033006351,0.0544786922008151
"7",2009-01-12,0.927554438860972,0.928652321630804,NA,0.337662337662338,0.367965367965368,0.367044011768342,0.426738795484172
"8",2009-01-13,0.921691792294807,0.941109852774632,NA,0.38961038961039,0.774891774891775,0.233019982442297,0.861355749750551
"9",2009-01-14,0.930067001675042,0.912797281993205,NA,0.727272727272727,0.0865800865800866,0.880966250434349,0.0333870927597207
"10",2009-01-15,0.925041876046901,0.915062287655719,NA,0.398268398268398,0.584415584415584,0.32635725193757,0.662044785363853
"11",2009-01-16,0.924204355108878,0.908267270668177,NA,0.497835497835498,0.333333333333333,0.594883915761149,0.291235399767945
"12",2009-01-20,0.910385259631491,0.908267270668177,NA,0.220779220779221,0.523809523809524,0.156514221322125,0.688357087766168
"13",2009-01-21,0.940954773869347,0.960362400906002,NA,0.909090909090909,0.982683982683983,0.534824607733523,0.969052820192986
"14",2009-01-22,0.935929648241206,0.927519818799547,NA,0.398268398268398,0.0649350649350649,0.692257768091057,0.0371543926856465
"15",2009-01-23,0.937604690117253,0.904869762174405,NA,0.571428571428571,0.112554112554113,0.783747348082969,0.056348763335355
"16",2009-01-26,0.931742043551089,0.94563986409966,NA,0.38961038961039,0.965367965367965,0.162239363235297,0.988851695887091
"17",2009-01-27,0.968592964824121,0.954699886749717,NA,0.926406926406926,0.74025974025974,0.932051331100459,0.457761503437197
"18",2009-01-28,0.93676716917923,0.962627406568516,NA,0.0692640692640693,0.727272727272727,0.025201337300868,0.882656655113688
"19",2009-01-29,0.913735343383585,0.924122310305776,NA,0.0995670995670996,0.0476190476190476,0.336733780446917,0.0991961791959202
"20",2009-01-30,0.896566164154104,0.920724801812005,NA,0.142857142857143,0.41991341991342,0.105133719659825,0.63651001307677
"21",2009-02-02,0.920854271356784,0.956964892412231,NA,0.883116883116883,0.943722943722944,0.649626958939984,0.895734542975573
"22",2009-02-03,0.958961474036851,0.963759909399774,NA,0.939393939393939,0.705627705627706,0.954046208116696,0.395278898188497
"23",2009-02-04,0.951842546063652,0.944507361268403,NA,0.367965367965368,0.164502164502165,0.560258224565385,0.144153327147427
"24",2009-02-05,0.953098827470687,0.946772366930917,NA,0.567099567099567,0.584415584415584,0.536855026855642,0.569691280489267
"25",2009-02-06,0.96608040201005,0.983012457531144,NA,0.766233766233766,0.939393939393939,0.465295859795606,0.9417442616389
"26",2009-02-09,0.966499162479062,0.97281993204983,NA,0.54978354978355,0.303030303030303,0.671491248001247,0.233857522798175
"27",2009-02-10,0.932579564489112,0.942242355605889,NA,0.0692640692640693,0.0822510822510823,0.175998787001973,0.23426435042893
"28",2009-02-11,0.947654941373534,0.911664779161948,NA,0.787878787878788,0.0779220779220779,0.9096122212667,0.0287446572233546
"29",2009-02-12,0.943048576214405,0.912797281993205,NA,0.402597402597403,0.554112554112554,0.346813372782936,0.623713251174806
"30",2009-02-13,0.910804020100503,0.886749716874292,NA,0.0692640692640693,0.0909090909090909,0.163024200237173,0.256317010569184
"31",2009-02-17,0.889865996649916,0.838052095130238,NA,0.121212121212121,0.025974025974026,0.47436641503097,0.0381334086788745
"32",2009-02-18,0.876046901172529,0.823329558323896,NA,0.216450216450216,0.186147186147186,0.329962085542554,0.255701810969657
"33",2009-02-19,0.858877721943049,0.797281993204983,NA,0.138528138528139,0.0822510822510823,0.334263793248735,0.140301037657802
"34",2009-02-20,0.853015075376884,0.799546998867497,NA,0.38961038961039,0.597402597402597,0.310027043031142,0.681376551406661
"35",2009-02-23,0.83249581239531,0.781426953567384,NA,0.103896103896104,0.138528138528139,0.182948177006763,0.295831884316745
"36",2009-02-24,0.852596314907873,0.805209513023783,NA,0.861471861471861,0.909090909090909,0.682176815683087,0.842559718272985
"37",2009-02-25,0.857202680067002,0.778029445073613,"CBZ",0.662337662337662,0.0692640692640693,0.851872038126653,0.0262853810087677
"38",2009-02-26,0.812395309882747,0.770101925254813,"CBZ",0.0173160173160173,0.303030303030303,0.00795597776962826,0.708907334625009
"39",2009-02-27,0.770938023450586,0.776896942242356,NA,0.0173160173160173,0.735930735930736,0.00456462707858694,0.884831153979726
"40",2009-03-02,0.742881072026801,0.780294450736127,NA,0.0606060606060606,0.636363636363636,0.0226075973600897,0.841321166848791
"41",2009-03-03,0.733249581239531,0.759909399773499,NA,0.246753246753247,0.103896103896104,0.475638086274817,0.112630746095525
"42",2009-03-04,0.77428810720268,0.766704416761042,NA,0.987012987012987,0.735930735930736,0.993794779703044,0.300355528107795
"43",2009-03-05,0.740787269681742,0.759909399773499,NA,0.0476190476190476,0.324675324675325,0.0297936196033079,0.656487887400344
"44",2009-03-06,0.768425460636516,0.748584371460929,NA,0.922077922077922,0.233766233766234,0.971187717512591,0.100102733378698
"45",2009-03-09,0.79606365159129,0.706681766704417,"CBZ",0.917748917748918,0.0216450216450216,0.951772574529582,0.00904227808237487
