"","X1","CSS","WTW","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.997756590016826,0.974579182411543,NA,0.502164502164502,0.16017316017316,0.751783202176214,0.114259579304244
"3",2009-01-06,1.04991587212563,0.975609756097561,NA,0.930735930735931,0.554112554112554,0.955177337179239,0.200552732422426
"4",2009-01-07,0.969153112731352,0.944005496392992,NA,0.025974025974026,0.112554112554113,0.0635378341875268,0.441130244865527
"5",2009-01-08,1.00673022994952,0.93163861216077,NA,0.891774891774892,0.277056277056277,0.970899352238353,0.0602749290544363
"6",2009-01-09,0.929893438025799,0.916180006870491,NA,0.0303030303030303,0.246753246753247,0.0357226293567562,0.671687978018091
"7",2009-01-12,0.862030286034773,0.911714187564411,NA,0.038961038961039,0.437229437229437,0.0215590536129552,0.842310095463716
"8",2009-01-13,0.936623667975323,0.900377877018207,NA,0.96969696969697,0.285714285714286,0.995979584564646,0.0252627343545553
"9",2009-01-14,0.830622546270331,0.855719683957403,NA,0,0.051948051948052,1e-10,0.990539482972165
"10",2009-01-15,0.859786876051599,0.873239436619718,NA,0.874458874458874,0.826839826839827,0.772831652799355,0.640489456720613
"11",2009-01-16,0.881660123387549,0.890759189282034,NA,0.831168831168831,0.822510822510823,0.702406819645701,0.679949993681411
"12",2009-01-20,0.845765563656758,0.855719683957403,NA,0.103896103896104,0.0649350649350649,0.310249244888234,0.16454421080293
"13",2009-01-21,0.906337633202468,0.861559601511508,NA,0.961038961038961,0.662337662337662,0.967536340029913,0.24545246143502
"14",2009-01-22,0.879977565900168,0.851940913775335,NA,0.173160173160173,0.316017316017316,0.208075260418987,0.52384947369301
"15",2009-01-23,0.873808188446439,0.811061490896599,NA,0.432900432900433,0.051948051948052,0.815436950340282,0.0321521010169831
"16",2009-01-26,0.957936062815479,0.801442803160426,"WTW",0.974025974025974,0.294372294372294,0.996680156529804,0.0243914171272348
"17",2009-01-27,1.00616937745373,0.816901408450704,"WTW",0.930735930735931,0.813852813852814,0.881946373309622,0.529413492162002
"18",2009-01-28,0.948401570386988,0.829611817244933,"WTW",0.0649350649350649,0.766233766233766,0.0101120907922287,0.971561470061736
"19",2009-01-29,0.812114413909142,0.794572311920302,"WTW",0,0.0562770562770563,1e-10,0.991683531481688
"20",2009-01-30,0.850813236118901,0.783579525936104,"WTW",0.926406926406926,0.268398268398268,0.984988392089792,0.0419341259712377
"21",2009-02-02,0.845765563656758,0.757471659223635,"WTW",0.454545454545455,0.103896103896104,0.762957909180608,0.0743203862984654
"22",2009-02-03,0.864273696017947,0.765716248711783,"WTW",0.805194805194805,0.70995670995671,0.746759283371208,0.533966500224178
"23",2009-02-04,0.841278743690409,0.761593953967709,"WTW",0.19047619047619,0.415584415584416,0.180378226706614,0.631671871120648
"24",2009-02-05,0.81491867638811,0.781174854002061,"WTW",0.168831168831169,0.87012987012987,0.0272927951643321,0.97785608510319
"25",2009-02-06,0.924284913067863,0.743043627619375,"WTW",1,0.051948051948052,0.9999999999,1.73361767732747e-10
"26",2009-02-09,0.872125630959058,0.740295431123325,"WTW",0.0649350649350649,0.45021645021645,0.0404974983660792,0.809336483638755
"27",2009-02-10,0.838474481211441,0.705599450360701,"WTW",0.121212121212121,0.051948051948052,0.378321326290039,0.120538351425621
"28",2009-02-11,0.878855860908581,0.718653383716936,"WTW",0.930735930735931,0.80952380952381,0.884082526508292,0.521698563658068
"29",2009-02-12,0.887829500841279,0.720027481964961,"WTW",0.701298701298701,0.571428571428571,0.697077010425015,0.444130436660699
"30",2009-02-13,0.891194615816041,0.701477155616627,"WTW",0.606060606060606,0.155844155844156,0.843935428025236,0.0800777901737874
"31",2009-02-17,0.868760515984296,0.676399862590175,"WTW",0.203463203463203,0.0865800865800866,0.46866662047454,0.139312110127819
"32",2009-02-18,0.867638810992709,0.658536585365854,"WTW",0.506493506493506,0.155844155844156,0.759713377211727,0.108748830013093
"33",2009-02-19,0.896242288278183,0.630367571281347,"WTW",0.865800865800866,0.0562770562770563,0.992079720400801,0.00382515140383393
"34",2009-02-20,0.825014021312395,0.624527653727242,"WTW",0.0216450216450216,0.333333333333333,0.0158004482677011,0.802174629160192
"35",2009-02-23,0.801458216489063,0.61834421161113,"WTW",0.177489177489178,0.32034632034632,0.211543281640881,0.525159297354686
"36",2009-02-24,0.846887268648346,0.643421504637582,"WTW",0.930735930735931,0.926406926406926,0.790166020184922,0.772503797904108
"37",2009-02-25,0.759955131800337,0.635176915149433,"WTW",0.00432900432900433,0.281385281385281,0.00272446952470113,0.859986022392327
"38",2009-02-26,0.801458216489063,0.624527653727242,"WTW",0.930735930735931,0.246753246753247,0.987889559147259,0.0335334827453011
"39",2009-02-27,0.786315199102636,0.621779457231192,"WTW",0.281385281385281,0.445887445887446,0.271951463961379,0.590135972586891
"40",2009-03-02,0.681996634885025,0.587083476468568,"WTW",0,0.0476190476190476,1e-10,0.989167095496648
"41",2009-03-03,0.67021873247336,0.573686018550326,"WTW",0.29004329004329,0.177489177489178,0.483479062308073,0.228913495971404
"42",2009-03-04,0.678631519910264,0.580212985228444,"WTW",0.735930735930736,0.722943722943723,0.640992987943874,0.612986291203646
"43",2009-03-05,0.573191250701066,0.666781174854002,NA,0,1,1e-10,0.9999999999
"44",2009-03-06,0.620863712843522,0.631054620405359,NA,0.965367965367965,0.0476190476190476,0.999558703549901,0.00058342204731704
"45",2009-03-09,0.588895120583287,0.58777052559258,NA,0.0822510822510823,0.025974025974026,0.358687668766898,0.0798999921203535
