"","X1","MTSC","DLR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.982573229514275,0.968769917144678,NA,0.238095238095238,0.194805194805195,0.404869187356174,0.275220844665704
"3",2009-01-06,1.02743789395625,1.01816443594646,NA,0.952380952380952,0.896103896103896,0.893439425474222,0.563658599617399
"4",2009-01-07,1.0018539117538,1.00732950924156,NA,0.155844155844156,0.337662337662338,0.139189515943623,0.614202739644228
"5",2009-01-08,1.02966258806081,1.01625239005736,NA,0.874458874458874,0.640692640692641,0.906978313366134,0.319320078998371
"6",2009-01-09,0.994809047089359,0.997131931166348,NA,0.0995670995670996,0.268398268398268,0.0960119950560406,0.607912014897878
"7",2009-01-12,0.969225064886911,0.945188017845762,NA,0.142857142857143,0.0909090909090909,0.397539848636498,0.172843439938755
"8",2009-01-13,0.996662958843159,0.986934353091141,NA,0.883116883116883,0.887445887445887,0.715024435610908,0.734212247332676
"9",2009-01-14,0.9284390063033,0.959528362014022,NA,0.0216450216450216,0.212121212121212,0.0138708073883716,0.743381080208466
"10",2009-01-15,0.96255098257323,0.953154875717017,NA,0.926406926406926,0.380952380952381,0.980244821185874,0.100223307726578
"11",2009-01-16,0.974045235446793,1.03123008285532,NA,0.696969696969697,0.956709956709957,0.241234224848348,0.976251467770976
"12",2009-01-20,0.922135706340378,0.917463352453792,NA,0.0432900432900433,0.0216450216450216,0.358426181895054,0.104281834364414
"13",2009-01-21,0.966629588431591,1.0025493945188,NA,0.956709956709957,0.965367965367965,0.735026512854759,0.822369326016676
"14",2009-01-22,0.945865776789025,0.966857871255577,NA,0.194805194805195,0.164502164502165,0.367905977817503,0.267081551245151
"15",2009-01-23,0.961809417871709,1.00223072020395,NA,0.753246753246753,0.857142857142857,0.502214172631301,0.823259520639304
"16",2009-01-26,0.96551724137931,1.03123008285532,NA,0.614718614718615,0.831168831168831,0.342187729117138,0.867185442747324
"17",2009-01-27,0.972191323692992,1.03728489483748,NA,0.653679653679654,0.588744588744589,0.644337460617326,0.490332007351229
"18",2009-01-28,0.987764182424917,1.11854684512428,"MTSC",0.74025974025974,0.943722943722944,0.312596553179228,0.956755727194422
"19",2009-01-29,0.976269929551353,1.07138304652645,"MTSC",0.333333333333333,0.134199134199134,0.6381129372255,0.113335172884496
"20",2009-01-30,0.971078976640712,1.01657106437221,"MTSC",0.406926406926407,0.0995670995670996,0.759165942800373,0.0552096354014246
"21",2009-02-02,0.991472005932518,1.05194391332059,"MTSC",0.787878787878788,0.852813852813853,0.571216030486083,0.785086466422483
"22",2009-02-03,1.00074156470152,1.07648183556405,"MTSC",0.670995670995671,0.783549783549784,0.474814858142382,0.769379831552525
"23",2009-02-04,0.997775305895439,1.05672402804334,"MTSC",0.463203463203463,0.268398268398268,0.652465575165396,0.212912342942087
"24",2009-02-05,0.985168705969596,1.05385595920969,"MTSC",0.324675324675325,0.432900432900433,0.307545087226648,0.560808875276404
"25",2009-02-06,1.03893214682981,1.11759082217973,"MTSC",0.96969696969697,0.922077922077922,0.9177471456925,0.554404160854087
"26",2009-02-09,1.03448275862069,1.12778840025494,"MTSC",0.432900432900433,0.645021645021645,0.292311547877026,0.746517137923515
"27",2009-02-10,0.99962921764924,1.04748247291268,"MTSC",0.0995670995670996,0.0476190476190476,0.423575625880842,0.111716513000442
"28",2009-02-11,0.997404523544679,1.05927342256214,"MTSC",0.476190476190476,0.653679653679654,0.338072422587247,0.728839412004933
"29",2009-02-12,0.985910270671116,1.03919694072658,"MTSC",0.333333333333333,0.268398268398268,0.472345534870526,0.306133680730153
"30",2009-02-13,0.9981460882462,0.98629700446144,NA,0.705627705627706,0.0995670995670996,0.923966017550345,0.0255096223666897
"31",2009-02-17,0.950315164998146,0.907903123008285,NA,0.0476190476190476,0.038961038961039,0.264742251514869,0.184644521413961
"32",2009-02-18,0.925472747497219,0.909815168897387,NA,0.142857142857143,0.510822510822511,0.0693645101128004,0.802244379754336
"33",2009-02-19,0.92918057100482,0.8572339069471,NA,0.619047619047619,0.0735930735930736,0.899776692273421,0.0197551788141256
"34",2009-02-20,0.905821282906934,0.954429572976418,NA,0.147186147186147,0.974025974025974,0.0325233155209199,0.995610168667608
"35",2009-02-23,0.859473489061921,0.874442319949012,NA,0.0476190476190476,0.0346320346320346,0.28787595044229,0.162639198056449
"36",2009-02-24,0.870596959584724,0.924792861695347,NA,0.714285714285714,0.917748917748918,0.336869510063026,0.93311702169475
"37",2009-02-25,0.865406006674082,0.921924792861695,NA,0.393939393939394,0.432900432900433,0.406054914615579,0.497036649196258
"38",2009-02-26,0.853170189098999,0.915232632249841,NA,0.281385281385281,0.372294372294372,0.293124261917878,0.517003577895052
"39",2009-02-27,0.876529477196885,0.952517527087317,NA,0.87012987012987,0.883116883116883,0.691141302915777,0.74591642760103
"40",2009-03-02,0.799035965888024,0.859145952836201,NA,0.00432900432900433,0.0346320346320346,0.0161582921310957,0.593973174527954
"41",2009-03-03,0.82313681868743,0.889101338432122,NA,0.896103896103896,0.852813852813853,0.802091928019346,0.622880189046921
"42",2009-03-04,0.837968112717835,0.891332058636074,NA,0.766233766233766,0.519480519480519,0.836484840118761,0.297247002749463
"43",2009-03-05,0.790137189469781,0.848629700446144,NA,0.038961038961039,0.108225108225108,0.0779591248676617,0.489079461319825
"44",2009-03-06,0.803485354097145,0.839069471000637,NA,0.753246753246753,0.333333333333333,0.892375698872416,0.139740371144317
