,AEP,AEE
2008-02-01,1.0,1.0
2008-02-04,1.021383075523203,1.0177865612648223
2008-02-05,0.9874886260236577,0.9883618796662275
2008-02-06,0.9929481346678798,0.9881422924901186
2008-02-07,0.9936305732484076,0.9771629336846729
2008-02-08,0.9818016378525932,0.9727711901624945
2008-02-11,0.987943585077343,0.9696969696969696
2008-02-12,0.9984076433121019,0.9732103645147123
2008-02-13,0.9977252047315741,0.9762845849802372
2008-02-14,0.9790718835304822,0.9661835748792271
2008-02-15,0.9804367606915377,0.9681598594642074
2008-02-19,0.970427661510464,0.9707949055775144
2008-02-20,0.9611010009099181,0.9653052261747914
2008-02-21,0.9435850773430391,0.945542380324989
2008-02-22,0.962238398544131,0.958498023715415
2008-02-25,0.9747497725204731,0.9633289415898111
2008-02-26,0.975432211101001,0.9683794466403163
2008-02-27,0.962238398544131,0.9547650417215634
2008-02-28,0.9560964513193813,0.9514712340799297
2008-02-29,0.9308462238398544,0.9376372419850681
2008-03-03,0.9372156505914468,0.917215634606939
2008-03-04,0.9604185623293903,0.9314888010540185
2008-03-05,0.9529117379435851,0.9310496267018006
2008-03-06,0.9372156505914468,0.9148001756697408
2008-03-07,0.924476797088262,0.9110671936758894
2008-03-10,0.9165150136487715,0.9121651295564339
2008-03-11,0.9522292993630573,0.9330259112867809
2008-03-12,0.9319836214740673,0.9231444883618797
2008-03-13,0.9240218380345768,0.9185331576635924
2008-03-14,0.915150136487716,0.9123847167325427
2008-03-17,0.9208371246587806,0.930171277997365
2008-03-18,0.9237943585077343,0.9552042160737813
2008-03-19,0.9160600545950865,0.9411506368028107
2008-03-20,0.9287989080982711,0.9565217391304348
2008-03-24,0.9174249317561419,0.9516908212560388
2008-03-25,0.9156050955414012,0.9442248572683355
2008-03-26,0.9433575978161965,0.9552042160737813
2008-03-27,0.9397179253867153,0.9642072902942468
2008-03-28,0.9319836214740673,0.9538866930171278
2008-03-31,0.9469972702456779,0.9670619235836627
2008-04-01,0.9706551410373067,0.9866051822573562
2008-04-02,0.9833939945404913,0.9938515590689504
2008-04-03,0.9717925386715195,0.9888010540184453
2008-04-04,0.9758871701546861,0.9901185770750989
2008-04-07,0.9747497725204731,0.9951690821256038
2008-04-08,0.97975432211101,0.9918752744839702
2008-04-09,0.975432211101001,0.9898989898989898
2008-04-10,0.9890809827115559,0.979358805445762
2008-04-11,1.0047770700636942,0.9773825208607817
2008-04-14,0.9934030937215651,0.9782608695652173
2008-04-15,0.9974977252047316,0.9912165129556434
2008-04-16,1.0170609645131938,0.9978041282389108
2008-04-17,1.009781619654231,1.0070267896354852
2008-04-18,1.0161510464058234,1.0074659639877033
2008-04-21,1.0093266606005458,1.0008783487044357
2008-04-22,1.0011373976342128,0.994949494949495
2008-04-23,1.0166060054595085,1.0021958717610893
2008-04-24,0.9986351228389444,0.9969257795344751
2008-04-25,1.0072793448589628,1.0010979358805447
2008-04-28,1.0015923566878981,0.9989020641194555
2008-04-29,1.0161510464058234,0.9986824769433464
2008-04-30,1.0152411282984533,0.9960474308300395
2008-05-01,1.020700636942675,1.0171277997364954
2008-05-02,1.025705186533212,1.0485287659200704
2008-05-05,1.0159235668789808,1.0252525252525253
2008-05-06,1.008189262966333,1.0252525252525253
2008-05-07,0.9945404913557779,1.0041721563460693
2008-05-08,0.9968152866242038,1.0098814229249014
2008-05-09,0.9979526842584167,1.0081247255160297
2008-05-12,1.002729754322111,1.015590689503733
2008-05-13,0.995677888989991,0.9997804128238911
2008-05-14,0.9861237488626023,1.0118577075098814
2008-05-15,0.9767970882620564,1.0116381203337725
2008-05-16,0.9874886260236577,1.0116381203337725
2008-05-19,0.9856687898089171,1.0087834870443566
2008-05-20,0.9977252047315741,1.002415458937198
2008-05-21,0.9852138307552321,1.0004391743522179
2008-05-22,0.9786169244767972,1.0070267896354852
2008-05-23,0.9583712465878071,0.9861660079051383
2008-05-27,0.9742948134667879,1.0002195871761088
2008-05-28,0.9781619654231118,1.0010979358805447
2008-05-29,0.9806642402183803,1.0054896794027228
2008-05-30,0.9629208371246587,0.9980237154150199
2008-06-02,0.9572338489535941,0.9890206411945542
2008-06-03,0.9620109190172884,0.976943346508564
2008-06-04,0.9786169244767972,0.9771629336846729
2008-06-05,0.9838489535941765,0.9811155028546333
2008-06-06,0.9545040946314831,0.958498023715415
2008-06-09,0.9738398544131028,0.9609134826526131
2008-06-10,0.967697907188353,0.9727711901624945
2008-06-11,0.9556414922656961,0.9606938954765042
2008-06-12,0.9545040946314831,0.9490557751427317
2008-06-13,0.9733848953594176,0.9549846288976724
2008-06-16,0.9774795268425841,0.956082564778217
2008-06-17,0.9692902638762511,0.9527887571365833
2008-06-18,0.9540491355777979,0.9431269213877911
2008-06-19,0.9590536851683348,0.9527887571365833
2008-06-20,0.940400363967243,0.9376372419850681
2008-06-23,0.9410828025477707,0.9444444444444444
2008-06-24,0.9328935395814376,0.9398331137461572
2008-06-25,0.9381255686988171,0.9451032059727712
2008-06-26,0.9133303002729753,0.9213877909530084
2008-06-27,0.9003639672429481,0.9082125603864735
2008-06-30,0.915150136487716,0.9273166447079491
2008-07-01,0.9158325750682438,0.9363197189284146
2008-07-02,0.9076433121019107,0.9317083882301274
2008-07-03,0.899909008189263,0.9218269653052261
2008-07-07,0.9040036396724295,0.9132630654369785
2008-07-08,0.9360782529572338,0.9255599472990778
2008-07-09,0.9315286624203822,0.9143610013175231
2008-07-10,0.9283439490445861,0.9139218269653052
2008-07-11,0.9126478616924476,0.9007465963987704
2008-07-14,0.9015013648771611,0.8965744400527009
