,DPZ,AMG
2008-02-01,1.0,1.0
2008-02-04,0.9718706047819972,0.9946834219429677
2008-02-05,0.9669479606188467,0.9512808119864669
2008-02-06,0.9486638537271448,0.9337844369260512
2008-02-07,0.9774964838255977,0.9648139197680039
2008-02-08,0.9571026722925456,0.9546640889318512
2008-02-11,0.9395218002812938,0.9583373610439826
2008-02-12,0.9620253164556961,0.983856935717738
2008-02-13,0.990154711673699,1.0029966167230546
2008-02-14,0.9585091420534458,0.9751570807153214
2008-02-15,0.9514767932489451,0.9649105848235862
2008-02-19,0.9486638537271448,0.9494441759304011
2008-02-20,0.9711673699015471,0.9658772353794103
2008-02-21,0.9437412095639943,0.952247462542291
2008-02-22,0.9345991561181434,0.8970517158047365
2008-02-25,0.9149085794655414,0.9396810053165779
2008-02-26,0.9662447257383966,0.9558240695988399
2008-02-27,0.9887482419127989,0.9696471725471242
2008-02-28,0.9521800281293951,0.9603673272112131
2008-02-29,0.9317862165963431,0.931367810536491
2008-03-03,0.9374120956399437,0.9062348960850652
2008-03-04,0.9381153305203938,0.8940550990816819
2008-03-05,0.9416315049226441,0.9010149830836152
2008-03-06,0.9170182841068916,0.8675688738521025
2008-03-07,0.9057665260196905,0.8673755437409376
2008-03-10,0.9156118143459915,0.8198163363943934
2008-03-11,0.9381153305203938,0.8622522957950701
2008-03-12,0.9409282700421941,0.8512324794586756
2008-03-13,0.9395218002812938,0.8569357177380378
2008-03-14,0.9149085794655414,0.8313194780086999
2008-03-17,0.9240506329113924,0.7826969550507491
2008-03-18,0.9402250351617439,0.8461092315128081
2008-03-19,0.9395218002812938,0.834702754954084
2008-03-20,1.020393811533052,0.8637989366843886
2008-03-24,1.049226441631505,0.9112614789753504
2008-03-25,1.0091420534458508,0.9350410826486225
2008-03-26,0.9873417721518987,0.8970517158047365
2008-03-27,0.9732770745428972,0.8559690671822135
2008-03-28,0.930379746835443,0.8452392460125664
2008-03-31,0.9486638537271448,0.8771387143547607
2008-04-01,0.9866385372714486,0.9259545674238763
2008-04-02,0.9859353023909985,0.9324311261478975
2008-04-03,0.9922644163150491,0.9373610439826002
2008-04-04,0.9936708860759493,0.9236346060898984
2008-04-07,0.990857946554149,0.9511841469308845
2008-04-08,0.9796061884669479,0.9406476558724022
2008-04-09,0.9254571026722925,0.8975350410826486
2008-04-10,0.9282700421940927,0.919961333977767
2008-04-11,0.9029535864978903,0.8787820202996616
2008-04-14,0.8980309423347397,0.8684388593523441
2008-04-15,0.8853727144866385,0.8713388110198164
2008-04-16,0.8959212376933896,0.9318511358144032
2008-04-17,0.8881856540084389,0.9297245045915902
2008-04-18,0.9177215189873418,0.9547607539874334
2008-04-21,0.9142053445850914,0.9531174480425325
2008-04-22,0.8895921237693389,0.915418076365394
2008-04-23,0.9029535864978903,0.8951184146930884
2008-04-24,0.9099859353023909,0.9412276462058966
2008-04-25,0.920534458509142,0.938231029482842
2008-04-28,0.8924050632911391,0.9516674722087965
2008-04-29,0.9071729957805907,0.9592073465442242
2008-04-30,0.9338959212376933,0.9602706621556307
2008-05-01,0.950070323488045,1.0028999516674721
2008-05-02,0.950773558368495,1.031609473175447
2008-05-05,0.950070323488045,1.0217496375060415
2008-05-06,0.9465541490857947,1.0150797486708556
2008-05-07,0.9240506329113924,0.9815369743837603
2008-05-08,0.921237693389592,0.9971000483325279
2008-05-09,0.9177215189873418,0.9895601739971001
2008-05-12,0.950070323488045,1.0028032866118897
2008-05-13,0.9634317862165962,0.9939101014983083
2008-05-14,0.960618846694796,0.9882068632189464
2008-05-15,0.9563994374120955,1.0025132914451425
2008-05-16,0.9191279887482419,1.0006766553890767
2008-05-19,0.910689170182841,0.9975833736104398
2008-05-20,0.9071729957805907,0.9642339294345094
2008-05-21,0.8931082981715892,0.9298211696471725
2008-05-22,0.9022503516174402,0.9460608989850169
2008-05-23,0.8966244725738396,0.9362977283711937
2008-05-27,0.9127988748241913,0.9459642339294345
2008-05-28,0.930379746835443,0.9463508941517642
2008-05-29,0.9578059071729956,0.968873852102465
2008-05-30,0.9465541490857947,0.9908168197196713
2008-06-02,0.9184247538677919,0.9695505074915417
2008-06-03,0.9226441631504921,0.9710971483808603
2008-06-04,0.9451476793248944,0.9629772837119381
2008-06-05,0.9655414908579465,1.000483325277912
2008-06-06,0.9156118143459915,0.9525374577090382
2008-06-09,0.9092827004219408,0.9459642339294345
2008-06-10,0.9226441631504921,0.9623972933784437
2008-06-11,0.8895921237693389,0.9271145480908651
2008-06-12,0.8867791842475385,0.9275978733687771
2008-06-13,0.9064697609001406,0.9725471242145964
2008-06-16,0.9043600562587903,0.9945867568873852
2008-06-17,0.8888888888888888,0.9748670855485742
2008-06-18,0.8663853727144866,0.9690671822136298
2008-06-19,0.8713080168776371,0.9821169647172546
2008-06-20,0.8537271448663853,0.9691638472692122
2008-06-23,0.829817158931083,0.9491541807636539
2008-06-24,0.850210970464135,0.9263412276462059
2008-06-25,0.8952180028129395,0.9314644755920735
2008-06-26,0.8291139240506328,0.874335427742871
2008-06-27,0.8333333333333333,0.8829386176897052
2008-06-30,0.8087201125175808,0.8705654905751571
2008-07-01,0.779887482419128,0.8663122281295312
2008-07-02,0.7447257383966245,0.8248429192846786
2008-07-03,0.7812939521800281,0.8232962783953601
2008-07-07,0.7784810126582278,0.7995166747220879
2008-07-08,0.8255977496483825,0.8484291928467859
2008-07-09,0.7756680731364275,0.8019333011116481
2008-07-10,0.750351617440225,0.794296761720638
2008-07-11,0.7440225035161744,0.7628806186563557
2008-07-14,0.7194092827004219,0.7369743837602706
