"","X1","WST","MKC","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.973235371293624,0.992863791498604,NA,0.108225108225108,0.303030303030303,0.0830333088491669,0.663410406031185
"3",2009-01-06,0.951718709000262,0.989450822215327,NA,0.151515151515152,0.428571428571429,0.0879055567799435,0.72586072020846
"4",2009-01-07,0.911046969299396,0.971765435929259,NA,0.038961038961039,0.121212121212121,0.0613205975534662,0.605038499381036
"5",2009-01-08,0.923117292049331,0.971455165994415,NA,0.74025974025974,0.506493506493506,0.764530857293182,0.315259026619789
"6",2009-01-09,0.889530307006035,0.957493018926466,NA,0.0562770562770563,0.151515151515152,0.0786017013466057,0.582974992833779
"7",2009-01-12,0.887955917082131,0.963388147688489,NA,0.506493506493506,0.718614718614719,0.32872962103306,0.739643829109096
"8",2009-01-13,0.908160587772238,0.959975178405213,NA,0.857142857142857,0.428571428571429,0.909198135020152,0.174991435882496
"9",2009-01-14,0.870375229598531,0.940117902575241,NA,0.038961038961039,0.0952380952380952,0.086277549708178,0.531687594785889
"10",2009-01-15,0.878247179218053,0.935153583617748,NA,0.662337662337662,0.376623376623377,0.755177978307586,0.218528089731684
"11",2009-01-16,0.876672789294148,0.962147067949116,NA,0.506493506493506,0.956709956709957,0.172226433905791,0.972808200997598
"12",2009-01-20,0.827604303332459,0.946943841141793,"WST",0.025974025974026,0.134199134199134,0.0277229293523943,0.717824384783316
"13",2009-01-21,0.878509577538704,0.94570276140242,"WST",0.961038961038961,0.489177489177489,0.977178839610634,0.156090140105557
"14",2009-01-22,0.872212017843086,0.95501085944772,"WST",0.415584415584416,0.744588744588745,0.217454350944987,0.814900281505998
"15",2009-01-23,0.857780110207295,0.944461681663047,"WST",0.246753246753247,0.194805194805195,0.416399791174972,0.255610043971323
"16",2009-01-26,0.878247179218053,0.971144896059572,"WST",0.857142857142857,0.956709956709957,0.609548117149115,0.913649337367533
"17",2009-01-27,0.897139858304907,0.963077877753646,"WST",0.844155844155844,0.281385281385281,0.936124979832298,0.0816847808145658
"18",2009-01-28,0.901075833114668,0.983555693453304,"WST",0.601731601731602,0.926406926406926,0.284976010309995,0.933450786391045
"19",2009-01-29,0.876147992652847,0.99813838039094,"WST",0.0995670995670996,0.83982683982684,0.012965707560025,0.973284543192806
"20",2009-01-30,0.871687221201784,0.994104871237977,"WST",0.454545454545455,0.411255411255411,0.481149447335323,0.388051754665837
"21",2009-02-02,0.899501443190764,0.995966490847037,"WST",0.904761904761905,0.614718614718615,0.907130515108879,0.319516229046658
"22",2009-02-03,0.893203883495146,1.03102699348433,"WST",0.415584415584416,0.96969696969697,0.105002622652125,0.986478826185556
"23",2009-02-04,0.907898189451588,1.01985727582997,"WST",0.761904761904762,0.203463203463203,0.91616303128085,0.0570255180932752
"24",2009-02-05,0.912621359223301,1.02233943530872,"WST",0.614718614718615,0.627705627705628,0.527880602499108,0.554279827763117
"25",2009-02-06,0.918656520598268,1.02730375426621,"WST",0.632034632034632,0.67965367965368,0.514419368538936,0.611886014548062
"26",2009-02-09,0.893466281815796,1.01396214706795,"WST",0.0995670995670996,0.168831168831169,0.157615154957411,0.464689567903694
"27",2009-02-10,0.879296772500656,0.988520012410797,"WST",0.251082251082251,0.0735930735930736,0.682965283865989,0.058494755518571
"28",2009-02-11,0.896352663342954,0.996897300651567,"WST",0.813852813852814,0.735930735930736,0.734440343688491,0.560771617436391
"29",2009-02-12,0.90868538441354,0.99906919019547,"WST",0.744588744588745,0.619047619047619,0.706812517674969,0.450619360032153
"30",2009-02-13,0.914982944109158,0.991932981694074,"WST",0.645021645021645,0.303030303030303,0.785088739589027,0.155518183603897
"31",2009-02-17,0.89110469692994,0.967111386906609,"WST",0.112554112554113,0.0735930735930736,0.40736046646499,0.17020985599017
"32",2009-02-18,0.88060876410391,0.955631399317406,"WST",0.32034632034632,0.19047619047619,0.539974831651163,0.185084603982476
"33",2009-02-19,0.830490684859617,0.976729754886752,"WST",0.025974025974026,0.926406926406926,0.000963473961537398,0.99633842367172
"34",2009-02-20,0.815796378903175,0.935463853552591,"WST",0.229437229437229,0.012987012987013,0.891557657309859,0.00385688468799505
"35",2009-02-23,0.813434794017318,0.922122246354328,"WST",0.484848484848485,0.151515151515152,0.775502958726655,0.0733819528472224
"36",2009-02-24,0.84203621096825,0.935153583617748,"WST",0.917748917748918,0.826839826839827,0.852843893972767,0.608933321643353
"37",2009-02-25,0.824193125163999,0.948805460750853,"WST",0.16017316017316,0.83982683982684,0.0298259823847539,0.960627204856297
"38",2009-02-26,0.803726056153241,0.926155755507291,"WST",0.125541125541126,0.0735930735930736,0.445343568946876,0.14908211015796
"39",2009-02-27,0.805562844397796,0.972696245733789,"WST",0.575757575757576,0.982683982683983,0.191239153654882,0.988132663284769
"40",2009-03-02,0.77879821569142,0.964629227427862,"WST",0.0692640692640693,0.281385281385281,0.0449311107547652,0.730109387554371
"41",2009-03-03,0.774337444240357,0.966801116971766,"WST",0.445887445887446,0.623376623376623,0.316328940604059,0.666352478491518
"42",2009-03-04,0.796116504854369,0.972075705864102,"WST",0.87012987012987,0.705627705627706,0.832315745955919,0.467459283937966
"43",2009-03-05,0.760167934925217,0.939497362705554,"WST",0.0346320346320346,0.0303030303030303,0.289510684577963,0.219605896158065
"44",2009-03-06,0.757543951718709,0.940738442444927,"WST",0.480519480519481,0.593073593073593,0.378161437344609,0.604613424586362
