"","X1","WSM","CBS","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.995186522262334,0.976430976430976,NA,0.506493506493506,0.203463203463203,0.758043069084748,0.111520854514581
"3",2009-01-06,1.07581227436823,1.00112233445567,NA,0.965367965367965,0.80952380952381,0.975052877633847,0.311645216608538
"4",2009-01-07,1.06016847172082,0.955106621773288,"CBS",0.432900432900433,0.0952380952380952,0.784392251476947,0.0402717850269501
"5",2009-01-08,1.04211793020457,0.977553310886644,"CBS",0.38961038961039,0.805194805194805,0.156804425882078,0.920053800727381
"6",2009-01-09,1.03249097472924,0.942760942760943,"CBS",0.467532467532468,0.134199134199134,0.776609998837751,0.0630316388187972
"7",2009-01-12,1.00481347773767,0.877665544332211,"CBS",0.272727272727273,0.0606060606060606,0.704324057995491,0.0366995006506493
"8",2009-01-13,1.00240673886883,0.851851851851852,"CBS",0.519480519480519,0.168831168831169,0.791992748737906,0.0792177180520816
"9",2009-01-14,0.918170878459687,0.810325476992144,"CBS",0.051948051948052,0.0822510822510823,0.146617304251575,0.372650216222777
"10",2009-01-15,0.943441636582431,0.79685746352413,"CBS",0.826839826839827,0.294372294372294,0.944471609093779,0.0977953198440558
"11",2009-01-16,0.942238267148014,0.808080808080808,"CBS",0.523809523809524,0.744588744588745,0.313894452137087,0.822372073106072
"12",2009-01-20,0.82430806257521,0.727272727272727,"CBS",0.0173160173160173,0.0346320346320346,0.0978213816834949,0.394121390623077
"13",2009-01-21,0.856799037304452,0.801346801346801,"CBS",0.865800865800866,0.978354978354978,0.324147838174473,0.980355751764809
"14",2009-01-22,0.903730445246691,0.722783389450056,"CBS",0.935064935064935,0.0346320346320346,0.973883169447826,0.0112328475528138
"15",2009-01-23,0.984356197352587,0.729517396184063,"CBS",0.96969696969697,0.683982683982684,0.990002994594676,0.20390270378193
"16",2009-01-26,1.00361010830325,0.686868686868687,"CBS",0.731601731601732,0.0692640692640693,0.923428939070734,0.0153382582112526
"17",2009-01-27,1.03730445246691,0.687991021324355,"CBS",0.844155844155844,0.597402597402597,0.901154272454421,0.301329842301786
"18",2009-01-28,1.09386281588448,0.730639730639731,"CBS",0.935064935064935,0.952380952380952,0.676952328993876,0.827920931994746
"19",2009-01-29,1.01323706377858,0.675645342312009,"CBS",0.0735930735930736,0.0476190476190476,0.360436341961463,0.149033339171581
"20",2009-01-30,0.953068592057762,0.641975308641975,"CBS",0.0909090909090909,0.0822510822510823,0.287646373558944,0.234413874150799
"21",2009-02-02,0.956678700361011,0.650953984287318,"CBS",0.571428571428571,0.744588744588745,0.37260140864861,0.795664894202851
"22",2009-02-03,1.01564380264741,0.656565656565656,"CBS",0.952380952380952,0.67965367965368,0.980029049475312,0.232526814325475
"23",2009-02-04,1.0072202166065,0.646464646464646,"CBS",0.471861471861472,0.311688311688312,0.63126020388019,0.250370059669321
"24",2009-02-05,1.05535499398315,0.672278338945006,"CBS",0.909090909090909,0.896103896103896,0.768703966037243,0.695935623646691
"25",2009-02-06,1.11311672683514,0.718294051627385,"CBS",0.935064935064935,0.956709956709957,0.65319960335891,0.847584785310527
"26",2009-02-09,1.12876052948255,0.698092031425365,"CBS",0.675324675324675,0.181818181818182,0.885362001385533,0.0628846812443828
"27",2009-02-10,1.10589651022864,0.636363636363636,"CBS",0.363636363636364,0.038961038961039,0.805787081665503,0.0123598917190732
"28",2009-02-11,1.15643802647413,0.65993265993266,"CBS",0.909090909090909,0.887445887445887,0.786892887039953,0.669904018920916
"29",2009-02-12,1.12755716004813,0.656565656565656,"CBS",0.294372294372294,0.506493506493506,0.207097243578072,0.689556020818316
"30",2009-02-13,1.09626955475331,0.652076318742985,"CBS",0.268398268398268,0.476190476190476,0.192955264844465,0.674969630811684
"31",2009-02-17,1.06016847172082,0.589225589225589,"CBS",0.255411255411255,0.0346320346320346,0.748766756358993,0.0164264008243231
"32",2009-02-18,1.0806257521059,0.575757575757576,"CBS",0.727272727272727,0.216450216450216,0.905170473397058,0.0744792607012381
"33",2009-02-19,1.03971119133574,0.557800224466891,"CBS",0.186147186147186,0.155844155844156,0.366842455372847,0.253479668330494
"34",2009-02-20,0.991576413959085,0.548821548821549,"CBS",0.138528138528139,0.303030303030303,0.119940016389749,0.602128297515634
"35",2009-02-23,0.955475330926594,0.549943883277217,"CBS",0.212121212121212,0.601731601731602,0.0935348430554989,0.830063236243526
"36",2009-02-24,1.04091456077016,0.58361391694725,"CBS",0.96969696969697,0.952380952380952,0.861408700028538,0.654367282738909
"37",2009-02-25,1.0661853188929,0.558922558922559,"CBS",0.787878787878788,0.108225108225108,0.939950207616085,0.0270841601734496
"38",2009-02-26,1.02045728038508,0.510662177328844,"CBS",0.155844155844156,0.038961038961039,0.623473415569036,0.040293781627223
"39",2009-02-27,1.05054151624549,0.479236812570146,"CBS",0.826839826839827,0.0649350649350649,0.949753459749934,0.0147724405315548
"40",2009-03-02,1.02527075812274,0.447811447811448,"CBS",0.303030303030303,0.0649350649350649,0.723996968532565,0.0353846273982686
"41",2009-03-03,1.01323706377858,0.404040404040404,"CBS",0.45021645021645,0.0346320346320346,0.846422347331932,0.00807467917906646
"42",2009-03-04,1.04332129963899,0.432098765432099,"CBS",0.826839826839827,0.961038961038961,0.350087791962094,0.96541025903582
"43",2009-03-05,0.97352587244284,0.384960718294052,"CBS",0.0779220779220779,0.025974025974026,0.519497309379412,0.0580834707267985
