"","X1","RGS","PKY","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.0006882312457,0.95180055401662,NA,0.532467532467532,0.116883116883117,0.880336434698644,0.0345675586296188
"3",2009-01-06,1.06882312456986,1.04930747922438,NA,0.974025974025974,0.96969696969697,0.789335881646289,0.711187676620826
"4",2009-01-07,1.03647625602202,0.998337950138504,NA,0.181818181818182,0.116883116883117,0.481928058369574,0.186126421924491
"5",2009-01-08,0.997247075017206,0.997229916897507,NA,0.116883116883117,0.484848484848485,0.0405536904304424,0.85495927718894
"6",2009-01-09,0.882312456985547,0.889750692520776,NA,0.00865800865800866,0.025974025974026,0.0581287986624927,0.526990432017623
"7",2009-01-12,0.82381280110117,0.849861495844875,NA,0.0432900432900433,0.12987012987013,0.0643163945519646,0.615211957478964
"8",2009-01-13,0.810048176187199,0.913573407202216,NA,0.298701298701299,0.956709956709957,0.0462047342057301,0.99447407418602
"9",2009-01-14,0.770130763936683,0.853739612188366,NA,0.0735930735930736,0.0779220779220779,0.264476719204911,0.298102932787338
"10",2009-01-15,0.773571920165176,0.894736842105263,"RGS",0.597402597402597,0.913419913419913,0.168402975231429,0.966485563018767
"11",2009-01-16,0.770818995182381,0.932963988919668,"RGS",0.458874458874459,0.9004329004329,0.106430944489006,0.974072822139144
"12",2009-01-20,0.686854783207158,0.814958448753463,"RGS",0.00865800865800866,0.0173160173160173,0.102596045090732,0.415749617254785
"13",2009-01-21,0.740536820371645,0.880886426592798,"RGS",0.982683982683983,0.956709956709957,0.921654748262751,0.498359386621418
"14",2009-01-22,0.720578114246387,0.897506925207756,"RGS",0.207792207792208,0.779220779220779,0.0439018002975669,0.953391729422733
"15",2009-01-23,0.715760495526497,0.870914127423823,"RGS",0.402597402597403,0.181818181818182,0.7228759656273,0.119729086130548
"16",2009-01-26,0.737783895388851,0.878116343490305,"RGS",0.83982683982684,0.636363636363636,0.886439116782084,0.295488289308946
"17",2009-01-27,0.730901582931865,0.909695290858726,"RGS",0.372294372294372,0.883116883116883,0.0802107339015473,0.973719067889745
"18",2009-01-28,0.860289057123193,0.960664819944598,"RGS",0.995670995670996,0.930735930735931,0.995863574359835,0.193566516876901
"19",2009-01-29,0.795595320027529,0.858725761772853,"RGS",0.0346320346320346,0.025974025974026,0.327658826118437,0.181816658833845
"20",2009-01-30,0.774260151410874,0.826592797783933,"RGS",0.207792207792208,0.147186147186147,0.469172220286751,0.220756119097255
"21",2009-02-02,0.831383344803854,0.882548476454294,"RGS",0.978354978354978,0.943722943722944,0.924826514501315,0.476369923159031
"22",2009-02-03,0.847212663454921,0.873130193905817,"RGS",0.766233766233766,0.337662337662338,0.925531379256415,0.102701757821918
"23",2009-02-04,0.860977288368892,0.868698060941828,"RGS",0.74025974025974,0.424242424242424,0.88035278438129,0.175332182450873
"24",2009-02-05,0.944941500344116,0.847645429362881,NA,0.982683982683983,0.212121212121212,0.998285994930856,0.0333854179120583
"25",2009-02-06,0.998623537508603,0.911357340720222,NA,0.961038961038961,0.956709956709957,0.769125691292894,0.713150583857383
"26",2009-02-09,0.982105987611838,0.894736842105263,NA,0.298701298701299,0.251082251082251,0.467144136743431,0.312865921364846
"27",2009-02-10,0.92842395044735,0.803324099722992,"PKY",0.0649350649350649,0.025974025974026,0.521801977398063,0.0805944520844267
"28",2009-02-11,0.953200275292498,0.81218836565097,"PKY",0.813852813852814,0.675324675324675,0.825333192492173,0.387975981256224
"29",2009-02-12,0.96214728148658,0.804432132963989,"PKY",0.666666666666667,0.341991341991342,0.855284396435189,0.147648783562827
"30",2009-02-13,0.953200275292498,0.775069252077562,"PKY",0.372294372294372,0.147186147186147,0.732128230634069,0.0944352836457883
"31",2009-02-17,0.902271163110805,0.701939058171745,"PKY",0.0692640692640693,0.0346320346320346,0.468321669510361,0.112706607409073
"32",2009-02-18,0.904335856847901,0.698060941828255,"PKY",0.571428571428571,0.415584415584416,0.69856076453121,0.295642283498483
"33",2009-02-19,0.860977288368892,0.689196675900277,"PKY",0.0779220779220779,0.316017316017316,0.0418203745094099,0.777324357915496
"34",2009-02-20,0.82381280110117,0.691412742382271,"PKY",0.0822510822510823,0.567099567099567,0.0178248875753617,0.911425778725091
"35",2009-02-23,0.787336545079147,0.659279778393352,"PKY",0.0779220779220779,0.12987012987013,0.158635178767077,0.465648936933301
"36",2009-02-24,0.850653819683414,0.728531855955679,"PKY",0.982683982683983,0.974025974025974,0.846526597589304,0.649608412645243
"37",2009-02-25,0.788713007570544,0.689196675900277,"PKY",0.0346320346320346,0.112554112554113,0.0559254937492007,0.619886009608327
"38",2009-02-26,0.878183069511356,0.644321329639889,"PKY",0.987012987012987,0.0779220779220779,0.998157272371756,0.0174362838193141
"39",2009-02-27,0.867171369580179,0.644321329639889,"PKY",0.346320346320346,0.506493506493506,0.258072961518736,0.676808653762814
"40",2009-03-02,0.832759807295251,0.598337950138504,"PKY",0.103896103896104,0.0692640692640693,0.41606844905734,0.177788802238234
"41",2009-03-03,0.794907088781831,0.588919667590028,"PKY",0.0779220779220779,0.29004329004329,0.048090977327322,0.752157039325585
"42",2009-03-04,0.82381280110117,0.58393351800554,"PKY",0.878787878787879,0.363636363636364,0.972794520258876,0.0784723936019721
"43",2009-03-05,0.759807295251204,0.510249307479224,"PKY",0.0346320346320346,0.0173160173160173,0.435771590497539,0.106553679892452
"44",2009-03-06,0.770818995182381,0.504709141274238,"PKY",0.727272727272727,0.333333333333333,0.903344355188739,0.114473115286614
