,OMG,BGCP
2008-02-01,1.0,1.0
2008-02-04,0.9691336971350614,0.9932998324958124
2008-02-05,0.9369031377899044,0.9932998324958124
2008-02-06,0.9120054570259208,1.0050251256281408
2008-02-07,0.8772169167803546,1.0100502512562815
2008-02-08,0.8893246930422919,1.010887772194305
2008-02-11,0.8850613915416098,1.0050251256281408
2008-02-12,0.8988744884038199,0.9974874371859297
2008-02-13,0.9554911323328786,1.018425460636516
2008-02-14,0.9549795361527967,1.044388609715243
2008-02-15,0.9907912687585266,1.0008375209380234
2008-02-19,1.0025579809004093,0.9974874371859297
2008-02-20,1.025238744884038,1.0293132328308208
2008-02-21,1.0182469304229196,1.018425460636516
2008-02-22,1.0182469304229196,1.0100502512562815
2008-02-25,1.068724420190996,1.0041876046901173
2008-02-26,1.0595156889495225,1.0385259631490789
2008-02-27,1.0719645293315143,1.0134003350083751
2008-02-28,1.0760572987721693,0.9832495812395311
2008-02-29,1.0322305593451568,0.9723618090452262
2008-03-03,1.0668485675306958,0.9514237855946398
2008-03-04,1.0571282401091406,0.9983249581239532
2008-03-05,1.0690654843110505,0.9865996649916248
2008-03-06,1.0387107776261937,0.9530988274706869
2008-03-07,1.017394270122783,0.9472361809045227
2008-03-10,0.9844815825375169,0.9455611390284757
2008-03-11,1.0190995907230558,0.9564489112227806
2008-03-12,1.0168826739427013,1.0050251256281408
2008-03-13,1.0399045020463846,1.0041876046901173
2008-03-14,1.016712141882674,0.9840871021775545
2008-03-17,0.929399727148704,0.9388609715242883
2008-03-18,0.959924965893588,0.9932998324958124
2008-03-19,0.9082537517053205,0.9798994974874372
2008-03-20,0.879774897680764,0.9790619765494137
2008-03-24,0.9409959072305594,1.0083752093802345
2008-03-25,0.958731241473397,1.0041876046901173
2008-03-26,0.9522510231923602,0.9857621440536013
2008-03-27,0.904331514324693,0.9438860971524288
2008-03-28,0.8997271487039563,0.9455611390284757
2008-03-31,0.930081855388813,0.9765494137353434
2008-04-01,0.9761255115961801,0.9840871021775545
2008-04-02,1.0001705320600272,0.9815745393634842
2008-04-03,1.0066507503410642,0.9656616415410385
2008-04-04,0.9788540245566166,1.0117252931323284
2008-04-07,0.9660641200545702,1.0050251256281408
2008-04-08,0.9669167803547067,0.992462311557789
2008-04-09,0.9409959072305594,0.9840871021775545
2008-04-10,0.9609481582537517,0.9706867671691792
2008-04-11,0.9259890859481582,0.966499162479062
2008-04-14,0.9220668485675307,0.9715242881072027
2008-04-15,0.9307639836289222,0.9949748743718594
2008-04-16,0.9752728512960436,1.0041876046901173
2008-04-17,0.9863574351978173,1.003350083752094
2008-04-18,1.000682128240109,0.9857621440536013
2008-04-21,0.9943724420190996,0.9438860971524288
2008-04-22,0.9747612551159617,0.8659966499162479
2008-04-23,0.9590723055934516,0.8391959798994975
2008-04-24,0.9563437926330149,0.8601340033500837
2008-04-25,0.9594133697135061,0.8643216080402011
2008-04-28,0.9478171896316507,0.8626465661641542
2008-04-29,0.9239427012278308,0.8174204355108878
2008-04-30,0.9338335607094134,0.8073701842546065
2008-05-01,0.9513983628922237,0.7872696817420436
2008-05-02,0.9786834924965894,0.7998324958123953
2008-05-05,1.0057980900409276,0.8199329983249581
2008-05-06,1.0296725784447476,0.814070351758794
2008-05-07,1.0124488403819918,0.7772194304857621
2008-05-08,0.8981923601637108,0.8458961474036851
2008-05-09,0.8842087312414734,0.8207705192629817
2008-05-12,0.8356070941336972,0.804857621440536
2008-05-13,0.822987721691678,0.8190954773869347
2008-05-14,0.7812073669849932,0.8182579564489112
2008-05-15,0.805593451568895,0.8224455611390286
2008-05-16,0.8159959072305594,0.8023450586264657
2008-05-19,0.7810368349249658,0.7864321608040202
2008-05-20,0.7622783083219645,0.7763819095477387
2008-05-21,0.7295361527967258,0.7721943048576215
2008-05-22,0.7175989085948158,0.773031825795645
2008-05-23,0.7031036834924965,0.7604690117252931
2008-05-27,0.7000341064120054,0.7922948073701843
2008-05-28,0.7172578444747613,0.7495812395309882
2008-05-29,0.7131650750341064,0.7537688442211056
2008-05-30,0.7414733969986357,0.7470686767169179
2008-06-02,0.7588676671214188,0.754606365159129
2008-06-03,0.7600613915416098,0.7495812395309882
2008-06-04,0.739768076398363,0.6859296482412061
2008-06-05,0.7648362892223738,0.6767169179229481
2008-06-06,0.7414733969986357,0.6700167504187605
2008-06-09,0.6923601637107777,0.6758793969849247
2008-06-10,0.6707025920873124,0.6809045226130654
2008-06-11,0.6495566166439292,0.6700167504187605
2008-06-12,0.6638813096862209,0.6708542713567839
2008-06-13,0.6894611186903138,0.6716917922948074
2008-06-16,0.6845156889495225,0.6716917922948074
2008-06-17,0.6809345156889495,0.6708542713567839
2008-06-18,0.67462482946794,0.6708542713567839
2008-06-19,0.6771828103683493,0.6708542713567839
2008-06-20,0.6667803547066848,0.6792294807370184
2008-06-23,0.6567189631650749,0.6415410385259632
2008-06-24,0.65075034106412,0.6122278056951423
2008-06-25,0.6529672578444747,0.6180904522613065
2008-06-26,0.61118690313779,0.6080402010050251
2008-06-27,0.6188608458390177,0.6172529313232831
2008-06-30,0.5591746248294679,0.6323283082077052
2008-07-01,0.5636084583901773,0.6231155778894473
2008-07-02,0.4989768076398363,0.6122278056951423
2008-07-03,0.4986357435197817,0.5971524288107203
2008-07-07,0.5175648021828104,0.5912897822445561
2008-07-08,0.5262619372442019,0.5862646566164155
2008-07-09,0.48635743519781716,0.5812395309882747
2008-07-10,0.4730559345156889,0.542713567839196
2008-07-11,0.48004774897680763,0.4941373534338359
2008-07-14,0.5127899045020464,0.4907872696817421
