"","X1","CVX","WM","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.00182958703607,0.993783303730018,NA,0.497835497835498,0.337662337662338,0.595061076735619,0.287026774986128
"3",2009-01-06,1.01084683742812,0.979277679100059,NA,0.662337662337662,0.212121212121212,0.84134078224538,0.0970248138678091
"4",2009-01-07,0.966544694197595,0.964179988158674,NA,0.0562770562770563,0.194805194805195,0.0657075803548212,0.593935465353698
"5",2009-01-08,0.970203868269733,0.982238010657194,NA,0.536796536796537,0.857142857142857,0.281707972262699,0.904032783009935
"6",2009-01-09,0.951646628332462,0.968916518650089,NA,0.216450216450216,0.238095238095238,0.2988125479822,0.354534799541507
"7",2009-01-12,0.925509670674333,0.963291888691533,NA,0.16017316017316,0.337662337662338,0.148856301926166,0.569353819755464
"8",2009-01-13,0.938578149503398,0.956779159265838,NA,0.761904761904762,0.324675324675325,0.873095868063418,0.153878643524194
"9",2009-01-14,0.910742289597491,0.930432208407342,NA,0.134199134199134,0.108225108225108,0.324439837271272,0.221533425285273
"10",2009-01-15,0.92485624673288,0.958851391355832,NA,0.779220779220779,0.939393939393939,0.4123231223692,0.940633014828985
"11",2009-01-16,0.937532671197073,0.958851391355832,NA,0.757575757575758,0.467532467532468,0.821652392864371,0.290162045540994
"12",2009-01-20,0.892707788813382,0.933688573120189,NA,0.051948051948052,0.121212121212121,0.103393770185088,0.462817640706886
"13",2009-01-21,0.93086774699425,0.966252220248668,NA,0.926406926406926,0.952380952380952,0.674333800076535,0.856599818038159
"14",2009-01-22,0.914140094093048,0.964179988158674,NA,0.229437229437229,0.432900432900433,0.189885688906661,0.606283990477052
"15",2009-01-23,0.925509670674333,0.949674363528715,NA,0.735930735930736,0.207792207792208,0.894423104416887,0.0772298622633231
"16",2009-01-26,0.931651855723994,0.964476021314387,NA,0.61038961038961,0.822510822510823,0.398132529703483,0.845147494841195
"17",2009-01-27,0.942106638787245,0.969212551805802,NA,0.714285714285714,0.593073593073593,0.715053310395672,0.471445849086667
"18",2009-01-28,0.964323052796655,0.972172883362937,NA,0.852813852813853,0.558441558441558,0.89471559127636,0.307906130646799
"19",2009-01-29,0.922895974908521,0.941681468324452,NA,0.0562770562770563,0.0952380952380952,0.147025464842127,0.372683879216203
"20",2009-01-30,0.921589127025614,0.923327412670219,NA,0.454545454545455,0.164502164502165,0.697603228623587,0.109913854136801
"21",2009-02-02,0.91858337689493,0.895796329188869,NA,0.428571428571429,0.0995670995670996,0.757847599294812,0.0547537403400944
"22",2009-02-03,0.936225823314166,0.90704558910598,NA,0.822510822510823,0.770562770562771,0.760937781829464,0.623876593994094
"23",2009-02-04,0.935703084161004,0.88809946714032,NA,0.463203463203463,0.138528138528139,0.736035154621494,0.082409048881343
"24",2009-02-05,0.95726607422896,0.872705743043221,NA,0.852813852813853,0.181818181818182,0.961736675373525,0.0416505450104307
"25",2009-02-06,0.978829064296916,0.880698638247484,NA,0.844155844155844,0.696969696969697,0.838437779147152,0.485044422916653
"26",2009-02-09,0.972556194458965,0.873297809354648,NA,0.359307359307359,0.303030303030303,0.445436100501609,0.326182290263793
"27",2009-02-10,0.929430214323053,0.837773830669035,NA,0.0562770562770563,0.0562770562770563,0.237455420026941,0.237455420026941
"28",2009-02-11,0.931259801359122,0.842214328004737,NA,0.497835497835498,0.61038961038961,0.419613915034916,0.633670498225122
"29",2009-02-12,0.912963930998432,0.866193013617525,NA,0.199134199134199,0.922077922077922,0.0340378739387541,0.984473771325427
"30",2009-02-13,0.911265028750654,0.867377146240379,NA,0.454545454545455,0.484848484848485,0.441705008438303,0.499957233933725
"31",2009-02-17,0.864871928907475,0.847542924807578,NA,0.038961038961039,0.138528138528139,0.0602938861999019,0.568409100055624
"32",2009-02-18,0.864087820177731,0.844878626406157,NA,0.454545454545455,0.406926406926407,0.492322869698926,0.399538006618271
"33",2009-02-19,0.871406168322007,0.840734162226169,NA,0.640692640692641,0.346320346320346,0.751204323676213,0.226395261799628
"34",2009-02-20,0.850365917407214,0.845766725873298,NA,0.177489177489178,0.640692640692641,0.0763441635814852,0.845343852959259
"35",2009-02-23,0.822530057501307,0.815275310834813,NA,0.112554112554113,0.0692640692640693,0.37355348565526,0.158203385706778
"36",2009-02-24,0.853110297961317,0.841030195381883,NA,0.913419913419913,0.948051948051948,0.651266164465824,0.866077690294245
"37",2009-02-25,0.829848405645583,0.828004736530491,NA,0.16017316017316,0.19047619047619,0.254107497811417,0.346061844146542
"38",2009-02-26,0.825535807631992,0.810834813499112,NA,0.38961038961039,0.142857142857143,0.655862244012668,0.107445134199152
"39",2009-02-27,0.793387349712493,0.799289520426288,NA,0.0822510822510823,0.229437229437229,0.0914795102018531,0.566747736311626
"40",2009-03-02,0.753005750130685,0.764061574896388,NA,0.038961038961039,0.0476190476190476,0.191589491583228,0.273020265072603
"41",2009-03-03,0.754443282801882,0.748075784487863,NA,0.497835497835498,0.138528138528139,0.766740137160179,0.0746952661726509
"42",2009-03-04,0.774699424986932,0.728537596210776,NA,0.887445887445887,0.121212121212121,0.981537729386519,0.017419211222088
"43",2009-03-05,0.73784631468897,0.692717584369449,NA,0.051948051948052,0.0432900432900433,0.271730200887976,0.196947594618542
"44",2009-03-06,0.761500261369577,0.688573120189461,NA,0.896103896103896,0.337662337662338,0.962644987502833,0.102125620622557
"45",2009-03-09,0.761630946157867,0.658081705150977,NA,0.480519480519481,0.0476190476190476,0.878733771078341,0.0138593377926501
