,OSUR,ICON
2008-02-01,1.0,1.0
2008-02-04,0.9558823529411764,0.9629805410536307
2008-02-05,0.9583333333333334,0.9463692453725677
2008-02-06,0.9595588235294118,0.9430469862363551
2008-02-07,0.9485294117647058,0.9496915045087804
2008-02-08,0.9325980392156863,0.9420977693402943
2008-02-11,0.954656862745098,0.9719981015662079
2008-02-12,0.9178921568627451,0.9577598481252966
2008-02-13,0.9240196078431372,0.9781680113906027
2008-02-14,0.9142156862745098,0.9444708115804461
2008-02-15,0.9093137254901961,0.9326056003796867
2008-02-19,0.883578431372549,0.9572852396772663
2008-02-20,0.8946078431372548,0.9710488846701472
2008-02-21,0.8468137254901961,0.9995253915519695
2008-02-22,0.8284313725490196,1.0545799715234931
2008-02-25,0.8615196078431373,1.0522069292833414
2008-02-26,0.8713235294117647,1.0688182249644043
2008-02-27,0.8774509803921569,1.0522069292833414
2008-02-28,0.8651960784313725,1.0365448504983388
2008-02-29,0.875,0.9862363550071191
2008-03-03,0.8541666666666666,0.9753203607024206
2008-03-04,0.8651960784313725,0.9715234931181774
2008-03-05,0.8688725490196079,0.9667774086378738
2008-03-06,0.8394607843137254,0.9383009017560512
2008-03-07,0.821078431372549,0.9221642145230184
2008-03-10,0.7990196078431372,0.8542952064546748
2008-03-11,0.8406862745098039,0.8628381585192216
2008-03-12,0.8321078431372549,0.8789748457522544
2008-03-13,0.8615196078431373,0.8590412909349787
2008-03-14,0.8174019607843137,0.8068343616516374
2008-03-17,0.8198529411764707,0.7854769814902706
2008-03-18,0.8676470588235294,0.7869008068343616
2008-03-19,0.8602941176470588,0.7869008068343616
2008-03-20,0.8848039215686274,0.8068343616516374
2008-03-24,0.928921568627451,0.8542952064546748
2008-03-25,0.9117647058823529,0.8960607498813479
2008-03-26,0.926470588235294,0.882297104888467
2008-03-27,0.9142156862745098,0.8661604176554343
2008-03-28,0.8897058823529411,0.832937826293308
2008-03-31,0.8958333333333333,0.8234456573327006
2008-04-01,0.9497549019607843,0.8775510204081631
2008-04-02,0.9276960784313726,0.8609397247271001
2008-04-03,0.9105392156862745,0.8837209302325582
2008-04-04,0.9252450980392156,0.8946369245372569
2008-04-07,0.9056372549019607,0.8642619838633128
2008-04-08,0.9105392156862745,0.8666350261034647
2008-04-09,0.8823529411764706,0.8305647840531561
2008-04-10,0.9080882352941176,0.8296155671570954
2008-04-11,0.8688725490196079,0.7959183673469388
2008-04-14,0.8602941176470588,0.7831039392501187
2008-04-15,0.8553921568627452,0.7674418604651163
2008-04-16,0.8553921568627452,0.7636449928808733
2008-04-17,0.8063725490196079,0.7555766492643569
2008-04-18,0.8100490196078431,0.7593735168485999
2008-04-21,0.8198529411764707,0.7588989084005695
2008-04-22,0.7965686274509803,0.7176079734219268
2008-04-23,0.7941176470588236,0.7285239677266255
2008-04-24,0.8125,0.7831039392501187
2008-04-25,0.8161764705882353,0.7821547223540579
2008-04-28,0.8223039215686274,0.7593735168485999
2008-04-29,0.8039215686274509,0.7584242999525391
2008-04-30,0.7916666666666666,0.7555766492643569
2008-05-01,0.8272058823529411,0.7494067394399619
2008-05-02,0.8235294117647058,0.7327954437588988
2008-05-05,0.8174019607843137,0.6858092074038917
2008-05-06,0.8051470588235294,0.6957759848125297
2008-05-07,0.6629901960784313,0.6900806834361651
2008-05-08,0.6691176470588235,0.6758424299952539
2008-05-09,0.6715686274509804,0.669672520170859
2008-05-12,0.6715686274509804,0.6881822496440436
2008-05-13,0.6678921568627451,0.684859990507831
2008-05-14,0.6617647058823529,0.7128618889416232
2008-05-15,0.6544117647058824,0.6919791172282866
2008-05-16,0.6580882352941176,0.6782154722354058
2008-05-19,0.650735294117647,0.6487897484575226
2008-05-20,0.6200980392156862,0.6449928808732796
2008-05-21,0.6188725490196079,0.6407214048410061
2008-05-22,0.6421568627450981,0.6298054105363076
2008-05-23,0.6384803921568627,0.6416706217370669
2008-05-27,0.6544117647058824,0.6644518272425249
2008-05-28,0.6274509803921569,0.6805885144755577
2008-05-29,0.6642156862745098,0.6891314665401044
2008-05-30,0.6666666666666667,0.6881822496440436
2008-06-02,0.6605392156862745,0.6663502610346463
2008-06-03,0.6446078431372548,0.6511627906976745
2008-06-04,0.6556372549019607,0.6416706217370669
2008-06-05,0.7034313725490197,0.6440436639772188
2008-06-06,0.6740196078431372,0.6084480303749407
2008-06-09,0.6348039215686274,0.6122448979591837
2008-06-10,0.6237745098039216,0.608922638822971
2008-06-11,0.5870098039215687,0.5828191741813004
2008-06-12,0.5833333333333333,0.6065495965828192
2008-06-13,0.636029411764706,0.6388229710488847
2008-06-16,0.5526960784313725,0.6492643569055528
2008-06-17,0.5477941176470588,0.6644518272425249
2008-06-18,0.5416666666666666,0.6364499288087327
2008-06-19,0.5551470588235294,0.6378737541528239
2008-06-20,0.5220588235294117,0.6131941148552444
2008-06-23,0.5269607843137255,0.6018035121025154
2008-06-24,0.5061274509803921,0.5927859515899383
2008-06-25,0.5147058823529412,0.5932605600379687
2008-06-26,0.5012254901960784,0.5638348362600855
2008-06-27,0.4840686274509804,0.570953962980541
2008-06-30,0.45833333333333337,0.5733270052206929
2008-07-01,0.46691176470588236,0.5832937826293307
2008-07-02,0.48897058823529416,0.5695301376364499
2008-07-03,0.49019607843137253,0.567157095396298
2008-07-07,0.49387254901960786,0.561936402467964
2008-07-08,0.5208333333333334,0.5946843853820598
2008-07-09,0.5049019607843137,0.5685809207403892
2008-07-10,0.5122549019607843,0.5434266729947793
2008-07-11,0.4987745098039216,0.5562411010915994
