,GRT,PEI
2008-02-01,1.0,1.0
2008-02-04,1.0225454545454546,0.9989266547406083
2008-02-05,0.9883636363636363,0.9559928443649374
2008-02-06,0.9410909090909091,0.9470483005366727
2008-02-07,0.9723636363636363,0.9703041144901611
2008-02-08,0.9389090909090909,0.9313059033989267
2008-02-11,0.8727272727272727,0.9255813953488373
2008-02-12,0.8887272727272728,0.9474060822898033
2008-02-13,0.9054545454545454,0.9606440071556351
2008-02-14,0.8821818181818183,0.9277280858676208
2008-02-15,0.9018181818181819,0.9220035778175313
2008-02-19,0.8770909090909091,0.9069767441860466
2008-02-20,0.8894545454545455,0.9377459749552773
2008-02-21,0.8552727272727273,0.8855098389982111
2008-02-22,0.8741818181818182,0.8955277280858677
2008-02-25,0.8647272727272728,0.9076923076923078
2008-02-26,0.8647272727272728,0.9495527728085867
2008-02-27,0.8669090909090909,0.9127012522361361
2008-02-28,0.8458181818181819,0.8898032200357783
2008-02-29,0.8436363636363636,0.88479427549195
2008-03-03,0.8218181818181819,0.9134168157423972
2008-03-04,0.7934545454545454,0.906618962432916
2008-03-05,0.8363636363636363,0.9144901610017889
2008-03-06,0.7912727272727273,0.8547406082289803
2008-03-07,0.8043636363636364,0.8554561717352416
2008-03-10,0.7927272727272727,0.8429338103756708
2008-03-11,0.8043636363636364,0.886583184257603
2008-03-12,0.8116363636363636,0.8504472271914132
2008-03-13,0.8218181818181819,0.8661896243291592
2008-03-14,0.7956363636363636,0.8468694096601074
2008-03-17,0.778909090909091,0.8475849731663686
2008-03-18,0.8174545454545454,0.8844364937388193
2008-03-19,0.8196363636363636,0.8744186046511628
2008-03-20,0.8290909090909091,0.8955277280858677
2008-03-24,0.8501818181818181,0.9434704830053667
2008-03-25,0.8974545454545454,0.9402504472271915
2008-03-26,0.9279999999999999,0.9216457960644008
2008-03-27,0.8669090909090909,0.8940966010733452
2008-03-28,0.8603636363636363,0.8661896243291592
2008-03-31,0.8698181818181819,0.8726296958855099
2008-04-01,0.9229090909090909,0.9270125223613596
2008-04-02,0.9192727272727274,0.9381037567084078
2008-04-03,0.9025454545454545,0.9495527728085867
2008-04-04,0.8952727272727273,0.944186046511628
2008-04-07,0.8901818181818182,0.9323792486583184
2008-04-08,0.9018181818181819,0.9166368515205725
2008-04-09,0.8792727272727273,0.8937388193202147
2008-04-10,0.872,0.9001788908765653
2008-04-11,0.8618181818181818,0.8876565295169946
2008-04-14,0.8603636363636363,0.8908765652951699
2008-04-15,0.8683636363636363,0.8694096601073346
2008-04-16,0.882909090909091,0.895169946332737
2008-04-17,0.872,0.9044722719141325
2008-04-18,0.8654545454545455,0.8962432915921289
2008-04-21,0.8363636363636363,0.8819320214669052
2008-04-22,0.8269090909090908,0.8876565295169946
2008-04-23,0.8305454545454546,0.8919499105545617
2008-04-24,0.88,0.90912343470483
2008-04-25,0.896,0.9116279069767442
2008-04-28,0.888,0.9227191413237925
2008-04-29,0.8894545454545455,0.9302325581395349
2008-04-30,0.8727272727272727,0.9008944543828264
2008-05-01,0.8872727272727272,0.9309481216457961
2008-05-02,0.9025454545454545,0.9302325581395349
2008-05-05,0.9090909090909091,0.9366726296958855
2008-05-06,0.92,0.9420393559928443
2008-05-07,0.9170909090909091,0.9420393559928443
2008-05-08,0.9156363636363636,0.9295169946332738
2008-05-09,0.9367272727272727,0.9384615384615385
2008-05-12,0.9541818181818181,0.9613595706618963
2008-05-13,0.9505454545454546,0.9828264758497316
2008-05-14,0.9549090909090909,0.9810375670840787
2008-05-15,0.9629090909090909,0.9838998211091234
2008-05-16,0.9359999999999999,0.9803220035778175
2008-05-19,0.9301818181818181,0.9849731663685153
2008-05-20,0.9214545454545454,0.9824686940966011
2008-05-21,0.9119999999999999,0.9660107334525939
2008-05-22,0.9098181818181817,0.9513416815742397
2008-05-23,0.896,0.9506261180679786
2008-05-27,0.9170909090909091,0.9942754919499105
2008-05-28,0.9330909090909091,0.9688729874776386
2008-05-29,0.9425454545454546,0.9738819320214669
2008-05-30,0.9418181818181818,0.9606440071556351
2008-06-02,0.9309090909090909,0.9402504472271915
2008-06-03,0.9403636363636363,0.9398926654740608
2008-06-04,0.9389090909090909,0.9474060822898033
2008-06-05,0.978909090909091,0.9703041144901611
2008-06-06,0.9483636363636363,0.9245080500894455
2008-06-09,0.9250909090909092,0.8912343470483005
2008-06-10,0.9134545454545455,0.8783542039355994
2008-06-11,0.8952727272727273,0.8719141323792488
2008-06-12,0.8894545454545455,0.8747763864042933
2008-06-13,0.9054545454545454,0.8815742397137747
2008-06-16,0.9061818181818182,0.8958855098389982
2008-06-17,0.9163636363636364,0.9051878354203936
2008-06-18,0.9010909090909092,0.8991055456171735
2008-06-19,0.9156363636363636,0.9212880143112702
2008-06-20,0.8981818181818182,0.9008944543828264
2008-06-23,0.8996363636363636,0.8833631484794277
2008-06-24,0.8981818181818182,0.8704830053667263
2008-06-25,0.8865454545454545,0.8805008944543828
2008-06-26,0.832,0.8561717352415027
2008-06-27,0.8218181818181819,0.837567084078712
2008-06-30,0.8130909090909091,0.8279069767441861
2008-07-01,0.7949090909090909,0.8228980322003578
2008-07-02,0.7767272727272727,0.8042933810375671
2008-07-03,0.7672727272727273,0.7896243291592129
2008-07-07,0.7454545454545455,0.766010733452594
2008-07-08,0.7869090909090909,0.817531305903399
2008-07-09,0.7461818181818182,0.7588550983899821
2008-07-10,0.7461818181818182,0.7613595706618963
2008-07-11,0.7221818181818181,0.7155635062611807
2008-07-14,0.6523636363636364,0.683005366726297
2008-07-15,0.6327272727272727,0.6389982110912343
