,CVX,WM
2008-02-01,1.0,1.0
2008-02-04,0.9943023396775367,1.007242003621002
2008-02-05,0.9666626257728209,0.9725407362703681
2008-02-06,0.9396290459449631,0.9812914906457454
2008-02-07,0.9545399442356649,0.9740494870247435
2008-02-08,0.9608437386349862,0.9855159927579963
2008-02-11,0.9750272760334587,0.9704284852142425
2008-02-12,0.9833919262940963,0.999698249849125
2008-02-13,0.9955146078312523,1.0271575135787567
2008-02-14,1.0042429385380047,1.0232347616173807
2008-02-15,1.013456176506243,1.0111647555823777
2008-02-19,1.0283670747969451,1.02082076041038
2008-02-20,1.0466723239180509,1.0226312613156308
2008-02-21,1.0277609407200874,1.0078455039227519
2008-02-22,1.0355194569038673,1.0223295111647557
2008-02-25,1.0568553764092619,1.0334942667471334
2008-02-26,1.0682506970541885,1.0392275196137597
2008-02-27,1.069462965207904,1.028062764031382
2008-02-28,1.0791611104376289,1.02082076041038
2008-02-29,1.0505515820099407,0.9906457453228726
2008-03-03,1.057097830040005,0.9990947495473748
2008-03-04,1.0514001697175417,0.9966807483403742
2008-03-05,1.076372893684083,1.0214242607121304
2008-03-06,1.0643714389622985,0.9846107423053713
2008-03-07,1.0335798278579222,0.9815932407966205
2008-03-10,1.0271548066432297,0.9831019915509958
2008-03-11,1.0687356043156746,1.0099577549788774
2008-03-12,1.0514001697175417,1.0168980084490042
2008-03-13,1.05515820099406,1.0090525045262522
2008-03-14,1.0345496423808949,0.980084490042245
2008-03-17,1.0206085586131652,0.9975859987929995
2008-03-18,1.0440053339798765,1.0289680144840072
2008-03-19,0.9927263910777064,0.9975859987929995
2008-03-20,1.0087283307067523,1.0054315027157514
2008-03-24,1.0184264759364772,1.0187085093542545
2008-03-25,1.02485149715117,1.0337960168980083
2008-03-26,1.0299430233967755,1.039529269764635
2008-03-27,1.0231543217359682,1.0193120096560049
2008-03-28,1.0243665898896837,1.0214242607121304
2008-03-31,1.034792096011638,1.0126735063367531
2008-04-01,1.051521396532913,1.0353047676523839
