,CTWS,JNJ
2008-02-01,1.0,1.0
2008-02-04,1.012128816394814,1.0017361111111112
2008-02-05,1.0200752823086574,0.9922664141414141
2008-02-06,1.0062735257214555,0.9951073232323232
2008-02-07,0.9987452948557088,0.9913194444444445
2008-02-08,1.0041823504809704,0.9790088383838385
2008-02-11,1.0171476369719783,0.9766414141414141
2008-02-12,1.015056461731493,0.9938446969696969
2008-02-13,1.0322040987034713,1.0007891414141414
2008-02-14,1.0213299874529487,0.9910037878787878
2008-02-15,1.0154746967795902,0.992739898989899
2008-02-19,1.0267670430782099,1.0047348484848484
2008-02-20,1.012547051442911,0.9979482323232323
2008-02-21,1.0322040987034713,0.9940025252525252
2008-02-22,1.0330405687996653,0.9971590909090909
2008-02-25,1.040150564617315,1.0077335858585859
2008-02-26,1.0522835633626098,1.0056818181818181
2008-02-27,1.0430782099539941,0.9949494949494949
2008-02-28,1.0355499790882476,0.9897411616161617
2008-02-29,1.0058552906733584,0.9779040404040404
2008-03-03,1.0112923462986199,0.982165404040404
2008-03-04,1.0,0.9886363636363636
2008-03-05,1.0037641154328734,0.9963699494949495
2008-03-06,1.002509410288582,0.9884785353535354
2008-03-07,0.9861982434127979,0.9708017676767676
2008-03-10,0.9903805938937683,0.9679608585858586
2008-03-11,0.9962358845671268,0.9854797979797979
2008-03-12,0.9941447093266416,0.9872159090909091
2008-03-13,1.0075282308657465,0.9913194444444445
2008-03-14,0.9895441237975743,0.9887941919191919
2008-03-17,0.9736470096194062,1.0107323232323233
2008-03-18,0.9828481806775408,1.0307765151515151
2008-03-19,0.9878711836051861,1.023989898989899
2008-03-20,0.9686741948975324,1.0318813131313131
2008-03-24,0.9803429527394396,1.0241477272727273
2008-03-25,0.9916352990380595,1.0187815656565655
2008-03-26,0.9853617733166039,1.02114898989899
2008-03-27,0.9790882475951485,1.0198863636363638
2008-03-28,0.9916352990380595,1.0129419191919193
2008-03-31,0.9899623588456713,1.0238320707070707
2008-04-01,1.0054370556252614,1.039614898989899
2008-04-02,1.0050188205771644,1.0307765151515151
2008-04-03,0.9979088247595148,1.030145202020202
2008-04-04,1.0,1.0374053030303032
2008-04-07,1.0108741112505228,1.0438762626262625
2008-04-08,1.0184023421162693,1.0467171717171717
2008-04-09,1.013383521539105,1.046243686868687
2008-04-10,1.016729401923881,1.046875
2008-04-11,1.001672940192388,1.0416666666666667
2008-04-14,1.0083647009619405,1.0375631313131313
2008-04-15,1.0037641154328734,1.036142676767677
2008-04-16,1.0066917607695525,1.0369318181818183
2008-04-17,1.0050188205771644,1.037878787878788
2008-04-18,0.9974905897114179,1.0497159090909092
2008-04-21,0.9953994144709327,1.0467171717171717
2008-04-22,0.999163529903806,1.0572916666666665
2008-04-23,1.0050188205771644,1.0615530303030305
2008-04-24,1.0092011710581346,1.0632891414141414
2008-04-25,1.015056461731493,1.0623421717171717
2008-04-28,1.0192388122124634,1.0625
2008-04-29,1.01271434546215,1.0604482323232323
2008-04-30,0.9983270598076119,1.0588699494949496
2008-05-01,1.0,1.0702335858585859
2008-05-02,1.0154746967795902,1.0773358585858588
2008-05-05,1.0355499790882476,1.0716540404040404
2008-05-06,1.0296946884148892,1.0666035353535352
2008-05-07,1.0388958594730238,1.0560290404040404
2008-05-08,1.0430782099539941,1.0558712121212122
2008-05-09,1.0200752823086574,1.050347222222222
2008-05-12,1.0058552906733584,1.0528724747474747
2008-05-13,1.0284399832705982,1.0481376262626263
2008-05-14,1.0217482225010455,1.0544507575757576
2008-05-15,1.0217524048515265,1.05239898989899
2008-05-16,1.0209117524048514,1.05239898989899
2008-05-19,1.0305311585110832,1.0516098484848484
2008-05-20,1.0388958594730238,1.044034090909091
2008-05-21,1.0334588038477626,1.0374053030303032
2008-05-22,1.0242576327896278,1.032354797979798
2008-05-23,1.0230029276453367,1.0246212121212122
2008-05-27,1.0264324550397323,1.0282512626262628
2008-05-28,1.0284399832705982,1.023989898989899
2008-05-29,1.0235466332078629,1.0482954545454546
2008-05-30,1.0204935173567544,1.0533459595959596
2008-06-02,1.016729401923881,1.0497159090909092
2008-06-03,1.0271852781263069,1.0536616161616164
2008-06-04,1.0163111668757843,1.050347222222222
2008-06-05,1.0301129234629862,1.0568181818181817
2008-06-06,1.0309493935591802,1.037878787878788
2008-06-09,1.0309493935591802,1.03582702020202
2008-06-10,1.0255123379339188,1.035669191919192
2008-06-11,1.0309493935591802,1.0290404040404042
2008-06-12,1.0246758678377248,1.0367739898989898
2008-06-13,1.0347135089920534,1.0459280303030303
2008-06-16,1.0246758678377248,1.0391414141414141
2008-06-17,1.015892931827687,1.0351957070707072
2008-06-18,1.0234211626934338,1.0170454545454546
2008-06-19,1.015892931827687,1.0198863636363638
2008-06-20,1.001672940192388,1.01104797979798
2008-06-23,0.9661229611041405,1.0146780303030305
2008-06-24,0.9698870765370139,1.0214646464646464
2008-06-25,0.9665411961522375,1.0303030303030303
2008-06-26,0.9627770807193643,1.0142045454545456
2008-06-27,0.9401923881221247,1.003314393939394
2008-06-30,0.9368465077373483,1.0154671717171717
2008-07-01,0.9694688414889168,1.0209911616161615
2008-07-02,0.9351735675449603,1.02020202020202
2008-07-03,0.9841070681723129,1.027777777777778
2008-07-07,0.9920535340861564,1.0298295454545454
2008-07-08,1.0414052697616059,1.0449810606060606
2008-07-09,1.0330405687996653,1.044507575757576
2008-07-10,1.0434964450020912,1.0565025252525253
2008-07-11,1.0635717273107486,1.0457702020202022
2008-07-14,1.0204935173567544,1.0481376262626263
2008-07-15,1.0468423253868675,1.0684974747474747
