"","X1","BRK_A","BRK_B","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02610261026103,1.00782425519109,"BRK_B",0.9004329004329,0.727272727272727,0.983631982866569,0.0584566135496387
"3",2009-01-06,1.00100010001,1.00300932891965,NA,0.125541125541126,0.428571428571429,0.0083900518249865,0.970644671293712
"4",2009-01-07,0.964996499649965,0.959975925368643,NA,0.051948051948052,0.0432900432900433,0.559613039396874,0.24766733837865
"5",2009-01-08,0.987098709870987,0.983147758049955,NA,0.883116883116883,0.904761904761905,0.397678948394831,0.766435340030685
"6",2009-01-09,0.947594759475948,0.945230213662353,NA,0.051948051948052,0.051948051948052,0.398035623976603,0.398035623976603
"7",2009-01-12,0.943334333433343,0.944628347878423,NA,0.428571428571429,0.562770562770563,0.14491105915845,0.853767001064688
"8",2009-01-13,0.953095309530953,0.962383388504364,NA,0.766233766233766,0.857142857142857,0.171606377501213,0.914996016926993
"9",2009-01-14,0.931593159315932,0.932891965091785,NA,0.138528138528139,0.0606060606060606,0.89493517112934,0.0304993234593099
"10",2009-01-15,0.929092909290929,0.930785434848029,NA,0.489177489177489,0.515151515151515,0.410789804731656,0.590193304378327
"11",2009-01-16,0.906690669066907,0.910321998194403,NA,0.12987012987013,0.121212121212121,0.482562238282042,0.348066475277
"12",2009-01-20,0.862586258625863,0.86758952753536,NA,0.038961038961039,0.0432900432900433,0.305811971261072,0.490093735940376
"13",2009-01-21,0.883588358835884,0.884441769485405,NA,0.891774891774892,0.865800865800866,0.773651145846249,0.382389546335621
"14",2009-01-22,0.888088808880888,0.890159494432741,NA,0.696969696969697,0.701298701298701,0.528012781270646,0.56382350162012
"15",2009-01-23,0.862586258625863,0.857357809208547,NA,0.0865800865800866,0.051948051948052,0.786393936554168,0.0866504279813897
"16",2009-01-26,0.85009500950095,0.842612097502257,NA,0.212121212121212,0.173160173160173,0.638093886098512,0.23536304491762
"17",2009-01-27,0.861206120612061,0.85931387300632,NA,0.80952380952381,0.874458874458874,0.222147877945995,0.886599861697695
"18",2009-01-28,0.903090309030903,0.900993078543485,NA,0.96969696969697,0.965367965367965,0.717230978772646,0.487966025592886
"19",2009-01-29,0.874087408740874,0.872705386698766,NA,0.0649350649350649,0.0606060606060606,0.463807013811027,0.339012730491657
"20",2009-01-30,0.895109510951095,0.899488414083659,NA,0.891774891774892,0.930735930735931,0.237101766143048,0.893604670450428
"21",2009-02-02,0.894089408940894,0.888955762864881,NA,0.536796536796537,0.251082251082251,0.960049901528365,0.0255373346862641
"22",2009-02-03,0.905090509050905,0.896780018055974,NA,0.783549783549784,0.74025974025974,0.74819356826384,0.360960544974675
