"","X1","KMX","MWW","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.989182692307692,0.976965845909452,NA,0.402597402597403,0.298701298701299,0.539237411026707,0.295140713428055
"3",2009-01-06,1.02283653846154,1.00635424940429,NA,0.87012987012987,0.80952380952381,0.797362516428408,0.588506662455224
"4",2009-01-07,0.977163461538462,0.897537728355838,NA,0.121212121212121,0.00865800865800866,0.715627747675316,0.00803919222068652
"5",2009-01-08,1.00961538461538,0.914217633042097,NA,0.861471861471861,0.727272727272727,0.847891092454609,0.460389421505924
"6",2009-01-09,0.973557692307692,0.926131850675139,NA,0.181818181818182,0.670995670995671,0.068413915585408,0.881738001247342
"7",2009-01-12,0.941105769230769,0.876092136616362,NA,0.203463203463203,0.0865800865800866,0.524486219816841,0.110591701941422
"8",2009-01-13,0.938701923076923,0.834789515488483,NA,0.519480519480519,0.103896103896104,0.829170115669823,0.0430519227221281
"9",2009-01-14,0.889423076923077,0.776012708498809,"MWW",0.0909090909090909,0.0476190476190476,0.388505520944015,0.122502437627089
"10",2009-01-15,0.929086538461538,0.772835583796664,"MWW",0.878787878787879,0.506493506493506,0.941670676504801,0.201004776294051
"11",2009-01-16,0.974759615384615,0.772835583796664,"MWW",0.909090909090909,0.554112554112554,0.956424606995635,0.209039061299063
"12",2009-01-20,0.867788461538461,0.742652899126291,"MWW",0.012987012987013,0.147186147186147,0.0111136526891446,0.710859407005538
"13",2009-01-21,0.876201923076923,0.774424146147736,"MWW",0.670995670995671,0.896103896103896,0.331416213217381,0.92004771640685
"14",2009-01-22,0.872596153846154,0.772835583796664,"MWW",0.493506493506494,0.528138528138528,0.467276140385231,0.545053513315041
"15",2009-01-23,0.907451923076923,0.769658459094519,"MWW",0.874458874458874,0.506493506493506,0.938487493863928,0.204369834533417
"16",2009-01-26,0.948317307692308,0.784749801429706,"MWW",0.887445887445887,0.731601731601732,0.884400315536025,0.423964275692144
"17",2009-01-27,0.996394230769231,0.784749801429706,"MWW",0.913419913419913,0.554112554112554,0.959487177239296,0.204783682030999
"18",2009-01-28,1.09855769230769,0.854646544876886,"MWW",0.982683982683983,0.978354978354978,0.840621195525408,0.764134663399363
"19",2009-01-29,1.06490384615385,0.830818109610802,"MWW",0.207792207792208,0.251082251082251,0.283335142395039,0.406423857583334
"20",2009-01-30,0.993990384615385,0.731532962668785,"MWW",0.0735930735930736,0,0.91810028764526,1e-10
"21",2009-02-02,0.977163461538462,0.680698967434472,"MWW",0.337662337662338,0.0476190476190476,0.768343304922168,0.0243219520195591
"22",2009-02-03,0.966346153846154,0.675138999205719,"MWW",0.402597402597403,0.467532467532468,0.389936113900257,0.53665011353499
"23",2009-02-04,0.974759615384615,0.675138999205719,"MWW",0.645021645021645,0.554112554112554,0.659266607364516,0.452069736424389
"24",2009-02-05,1.05048076923077,0.675933280381255,"MWW",0.965367965367965,0.562770562770563,0.989078435509477,0.153781213757418
"25",2009-02-06,1.11538461538462,0.709293089753773,"MWW",0.943722943722944,0.904761904761905,0.856830371973796,0.632558920845388
"26",2009-02-09,1.13461538461538,0.70373312152502,"MWW",0.735930735930736,0.471861471861472,0.823331930898463,0.275443534296588
"27",2009-02-10,1.03485576923077,0.646544876886418,"MWW",0.0303030303030303,0.038961038961039,0.166906828749132,0.260285838929253
"28",2009-02-11,1.03605769230769,0.654487688641779,"MWW",0.562770562770563,0.662337662337662,0.448620986223494,0.676637168703134
"29",2009-02-12,1.04086538461538,0.660047656870532,"MWW",0.606060606060606,0.636363636363636,0.533780727087312,0.604651525979256
"30",2009-02-13,1.06730769230769,0.64813343923749,"MWW",0.805194805194805,0.341991341991342,0.9215966990213,0.130476843123511
"31",2009-02-17,1.05889423076923,0.610802223987292,"MWW",0.424242424242424,0.0779220779220779,0.789027574361263,0.0370613936742012
"32",2009-02-18,1.08774038461538,0.598888006354249,"MWW",0.822510822510823,0.329004329004329,0.93402991265969,0.116839535212723
"33",2009-02-19,1.03725961538462,0.59253375694996,"MWW",0.108225108225108,0.441558441558442,0.0573817925203724,0.770731646344727
"34",2009-02-20,1.04927884615385,0.566322478157268,"MWW",0.683982683982684,0.121212121212121,0.906352797172593,0.0366586878422471
"35",2009-02-23,1.04326923076923,0.524225575853852,"MWW",0.467532467532468,0.0432900432900433,0.850340610880266,0.0138088412719227
"36",2009-02-24,1.18509615384615,0.536139793486894,"MWW",1,0.757575757575758,0.9999999999,0.0812319776712186
"37",2009-02-25,1.17548076923077,0.532168387609214,"MWW",0.41991341991342,0.471861471861472,0.410660788341191,0.527917867242311
"38",2009-02-26,1.14903846153846,0.536139793486894,"MWW",0.307359307359307,0.627705627705628,0.174587547388025,0.796379020723458
"39",2009-02-27,1.13341346153846,0.523431294678316,"MWW",0.376623376623377,0.281385281385281,0.519277586460366,0.290204280121947
"40",2009-03-02,1.04326923076923,0.501191421763304,"MWW",0.0562770562770563,0.138528138528139,0.0957913722272694,0.481786064644489
"41",2009-03-03,1.06129807692308,0.49801429706116,"MWW",0.735930735930736,0.480519480519481,0.819264494074611,0.28467144540973
"42",2009-03-04,1.13822115384615,0.524225575853852,"MWW",0.956709956709957,0.917748917748918,0.879004450362859,0.62046166689517
"43",2009-03-05,1.07451923076923,0.503574265289913,"MWW",0.0865800865800866,0.147186147186147,0.1569472598786,0.411612005538769
"44",2009-03-06,1.04326923076923,0.494042891183479,"MWW",0.225108225108225,0.333333333333333,0.240797629726906,0.516239744175522
