"","X1","ITW","EFX","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.989091900736297,1.00253164556962,NA,0.303030303030303,0.567099567099567,0.156503281488672,0.814965030108812
"3",2009-01-06,1.007362967003,1.0245931283906,NA,0.80952380952381,0.848484848484849,0.523373839675401,0.750729184738227
"4",2009-01-07,0.977365694027816,0.998191681735986,NA,0.108225108225108,0.147186147186147,0.211604049309283,0.465762639141781
"5",2009-01-08,1.00899918189256,1.0126582278481,NA,0.913419913419913,0.770562770562771,0.949598826302079,0.195950453277623
"6",2009-01-09,0.989364603217889,0.979385171790235,NA,0.199134199134199,0.103896103896104,0.621114630106592,0.119707922024648
"7",2009-01-12,0.970548131988001,0.969620253164557,NA,0.207792207792208,0.324675324675325,0.196921506524084,0.599936543831658
"8",2009-01-13,0.959367330242705,0.954068716094033,NA,0.281385281385281,0.229437229437229,0.477742009298253,0.286232391264987
"9",2009-01-14,0.940550859012817,0.917179023508138,NA,0.199134199134199,0.0735930735930736,0.735141454345682,0.0605459218157025
"10",2009-01-15,0.957185710389965,0.917179023508138,NA,0.805194805194805,0.528138528138528,0.931904704480774,0.164238731386395
"11",2009-01-16,0.944368693755113,0.915732368896926,NA,0.264069264069264,0.493506493506494,0.156819917988586,0.765664015904794
"12",2009-01-20,0.911644395964003,0.897649186256781,NA,0.0952380952380952,0.186147186147186,0.114193623512246,0.624429394392251
"13",2009-01-21,0.938914644123261,0.913200723327306,NA,0.904761904761905,0.792207792207792,0.919981951104474,0.265216058360676
"14",2009-01-22,0.917098445595855,0.893670886075949,NA,0.155844155844156,0.181818181818182,0.277590104115656,0.411198286676673
"15",2009-01-23,0.901008999181892,0.871971066907776,NA,0.233766233766234,0.168831168831169,0.504952452007754,0.221979918407449
"16",2009-01-26,0.904826833924189,0.885714285714286,NA,0.627705627705628,0.783549783549784,0.316892661144613,0.851903901419751
"17",2009-01-27,0.941641668939187,0.90379746835443,NA,0.948051948051948,0.844155844155844,0.96408625224604,0.166781607236249
"18",2009-01-28,0.951731660758113,0.946112115732369,NA,0.744588744588745,0.948051948051948,0.0684312229783798,0.99005377038546
"19",2009-01-29,0.921734387782929,0.916094032549729,NA,0.0995670995670996,0.108225108225108,0.290101885174199,0.35984643882761
"20",2009-01-30,0.890646304881374,0.894032549728752,NA,0.0952380952380952,0.168831168831169,0.135383720745449,0.582077012504146
"21",2009-02-02,0.885464957731115,0.892224231464738,NA,0.402597402597403,0.476190476190476,0.376537072535462,0.586921961493775
"22",2009-02-03,0.92718843741478,0.904520795660036,NA,0.965367965367965,0.748917748917749,0.996642097965861,0.0341042455039088
"23",2009-02-04,0.94191437142078,0.910669077757685,NA,0.787878787878788,0.645021645021645,0.844197546018771,0.335222411315496
"24",2009-02-05,0.970820834469594,0.913924050632911,NA,0.913419913419913,0.575757575757576,0.989578291278454,0.0554106967965426
"25",2009-02-06,0.97682028906463,0.887884267631103,"EFX",0.662337662337662,0.134199134199134,0.96658996734436,0.0168196977752924
"26",2009-02-09,0.980910826288519,0.889330922242315,"EFX",0.623376623376623,0.558441558441558,0.658543169256226,0.461687095179603
"27",2009-02-10,0.931278974638669,0.85244122965642,"EFX",0.038961038961039,0.0562770562770563,0.183144104992016,0.475279741448622
"28",2009-02-11,0.956094900463594,0.854611211573237,"EFX",0.896103896103896,0.567099567099567,0.983731421483369,0.0724047394976508
"29",2009-02-12,0.948186528497409,0.857142857142857,"EFX",0.350649350649351,0.571428571428571,0.209275633806137,0.781029057746958
"30",2009-02-13,0.95773111535315,0.839059674502712,"EFX",0.744588744588745,0.186147186147186,0.976723633996855,0.0210467912712811
"31",2009-02-17,0.898827379329152,0.811573236889693,"EFX",0.0216450216450216,0.103896103896104,0.0172631477035826,0.852302305927655
"32",2009-02-18,0.893918734660485,0.804701627486438,"EFX",0.406926406926407,0.341991341991342,0.541965489003803,0.348054353498655
"33",2009-02-19,0.854376874829561,0.798191681735986,"EFX",0.0476190476190476,0.354978354978355,0.0077304142569552,0.934248014289664
"34",2009-02-20,0.837469320970821,0.771428571428571,"EFX",0.194805194805195,0.0952380952380952,0.6435446120549,0.105344538136569
"35",2009-02-23,0.8014725934006,0.75623869801085,"EFX",0.051948051948052,0.19047619047619,0.031990575251958,0.809662854284005
"36",2009-02-24,0.818107444777747,0.792043399638336,"EFX",0.852813852813853,0.948051948051948,0.183129945604126,0.958588705719395
"37",2009-02-25,0.799018271066267,0.799276672694394,NA,0.155844155844156,0.701298701298701,0.0187410403796018,0.971380469065295
"38",2009-02-26,0.776656667575675,0.788065099457505,NA,0.121212121212121,0.264069264069264,0.0985304944735854,0.688704952773221
"39",2009-02-27,0.758112898827379,0.777576853526221,NA,0.151515151515152,0.272727272727273,0.143780831367426,0.626305404731136
"40",2009-03-02,0.717752931551677,0.745388788426763,NA,0.0346320346320346,0.0562770562770563,0.14974753863867,0.525828314240592
"41",2009-03-03,0.751295336787565,0.767811934900543,NA,0.965367965367965,0.891774891774892,0.968172389200279,0.157179645343065
"42",2009-03-04,0.775293155167712,0.798915009041591,NA,0.913419913419913,0.922077922077922,0.600984890194277,0.705011149763514
"43",2009-03-05,0.714207799290974,0.749005424954792,NA,0.00865800865800866,0.0303030303030303,0.0332010635694462,0.784102714228879
"44",2009-03-06,0.730842650668121,0.730922242314647,NA,0.887445887445887,0.168831168831169,0.9979613489211,0.00386127483477505
"45",2009-03-09,0.717480229070084,0.715732368896926,NA,0.207792207792208,0.186147186147186,0.402699109677205,0.30470220293201
