"","X1","CCL","ETH","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.98160469667319,0.989711934156379,NA,0.32034632034632,0.424242424242424,0.325725918714433,0.559929865125302
"3",2009-01-06,0.987084148727984,1.02606310013717,NA,0.597402597402597,0.848484848484849,0.286376205922563,0.874531859841543
"4",2009-01-07,0.947553816046967,0.982167352537723,NA,0.138528138528139,0.108225108225108,0.356245930136557,0.243741058433647
"5",2009-01-08,0.944422700587084,1.00411522633745,NA,0.493506493506494,0.766233766233766,0.258087502422297,0.835021433527545
"6",2009-01-09,0.924070450097847,0.951303155006859,NA,0.268398268398268,0.0606060606060606,0.699422978083527,0.0649651194526978
"7",2009-01-12,0.880234833659491,0.917695473251029,NA,0.108225108225108,0.168831168831169,0.210392935833453,0.421078822725156
"8",2009-01-13,0.888454011741683,0.92318244170096,NA,0.670995670995671,0.623376623376623,0.62300915085674,0.513149833999434
"9",2009-01-14,0.850097847358121,0.9039780521262,NA,0.12987012987013,0.294372294372294,0.153324286785758,0.602288740136927
"10",2009-01-15,0.819960861056751,0.917695473251029,"CCL",0.173160173160173,0.705627705627706,0.0434695992788792,0.936775607986518
"11",2009-01-16,0.826223091976517,0.910150891632373,"CCL",0.645021645021645,0.458874458874459,0.71929547057535,0.323534733342887
"12",2009-01-20,0.747945205479452,0.87517146776406,"CCL",0.00865800865800866,0.142857142857143,0.0131131416979204,0.740702614963201
"13",2009-01-21,0.778082191780822,0.887517146776406,"CCL",0.883116883116883,0.696969696969697,0.870347402971768,0.364183450082937
"14",2009-01-22,0.760861056751468,0.84636488340192,"CCL",0.264069264069264,0.0952380952380952,0.616949682401079,0.117989738403084
"15",2009-01-23,0.758512720156556,0.863511659807956,"CCL",0.497835497835498,0.744588744588745,0.282530462235213,0.808861920980688
"16",2009-01-26,0.745205479452055,0.886145404663923,"CCL",0.333333333333333,0.792207792207792,0.101565320834221,0.926203999831548
"17",2009-01-27,0.766340508806262,0.847736625514403,"CCL",0.835497835497836,0.108225108225108,0.990813961999045,0.00662561545348068
"18",2009-01-28,0.78160469667319,0.888203017832647,"CCL",0.774891774891775,0.913419913419913,0.428936495614739,0.874464389103308
"19",2009-01-29,0.727984344422701,0.805898491083676,"CCL",0.0216450216450216,0.0173160173160173,0.198955688611113,0.147813714197041
"20",2009-01-30,0.711937377690802,0.781207133058985,"CCL",0.264069264069264,0.212121212121212,0.44303885888832,0.304687039615186
"21",2009-02-02,0.704892367906067,0.764060356652949,"CCL",0.441558441558442,0.285714285714286,0.615894370998028,0.26732640036911
"22",2009-02-03,0.739334637964775,0.780521262002744,"CCL",0.9004329004329,0.761904761904762,0.860230900610894,0.433324659002531
"23",2009-02-04,0.723287671232877,0.746913580246914,"CCL",0.264069264069264,0.108225108225108,0.592613786688039,0.138204284755528
"24",2009-02-05,0.756555772994129,0.777777777777778,"CCL",0.9004329004329,0.883116883116883,0.747965919944308,0.678733910198872
"25",2009-02-06,0.810176125244618,0.830589849108368,"CCL",0.952380952380952,0.974025974025974,0.700407036345482,0.870129534027523
"26",2009-02-09,0.839530332681018,0.820987654320988,NA,0.87012987012987,0.402597402597403,0.9556732019895,0.096844091821815
"27",2009-02-10,0.83013698630137,0.794238683127572,NA,0.402597402597403,0.199134199134199,0.656873300463481,0.183191803713818
"28",2009-02-11,0.846966731898239,0.794238683127572,NA,0.779220779220779,0.558441558441558,0.81327119797647,0.318944742052617
"29",2009-02-12,0.829745596868884,0.790809327846365,NA,0.277056277056277,0.497835497835498,0.218527241054633,0.692874944653705
"30",2009-02-13,0.816829745596869,0.759945130315501,NA,0.359307359307359,0.134199134199134,0.684430473649709,0.124793833153798
"31",2009-02-17,0.783561643835616,0.732510288065844,NA,0.138528138528139,0.164502164502165,0.276563110606248,0.362855629633635
"32",2009-02-18,0.771819960861057,0.724279835390947,NA,0.367965367965368,0.411255411255411,0.400567296368434,0.497984213262729
"33",2009-02-19,0.758904109589041,0.719478737997256,NA,0.346320346320346,0.480519480519481,0.315549265457683,0.609102874758648
"34",2009-02-20,0.759295499021526,0.663237311385459,"ETH",0.541125541125541,0.025974025974026,0.965302491437745,0.00393230259443232
"35",2009-02-23,0.726810176125245,0.643347050754458,"ETH",0.12987012987013,0.225108225108225,0.201288834934211,0.490398071126313
"36",2009-02-24,0.792563600782779,0.694101508916324,"ETH",0.965367965367965,0.987012987012987,0.683321062047274,0.915111247026891
"37",2009-02-25,0.774559686888454,0.660493827160494,"ETH",0.255411255411255,0.0822510822510823,0.630092999822111,0.102228127930718
"38",2009-02-26,0.78238747553816,0.657750342935528,"ETH",0.688311688311688,0.502164502164502,0.740311536606019,0.338286297942279
"39",2009-02-27,0.765557729941292,0.654320987654321,"ETH",0.268398268398268,0.493506493506494,0.211208529939032,0.695740257542075
"40",2009-03-02,0.712720156555773,0.61042524005487,"ETH",0.0216450216450216,0.0346320346320346,0.135433331558015,0.256316705938803
"41",2009-03-03,0.708414872798435,0.579561042524005,"ETH",0.463203463203463,0.0779220779220779,0.865245819548741,0.0362650801754938
"42",2009-03-04,0.76399217221135,0.593278463648834,"ETH",0.956709956709957,0.779220779220779,0.945188105106952,0.321427411423388
"43",2009-03-05,0.708414872798435,0.555555555555556,"ETH",0.0216450216450216,0.0432900432900433,0.117014559536651,0.30200083823037
"44",2009-03-06,0.677103718199609,0.486968449931413,"ETH",0.125541125541126,0.00432900432900433,0.773846139921601,0.00660922194056532
"45",2009-03-09,0.664579256360078,0.484224965706447,"ETH",0.32034632034632,0.484848484848485,0.279609273954441,0.637985367161191
"46",2009-03-10,0.750684931506849,0.534293552812071,"ETH",1,0.995670995670996,0.999999999583988,0.0213283117766724
"47",2009-03-11,0.76986301369863,0.540466392318244,"ETH",0.822510822510823,0.662337662337662,0.805250547194098,0.402962648156131
"48",2009-03-12,0.81174168297456,0.58161865569273,"ETH",0.922077922077922,0.978354978354978,0.551480786447657,0.925706140897464
"49",2009-03-13,0.803913894324853,0.582990397805213,"ETH",0.441558441558442,0.597402597402597,0.341856203097076,0.674717426054546
"50",2009-03-16,0.802348336594912,0.558984910836763,"ETH",0.510822510822511,0.116883116883117,0.856495509193199,0.0551240783428678
"51",2009-03-17,0.844618395303327,0.584362139917695,"ETH",0.913419913419913,0.9004329004329,0.755119955812493,0.698467100885603
"52",2009-03-18,0.863796477495108,0.601508916323731,"ETH",0.796536796536797,0.80952380952381,0.632685047889346,0.670510586289981
"53",2009-03-19,0.876320939334638,0.589163237311385,"ETH",0.735930735930736,0.298701298701299,0.901486952726566,0.1069196230491
"54",2009-03-20,0.833659491193738,0.617283950617284,"ETH",0.108225108225108,0.913419913419913,0.00247345065993601,0.997935694700114
"55",2009-03-23,0.912328767123288,0.708504801097394,"ETH",0.96969696969697,1,0.00127724026266728,0.9999999999
"56",2009-03-24,0.893542074363992,0.702331961591221,"ETH",0.277056277056277,0.445887445887446,0.253248594542385,0.629818463337223
"57",2009-03-25,0.888845401174168,0.774348422496571,"ETH",0.467532467532468,0.991341991341991,0.0152291077401578,0.999349343190631
"58",2009-03-26,0.905675146771037,0.853909465020576,"ETH",0.761904761904762,0.995670995670996,0.0922812214381998,0.997840960637641
"59",2009-03-27,0.867710371819961,0.826474622770919,"ETH",0.12987012987013,0.199134199134199,0.223761325360672,0.443315128920444
"60",2009-03-30,0.818786692759295,0.751714677640604,"ETH",0.0649350649350649,0.0216450216450216,0.399161677645549,0.0865856933440245
"61",2009-03-31,0.845401174168298,0.772290809327846,"ETH",0.852813852813853,0.805194805194805,0.739699197474815,0.591327204079178
"62",2009-04-01,0.901761252446184,0.792181069958848,"ETH",0.952380952380952,0.792207792207792,0.933385969944432,0.357302622191624
"63",2009-04-02,0.946771037181996,0.867626886145405,"ETH",0.904761904761905,0.991341991341991,0.372130807216583,0.977999759913327
