,APC,STR
2008-02-01,1.0,1.0
2008-02-04,0.9951698867421719,1.012783819881702
2008-02-05,0.9475349766822119,0.970043884754818
2008-02-06,0.9220519653564291,0.9522991795458882
2008-02-07,0.9177215189873418,0.9572600648731159
2008-02-08,0.9403730846102598,0.9805380652547224
2008-02-11,0.9783477681545637,1.0095401640908224
2008-02-12,0.9760159893404398,1.0270940660179355
2008-02-13,0.9908394403730847,1.0175539019271131
2008-02-14,0.9906728847435043,1.034535394008777
2008-02-15,0.9816788807461692,1.032818164472429
2008-02-19,1.0081612258494337,1.0480824270177447
2008-02-20,1.0299800133244503,1.0734592634993323
2008-02-21,1.0183211192538308,1.0499904598359093
2008-02-22,1.036309127248501,1.0616294600267124
2008-02-25,1.0694536975349767,1.0843350505628697
2008-02-26,1.085109926715523,1.1045601984354132
2008-02-27,1.0641239173884078,1.0801373783629078
2008-02-28,1.0909393737508328,1.0877695096355657
2008-02-29,1.0616255829447037,1.054188132035871
2008-03-03,1.0692871419053964,1.0866246899446672
2008-03-04,1.0686209193870753,1.0946384277809578
2008-03-05,1.099933377748168,1.1005533295172678
2008-03-06,1.0691205862758162,1.0793741652356421
2008-03-07,1.0627914723517655,1.0705972142720854
2008-03-10,1.044636908727515,1.0553329517267698
2008-03-11,1.0987674883411058,1.0965464605991224
2008-03-12,1.07744836775483,1.0917763785537111
2008-03-13,1.0991005996002665,1.090440755580996
2008-03-14,1.0742838107928048,1.0625834764357946
2008-03-17,1.0263157894736843,1.046937607326846
2008-03-18,1.0784477015323117,1.0923487883991605
2008-03-19,1.0153231179213857,1.0284296889906506
2008-03-20,1.0104930046635576,1.0297653119633658
2008-03-24,1.0419720186542305,1.0393054760541882
2008-03-25,1.0496335776149235,1.0587674107994658
2008-03-26,1.079780146568954,1.090822362144629
2008-03-27,1.0667888074616922,1.0734592634993323
2008-03-28,1.04763491005996,1.068689181453921
2008-03-31,1.0498001332445037,1.0791833619538258
2008-04-01,1.0419720186542305,1.0976912802900212
2008-04-02,1.0514656895403065,1.1060866246899448
2008-04-03,1.0526315789473686,1.1085670673535586
2008-04-04,1.0622918054630246,1.1190612478534632
2008-04-07,1.0714523650899401,1.1335622972715131
2008-04-08,1.0864423717521654,1.1534058385804238
2008-04-09,1.0861092604930045,1.1448196908986836
2008-04-10,1.0849433710859426,1.135661133371494
2008-04-11,1.0626249167221853,1.1219232970807098
2008-04-14,1.084443704197202,1.1402404121350889
2008-04-15,1.0967688207861426,1.1619919862621637
2008-04-16,1.1347435043304464,1.2005342491890862
2008-04-17,1.1215856095936043,1.1877504293073842
2008-04-18,1.147568287808128,1.2064491509253958
2008-04-21,1.1617255163224518,1.2028238885708835
2008-04-22,1.1670552964690206,1.2074031673344783
2008-04-23,1.1490672884743505,1.202633085289067
2008-04-24,1.111925383077948,1.1850791833619538
2008-04-25,1.1389073950699533,1.1982446098072888
2008-04-28,1.137408394403731,1.234115626788781
2008-04-29,1.1144237175216523,1.1948101507345927
2008-04-30,1.1085942704863425,1.1835527571074222
2008-05-01,1.0837774816788805,1.1661896584621256
2008-05-02,1.1175882744836774,1.1925205113527952
2008-05-05,1.1349100599600266,1.215798511734402
2008-05-06,1.2413391072618254,1.2318259874069835
2008-05-07,1.2771485676215857,1.225720282388857
2008-05-08,1.2928047968021321,1.237550085861477
2008-05-09,1.2713191205862757,1.240221331806907
2008-05-12,1.274983344437042,1.2398397252432742
2008-05-13,1.295303131245836,1.255485594352223
2008-05-14,1.268487674883411,1.2566304140431217
2008-05-15,1.2888074616922052,1.257202823888571
2008-05-16,1.301632245169887,1.2898301850791833
2008-05-19,1.2914723517654898,1.2810532341156269
2008-05-20,1.3072951365756162,1.2877313489792024
2008-05-21,1.307128580946036,1.273421102842969
2008-05-22,1.305796135909394,1.2552947910704066
2008-05-23,1.2661558960692871,1.2293455447433699
2008-05-27,1.245836109260493,1.224766265979775
2008-05-28,1.282811459027315,1.2306811677160847
2008-05-29,1.2431712191872086,1.2169433314253006
2008-05-30,1.2486675549633577,1.2253386758252243
2008-06-02,1.2621585609593604,1.2383132989887429
2008-06-03,1.2686542305129913,1.2373592825796604
2008-06-04,1.229180546302465,1.2327800038160657
2008-06-05,1.2998001332445037,1.2839152833428737
2008-06-06,1.2778147901399066,1.2600648731158177
2008-06-09,1.3241172551632245,1.3014691852699867
2008-06-10,1.302964690206529,1.2984163327609235
2008-06-11,1.2939706862091938,1.2810532341156269
2008-06-12,1.293471019320453,1.264834955161229
2008-06-13,1.2879746835443038,1.280671627551994
2008-06-16,1.2939706862091938,1.2966991032245754
2008-06-17,1.3281145902731513,1.3266552184697578
2008-06-18,1.3301132578281145,1.3260828086243084
2008-06-19,1.280313124583611,1.3106277427971762
2008-06-20,1.2683211192538308,1.2959358900973097
2008-06-23,1.2996335776149235,1.3312344972333525
2008-06-24,1.260159893404397,1.3005151688609045
2008-06-25,1.2320119920053298,1.2961266933791262
2008-06-26,1.207195203197868,1.2921198244609808
2008-06-27,1.2385076615589607,1.3381034153787446
2008-06-30,1.2465023317788142,1.3554665140240414
2008-07-01,1.2403397734843438,1.4001144819690898
2008-07-02,1.1672218520986009,1.3512688418240792
2008-07-03,1.175549633577615,1.3190230871970998
2008-07-07,1.1365756162558294,1.2755199389429497
2008-07-08,1.1284143904063957,1.2869681358519367
2008-07-09,1.1069287141905395,1.2675062011066593
2008-07-10,1.1445702864756828,1.2951726769700438
2008-07-11,1.1512325116588942,1.2886853653882848
2008-07-14,1.1675549633577613,1.2974623163518413
2008-07-15,1.1050966022651565,1.2625453157794315
2008-07-16,1.070786142571619,1.2201869872161804
2008-07-17,1.03580946035976,1.1476817401259303
2008-07-18,1.0532978014656895,1.1423392482350696
2008-07-21,1.0786142571618922,1.1763022323983974
2008-07-22,1.0466355762824784,1.1379507727532914
2008-07-23,0.9953364423717521,1.1154359854989506
2008-07-24,0.9865089940039973,1.0927303949627936
2008-07-25,0.9823451032644903,1.0971188704445718
2008-07-28,0.9843437708194538,1.0971188704445718
2008-07-29,0.9518654230512992,1.0061057050181264
2008-07-30,0.997001998667555,1.0394962793360045
2008-07-31,0.9645236508994004,1.0089677542453732
2008-08-01,0.9778481012658228,0.9895058195000954
2008-08-04,0.9180546302465024,0.9467658843732112
2008-08-05,0.9003997335109927,0.9538256058004199
