,AIV,LNC
2008-02-01,1.0,1.0
2008-02-04,0.9697714426148931,0.9859154929577464
2008-02-05,0.9154583435733596,0.916562667142093
2008-02-06,0.901941508970263,0.9340345872704582
2008-02-07,0.9309412632096339,0.9406311285434122
2008-02-08,0.8847382649299582,0.9188803708325904
2008-02-11,0.8660604571147703,0.8903547869495453
2008-02-12,0.8970262963873188,0.9365305758602246
2008-02-13,0.9083312853280905,0.949901943305402
2008-02-14,0.8933398869501107,0.9431271171331788
2008-02-15,0.9002211845662326,0.9536459261900517
2008-02-19,0.8778569673138363,0.9598858976644679
2008-02-20,0.8901449987711969,0.966660723836691
2008-02-21,0.8608994839026789,0.9550722053842039
2008-02-22,0.884492504300811,0.96131217685862
2008-02-25,0.9171786679773901,0.9686218577286503
2008-02-26,0.9093143278446794,0.9762881083972187
2008-02-27,0.8953059719832883,0.9816366553752897
2008-02-28,0.8709756696977144,0.9538242110893207
2008-02-29,0.8466453674121407,0.911214120164022
2008-03-03,0.8550012288031458,0.8962381886254235
2008-03-04,0.8513148193659377,0.8973078980210375
2008-03-05,0.8577045957237651,0.8898199322517382
2008-03-06,0.8092897517817647,0.8634337671599215
2008-03-07,0.8188744163185059,0.8655731859511498
2008-03-10,0.8100270336692063,0.8673560349438402
2008-03-11,0.8741705578766282,0.9060438580852201
2008-03-12,0.866797739002212,0.8867890889641648
2008-03-13,0.8830179405259277,0.8878587983597788
2008-03-14,0.8660604571147703,0.8498841148154751
2008-03-17,0.8724502334725978,0.8306293456944197
2008-03-18,0.9304497419513394,0.9039044392939918
2008-03-19,0.916932907348243,0.8933856302371188
2008-03-20,0.9346276726468421,0.9477625245141735
2008-03-24,0.9584664536741214,0.9427705473346407
2008-03-25,0.956746129270091,0.9511499376002852
2008-03-26,0.9233226837060703,0.9211980745230879
2008-03-27,0.9061194396657656,0.9233374933143162
2008-03-28,0.8658146964856229,0.9092529862720627
2008-03-31,0.8800688129761614,0.9270814761989659
2008-04-01,0.9442123371835833,0.9695132822249956
2008-04-02,0.9572376505283855,0.9741486896059903
2008-04-03,0.9886950110592283,0.9821715100730968
2008-04-04,0.9503563529122635,0.982884649670173
2008-04-07,0.9734578520521013,0.9705829916206097
2008-04-08,0.956746129270091,0.9646995899447316
2008-04-09,0.9176701892356846,0.9418791228382956
2008-04-10,0.9250430081101009,0.9297557496880013
2008-04-11,0.9127549766527403,0.9094312711713317
2008-04-14,0.8957974932415829,0.8919593510429666
2008-04-15,0.8935856475792578,0.8969513282224996
2008-04-16,0.9228311624477759,0.9254769121055445
2008-04-17,0.9196362742688622,0.9311820288821536
2008-04-18,0.9071024821823543,0.9434836869317168
2008-04-21,0.8933398869501107,0.9270814761989659
2008-04-22,0.8862128287048416,0.9106792654662149
2008-04-23,0.8896534775129026,0.8935639151363879
2008-04-24,0.9171786679773901,0.9258334819040827
2008-04-25,0.9208650774145982,0.9322517382777677
2008-04-28,0.9331531088719588,0.9349260117668032
2008-04-29,0.9230769230769232,0.9351042966660724
2008-04-30,0.9088228065863848,0.9584596184703155
2008-05-01,0.9388056033423446,0.989124621144589
2008-05-02,0.9646104694028017,1.0042788375824567
2008-05-05,0.960432538707299,0.983954359065787
2008-05-06,0.9776357827476039,0.9905509003387413
2008-05-07,0.9493733103956747,0.9548939204849349
2008-05-08,0.9481445072499386,0.9411659832412194
2008-05-09,0.9331531088719588,0.9427705473346407
2008-05-12,0.9714917670189237,0.9654127295418077
2008-05-13,0.9788645858933399,0.9445533963273309
2008-05-14,0.975423937085279,0.96131217685862
2008-05-15,0.9968051118210863,0.9752183990016046
2008-05-16,0.9938559842713197,0.9825280798716348
2008-05-19,0.9904153354632588,0.9912640399358174
2008-05-20,0.975423937085279,0.9787840969869851
2008-05-21,0.9481445072499386,0.9564984845783562
2008-05-22,0.9508478741705578,0.9761098234979496
2008-05-23,0.9329073482428116,0.9620253164556961
2008-05-27,0.9518309166871467,0.9784275271884472
2008-05-28,0.9675595969525682,0.9825280798716348
2008-05-29,0.9820594740722537,0.9903726154394722
2008-05-30,0.9724748095355125,0.9834195043679799
2008-06-02,0.9542885229786189,0.9688001426279195
2008-06-03,0.9572376505283855,0.9680870030308432
2008-06-04,0.966085033177685,0.9623818862542342
2008-06-05,0.9945932661587614,0.9857372080584774
2008-06-06,0.938068321454903,0.9381351399536458
2008-06-09,0.9002211845662326,0.927438045997504
2008-06-10,0.9039075940034407,0.9260117668033516
2008-06-11,0.8849840255591054,0.8921376359422356
2008-06-12,0.8982550995330548,0.9090747013727937
2008-06-13,0.9142295404276236,0.9144232483508646
2008-06-16,0.9338903907594004,0.9131752540559814
2008-06-17,0.904399115261735,0.888750222856124
2008-06-18,0.8906365200294913,0.8789445533963273
2008-06-19,0.9075940034406489,0.8850062399714743
2008-06-20,0.8734332759891865,0.8627206275628454
2008-06-23,0.8525436225116736,0.8477446960242466
2008-06-24,0.8601622020152372,0.8586200748796576
2008-06-25,0.8731875153600394,0.8643251916562666
2008-06-26,0.8316539690341609,0.8333036191834552
2008-06-27,0.833128532809044,0.8258156534141557
2008-06-30,0.8370607028753995,0.8079871634872526
2008-07-01,0.842467436716638,0.8204671064360849
2008-07-02,0.8193659375768003,0.8090568728828668
2008-07-03,0.8245269107888916,0.8169014084507041
2008-07-07,0.8009338903907596,0.804956320199679
2008-07-08,0.8761366429098059,0.8375824567659118
2008-07-09,0.7972474809535512,0.8115528614726333
2008-07-10,0.8237896289014501,0.8167231235514352
2008-07-11,0.8196116982059475,0.8081654483865216
2008-07-14,0.7768493487343328,0.7725084685327152
