,CMCSA,CMCSK
2008-02-01,1.0,1.0
2008-02-04,0.9789757412398922,0.9755301794453508
2008-02-05,0.9401617250673855,0.9396411092985318
2008-02-06,0.9444743935309973,0.9429037520391517
2008-02-07,0.9369272237196764,0.933115823817292
2008-02-08,0.919676549865229,0.9168026101141924
2008-02-11,0.9180592991913746,0.9157150625339858
2008-02-12,0.9288409703504042,0.9293094072865687
2008-02-13,0.9601078167115902,0.957041870581838
2008-02-14,1.0371967654986523,1.0375203915171287
2008-02-15,1.0884097035040432,1.085916258836324
2008-02-19,1.1035040431266845,1.1000543773790104
2008-02-20,1.0862533692722371,1.0821098423056008
2008-02-21,1.0560646900269541,1.0543773790103317
2008-02-22,1.0862533692722371,1.080478520935291
2008-02-25,1.0948787061994607,1.089178901576944
2008-02-26,1.0873315363881402,1.0853724850462207
2008-02-27,1.0921832884097036,1.0875475802066341
2008-02-28,1.0846361185983828,1.0810222947253942
2008-02-29,1.0533692722371968,1.0522022838499185
2008-03-03,1.0781671159029649,1.0755845568243612
2008-03-04,1.077088948787062,1.0728656878738445
2008-03-05,1.0716927223719677,1.0648776508972269
2008-03-06,1.062533692722372,1.054921152800435
2008-03-07,1.060377358490566,1.0554649265905383
2008-03-10,1.0452830188679245,1.0391517128874388
2008-03-11,1.0571428571428572,1.0451332245785752
2008-03-12,1.0485175202156334,1.0358890701468189
2008-03-13,1.0458221024258758,1.0386079390973355
2008-03-14,1.019946091644205,1.008700380641653
2008-03-17,1.0161725067385445,1.0043501903208265
2008-03-18,1.044743935309973,1.0320826536160956
2008-03-19,1.0415094339622641,1.0244698205546492
2008-03-20,1.04366576819407,1.023926046764546
2008-03-24,1.089487870619946,1.0744970092441546
2008-03-25,1.1072776280323449,1.0897226753670473
2008-03-26,1.062533692722372,1.0478520935290918
2008-03-27,1.0555256064690026,1.0407830342577489
2008-03-28,1.0231805929919138,1.0103317020119629
2008-03-31,1.0425876010781672,1.0315388798259923
2008-04-01,1.0857142857142856,1.0777596519847743
2008-04-02,1.104043126684636,1.0908102229472538
2008-04-03,1.1018867924528302,1.089178901576944
2008-04-04,1.093800539083558,1.0864600326264273
2008-04-07,1.1191374663072777,1.1092985318107667
2008-04-08,1.1056603773584905,1.101141924959217
2008-04-09,1.0835579514824798,1.0783034257748776
2008-04-10,1.076010781671159,1.0734094616639476
2008-04-11,1.059299191374663,1.0554649265905383
2008-04-14,1.0657681940700807,1.0614464382816748
2008-04-15,1.062533692722372,1.0570962479608483
2008-04-16,1.0743935309973045,1.0685154975530178
2008-04-17,1.0867924528301887,1.0848287112561175
2008-04-18,1.0932614555256064,1.085916258836324
2008-04-21,1.0900269541778975,1.0810222947253942
2008-04-22,1.0733153638814015,1.066884176182708
2008-04-23,1.0652291105121294,1.0565524741707448
2008-04-24,1.0663072776280325,1.058183795541055
2008-04-25,1.0528301886792453,1.0462207721587817
2008-04-28,1.0700808625336928,1.0630777596519847
2008-04-29,1.0921832884097036,1.0810222947253942
2008-04-30,1.1078167115902966,1.1005981511691136
2008-05-01,1.2026954177897573,1.1897770527460576
2008-05-02,1.184366576819407,1.1718325176726483
2008-05-05,1.1660377358490566,1.1555193039695486
2008-05-06,1.1778975741239892,1.1625883632408918
2008-05-07,1.1628032345013477,1.1500815660685153
2008-05-08,1.1886792452830188,1.1761827079934746
2008-05-09,1.168733153638814,1.1560630777596521
2008-05-12,1.1881401617250673,1.1718325176726483
2008-05-13,1.1908355795148247,1.176726481783578
2008-05-14,1.2059299191374664,1.1892332789559543
2008-05-15,1.2150943396226415,1.2011963023382273
2008-05-16,1.1902964959568731,1.1805328983143013
2008-05-19,1.1897574123989219,1.1848830886351278
2008-05-20,1.1805929919137466,1.1761827079934746
2008-05-21,1.1730458221024258,1.1680261011419248
2008-05-22,1.196765498652291,1.1892332789559543
2008-05-23,1.165498652291105,1.1636759108210983
2008-05-27,1.180053908355795,1.1740076128330614
2008-05-28,1.1719676549865228,1.1658510059815117
2008-05-29,1.1940700808625335,1.187058183795541
2008-05-30,1.2129380053908356,1.2120717781402937
2008-06-02,1.2140161725067384,1.2109842305600869
2008-06-03,1.2005390835579515,1.1990212071778141
2008-06-04,1.2199460916442046,1.2131593257205002
2008-06-05,1.224797843665768,1.21968461120174
2008-06-06,1.1827493261455526,1.1799891245241978
2008-06-09,1.1838274932614554,1.1821642196846112
2008-06-10,1.1719676549865228,1.1712887438825448
2008-06-11,1.1590296495956873,1.1582381729200653
2008-06-12,1.150943396226415,1.1538879825992385
2008-06-13,1.1719676549865228,1.1680261011419248
2008-06-16,1.1471698113207547,1.146275149537792
2008-06-17,1.1380053908355794,1.1402936378466557
2008-06-18,1.1029649595687332,1.1071234366503533
2008-06-19,1.1078167115902966,1.1060358890701467
2008-06-20,1.0619946091644203,1.0614464382816748
2008-06-23,1.0323450134770888,1.0304513322457858
2008-06-24,1.0231805929919138,1.0201196302338227
2008-06-25,1.0382749326145553,1.0353452963567156
2008-06-26,1.0032345013477089,1.0005437737901033
2008-06-27,1.0043126684636117,1.0021750951604131
2008-06-30,1.0226415094339623,1.0201196302338227
2008-07-01,1.0129380053908354,1.0097879282218596
2008-07-02,0.9940700808625337,0.9951060358890702
2008-07-03,0.9881401617250672,0.9912996193583469
2008-07-07,0.9951482479784367,0.9961935834692768
2008-07-08,1.021024258760108,1.0212071778140295
2008-07-09,0.9962264150943396,0.99836867862969
2008-07-10,1.0059299191374662,1.0038064165307232
2008-07-11,0.996765498652291,0.9972811310494833
2008-07-14,0.9859838274932614,0.9858618814573137
