,PG,HAE
2008-02-01,1.0,1.0
2008-02-04,1.0015140045420137,0.9998286791159843
2008-02-05,0.9847085541256625,0.9797841356861401
2008-02-06,0.9887963663890993,0.961966763748501
2008-02-07,0.9957607872823618,0.9787562103820456
2008-02-08,0.9844057532172596,0.9796128148021244
2008-02-11,0.9992429977289933,0.979955456570156
2008-02-12,1.0168054504163513,1.003597738564331
2008-02-13,1.0143830431491294,0.979955456570156
2008-02-14,1.008781226343679,0.9717320541373994
2008-02-15,1.0037850113550342,0.965564502312832
2008-02-19,1.0039364118092355,0.9898920678430702
2008-02-20,1.0018168054504164,0.9943464108274799
2008-02-21,0.9986373959121877,1.007880760664725
2008-02-22,1.0024224072672216,0.9844097995545658
2008-02-25,1.009538228614686,1.0106218948089774
2008-02-26,1.0246782740348221,1.0126777454171665
2008-02-27,1.0175624526873581,1.0212437896179545
2008-02-28,1.0139288417865253,1.0147335960253554
2008-02-29,1.0019682059046178,0.9953743361315746
2008-03-03,1.0045420136260408,1.02021586431386
2008-03-04,1.0,1.0041117012163783
2008-03-05,1.009877365632097,1.0027411341442523
2008-03-06,1.0069644208932629,0.9904060304951174
2008-03-07,0.9962149886449659,0.9862943292787392
2008-03-10,0.9956093868281606,0.9835531951344869
2008-03-11,1.0092354277062832,1.0011992461881103
2008-03-12,1.014988644965935,0.9897207469590544
2008-03-13,1.0198334595003786,1.0054822682885043
2008-03-14,1.0104466313398939,0.9945177317114956
2008-03-17,1.0151400454201362,0.9922905602192909
2008-03-18,1.0376987130961395,1.018845297241734
2008-03-19,1.02664647993944,0.9905773513791332
2008-03-20,1.0502649507948525,1.0279253040945693
2008-03-24,1.059348978046934,1.0128490663011822
2008-03-25,1.0528387585162757,1.017988692821655
2008-03-26,1.0543527630582892,1.015076237793387
2008-03-27,1.0508705526116577,1.0197019016618127
2008-03-28,1.0513247539742618,1.0056535891725202
2008-03-31,1.0608629825889477,1.020729826965907
2008-04-01,1.0770628311884936,1.0390611615555936
2008-04-02,1.0670704012112038,1.0388898406715779
2008-04-03,1.0669190007570022,1.0282679458626007
2008-04-04,1.06888720666162,1.0364913482953573
2008-04-07,1.0675246025738079,1.029467192050711
2008-04-08,1.069644208932627,1.0385471989035464
2008-04-09,1.0629825889477669,1.028781908514648
2008-04-10,1.062528387585163,1.0419736165838616
2008-04-11,1.0598031794095382,0.9910913140311804
2008-04-14,1.0616199848599548,0.9681343155730684
2008-04-15,1.0632853898561696,0.9650505396607847
2008-04-16,1.0487509462528388,0.9859516875107075
2008-04-17,1.0228614685844057,0.969847524413226
2008-04-18,1.0169568508705527,0.9688195991091314
2008-04-21,1.0264950794852385,0.964879218776769
2008-04-22,1.0214988644965934,0.9542573239677917
2008-04-23,1.0169568508705527,0.9604248757923591
2008-04-24,1.0118092354277064,0.9635086517046428
2008-04-25,1.0075700227100681,0.9775569641939353
2008-04-28,1.0024224072672216,0.9818399862943293
2008-04-29,0.9977289931869797,0.9859516875107075
2008-04-30,1.0151400454201362,0.9804694192222032
2008-05-01,1.0148372445117335,0.9158814459482612
2008-05-02,1.0113550340651023,0.9174233339044029
2008-05-05,1.0090840272520818,0.9218776768888128
2008-05-06,1.0090840272520818,0.9436354291588145
2008-05-07,0.9962149886449659,0.9417508994346411
2008-05-08,0.9980317940953823,0.9422648620866884
2008-05-09,0.9872823618470855,0.939695048826452
2008-05-12,0.9894019682059045,0.9388384444063731
2008-05-13,0.9951551854655565,0.9463765633030667
2008-05-14,0.9916729750189252,0.9516875107075552
2008-05-15,1.0046934140802424,0.9487750556792874
2008-05-16,1.0105980317940955,0.943292787390783
2008-05-19,1.0122634367903105,0.9414082576666096
2008-05-20,0.9971233913701741,0.9522014733596026
2008-05-21,0.9866767600302802,0.947575809491177
2008-05-22,0.9934897804693416,0.9535720404317286
2008-05-23,0.9881907645722937,0.9494603392153504
2008-05-27,0.9851627554882664,0.9576837416481069
2008-05-28,0.9821347464042394,0.9479184512592085
2008-05-29,0.9912187736563209,0.9535720404317286
2008-05-30,1.0,0.965564502312832
2008-06-02,0.989553368660106,0.9563131745759809
2008-06-03,0.9903103709311127,0.9434641082747988
2008-06-04,1.0060560181680547,0.9892067843070071
2008-06-05,1.0093868281604845,1.0332362514990578
2008-06-06,0.9897047691143075,1.0051396265204728
2008-06-09,1.0003028009084027,0.9967449032037006
2008-06-10,1.0092354277062832,1.0030837759122837
2008-06-11,1.0022710068130205,0.9886928216549598
2008-06-12,1.0062074186222558,0.9801267774541718
2008-06-13,1.0060560181680547,0.9936611272914169
2008-06-16,0.9977289931869797,0.9881788590029125
2008-06-17,0.9962149886449659,0.9940037690594484
2008-06-18,0.9841029523088569,0.9874935754668495
2008-06-19,0.9825889477668435,1.0073667980126777
2008-06-20,0.9562452687358062,0.9943464108274799
2008-06-23,0.952763058289175,0.9878362172348809
2008-06-24,0.9517032551097654,0.9910913140311804
2008-06-25,0.9612414837244513,1.0090800068528354
2008-06-26,0.9424678274034822,0.9895494260750386
2008-06-27,0.9158213474640424,0.9893781051910229
2008-06-30,0.920666161998486,0.9501456227514135
2008-07-01,0.9383800151400454,0.9340414596539319
2008-07-02,0.9491294473883422,0.88076066472503
2008-07-03,0.9639666919000758,0.8884701045057393
2008-07-07,0.9524602573807721,0.8840157615213295
2008-07-08,0.9638152914458743,0.9141682371081035
2008-07-09,0.9659348978046934,0.8917252013020387
2008-07-10,0.9722937168811506,0.9011478499229056
2008-07-11,0.9606358819076458,0.9179372965564503
2008-07-14,0.9679031037093112,0.910227856775741
