,TJX,DHR
2008-02-01,1.0,1.0
2008-02-04,0.9794392523364486,0.9936775553213909
2008-02-05,0.9694704049844237,0.9733930453108536
2008-02-06,0.9619937694704049,0.9631190727081138
2008-02-07,0.9741433021806853,0.9683877766069546
2008-02-08,0.9451713395638629,0.965094836670179
2008-02-11,0.9626168224299064,0.9681243414120126
2008-02-12,0.9554517133956386,0.9674657534246576
2008-02-13,0.9657320872274143,1.000263435194942
2008-02-14,0.9317757009345794,0.9865648050579557
2008-02-15,0.9358255451713395,0.989199157007376
2008-02-19,0.9261682242990654,0.9872233930453108
2008-02-20,0.9713395638629283,0.9944678609062171
2008-02-21,0.9707165109034267,0.9834035827186511
2008-02-22,1.0115264797507788,0.9831401475237092
2008-02-25,1.0227414330218068,0.9968387776606955
2008-02-26,1.0376947040498443,1.0089567966280295
2008-02-27,1.0239875389408097,0.9886722866174921
2008-02-28,1.0161993769470403,0.9814278187565859
2008-02-29,0.9968847352024922,0.9766859852476292
2008-03-03,1.018068535825545,0.9781348788198104
2008-03-04,1.0355140186915888,0.9807692307692306
2008-03-05,1.0299065420560747,0.9757639620653319
2008-03-06,0.9800623052959502,0.9619336143308747
2008-03-07,0.9735202492211837,0.9492887249736564
2008-03-10,0.9694704049844237,0.9237355110642781
2008-03-11,1.016822429906542,0.9479715489989462
2008-03-12,1.0130841121495329,0.9506059009483667
2008-03-13,1.0090342679127726,0.959167544783983
2008-03-14,1.0049844236760124,0.9541622760800842
2008-03-17,0.9934579439252336,0.9532402528977871
2008-03-18,1.0289719626168223,1.0010537407797682
2008-03-19,1.007165109034268,0.9872233930453108
2008-03-20,1.0570093457943925,1.006190727081138
2008-03-24,1.0713395638629284,1.0193624868282403
2008-03-25,1.073208722741433,1.029373024236038
2008-03-26,1.0454828660436137,1.0171232876712328
2008-03-27,1.0364485981308411,1.0038198103266596
2008-03-28,1.0177570093457944,0.9894625922023182
2008-03-31,1.0302180685358255,1.0014488935721813
2008-04-01,1.060436137071651,1.0405690200210749
2008-04-02,1.0728971962616822,1.0318756585879874
2008-04-03,1.0613707165109034,1.0254214963119073
2008-04-04,1.0330218068535824,1.0384615384615385
2008-04-07,1.001246105919003,1.0326659641728135
2008-04-08,1.0059190031152647,1.0368809272918862
2008-04-09,0.9993769470404984,1.0247629083245522
2008-04-10,0.9619937694704049,1.024631190727081
2008-04-11,0.9367601246105919,0.9926238145416227
2008-04-14,0.960436137071651,0.9728661749209694
2008-04-15,0.9560747663551402,0.9839304531085353
2008-04-16,0.9732087227414329,1.012644889357218
2008-04-17,0.9716510903426792,0.9768177028451
2008-04-18,0.9981308411214953,0.9901211801896733
2008-04-21,0.9922118380062306,0.9944678609062171
2008-04-22,0.9809968847352024,0.9945995785036882
2008-04-23,0.9869158878504672,0.999736564805058
2008-04-24,0.9956386292834891,1.0110642781875658
2008-04-25,1.0261682242990653,1.0216016859852477
2008-04-28,1.0249221183800623,1.0281875658587987
2008-04-29,1.036760124610592,1.0256849315068493
2008-04-30,1.0037383177570092,1.0276606954689145
2008-05-01,1.02803738317757,1.0380663856691255
2008-05-02,1.0009345794392523,1.0273972602739725
2008-05-05,0.9797507788161993,1.0165964172813489
2008-05-06,0.9981308411214953,1.0167281348788197
2008-05-07,0.9890965732087227,1.0023709167544783
2008-05-08,0.9657320872274143,1.018572181243414
2008-05-09,0.9669781931464174,1.0151475237091674
2008-05-12,1.001246105919003,1.0327976817702844
2008-05-13,0.954828660436137,1.0326659641728135
2008-05-14,0.9781931464174454,1.040700737618546
2008-05-15,0.9981308411214953,1.054662802950474
2008-05-16,0.9915887850467289,1.054662802950474
2008-05-19,0.9878504672897196,1.035432033719705
2008-05-20,0.9775700934579439,1.030031612223393
2008-05-21,0.9669781931464174,1.0148840885142254
2008-05-22,0.9763239875389408,1.0106691253951527
2008-05-23,0.9725856697819314,0.9989462592202318
2008-05-27,0.9869158878504672,0.9993414120126449
2008-05-28,0.9894080996884735,1.0080347734457324
2008-05-29,1.0024922118380062,1.0073761854583774
2008-05-30,0.9987538940809969,1.029768177028451
2008-06-02,0.9838006230529595,1.0219968387776608
2008-06-03,0.9981308411214953,1.047945205479452
2008-06-04,1.00404984423676,1.0522918861959958
2008-06-05,1.0264797507788161,1.0873287671232876
2008-06-06,0.9847352024922118,1.0430716543730243
2008-06-09,0.9788161993769471,1.0491306638566913
2008-06-10,1.0059190031152647,1.0504478398314014
2008-06-11,0.9744548286604361,1.042149631190727
2008-06-12,1.0077881619937694,1.05281875658588
2008-06-13,1.0302180685358255,1.07731822971549
2008-06-16,1.0408099688473518,1.070732349841939
2008-06-17,1.0137071651090341,1.0665173867228661
2008-06-18,1.0043613707165109,1.0579557428872497
2008-06-19,1.0311526479750779,1.0800842992623814
2008-06-20,1.0115264797507788,1.0547945205479452
2008-06-23,0.9971962616822428,1.0547945205479452
2008-06-24,0.9890965732087227,1.0467597471022128
2008-06-25,1.0137071651090341,1.0508429926238145
2008-06-26,0.994392523364486,1.0042149631190727
2008-06-27,0.9922118380062306,1.012513171759747
2008-06-30,0.9803738317757008,1.018177028451001
2008-07-01,0.994392523364486,1.0204162276080084
2008-07-02,0.9728971962616823,0.9901211801896733
2008-07-03,0.9728971962616823,1.0047418335089568
2008-07-07,0.9697819314641744,1.0047418335089568
2008-07-08,1.011214953271028,1.0118545837723918
2008-07-09,0.9853582554517133,0.99354583772392
2008-07-10,0.9856697819314642,1.0031612223393045
2008-07-11,0.9766355140186916,0.9888040042149631
2008-07-14,1.0059190031152647,0.9915700737618546
