"","X1","CMCSA","CMCSK","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.946637020566982,0.955465587044534,NA,0.038961038961039,0.0649350649350649,0.0177836343556035,0.961686085037496
"3",2009-01-06,0.957754307948861,0.969346443030654,NA,0.683982683982684,0.731601731601732,0.150399937343426,0.874580960526796
"4",2009-01-07,0.924958310172318,0.927703875072296,NA,0.112554112554113,0.0649350649350649,0.970663144797859,0.0134207771940533
"5",2009-01-08,0.939966648137854,0.939271255060729,NA,0.744588744588745,0.714285714285714,0.796964025637107,0.237725854188157
"6",2009-01-09,0.907726514730406,0.903412377096588,NA,0.112554112554113,0.0865800865800866,0.883370737194314,0.077234225161031
"7",2009-01-12,0.872707059477488,0.860034702139965,NA,0.0995670995670996,0.0606060606060606,0.962544840553823,0.0182152568572137
"8",2009-01-13,0.852140077821012,0.846732215153268,NA,0.181818181818182,0.251082251082251,0.0403973873326922,0.940613456453408
"9",2009-01-14,0.823235130628127,0.818392134181608,NA,0.116883116883117,0.125541125541126,0.302183878474029,0.630620389241446
"10",2009-01-15,0.834352418010006,0.832851359167149,NA,0.705627705627706,0.774891774891775,0.0739755611746155,0.944848936870201
"11",2009-01-16,0.852140077821012,0.855407750144592,NA,0.805194805194805,0.83982683982684,0.151343821263387,0.886486273410231
"12",2009-01-20,0.779321845469705,0.77674956622325,NA,0.0216450216450216,0.0173160173160173,0.829171352273745,0.112748616485672
"13",2009-01-21,0.837687604224569,0.836321573163678,NA,0.961038961038961,0.965367965367965,0.304284960959943,0.771282576558483
"14",2009-01-22,0.822123401889939,0.823597455176403,NA,0.225108225108225,0.255411255411255,0.185424596282042,0.776643013316203
"15",2009-01-23,0.833240689271818,0.827646038172354,NA,0.705627705627706,0.606060606060606,0.962686200932916,0.0467948084214198
"16",2009-01-26,0.836575875486381,0.83342972816657,NA,0.588744588744589,0.645021645021645,0.138183083017543,0.875531222176012
"17",2009-01-27,0.82934963868816,0.827646038172354,NA,0.376623376623377,0.398268398268398,0.307543283669638,0.672794506129418
"18",2009-01-28,0.88715953307393,0.875650665124349,NA,0.961038961038961,0.952380952380952,0.871490584543003,0.186936150742679
"19",2009-01-29,0.852140077821012,0.846153846153846,NA,0.0952380952380952,0.121212121212121,0.08882215403391,0.869878786935444
"20",2009-01-30,0.814341300722624,0.802776171197224,NA,0.0692640692640693,0.0432900432900433,0.955065501946462,0.022121682480318
"21",2009-02-02,0.817120622568093,0.806824754193175,NA,0.571428571428571,0.61038961038961,0.216955464018222,0.796519262358334
"22",2009-02-03,0.816008893829906,0.800462695199537,NA,0.515151515151515,0.376623376623377,0.974902442861113,0.0227581782622323
"23",2009-02-04,0.787103946637021,0.762868710237131,"CMCSK",0.108225108225108,0.0606060606060606,0.973460010840227,0.0116196104478293
"24",2009-02-05,0.768760422456921,0.736263736263736,"CMCSK",0.181818181818182,0.121212121212121,0.954079888185142,0.026820134110579
"25",2009-02-06,0.787659811006115,0.758241758241758,"CMCSK",0.826839826839827,0.852813852813853,0.196338281071287,0.849451211064815
"26",2009-02-09,0.801000555864369,0.77674956622325,"CMCSK",0.761904761904762,0.831168831168831,0.0545847146749121,0.964106639153835
"27",2009-02-10,0.752640355753196,0.732215153267785,"CMCSK",0.0303030303030303,0.0303030303030303,0.455335655909875,0.455335655909875
"28",2009-02-11,0.754307948860478,0.73395026026605,"CMCSK",0.562770562770563,0.58008658008658,0.361596587232785,0.651316957906665
"29",2009-02-12,0.765981100611451,0.749566223250434,"CMCSK",0.735930735930736,0.80952380952381,0.0560256675197243,0.961645421138444
"30",2009-02-13,0.759310728182324,0.741469057258531,"CMCSK",0.376623376623377,0.316017316017316,0.881930876208475,0.101702028014509
"31",2009-02-17,0.71650917176209,0.699248120300752,"CMCSK",0.0346320346320346,0.0303030303030303,0.720307768500599,0.206279863816799
"32",2009-02-18,0.687048360200111,0.669751301330249,"CMCSK",0.0779220779220779,0.0779220779220779,0.459838703601619,0.459838703601619
"33",2009-02-19,0.72206781545303,0.710237131289763,"CMCSK",0.943722943722944,0.952380952380952,0.224880914374416,0.838544911992406
"34",2009-02-20,0.71372984991662,0.706766917293233,"CMCSK",0.316017316017316,0.445887445887446,0.0223829953106124,0.972339722884794
"35",2009-02-23,0.705391884380211,0.688837478311163,"CMCSK",0.316017316017316,0.173160173160173,0.986284825066415,0.00726532854281424
"36",2009-02-24,0.77153974430239,0.752458068247542,"CMCSK",0.991341991341991,0.991341991341991,0.54670836672235,0.54670836672235
"37",2009-02-25,0.780989438576987,0.764603817235396,"CMCSK",0.688311688311688,0.766233766233766,0.0621011577902176,0.95393401818665
"38",2009-02-26,0.741523068371317,0.722382880277617,"CMCSK",0.0476190476190476,0.0346320346320346,0.903046964647208,0.0575421299036496
"39",2009-02-27,0.725958866036687,0.702718334297282,"CMCSK",0.199134199134199,0.164502164502165,0.8450442100864,0.117092211825035
"40",2009-03-02,0.699833240689272,0.681897050318103,"CMCSK",0.108225108225108,0.134199134199134,0.105676452474108,0.850900454711983
"41",2009-03-03,0.694830461367426,0.681318681318681,"CMCSK",0.415584415584416,0.528138528138528,0.0390126823165861,0.959324756601923
"42",2009-03-04,0.708171206225681,0.685367264314633,"CMCSK",0.787878787878788,0.636363636363636,0.991095879071024,0.0147302285621915
"43",2009-03-05,0.667037242912729,0.647773279352227,"CMCSK",0.0346320346320346,0.0346320346320346,0.45574467480773,0.45574467480773
