"","X1","WSBC","GHL","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.964809384164223,1.01039110982826,NA,0.16017316017316,0.632034632034632,0.100249448727658,0.836111562557583
"3",2009-01-06,0.988269794721408,0.983836051378265,NA,0.748917748917749,0.268398268398268,0.891738277940048,0.143627459110355
"4",2009-01-07,0.965542521994135,0.930148650598932,NA,0.277056277056277,0.0822510822510823,0.524100172615601,0.0963040246058889
"5",2009-01-08,0.992302052785924,0.936643094241593,NA,0.779220779220779,0.58008658008658,0.819215889409659,0.409866657498373
"6",2009-01-09,0.918255131964809,0.872853225573676,NA,0.0303030303030303,0.038961038961039,0.115117033803582,0.167791263380254
"7",2009-01-12,0.902859237536657,0.870255448116611,NA,0.329004329004329,0.484848484848485,0.327582292363167,0.606640230915322
"8",2009-01-13,0.915689149560117,0.889305816135084,NA,0.662337662337662,0.718614718614719,0.573140507654939,0.69469287327717
"9",2009-01-14,0.875733137829912,0.838071871842979,NA,0.125541125541126,0.0735930735930736,0.292445173578009,0.136917660889688
"10",2009-01-15,0.874266862170088,0.831577428200317,NA,0.515151515151515,0.437229437229437,0.582774983090842,0.441141514421877
"11",2009-01-16,0.847140762463343,0.870399769086448,NA,0.194805194805195,0.878787878787879,0.0531224653621585,0.974145631058314
"12",2009-01-20,0.756598240469208,0.821907923221244,NA,0.00865800865800866,0.0779220779220779,0.0176781868999788,0.419478348908083
"13",2009-01-21,0.808651026392962,0.839370760571511,NA,0.926406926406926,0.718614718614719,0.939840920584444,0.340297017344931
"14",2009-01-22,0.771260997067449,0.833020637898687,NA,0.121212121212121,0.441558441558442,0.106901282525802,0.682476076224148
"15",2009-01-23,0.794354838709677,0.833164958868523,NA,0.792207792207792,0.506493506493506,0.862353368986091,0.317371531911013
"16",2009-01-26,0.804985337243402,0.839370760571511,NA,0.658008658008658,0.584415584415584,0.669449598893662,0.524176656973621
"17",2009-01-27,0.821480938416422,0.852936931736181,NA,0.714285714285714,0.696969696969697,0.662201785561002,0.623746884953854
"18",2009-01-28,0.838709677419355,0.905758406696493,NA,0.718614718614719,0.935064935064935,0.316679548811627,0.950006182057576
"19",2009-01-29,0.791788856304985,0.985712223986145,"WSBC",0.0865800865800866,0.96969696969697,0.00644273851966148,0.998362825306389
"20",2009-01-30,0.75733137829912,0.938374945879636,"WSBC",0.125541125541126,0.108225108225108,0.250606774019649,0.203053878483221
"21",2009-02-02,0.803519061583578,0.929138403810073,"WSBC",0.922077922077922,0.411255411255411,0.978014742408422,0.11588381082309
"22",2009-02-03,0.768695014662756,0.912108529369317,"WSBC",0.125541125541126,0.333333333333333,0.138544613224901,0.552885491169535
"23",2009-02-04,0.776759530791789,0.937653341030452,"WSBC",0.632034632034632,0.766233766233766,0.486688047107862,0.776584311847259
"24",2009-02-05,0.790689149560117,0.986000865925819,"WSBC",0.67965367965368,0.896103896103896,0.362513095064325,0.915770502955866
"25",2009-02-06,0.851539589442815,1.03622456342907,"WSBC",0.943722943722944,0.896103896103896,0.864880646712699,0.601927777690665
"26",2009-02-09,0.842741935483871,1.03160629239428,"WSBC",0.415584415584416,0.471861471861472,0.440018693920597,0.542187850063022
"27",2009-02-10,0.769061583577713,0.95179679607447,"WSBC",0.0173160173160173,0.0216450216450216,0.10309843729114,0.145322584412794
"28",2009-02-11,0.784824046920821,0.98686679174484,"WSBC",0.714285714285714,0.805194805194805,0.552228737104363,0.776267420017333
"29",2009-02-12,0.786656891495601,1.00490691297446,"WSBC",0.571428571428571,0.701298701298701,0.472836964143584,0.730760458499776
"30",2009-02-13,0.761363636363636,1.00187617260788,"WSBC",0.19047619047619,0.484848484848485,0.16928933018555,0.683953919899508
"31",2009-02-17,0.717008797653959,0.950497907345937,"WSBC",0.0779220779220779,0.103896103896104,0.160969793379688,0.242779887951685
"32",2009-02-18,0.701979472140762,0.946023957280993,"WSBC",0.281385281385281,0.471861471861472,0.277359129814165,0.617682815734597
"33",2009-02-19,0.675953079178886,0.943859142733439,"WSBC",0.151515151515152,0.493506493506494,0.126111395873787,0.715983119385756
"34",2009-02-20,0.653958944281525,0.950930870255448,"WSBC",0.19047619047619,0.584415584415584,0.138736653568323,0.78297187694398
"35",2009-02-23,0.624266862170088,0.950642228315774,"WSBC",0.121212121212121,0.502164502164502,0.0945125946829974,0.743114115099555
"36",2009-02-24,0.671920821114369,0.995670370904892,"WSBC",0.939393939393939,0.887445887445887,0.86421103990968,0.595293656867265
"37",2009-02-25,0.661656891495601,0.971135806032617,"WSBC",0.346320346320346,0.285714285714286,0.457857575310019,0.343582258970619
"38",2009-02-26,0.674486803519062,0.964208399480444,"WSBC",0.692640692640693,0.454545454545455,0.779024020355931,0.34563763092775
"39",2009-02-27,0.649926686217009,0.932313465146486,"WSBC",0.155844155844156,0.194805194805195,0.238739781923927,0.327426408903361
"40",2009-03-02,0.633431085043988,0.892480877471497,"WSBC",0.25974025974026,0.12987012987013,0.448729223924133,0.16853899443303
"41",2009-03-03,0.603005865102639,0.874007793332371,"WSBC",0.116883116883117,0.32034632034632,0.131054537264824,0.544062054638171
"42",2009-03-04,0.603372434017595,0.879924953095685,"WSBC",0.545454545454545,0.58008658008658,0.532113795136788,0.597544957883048
"43",2009-03-05,0.524926686217009,0.823062490979939,"WSBC",0,0.051948051948052,1e-10,0.975990201631885
"44",2009-03-06,0.51282991202346,0.829412613652764,"WSBC",0.277056277056277,0.588744588744589,0.220622472518487,0.748384275992986
