"","X1","KW","ARR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.998918918918919,0.997818974918212,NA,0.242424242424242,0.173160173160173,0.293499854993896,0.185068407976539
"3",2009-01-06,0.994594594594595,1.01417666303162,"KW",0.142857142857143,0.982683982683983,0.160852017906026,0.988723169637687
"4",2009-01-07,0.994594594594595,1.01417666303162,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"5",2009-01-08,1.01081081081081,1.01417666303162,"KW",0.991341991341991,0.683982683982684,0.995721850819044,0.465126858014218
"6",2009-01-09,1.01081081081081,1.0185387131952,"KW",0.705627705627706,0.865800865800866,0.627075461378271,0.872259598533832
"7",2009-01-12,1.00540540540541,1.01090512540894,"KW",0.103896103896104,0.0779220779220779,0.177289147551062,0.118456138766547
"8",2009-01-13,1.00216216216216,1.0196292257361,"KW",0.181818181818182,0.943722943722944,0.158857236904095,0.962128736077006
"9",2009-01-14,1.00216216216216,1.0196292257361,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"10",2009-01-15,1.00540540540541,1.0185387131952,"KW",0.818181818181818,0.238095238095238,0.863419704233479,0.186239901818122
"11",2009-01-16,1.00324324324324,1.01526717557252,"KW",0.203463203463203,0.151515151515152,0.257619400862471,0.171629083892795
"12",2009-01-20,0.995675675675676,1.01635768811341,"KW",0.051948051948052,0.70995670995671,0.0309580936228842,0.761231786881018
"13",2009-01-21,1.00540540540541,1.01744820065431,"KW",0.961038961038961,0.705627705627706,0.971025134265785,0.546901509107229
"14",2009-01-22,1.00540540540541,1.01744820065431,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"15",2009-01-23,1.00324324324324,1.01526717557252,"KW",0.203463203463203,0.186147186147186,0.241300402603591,0.213532308645615
"16",2009-01-26,1.00324324324324,1.01744820065431,"KW",0.705627705627706,0.757575757575758,0.673142890909082,0.748990478960691
"17",2009-01-27,1.00324324324324,1.02181025081788,"KW",0.705627705627706,0.861471861471861,0.629436598928621,0.867445205808861
"18",2009-01-28,1.01621621621622,1.02181025081788,"KW",0.991341991341991,0.683982683982684,0.995721850819044,0.465126858014218
"19",2009-01-29,1.00540540540541,1.02181025081788,"KW",0.025974025974026,0.683982683982684,0.0132942645865155,0.735891901701609
"20",2009-01-30,1.00540540540541,1.02181025081788,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"21",2009-02-02,1.00540540540541,1.02508178844057,"KW",0.705627705627706,0.822510822510823,0.648334953750801,0.823528537538918
"22",2009-02-03,1.01297297297297,1.02508178844057,"KW",0.952380952380952,0.683982683982684,0.964502143641712,0.538195531028544
"23",2009-02-04,1.01081081081081,1.02181025081788,"KW",0.207792207792208,0.151515151515152,0.26286920787244,0.170153372731245
"24",2009-02-05,1.01297297297297,1.02508178844057,"KW",0.770562770562771,0.822510822510823,0.723837202934417,0.805822081776391
"25",2009-02-06,1.01405405405405,1.03053435114504,"KW",0.714285714285714,0.883116883116883,0.626476047246434,0.88979697584416
"26",2009-02-09,1.01405405405405,1.02399127589967,"KW",0.705627705627706,0.0909090909090909,0.763335490257678,0.0600855400702852
"27",2009-02-10,1.01621621621622,1.02726281352236,"KW",0.770562770562771,0.822510822510823,0.723837202934417,0.805822081776391
"28",2009-02-11,1.01513513513514,1.02726281352236,"KW",0.25974025974026,0.683982683982684,0.210430316411974,0.739263408151037
"29",2009-02-12,1.01513513513514,1.03053435114504,"KW",0.705627705627706,0.80952380952381,0.653861796420796,0.808714387814846
"30",2009-02-13,1.01405405405405,1.03053435114504,"KW",0.25974025974026,0.683982683982684,0.210430316411974,0.739263408151037
"31",2009-02-17,1.01945945945946,1.03053435114504,"KW",0.9004329004329,0.683982683982684,0.913195416725546,0.582716802430144
"32",2009-02-18,1.01837837837838,1.03162486368593,"KW",0.25974025974026,0.692640692640693,0.209831017843132,0.747647216239046
"33",2009-02-19,1.02162162162162,1.03598691384951,"KW",0.813852813852814,0.848484848484849,0.763581017335128,0.822050547621532
"34",2009-02-20,1.01837837837838,1.03598691384951,"KW",0.194805194805195,0.683982683982684,0.149086778246372,0.744090334807058
"35",2009-02-23,1.01837837837838,1.03925845147219,"KW",0.705627705627706,0.805194805194805,0.655632798857304,0.803762396464647
"36",2009-02-24,1.01837837837838,1.0370774263904,"KW",0.705627705627706,0.199134199134199,0.763625422640778,0.152388719601614
"37",2009-02-25,1.02054054054054,1.0381679389313,"KW",0.770562770562771,0.683982683982684,0.769432222567216,0.643849005213403
"38",2009-02-26,1.01945945945946,1.04034896401309,"KW",0.25974025974026,0.744588744588745,0.206899628665267,0.796941822467717
"39",2009-02-27,1.02054054054054,1.04034896401309,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"40",2009-03-02,1.02054054054054,1.03925845147219,"KW",0.705627705627706,0.25974025974026,0.760134881211572,0.20898927904548
"41",2009-03-03,1.02054054054054,1.03925845147219,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"42",2009-03-04,1.02054054054054,1.04034896401309,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"43",2009-03-05,1.02054054054054,1.0381679389313,"KW",0.705627705627706,0.199134199134199,0.763625422640778,0.152388719601614
"44",2009-03-06,1.02054054054054,1.03925845147219,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"45",2009-03-09,1.0227027027027,1.03925845147219,"KW",0.770562770562771,0.683982683982684,0.769432222567216,0.643849005213403
