,TAXI,VGR
2008-02-01,1.0,1.0
2008-02-04,1.006072874493927,1.0202666666666667
2008-02-05,1.0091093117408907,0.9930666666666668
2008-02-06,0.992914979757085,0.9935999999999999
2008-02-07,0.9939271255060729,0.9941333333333333
2008-02-08,0.9868421052631579,0.9914666666666666
2008-02-11,0.9939271255060729,0.9829333333333333
2008-02-12,1.0,0.9893333333333334
2008-02-13,1.0040485829959513,0.9914666666666666
2008-02-14,1.0,0.9802666666666666
2008-02-15,1.0101214574898785,0.9743999999999999
2008-02-19,1.007085020242915,0.9786666666666668
2008-02-20,0.998987854251012,0.9850666666666666
2008-02-21,0.9969635627530363,0.9733333333333334
2008-02-22,1.0,0.9727999999999999
2008-02-25,0.9716599190283399,0.9893333333333334
2008-02-26,0.9716599190283399,0.9925333333333333
2008-02-27,0.9716599190283399,1.0
2008-02-28,0.9757085020242915,0.9770666666666666
2008-02-29,1.0030364372469636,0.9802666666666666
2008-03-03,0.9696356275303643,0.9642666666666666
2008-03-04,0.9362348178137652,0.9562666666666666
2008-03-05,0.9564777327935221,0.9733333333333334
2008-03-06,0.9170040485829959,0.9424000000000001
2008-03-07,0.9473684210526314,0.9535999999999999
2008-03-10,0.9696356275303643,0.9450666666666666
2008-03-11,1.0010121457489878,0.9797333333333333
2008-03-12,1.0,0.9760000000000001
2008-03-13,0.9979757085020241,0.9802666666666666
2008-03-14,0.9797570850202428,0.9749333333333334
2008-03-17,0.9777327935222672,0.9530666666666667
2008-03-18,1.0,0.9562666666666666
2008-03-19,0.9767206477732793,0.9370666666666667
2008-03-20,0.9868421052631579,0.9333333333333333
2008-03-24,0.9868421052631579,0.9429333333333333
2008-03-25,0.9949392712550607,0.9482666666666667
2008-03-26,0.9726720647773278,0.9296
2008-03-27,0.9554655870445343,0.9322666666666667
2008-03-28,0.9159919028340081,0.9285333333333333
2008-03-31,0.9149797570850201,0.9381333333333334
2008-04-01,0.9078947368421053,0.9461333333333333
2008-04-02,0.8785425101214573,0.9290666666666667
2008-04-03,0.9331983805668016,0.9221333333333332
2008-04-04,0.9180161943319838,0.9136
2008-04-07,0.9342105263157895,0.9157333333333334
2008-04-08,0.902834008097166,0.9189333333333334
2008-04-09,0.8967611336032387,0.9061333333333332
2008-04-10,0.8755060728744939,0.9194666666666665
2008-04-11,0.8633603238866395,0.9221333333333332
2008-04-14,0.8522267206477732,0.9258666666666666
2008-04-15,0.8613360323886639,0.9402666666666666
2008-04-16,0.8633603238866395,0.96
2008-04-17,0.8603238866396761,0.9450666666666666
2008-04-18,0.8542510121457488,0.9605333333333335
2008-04-21,0.8582995951417004,0.9418666666666666
2008-04-22,0.8410931174089069,0.9290666666666667
2008-04-23,0.8542510121457488,0.9264
2008-04-24,0.8572874493927125,0.9279999999999999
2008-04-25,0.8512145748987854,0.9189333333333334
2008-04-28,0.8481781376518219,0.9173333333333333
2008-04-29,0.8734817813765182,0.9087999999999999
2008-04-30,0.8613360323886639,0.9189333333333334
2008-05-01,0.9159919028340081,0.9237333333333333
2008-05-02,0.9676113360323887,0.9216000000000001
2008-05-05,0.9655870445344128,0.9269333333333333
2008-05-06,0.9757085020242915,0.9290666666666667
2008-05-07,1.0040485829959513,0.9168000000000001
2008-05-08,1.0141700404858298,0.9290666666666667
2008-05-09,0.9949392712550607,0.9173333333333333
2008-05-12,1.0161943319838056,0.936
2008-05-13,1.013157894736842,0.9632
2008-05-14,1.008097165991903,0.944
2008-05-15,1.006072874493927,0.936
2008-05-16,1.0121457489878543,0.9338666666666667
2008-05-19,1.008097165991903,0.9301333333333334
2008-05-20,1.0040485829959513,0.9306666666666666
2008-05-21,0.9635627530364371,0.9205333333333334
2008-05-22,0.9777327935222672,0.9258666666666666
2008-05-23,0.9817813765182185,0.9253333333333335
2008-05-27,0.9493927125506073,0.9344
2008-05-28,0.9504048582995951,0.9312
2008-05-29,0.9159919028340081,0.9477333333333333
2008-05-30,0.9767206477732793,0.9317333333333333
2008-06-02,0.9757085020242915,0.9242666666666666
2008-06-03,0.9878542510121456,0.9306666666666666
2008-06-04,0.9848178137651822,0.9386666666666668
2008-06-05,0.9746963562753036,0.9546666666666666
2008-06-06,0.9625506072874493,0.9386666666666668
2008-06-09,0.9473684210526314,0.9391999999999999
2008-06-10,0.9463562753036436,0.944
2008-06-11,0.9483805668016193,0.9375999999999999
2008-06-12,0.9331983805668016,0.9456
2008-06-13,0.9352226720647773,0.9509333333333333
2008-06-16,0.9868421052631579,0.9578666666666668
2008-06-17,1.0020242914979756,0.9290666666666667
2008-06-18,0.9797570850202428,0.9087999999999999
2008-06-19,1.0010121457489878,0.944
2008-06-20,1.0111336032388663,0.9125333333333333
2008-06-23,0.9888663967611335,0.8992
2008-06-24,0.9959514170040485,0.8874666666666667
2008-06-25,0.9827935222672065,0.8879999999999999
2008-06-26,0.9665991902834008,0.8624
2008-06-27,0.9706477732793521,0.8506666666666667
2008-06-30,0.9534412955465587,0.8602666666666666
2008-07-01,0.9423076923076923,0.8746666666666666
2008-07-02,0.9271255060728745,0.8687999999999999
2008-07-03,0.9726720647773278,0.8698666666666666
2008-07-07,0.9331983805668016,0.8693333333333334
2008-07-08,0.98582995951417,0.9013333333333332
2008-07-09,0.9716599190283399,0.9024000000000001
2008-07-10,0.9655870445344128,0.9034666666666668
2008-07-11,0.9686234817813765,0.9136
2008-07-14,0.9716599190283399,0.9141333333333334
2008-07-15,0.9099190283400809,0.9157333333333334
2008-07-16,0.9554655870445343,0.9264
2008-07-17,0.9423076923076923,0.9322666666666667
