,BWS,HOG
2008-02-01,1.0,1.0
2008-02-04,0.9270833333333333,0.9787545787545786
2008-02-05,0.907986111111111,0.9274725274725273
2008-02-06,0.8784722222222221,0.9194139194139194
2008-02-07,0.9276620370370371,0.9286935286935286
2008-02-08,0.9265046296296297,0.9025641025641026
2008-02-11,0.9230324074074073,0.9118437118437118
2008-02-12,0.9398148148148147,0.9514041514041514
2008-02-13,0.9878472222222222,0.9533577533577533
2008-02-14,0.9172453703703702,0.9221001221001219
2008-02-15,0.9160879629629629,0.9201465201465201
2008-02-19,0.8946759259259259,0.9291819291819291
2008-02-20,0.9259259259259258,0.9301587301587302
2008-02-21,0.898148148148148,0.9164835164835164
2008-02-22,0.923611111111111,0.9382173382173382
2008-02-25,0.9380787037037037,0.95995115995116
2008-02-26,0.939236111111111,0.9663003663003662
2008-02-27,0.9369212962962963,0.9743589743589742
2008-02-28,0.8900462962962963,0.9609279609279608
2008-02-29,0.849537037037037,0.9074481074481073
2008-03-03,0.8784722222222221,0.9052503052503051
2008-03-04,0.8709490740740741,0.8935286935286936
2008-03-05,0.861111111111111,0.8866227106227106
2008-03-06,0.78125,0.8744810744810745
2008-03-07,0.7737268518518517,0.8559218559218558
2008-03-10,0.7523148148148148,0.8468864468864469
2008-03-11,0.7841435185185185,0.8954822954822954
2008-03-12,0.7366898148148148,0.8862026862026862
2008-03-13,0.7569444444444444,0.8986568986568986
2008-03-14,0.7314814814814815,0.8647130647130645
2008-03-17,0.724537037037037,0.8522588522588521
2008-03-18,0.7841435185185185,0.8993894993894993
2008-03-19,0.7644675925925926,0.8732600732600732
2008-03-20,0.8159722222222221,0.9335775335775335
2008-03-24,0.8680555555555555,0.9926739926739926
2008-03-25,0.896412037037037,0.9692307692307691
2008-03-26,0.896412037037037,0.9516483516483516
2008-03-27,0.8929398148148148,0.9489621489621489
2008-03-28,0.8605324074074073,0.9262515262515262
2008-03-31,0.8721064814814814,0.9157509157509157
2008-04-01,0.9380787037037037,0.955067155067155
2008-04-02,0.9456018518518517,0.9614163614163613
2008-04-03,0.9496527777777777,0.9619047619047618
2008-04-04,0.9467592592592592,0.9577533577533577
2008-04-07,0.949074074074074,0.9626373626373627
2008-04-08,0.9531249999999999,0.9606837606837607
2008-04-09,0.8935185185185184,0.9201465201465201
2008-04-10,0.9172453703703702,0.9260073260073259
2008-04-11,0.8663194444444444,0.905006105006105
2008-04-14,0.8373842592592592,0.8652014652014651
2008-04-15,0.8275462962962963,0.8761904761904762
2008-04-16,0.8761574074074073,0.8984126984126983
2008-04-17,0.8709490740740741,0.8813186813186813
2008-04-18,0.9155092592592592,0.9221001221001219
2008-04-21,0.8859953703703703,0.9157509157509157
2008-04-22,0.8292824074074073,0.9108669108669107
2008-04-23,0.8315972222222221,0.9177045177045176
2008-04-24,0.849537037037037,0.94017094017094
2008-04-25,0.8969907407407407,0.9609279609279608
2008-04-28,0.9403935185185185,0.9658119658119657
2008-04-29,0.949074074074074,0.963125763125763
2008-04-30,0.9652777777777777,0.934065934065934
2008-05-01,1.0081018518518519,0.9653235653235653
2008-05-02,0.986111111111111,0.9533577533577533
2008-05-05,0.9837962962962963,0.9448107448107447
2008-05-06,0.9687499999999999,0.9577533577533577
2008-05-07,0.90625,0.9294261294261295
2008-05-08,0.8715277777777778,0.9326007326007325
2008-05-09,0.8738425925925926,0.9291819291819291
2008-05-12,0.9230324074074073,0.9531135531135531
2008-05-13,0.933449074074074,0.9526251526251525
2008-05-14,0.9456018518518517,0.9606837606837607
2008-05-15,0.9479166666666665,0.9746031746031745
2008-05-16,0.931712962962963,0.9755799755799756
2008-05-19,0.9056712962962963,0.996092796092796
2008-05-20,0.8831018518518517,0.9775335775335775
2008-05-21,0.8836805555555555,0.9487179487179487
2008-05-22,0.9247685185185185,0.9536019536019534
2008-05-23,0.8755787037037037,0.9264957264957264
2008-05-27,0.9230324074074073,0.9511599511599511
2008-05-28,0.9328703703703703,0.9672771672771672
2008-05-29,0.9641203703703703,0.9894993894993895
2008-05-30,0.9774305555555555,1.015140415140415
2008-06-02,0.9374999999999999,0.9892551892551892
2008-06-03,0.9658564814814815,0.9765567765567765
2008-06-04,0.9693287037037036,0.9877899877899878
2008-06-05,0.9890046296296295,1.000976800976801
2008-06-06,0.8969907407407407,0.9716727716727716
2008-06-09,0.8755787037037037,0.9521367521367521
2008-06-10,0.8912037037037037,0.9523809523809523
2008-06-11,0.8379629629629629,0.9201465201465201
2008-06-12,0.8564814814814815,0.9301587301587302
2008-06-13,0.907986111111111,0.9506715506715506
2008-06-16,0.923611111111111,0.9567765567765567
2008-06-17,0.8998842592592592,0.9506715506715506
2008-06-18,0.8582175925925926,0.9113553113553113
2008-06-19,0.8813657407407407,0.9362637362637363
2008-06-20,0.8506944444444443,0.9094017094017094
2008-06-23,0.8431712962962963,0.9081807081807081
2008-06-24,0.8327546296296297,0.9108669108669107
2008-06-25,0.8420138888888888,0.9081807081807081
2008-06-26,0.7876157407407407,0.8854700854700853
2008-06-27,0.7957175925925926,0.8945054945054945
2008-06-30,0.7841435185185185,0.8854700854700853
2008-07-01,0.7598379629629629,0.8991452991452991
2008-07-02,0.7447916666666665,0.8661782661782661
2008-07-03,0.7459490740740741,0.8678876678876678
2008-07-07,0.7581018518518517,0.8737484737484738
2008-07-08,0.8032407407407407,0.8935286935286936
2008-07-09,0.7621527777777777,0.8490842490842491
2008-07-10,0.75,0.8229548229548229
2008-07-11,0.7384259259259258,0.8139194139194138
2008-07-14,0.7320601851851851,0.8075702075702075
