,SCG,WEC
2008-02-01,1.0,1.0
2008-02-04,1.019170168067227,1.0150097889928213
2008-02-05,0.9965861344537816,1.0017402653904721
2008-02-06,0.9910714285714287,1.0054383293452251
2008-02-07,0.9936974789915968,1.0023928649118992
2008-02-08,0.994747899159664,1.000217533173809
2008-02-11,0.9821428571428571,0.997172068740483
2008-02-12,0.9934348739495799,0.998042201435719
2008-02-13,0.985031512605042,0.9889058081357407
2008-02-14,0.9881827731092439,0.9775940830976724
2008-02-15,1.0128676470588236,0.9756362845333914
2008-02-19,1.0144432773109244,0.9765064172286274
2008-02-20,1.0225840336134453,0.9730258864476832
2008-02-21,1.0091911764705883,0.9595388296715249
2008-02-22,1.0162815126050422,0.9754187513595824
2008-02-25,1.0152310924369747,0.9756362845333914
2008-02-26,1.0265231092436977,0.9767239504024363
2008-02-27,1.0105042016806722,0.9569284315858169
2008-02-28,1.0115546218487397,0.9571459647596259
2008-02-29,0.9944852941176471,0.9488797041548835
2008-03-03,0.9957983193277312,0.9580160974548618
2008-03-04,1.0057773109243697,0.9593212964977159
2008-03-05,1.003151260504202,0.9588862301500979
2008-03-06,0.9729516806722689,0.9456167065477485
2008-03-07,0.974264705882353,0.9440939743310854
2008-03-10,0.9721638655462186,0.9423537089406134
2008-03-11,0.979779411764706,0.9482271046334567
2008-03-12,0.9724264705882354,0.9399608440287144
2008-03-13,0.9750525210084034,0.9397433108549055
2008-03-14,0.9655987394957984,0.9364803132477703
2008-03-17,0.9535189075630253,0.9364803132477703
2008-03-18,0.9758403361344538,0.9530128344572548
2008-03-19,0.9645483193277311,0.9408309767239504
2008-03-20,0.9661239495798319,0.9467043724167936
2008-03-24,0.960609243697479,0.9332173156406351
2008-03-25,0.9608718487394959,0.9399608440287144
2008-03-26,0.9637605042016808,0.9408309767239504
2008-03-27,0.9650735294117647,0.9547530998477268
2008-03-28,0.9508928571428572,0.9484446378072656
2008-03-31,0.960609243697479,0.9569284315858169
2008-04-01,0.9824054621848739,0.9756362845333914
2008-04-02,1.0005252100840336,0.9878181422666956
2008-04-03,0.9897584033613446,0.9758538177072004
2008-04-04,0.9952731092436975,0.9706330215357841
2008-04-07,0.9965861344537816,0.9821622797476615
2008-04-08,1.0010504201680672,0.9828148792690885
2008-04-09,1.0131302521008403,0.9843376114857516
2008-04-10,1.0076155462184875,0.9771590167500545
2008-04-11,1.0091911764705883,0.9884707417881227
2008-04-14,1.0013130252100841,0.9839025451381335
2008-04-15,1.0010504201680672,0.9932564716119208
2008-04-16,1.0233718487394958,1.0152273221666304
2008-04-17,1.021796218487395,1.0132695236023495
2008-04-18,1.0296743697478992,1.0139221231237765
2008-04-21,1.0249474789915967,1.0087013269523601
2008-04-22,1.0168067226890756,0.9991298673047639
2008-04-23,1.0196953781512605,1.0091363932999782
2008-04-24,1.0386029411764706,1.0126169240809224
2008-04-25,1.050420168067227,1.0137045899499675
2008-04-28,1.0399159663865547,1.0165325212094845
2008-04-29,1.0428046218487395,1.0073961279095063
2008-04-30,1.035451680672269,1.0324124428975419
2008-05-01,1.059873949579832,1.036545573199913
2008-05-02,1.0577731092436975,1.0404611703284752
2008-05-05,1.044905462184874,1.033282575592778
2008-05-06,1.0535714285714286,1.036110506852295
2008-05-07,1.0441176470588236,1.0191429192951926
2008-05-08,1.0569852941176472,1.0458994996737003
2008-05-09,1.0346638655462186,1.0443767674570372
2008-05-12,1.0509453781512605,1.0458994996737003
2008-05-13,1.0509453781512605,1.0474222318903632
2008-05-14,1.0638130252100841,1.0480748314117903
2008-05-15,1.053046218487395,1.0448118338046553
2008-05-16,1.0622373949579833,1.0485098977594085
2008-05-19,1.0698529411764708,1.0541657602784424
2008-05-20,1.0727415966386555,1.0524254948879705
2008-05-21,1.0674894957983194,1.0461170328475093
2008-05-22,1.0777310924369747,1.0578638242331957
2008-05-23,1.050420168067227,1.038720904938003
2008-05-27,1.0551470588235294,1.0476397650641722
2008-05-28,1.0617121848739497,1.0452469001522733
2008-05-29,1.0669642857142858,1.0495975636284534
2008-05-30,1.0540966386554622,1.0450293669784643
2008-06-02,1.0493697478991597,1.041331303023711
2008-06-03,1.0417542016806725,1.0358929736784859
2008-06-04,1.0651260504201683,1.0406787035022842
2008-06-05,1.0772058823529413,1.0480748314117903
2008-06-06,1.0375525210084033,1.0311072438546878
2008-06-09,1.043329831932773,1.038938438111812
2008-06-10,1.0430672268907564,1.0376332390689582
2008-06-11,1.0365021008403361,1.0293669784642159
2008-06-12,1.0296743697478992,1.0274091798999347
2008-06-13,1.039390756302521,1.0304546443332607
2008-06-16,1.0443802521008405,1.035240374157059
2008-06-17,1.0459558823529411,1.038285838590385
2008-06-18,1.02468487394958,1.035240374157059
2008-06-19,1.0181197478991597,1.034805307809441
2008-06-20,0.9992121848739496,1.0189253861213836
2008-06-23,0.9978991596638656,1.0208831846856645
2008-06-24,0.983718487394958,1.0130519904285404
2008-06-25,0.9965861344537816,1.0245812486404178
2008-06-26,0.9787289915966387,0.9936915379595388
2008-06-27,0.9661239495798319,0.9782466826190994
2008-06-30,0.9716386554621849,0.9836850119643246
2008-07-01,0.9734768907563026,0.9828148792690885
2008-07-02,0.9669117647058824,0.9815096802262344
2008-07-03,0.9582457983193279,0.9823798129214705
2008-07-07,0.9595588235294118,0.9847726778333696
2008-07-08,0.9716386554621849,0.9908636067000217
2008-07-09,0.9745273109243697,1.0076136610833153
2008-07-10,0.9784663865546218,1.0054383293452251
2008-07-11,0.9674369747899161,0.998912334130955
2008-07-14,0.9561449579831932,0.9771590167500545
