"","X1","BBGI","ANF","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02926829268293,1.00903119868637,NA,0.722943722943723,0.683982683982684,0.747223346090627,0.704173880069129
"3",2009-01-06,1.24878048780488,1.00738916256158,"ANF",0.961038961038961,0.523809523809524,0.977260690863262,0.536617417268924
"4",2009-01-07,1.46341463414634,0.974548440065681,"ANF",0.952380952380952,0.173160173160173,0.956206264699849,0.242802993011454
"5",2009-01-08,1.57560975609756,0.94047619047619,"ANF",0.883116883116883,0.155844155844156,0.878497987146444,0.177330443529402
"6",2009-01-09,1.80487804878049,0.883825944170772,"ANF",0.926406926406926,0.0606060606060606,0.886982514385743,0.0869066686205029
"7",2009-01-12,1.74829268292683,0.871100164203612,"ANF",0.316017316017316,0.385281385281385,0.292264319882894,0.368336485296473
"8",2009-01-13,1.29268292682927,0.85303776683087,"ANF",0.012987012987013,0.32034632034632,0.00644287756551618,0.375281635026119
"9",2009-01-14,1.61951219512195,0.799671592775041,"ANF",0.974025974025974,0.0606060606060606,0.957123893242107,0.136718975653981
"10",2009-01-15,1.46336585365854,0.834975369458128,"ANF",0.121212121212121,0.904761904761905,0.149178688905444,0.891734115699456
"11",2009-01-16,1.41951219512195,0.880541871921182,"ANF",0.324675324675325,0.922077922077922,0.36415726417235,0.941056253557316
"12",2009-01-20,1.27809756097561,0.812807881773399,"ANF",0.116883116883117,0.038961038961039,0.169323397252066,0.039653278856541
"13",2009-01-21,1.03043902439024,0.839490968801314,"ANF",0.025974025974026,0.848484848484849,0.0238480764671969,0.747283043524602
"14",2009-01-22,1.02926829268293,0.832922824302135,"ANF",0.476190476190476,0.476190476190476,0.47216593334561,0.47216593334561
"15",2009-01-23,0.926829268292683,0.820197044334975,"ANF",0.116883116883117,0.372294372294372,0.0896776873235002,0.367631487847326
"16",2009-01-26,0.731707317073171,0.828407224958949,NA,0.0173160173160173,0.701298701298701,0.00983255059667497,0.605575434283014
"17",2009-01-27,0.785365853658537,0.777914614121511,NA,0.87012987012987,0.0606060606060606,0.817394724774844,0.0659615459724607
"18",2009-01-28,0.785365853658537,0.82183908045977,NA,0.54978354978355,0.926406926406926,0.558615085766142,0.950007541157281
"19",2009-01-29,0.75609756097561,0.779146141215107,NA,0.285714285714286,0.0865800865800866,0.296317521831605,0.0663451121390666
"20",2009-01-30,0.757560975609756,0.732758620689655,NA,0.558441558441558,0.0649350649350649,0.530313971477011,0.0434815491599671
"21",2009-02-02,0.687804878048781,0.759031198686371,NA,0.125541125541126,0.865800865800866,0.137582967506159,0.849778816843287
"22",2009-02-03,0.770731707317073,0.761904761904762,NA,0.913419913419913,0.614718614718615,0.937955233331715,0.615667541270417
"23",2009-02-04,0.829268292682927,0.745484400656814,NA,0.878787878787879,0.311688311688312,0.8990570761122,0.335379205139926
"24",2009-02-05,1.1609756097561,0.820197044334975,"ANF",0.974025974025974,0.987012987012987,0.912267407606477,0.966009287893804
"25",2009-02-06,1.06341463414634,0.860426929392447,"ANF",0.147186147186147,0.922077922077922,0.188686243657862,0.918838282486948
"26",2009-02-09,1.05829268292683,0.860837438423645,"ANF",0.458874458874459,0.567099567099567,0.45577950090945,0.574621012922566
"27",2009-02-10,1.05853658536585,0.833333333333333,"ANF",0.54978354978355,0.177489177489178,0.538228038759647,0.148116250237788
"28",2009-02-11,1.05853658536585,0.819786535303777,"ANF",0.54978354978355,0.363636363636364,0.550874320236615,0.347875009714159
"29",2009-02-12,1.05829268292683,0.849753694581281,"ANF",0.476190476190476,0.865800865800866,0.491120519383515,0.895135598050482
"30",2009-02-13,1.05853658536585,0.935139573070608,"ANF",0.54978354978355,0.987012987012987,0.549678157948503,0.994176891581545
"31",2009-02-17,0.945853658536585,0.938834154351396,"ANF",0.0995670995670996,0.614718614718615,0.0754986022367551,0.588215869400791
"32",2009-02-18,0.746341463414634,0.91871921182266,NA,0.0173160173160173,0.316017316017316,0.00922222520702716,0.365842614792572
"33",2009-02-19,0.829268292682927,0.931444991789819,NA,0.909090909090909,0.74025974025974,0.927815139042404,0.728969533844943
"34",2009-02-20,0.663414634146342,0.928571428571429,"BBGI",0.0216450216450216,0.510822510822511,0.0109765047525923,0.485892977705157
"35",2009-02-23,0.663414634146342,0.88423645320197,"BBGI",0.54978354978355,0.0995670995670996,0.529140247463852,0.0732848712803393
"36",2009-02-24,0.629317073170732,0.931444991789819,"BBGI",0.220779220779221,0.922077922077922,0.265693169045127,0.931806829540557
"37",2009-02-25,0.536585365853659,0.929802955665025,"BBGI",0.0649350649350649,0.523809523809524,0.043007447461937,0.501883773663456
"38",2009-02-26,0.541463414634146,0.900656814449918,"BBGI",0.61038961038961,0.181818181818182,0.60024044347998,0.155529733819748
"39",2009-02-27,0.541463414634146,0.902709359605911,"BBGI",0.54978354978355,0.597402597402597,0.559301365816923,0.611676867930848
"40",2009-03-02,0.521951219512195,0.851806239737274,"BBGI",0.29004329004329,0.0692640692640693,0.307160976452318,0.0507477168549955
"41",2009-03-03,0.492682926829268,0.840311986863711,"BBGI",0.207792207792208,0.38961038961039,0.177980100739276,0.376188996087153
"42",2009-03-04,0.531707317073171,0.859195402298851,"BBGI",0.883116883116883,0.796536796536797,0.896924954981777,0.791647195535174
"43",2009-03-05,0.487804878048781,0.748768472906404,"BBGI",0.147186147186147,0.0173160173160173,0.237863403392594,0.0141269121265127
"44",2009-03-06,0.487853658536585,0.717980295566502,"BBGI",0.54978354978355,0.12987012987013,0.533171309072037,0.101387135624963
