"","X1","INCY","DLLR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01298701298701,1,NA,0.666666666666667,0.558441558441558,0.65331805767098,0.455353611142755
"3",2009-01-06,1.02857142857143,0.994285714285714,NA,0.67965367965368,0.489177489177489,0.702920717721314,0.363408708713977
"4",2009-01-07,1,0.931428571428571,NA,0.25974025974026,0.0865800865800866,0.604714946725821,0.0814020147234128
"5",2009-01-08,1.05974025974026,0.947619047619048,NA,0.913419913419913,0.714285714285714,0.911678928348469,0.448958363422154
"6",2009-01-09,0.981818181818182,0.879047619047619,NA,0.0865800865800866,0.0606060606060606,0.336990395516669,0.17619281136634
"7",2009-01-12,0.984415584415584,0.877142857142857,NA,0.58008658008658,0.523809523809524,0.562946655615859,0.460520599331598
"8",2009-01-13,1.02077922077922,0.835238095238095,"DLLR",0.835497835497836,0.134199134199134,0.957301252098415,0.0274941064276078
"9",2009-01-14,1.01298701298701,0.841904761904762,"DLLR",0.445887445887446,0.640692640692641,0.333153483933117,0.678779275140495
"10",2009-01-15,1.00779220779221,0.80952380952381,"DLLR",0.476190476190476,0.181818181818182,0.691939904466259,0.116268517510403
"11",2009-01-16,0.942857142857143,0.808571428571429,"DLLR",0.116883116883117,0.541125541125541,0.0479466285454459,0.817741372117282
"12",2009-01-20,0.8,0.760952380952381,"DLLR",0.00865800865800866,0.0909090909090909,0.0107957445731029,0.772792630851579
"13",2009-01-21,0.864935064935065,0.755238095238095,"DLLR",0.948051948051948,0.471861471861472,0.973781180491108,0.168668851127621
"14",2009-01-22,0.779220779220779,0.722857142857143,"DLLR",0.051948051948052,0.16017316017316,0.0723525050143662,0.561505493154337
"15",2009-01-23,0.763636363636364,0.734285714285714,"DLLR",0.316017316017316,0.692640692640693,0.174387649604165,0.798018106784107
"16",2009-01-26,0.794805194805195,0.756190476190476,"DLLR",0.848484848484849,0.813852813852814,0.770131187524724,0.682913502533774
"17",2009-01-27,0.807792207792208,0.785714285714286,"DLLR",0.683982683982684,0.844155844155844,0.493748239632789,0.828935026725353
"18",2009-01-28,0.815584415584416,0.824761904761905,NA,0.627705627705628,0.891774891774892,0.373445554005905,0.90416079789429
"19",2009-01-29,0.766233766233766,0.814285714285714,NA,0.121212121212121,0.424242424242424,0.0717862086157178,0.718801046325302
"20",2009-01-30,0.761038961038961,0.747619047619048,NA,0.45021645021645,0.038961038961039,0.884809582171807,0.0100288179129773
"21",2009-02-02,0.776623376623377,0.757142857142857,NA,0.718614718614719,0.67965367965368,0.659203769172923,0.583134933839555
"22",2009-02-03,0.85974025974026,0.687619047619048,"DLLR",0.965367965367965,0.025974025974026,0.998676394439475,0.000737996248740802
"23",2009-02-04,0.888311688311688,0.69047619047619,"DLLR",0.805194805194805,0.606060606060606,0.806457848989669,0.426474188468819
"24",2009-02-05,0.893506493506493,0.668571428571428,"DLLR",0.597402597402597,0.229437229437229,0.762926283002636,0.125938712729938
"25",2009-02-06,0.945454545454545,0.768571428571429,"DLLR",0.904761904761905,0.995670995670996,0.324772396261019,0.995093856808314
"26",2009-02-09,0.911688311688312,0.744761904761905,"DLLR",0.207792207792208,0.229437229437229,0.288551706865023,0.345984397207478
"27",2009-02-10,0.849350649350649,0.730476190476191,"DLLR",0.116883116883117,0.359307359307359,0.0842791052931352,0.660600054189008
"28",2009-02-11,0.877922077922078,0.749523809523809,"DLLR",0.805194805194805,0.792207792207792,0.716357042113672,0.686522358773124
"29",2009-02-12,0.890909090909091,0.768571428571429,"DLLR",0.675324675324675,0.783549783549784,0.533166966201115,0.750253920669306
"30",2009-02-13,0.85974025974026,0.753333333333333,"DLLR",0.207792207792208,0.359307359307359,0.193256199892534,0.530110158287446
"31",2009-02-17,0.818181818181818,0.733333333333333,"DLLR",0.155844155844156,0.281385281385281,0.168138260499931,0.496196956964597
"32",2009-02-18,0.807792207792208,0.714285714285714,"DLLR",0.393939393939394,0.285714285714286,0.494484033685241,0.272409867645617
"33",2009-02-19,0.735064935064935,0.69047619047619,"DLLR",0.0606060606060606,0.207792207792208,0.0645268413657972,0.608903608182762
"34",2009-02-20,0.664935064935065,0.651428571428571,"DLLR",0.0606060606060606,0.0952380952380952,0.16010048858266,0.364186087512865
"35",2009-02-23,0.688311688311688,0.62,"DLLR",0.826839826839827,0.134199134199134,0.954091784002032,0.0282362168890321
"36",2009-02-24,0.698701298701299,0.66,"DLLR",0.675324675324675,0.922077922077922,0.38732653149393,0.930066885275775
"37",2009-02-25,0.693506493506494,0.619047619047619,"DLLR",0.445887445887446,0.0865800865800866,0.791630831425335,0.0390069149653631
"38",2009-02-26,0.646753246753247,0.572380952380952,"DLLR",0.116883116883117,0.0476190476190476,0.484906511840201,0.0947373782460259
"39",2009-02-27,0.6,0.579047619047619,"DLLR",0.0909090909090909,0.666666666666667,0.0221405806189381,0.910670000739623
"40",2009-03-02,0.592207792207792,0.554285714285714,"DLLR",0.38961038961039,0.164502164502165,0.621330327218354,0.127063932851177
"41",2009-03-03,0.576623376623377,0.548571428571429,"DLLR",0.268398268398268,0.445887445887446,0.22303407511243,0.57364901157103
"42",2009-03-04,0.628571428571429,0.556190476190476,"DLLR",0.952380952380952,0.683982683982684,0.962344349464476,0.338775121734007
"43",2009-03-05,0.558441558441558,0.511428571428571,"DLLR",0.0346320346320346,0.038961038961039,0.209459224711589,0.259422828769142
"44",2009-03-06,0.555844155844156,0.480952380952381,"DLLR",0.484848484848485,0.0865800865800866,0.818818584475357,0.0343930694595739
