"","X1","DW","REX","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.986178861788618,0.97103274559194,NA,0.38961038961039,0.233766233766234,0.547850356900504,0.227764578012354
"3",2009-01-06,0.970731707317073,1.01007556675063,NA,0.376623376623377,0.844155844155844,0.152714063871248,0.936306053238178
"4",2009-01-07,0.930894308943089,0.976070528967254,NA,0.19047619047619,0.207792207792208,0.279116367098715,0.324957426536007
"5",2009-01-08,0.939837398373984,1.044080604534,NA,0.640692640692641,0.935064935064935,0.234414222542185,0.964662051106355
"6",2009-01-09,0.859349593495935,0.930730478589421,NA,0.0432900432900433,0.0303030303030303,0.290422432293064,0.148021559442532
"7",2009-01-12,0.826016260162602,0.900503778337531,NA,0.19047619047619,0.216450216450216,0.271370488072415,0.339193136243117
"8",2009-01-13,0.834146341463415,0.886649874055416,NA,0.640692640692641,0.380952380952381,0.750618837410965,0.280603698958578
"9",2009-01-14,0.77479674796748,0.761964735516373,NA,0.0606060606060606,0.012987012987013,0.558890580216464,0.0328617464673577
"10",2009-01-15,0.764227642276423,0.842569269521411,NA,0.38961038961039,0.96969696969697,0.0488449195232983,0.995956262140018
"11",2009-01-16,0.71869918699187,0.909319899244332,"DW",0.0952380952380952,0.943722943722944,0.00797588200915289,0.995944481600223
"12",2009-01-20,0.693495934959349,0.828715365239295,"DW",0.199134199134199,0.0432900432900433,0.612007986610204,0.0418019799138407
"13",2009-01-21,0.738211382113821,0.894206549118388,"DW",0.913419913419913,0.943722943722944,0.651353072734776,0.838090198874621
"14",2009-01-22,0.695121951219512,0.85264483627204,"DW",0.0952380952380952,0.134199134199134,0.178053142522091,0.331223489351392
"15",2009-01-23,0.710569105691057,0.819899244332494,"DW",0.770562770562771,0.173160173160173,0.931000997250001,0.0598547192005034
"16",2009-01-26,0.702439024390244,0.877833753148615,"DW",0.424242424242424,0.939393939393939,0.0955835383649936,0.985103041263648
"17",2009-01-27,0.695934959349593,0.845088161209068,"DW",0.441558441558442,0.181818181818182,0.656904958542892,0.144563651780799
"18",2009-01-28,0.730894308943089,0.885390428211587,"DW",0.887445887445887,0.865800865800866,0.768519610276861,0.683059017768561
"19",2009-01-29,0.714634146341463,0.792191435768262,"DW",0.294372294372294,0.0303030303030303,0.763284322811537,0.0162620066333178
"20",2009-01-30,0.700813008130081,0.730478589420655,"DW",0.324675324675325,0.051948051948052,0.722577918941516,0.0323757419475239
"21",2009-02-02,0.705691056910569,0.789672544080604,"DW",0.601731601731602,0.943722943722944,0.184491214703398,0.975908931771528
"22",2009-02-03,0.687804878048781,0.831234256926952,"DW",0.272727272727273,0.883116883116883,0.072592376800665,0.970748204975623
"23",2009-02-04,0.64390243902439,0.858942065491184,"DW",0.0692640692640693,0.822510822510823,0.0121516161690484,0.973740512389649
"24",2009-02-05,0.655284552845528,0.863979848866499,"DW",0.718614718614719,0.601731601731602,0.728632063217846,0.485350467991957
"25",2009-02-06,0.692682926829268,0.955919395465995,"DW",0.896103896103896,0.96969696969697,0.454204419722793,0.939087840333462
"26",2009-02-09,0.660162601626016,0.965994962216625,"DW",0.147186147186147,0.670995670995671,0.0630356204172119,0.881314972863702
"27",2009-02-10,0.601626016260163,0.933249370277078,"DW",0.038961038961039,0.207792207792208,0.0342921358840269,0.641534300500084
"28",2009-02-11,0.589430894308943,0.948362720403023,"DW",0.311688311688312,0.718614718614719,0.173000912693829,0.855414973851662
"29",2009-02-12,0.626016260162602,0.948362720403023,"DW",0.904761904761905,0.554112554112554,0.95245916968961,0.219579215626373
"30",2009-02-13,0.656910569105691,0.930730478589421,"DW",0.878787878787879,0.337662337662338,0.962469938607516,0.106040450841771
"31",2009-02-17,0.645528455284553,0.850125944584383,"DW",0.346320346320346,0.0476190476190476,0.752266103286906,0.0266465869733287
"32",2009-02-18,0.591056910569106,0.828715365239295,"DW",0.0432900432900433,0.255411255411255,0.0319256485863831,0.680197403627538
"33",2009-02-19,0.573170731707317,0.804785894206549,"DW",0.246753246753247,0.233766233766234,0.34524230887697,0.314403068150722
"34",2009-02-20,0.589430894308943,0.896725440806045,"DW",0.792207792207792,0.974025974025974,0.240828585793448,0.981379493858822
"35",2009-02-23,0.568292682926829,0.824937027707809,"DW",0.199134199134199,0.051948051948052,0.578756954177494,0.0541351502754428
"36",2009-02-24,0.560975609756098,0.8727959697733,"DW",0.406926406926407,0.9004329004329,0.12678713797745,0.967245293688803
"37",2009-02-25,0.534146341463415,0.896725440806045,"DW",0.138528138528139,0.779220779220779,0.0413159914069691,0.943462181227088
"38",2009-02-26,0.532520325203252,0.835012594458438,"DW",0.489177489177489,0.0779220779220779,0.808634288241979,0.0379257845897181
"39",2009-02-27,0.504878048780488,0.824937027707809,"DW",0.121212121212121,0.41991341991342,0.085219674473944,0.696514154099051
"40",2009-03-02,0.500813008130081,0.81360201511335,"DW",0.45021645021645,0.406926406926407,0.50424027294816,0.42100117470832
"41",2009-03-03,0.494308943089431,0.808564231738035,"DW",0.406926406926407,0.497835497835498,0.392825427131839,0.56562885523856
"42",2009-03-04,0.528455284552846,0.848866498740554,"DW",0.935064935064935,0.874458874458874,0.868910596225479,0.575384961261267
"43",2009-03-05,0.478048780487805,0.76448362720403,"DW",0.0303030303030303,0.038961038961039,0.165171194340056,0.26582190957528
"44",2009-03-06,0.491056910569106,0.863979848866499,"DW",0.787878787878788,0.974025974025974,0.236008681898032,0.981944535340975
