,CUNB,CMS
2008-02-01,1.0,1.0
2008-02-04,0.9865248226950355,1.0118232731798382
2008-02-05,0.9929078014184397,0.9775980087118855
2008-02-06,1.0,0.9732420659614188
2008-02-07,1.0,0.9794648413192284
2008-02-08,1.0,0.9769757311761045
2008-02-11,1.0,0.9782202862476664
2008-02-12,1.0,1.000622277535781
2008-02-13,1.0,0.9838207840696951
2008-02-14,1.0460992907801419,0.9744866210329807
2008-02-15,1.0283687943262412,0.9769757311761045
2008-02-19,1.0496453900709222,0.9676415681393902
2008-02-20,1.0283687943262412,0.9670192906036091
2008-02-21,1.0,0.9632856253889235
2008-02-22,1.0205673758865248,0.9607965152457996
2008-02-25,1.0460992907801419,0.9533291848164281
2008-02-26,1.0460992907801419,0.95457373988799
2008-02-27,1.0460992907801419,0.9321717485998755
2008-02-28,1.0567375886524824,0.9290603609209708
2008-02-29,1.0425531914893618,0.895457373988799
2008-03-03,1.0773049645390071,0.8886123210952084
2008-03-04,1.0283687943262412,0.8867454884878656
2008-03-05,0.9964539007092199,0.8730553827006845
2008-03-06,0.9929078014184397,0.8606098319850654
2008-03-07,1.0205673758865248,0.8562538892345986
2008-03-10,0.9929078014184397,0.8469197261978842
2008-03-11,0.9893617021276595,0.8637212196639702
2008-03-12,1.0,0.8438083385189795
2008-03-13,0.9645390070921985,0.8444306160547604
2008-03-14,0.9184397163120567,0.8369632856253889
2008-03-17,0.8971631205673759,0.8307405102675793
2008-03-18,0.851063829787234,0.8556316116988176
2008-03-19,0.851063829787234,0.8481642812694462
2008-03-20,0.8156028368794327,0.8606098319850654
2008-03-24,0.8503546099290781,0.8556316116988176
2008-03-25,0.8368794326241136,0.865588052271313
2008-03-26,0.8368794326241136,0.8556316116988176
2008-03-27,0.8333333333333334,0.8525202240199128
2008-03-28,0.7907801418439717,0.8375855631611699
2008-03-31,0.7730496453900709,0.8425637834474174
2008-04-01,0.8120567375886525,0.8574984443061605
2008-04-02,0.7624113475177305,0.8780336029869321
2008-04-03,0.7624113475177305,0.8817672682016179
2008-04-04,0.7801418439716312,0.8892345986309893
2008-04-07,0.8085106382978724,0.8886123210952084
2008-04-08,0.8156028368794327,0.881144990665837
2008-04-09,0.8851063829787235,0.881144990665837
2008-04-10,0.8865248226950355,0.8917237087741132
2008-04-11,0.8446808510638298,0.880522713130056
2008-04-14,0.8333333333333334,0.8730553827006845
2008-04-15,0.8617021276595745,0.8792781580584941
2008-04-16,0.875886524822695,0.9016801493466086
2008-04-17,0.851063829787234,0.9029247044181705
2008-04-18,0.8794326241134752,0.9066583696328563
2008-04-21,0.8687943262411347,0.8948350964530181
2008-04-22,0.8687943262411347,0.8817672682016179
2008-04-23,0.8687943262411347,0.8886123210952084
2008-04-24,0.8680851063829788,0.8892345986309893
2008-04-25,0.9035460992907802,0.89607965152458
2008-04-28,0.9397163120567376,0.9010578718108276
2008-04-29,1.0460992907801419,0.8935905413814561
2008-04-30,1.0106382978723405,0.9072806471686372
2008-05-01,0.9929078014184397,0.9222153080273802
2008-05-02,0.9929078014184397,0.940261356565028
2008-05-05,1.0070921985815602,0.9085252022401991
2008-05-06,0.9964539007092199,0.9321717485998755
2008-05-07,0.975177304964539,0.9122588674548848
2008-05-08,0.975177304964539,0.9122588674548848
2008-05-09,0.9921985815602837,0.9346608587429993
2008-05-12,0.9921985815602837,0.9539514623522091
2008-05-13,0.9645390070921985,0.9477286869943995
2008-05-14,0.9574468085106383,0.9477286869943995
2008-05-15,0.9574468085106383,0.9439950217797137
2008-05-16,0.9574468085106383,0.9477286869943995
2008-05-19,0.9574468085106383,0.9632856253889235
2008-05-20,0.922695035460993,0.9601742377100186
2008-05-21,0.9219858156028369,0.9471064094586186
2008-05-22,0.9219858156028369,0.9551960174237709
2008-05-23,0.9078014184397164,0.9377722464219042
2008-05-27,0.8865248226950355,0.9433727442439328
2008-05-28,0.8865248226950355,0.9520846297448662
2008-05-29,0.9078014184397164,0.9645301804604853
2008-05-30,0.9042553191489362,0.970130678282514
2008-06-02,0.9042553191489362,0.9632856253889235
2008-06-03,0.9184397163120567,0.9657747355320473
2008-06-04,0.900709219858156,0.9775980087118855
2008-06-05,0.9219858156028369,0.9850653391412569
2008-06-06,0.9219858156028369,0.9564405724953329
2008-06-09,0.9397163120567376,0.9688861232109521
2008-06-10,0.9397163120567376,0.9744866210329807
2008-06-11,0.9148936170212767,0.9695084007467331
2008-06-12,0.9219858156028369,0.9632856253889235
2008-06-13,0.9219858156028369,0.9775980087118855
2008-06-16,0.9219858156028369,0.9788425637834475
2008-06-17,0.9219858156028369,0.9807093963907902
2008-06-18,0.9219858156028369,0.9738643434971997
2008-06-19,0.9219858156028369,0.9738643434971997
2008-06-20,0.9219858156028369,0.9533291848164281
2008-06-23,0.922695035460993,0.95457373988799
2008-06-24,0.922695035460993,0.9377722464219042
2008-06-25,0.922695035460993,0.9508400746733042
2008-06-26,0.922695035460993,0.9271935283136279
2008-06-27,0.9219858156028369,0.9072806471686372
2008-06-30,0.8971631205673759,0.9271935283136279
2008-07-01,0.8971631205673759,0.9278158058494088
2008-07-02,0.8971631205673759,0.9066583696328563
2008-07-03,0.8971631205673759,0.8873677660236465
2008-07-07,0.8794326241134752,0.8618543870566272
2008-07-08,0.8687943262411347,0.8855009334163036
2008-07-09,0.8687943262411347,0.8879900435594275
2008-07-10,0.8156028368794327,0.8855009334163036
2008-07-11,0.8156028368794327,0.8749222153080274
2008-07-14,0.8156028368794327,0.8674548848786559
2008-07-15,0.7978723404255319,0.8618543870566272
