"","X1","BWS","HOG","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.954493742889648,1.02880434782609,NA,0.203463203463203,0.83982683982684,0.0244736124424075,0.980437928480379
"3",2009-01-06,0.949943117178612,1.07608695652174,"BWS",0.463203463203463,0.909090909090909,0.0762192190965464,0.980715408777747
"4",2009-01-07,0.893060295790671,0.942934782608696,"BWS",0.12987012987013,0.0173160173160173,0.791578919877014,0.0156988275957002
"5",2009-01-08,0.91353811149033,0.955434782608696,"BWS",0.727272727272727,0.705627705627706,0.631857028915902,0.558909734803702
"6",2009-01-09,0.824800910125142,0.869565217391304,"BWS",0.038961038961039,0.025974025974026,0.372236169629755,0.167263618623452
"7",2009-01-12,0.775881683731513,0.767934782608696,NA,0.134199134199134,0.0216450216450216,0.770254166459001,0.0213963029525956
"8",2009-01-13,0.820250284414107,0.759239130434783,NA,0.878787878787879,0.385281385281385,0.976634690830577,0.0629782200147428
"9",2009-01-14,0.725824800910125,0.729891304347826,NA,0.0346320346320346,0.151515151515152,0.0377622773088133,0.728917850443928
"10",2009-01-15,0.738339021615472,0.758152173913043,NA,0.696969696969697,0.887445887445887,0.266967758374123,0.915622312807699
"11",2009-01-16,0.742889647326508,0.744565217391304,NA,0.606060606060606,0.316017316017316,0.833399000744721,0.14354400082758
"12",2009-01-20,0.625711035267349,0.653260869565217,NA,0.0173160173160173,0.0173160173160173,0.244939602621349,0.244939602621349
"13",2009-01-21,0.691695108077361,0.736956521739131,NA,0.956709956709957,0.995670995670996,0.234041556647698,0.989962699790542
"14",2009-01-22,0.626848691695108,0.673913043478261,NA,0.038961038961039,0.038961038961039,0.266859520006326,0.266859520006326
"15",2009-01-23,0.616609783845279,0.625,NA,0.367965367965368,0.0476190476190476,0.89121292955886,0.0136625726000836
"16",2009-01-26,0.612059158134243,0.627173913043478,NA,0.45021645021645,0.575757575757576,0.331254377658283,0.679172235020694
"17",2009-01-27,0.623435722411832,0.660326086956522,NA,0.705627705627706,0.917748917748918,0.219741897157315,0.948177906038226
"18",2009-01-28,0.629124004550626,0.701086956521739,NA,0.614718614718615,0.939393939393939,0.116505033652454,0.981266513893097
"19",2009-01-29,0.598407281001138,0.69945652173913,"BWS",0.186147186147186,0.493506493506494,0.0819979135405398,0.833717531692045
"20",2009-01-30,0.533560864618885,0.66195652173913,"BWS",0.038961038961039,0.0735930735930736,0.131734660934284,0.471721232221993
"21",2009-02-02,0.498293515358362,0.644565217391304,"BWS",0.0952380952380952,0.238095238095238,0.0953336425443289,0.675484230378086
"22",2009-02-03,0.489192263936291,0.746195652173913,"BWS",0.354978354978355,0.995670995670996,0.0226039287630002,0.999799322018228
"23",2009-02-04,0.48122866894198,0.690217391304348,"BWS",0.367965367965368,0.0476190476190476,0.89121292955886,0.0136625726000836
"24",2009-02-05,0.489192263936291,0.710869565217391,"BWS",0.67965367965368,0.844155844155844,0.319953734969676,0.865899095049737
"25",2009-02-06,0.517633674630262,0.783695652173913,"BWS",0.878787878787879,0.982683982683983,0.221950905758547,0.982403011315119
"26",2009-02-09,0.480091012514221,0.777173913043478,"BWS",0.0692640692640693,0.415584415584416,0.0203073560663004,0.889236294349553
"27",2009-02-10,0.449374288964733,0.714130434782609,"BWS",0.108225108225108,0.0432900432900433,0.577817761850353,0.0906577060037901
"28",2009-02-11,0.452787258248009,0.728804347826087,"BWS",0.606060606060606,0.757575757575758,0.342668397877388,0.795891076665939
"29",2009-02-12,0.437997724687145,0.668478260869565,"BWS",0.251082251082251,0.0432900432900433,0.823182204410546,0.0231766545330146
"30",2009-02-13,0.433447098976109,0.668478260869565,"BWS",0.424242424242424,0.528138528138528,0.34424273344542,0.636179308072603
"31",2009-02-17,0.42320819112628,0.644565217391304,"BWS",0.316017316017316,0.164502164502165,0.658644587452415,0.150329692404855
"32",2009-02-18,0.42320819112628,0.616847826086957,"BWS",0.510822510822511,0.125541125541126,0.891566905856982,0.0372943195227163
"33",2009-02-19,0.415244596131968,0.585326086956522,"BWS",0.354978354978355,0.0865800865800866,0.829480985001142,0.0401823735073525
"34",2009-02-20,0.414106939704209,0.58804347826087,"BWS",0.484848484848485,0.584415584415584,0.373841293200832,0.65475868401647
"35",2009-02-23,0.424345847554039,0.560326086956522,"BWS",0.727272727272727,0.112554112554113,0.9677732550888,0.0141122915140928
"36",2009-02-24,0.45164960182025,0.570108695652174,"BWS",0.913419913419913,0.74025974025974,0.929651345938849,0.271157775974298
"37",2009-02-25,0.42320819112628,0.54945652173913,"BWS",0.112554112554113,0.16017316017316,0.21692091366624,0.45967200902965
"38",2009-02-26,0.424345847554039,0.555978260869565,"BWS",0.554112554112554,0.696969696969697,0.344625889939759,0.753397955891367
"39",2009-02-27,0.406143344709898,0.548913043478261,"BWS",0.212121212121212,0.367965367965368,0.181082413298134,0.661732158863046
"40",2009-03-02,0.381114903299204,0.494021739130435,"BWS",0.121212121212121,0.025974025974026,0.718671357471037,0.0340016380107478
"41",2009-03-03,0.360637087599545,0.503260869565217,"BWS",0.164502164502165,0.744588744588745,0.0244998576178521,0.963609321188301
"42",2009-03-04,0.369738339021616,0.483695652173913,"BWS",0.727272727272727,0.151515151515152,0.961452171747411,0.0227268003945315
"43",2009-03-05,0.308304891922639,0.445652173913043,"BWS",0.0173160173160173,0.0432900432900433,0.0850795749073543,0.510851136204261
"44",2009-03-06,0.258248009101251,0.452717391304348,"BWS",0.0173160173160173,0.731601731601732,0.0010555191353157,0.980913212975925
