"","X1","ESS","EQR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.997866097626034,0.966702089975204,NA,0.458874458874459,0.19047619047619,0.931127550567696,0.0315224247572302
"3",2009-01-06,1.01733795678848,0.989727240524265,NA,0.783549783549784,0.757575757575758,0.675635268888916,0.473244662969398
"4",2009-01-07,0.996932515337423,0.964222458377612,NA,0.25974025974026,0.264069264069264,0.416956093591852,0.448431085468852
"5",2009-01-08,0.967724726593758,0.953595465816507,NA,0.194805194805195,0.38961038961039,0.0553698271962167,0.886470087646254
"6",2009-01-09,0.911042944785276,0.914629826425788,NA,0.0735930735930736,0.155844155844156,0.053300640568678,0.82804639112897
"7",2009-01-12,0.841691117631368,0.862557562876373,NA,0.051948051948052,0.0779220779220779,0.142980257603709,0.659613087506324
"8",2009-01-13,0.876100293411576,0.910024796315976,NA,0.874458874458874,0.883116883116883,0.549207310259063,0.660982992878351
"9",2009-01-14,0.85462790077354,0.884520014169323,NA,0.216450216450216,0.242424242424242,0.324364731111084,0.526755337030602
"10",2009-01-15,0.906241664443852,0.928799149840595,NA,0.917748917748918,0.874458874458874,0.863823189316856,0.311075825482381
"11",2009-01-16,0.949053080821552,0.965993623804463,NA,0.896103896103896,0.844155844155844,0.857217744132052,0.307607223226323
"12",2009-01-20,0.876500400106695,0.85653560042508,NA,0.051948051948052,0.025974025974026,0.776966047043901,0.0644524958089243
"13",2009-01-21,0.932782075220059,0.927736450584485,NA,0.926406926406926,0.943722943722944,0.425925331197119,0.794092418825431
"14",2009-01-22,0.873566284342491,0.863620262132483,NA,0.0692640692640693,0.0692640692640693,0.380186299390908,0.380186299390908
"15",2009-01-23,0.893571619098426,0.890187743535246,NA,0.805194805194805,0.80952380952381,0.567017158798487,0.605838811623794
"16",2009-01-26,0.888370232061883,0.875309953949699,NA,0.406926406926407,0.337662337662338,0.663259583150309,0.270942089784588
"17",2009-01-27,0.90890904241131,0.886291179596174,NA,0.805194805194805,0.662337662337662,0.912387596465267,0.168786879028649
"18",2009-01-28,0.958789010402774,0.969181721572795,NA,0.909090909090909,0.952380952380952,0.225881683573571,0.927238170784504
"19",2009-01-29,0.917578020805548,0.884874247254694,NA,0.108225108225108,0.0432900432900433,0.853420814624335,0.0343399626535694
"20",2009-01-30,0.880901573753001,0.847679773290825,NA,0.121212121212121,0.142857142857143,0.27404187490197,0.528449716342462
"21",2009-02-02,0.873166177647373,0.85688983351045,NA,0.363636363636364,0.640692640692641,0.0609651224065241,0.939562609433227
"22",2009-02-03,0.84129101093625,0.841303577754162,NA,0.12987012987013,0.329004329004329,0.0300897795492688,0.908642016142121
"23",2009-02-04,0.823419578554281,0.829613885936947,NA,0.238095238095238,0.367965367965368,0.122855422373875,0.79980296729877
"24",2009-02-05,0.748732995465457,0.757704569606801,NA,0.0346320346320346,0.0432900432900433,0.228457966910039,0.531670148697602
"25",2009-02-06,0.786609762603361,0.81721572794899,NA,0.909090909090909,0.943722943722944,0.296364183201266,0.883592736549808
"26",2009-02-09,0.819818618298213,0.831030818278427,NA,0.874458874458874,0.70995670995671,0.960634801479555,0.114487909213585
"27",2009-02-10,0.771939183782342,0.745660644704215,NA,0.0735930735930736,0.0303030303030303,0.838081671227935,0.0375488111722104
"28",2009-02-11,0.785542811416378,0.789585547290117,NA,0.748917748917749,0.896103896103896,0.116707394675093,0.964467593933808
"29",2009-02-12,0.761002934115764,0.777187389302161,NA,0.186147186147186,0.350649350649351,0.0677538246711361,0.860302199327789
"30",2009-02-13,0.728194185116031,0.745660644704215,NA,0.108225108225108,0.155844155844156,0.160314478545811,0.669371378969174
"31",2009-02-17,0.695652173913043,0.680481756996103,NA,0.108225108225108,0.0432900432900433,0.853420814624335,0.0343399626535694
"32",2009-02-18,0.703520938917044,0.705632306057386,NA,0.688311688311688,0.83982683982684,0.144325299450519,0.936902721797044
"33",2009-02-19,0.682181915177381,0.667020899752037,NA,0.194805194805195,0.0822510822510823,0.865113003495959,0.0384995823827158
"34",2009-02-20,0.735796212323286,0.725115125752745,NA,0.952380952380952,0.943722943722944,0.737268202323503,0.502453995645724
"35",2009-02-23,0.707522005868231,0.654976974849451,NA,0.121212121212121,0.0346320346320346,0.905796685037122,0.0143250378584369
"36",2009-02-24,0.750733528941051,0.715550832447751,NA,0.917748917748918,0.952380952380952,0.26879079511086,0.903425587848289
"37",2009-02-25,0.748066150973593,0.689337584130358,NA,0.428571428571429,0.186147186147186,0.919322912739603,0.0363521368860564
"38",2009-02-26,0.719525206721792,0.641161884520014,"EQR",0.121212121212121,0.0692640692640693,0.75171392444769,0.0924448333102121
"39",2009-02-27,0.725526807148573,0.623450230251505,"EQR",0.636363636363636,0.242424242424242,0.968247071510575,0.0220011296695994
"40",2009-03-02,0.676980528140838,0.59227771873893,"EQR",0.0606060606060606,0.103896103896104,0.0983256309751424,0.736277616515584
"41",2009-03-03,0.717257935449453,0.600779312787814,"EQR",0.917748917748918,0.67965367965368,0.989407494886585,0.0569940897160353
"42",2009-03-04,0.753400906908509,0.634431455897981,"EQR",0.909090909090909,0.896103896103896,0.709463509540437,0.509386041697348
"43",2009-03-05,0.725660176046946,0.59192348565356,"EQR",0.125541125541126,0.0692640692640693,0.767348777500991,0.0835785980404056
"44",2009-03-06,0.736062950120032,0.605384342897627,"EQR",0.722943722943723,0.74025974025974,0.50328801243853,0.626578557910095
"45",2009-03-09,0.75113363563617,0.623095997166135,"EQR",0.796536796536797,0.805194805194805,0.546601927158853,0.622249477597767
