"","X1","ISCA","TMK","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1,1.01447983960793,NA,0.506493506493506,0.774891774891775,0.27572143895816,0.83478350197893
"3",2009-01-06,1.04419703103914,1.03185564713745,NA,0.974025974025974,0.805194805194805,0.976577220641816,0.272269966546222
"4",2009-01-07,1.0080971659919,0.984183559812876,NA,0.0822510822510823,0.0692640692640693,0.367299211504764,0.241633398571657
"5",2009-01-08,1.00607287449393,0.978614390732903,NA,0.467532467532468,0.402597402597403,0.515130261043218,0.364610805201171
"6",2009-01-09,0.98582995951417,0.954778347070617,NA,0.155844155844156,0.147186147186147,0.337851653973405,0.294423616607355
"7",2009-01-12,0.963562753036437,0.914012029405213,NA,0.151515151515152,0.0735930735930736,0.587929861568533,0.104220285077985
"8",2009-01-13,0.966599190283401,0.902873691245266,NA,0.593073593073593,0.285714285714286,0.774775486627565,0.145663653580669
"9",2009-01-14,0.932523616734143,0.856983738026286,NA,0.0779220779220779,0.0692640692640693,0.346005376850104,0.25963022844019
"10",2009-01-15,0.924089068825911,0.850969035419915,NA,0.29004329004329,0.376623376623377,0.274698183342184,0.502743541855913
"11",2009-01-16,0.936572199730095,0.838271329917576,"TMK",0.774891774891775,0.233766233766234,0.934994994916817,0.0568085223370551
"12",2009-01-20,0.880229419703104,0.722432613054132,"TMK",0.0173160173160173,0.00432900432900433,0.76923255307429,0.028968420363357
"13",2009-01-21,0.903846153846154,0.796391178436177,"TMK",0.917748917748918,0.978354978354978,0.472116820547909,0.94498836520105
"14",2009-01-22,0.887314439946019,0.696368901759857,"TMK",0.16017316017316,0.00865800865800866,0.953380930976384,0.00138604645565665
"15",2009-01-23,0.881241565452092,0.705725105814213,"TMK",0.337662337662338,0.766233766233766,0.123849283254949,0.894951354732343
"16",2009-01-26,0.875168690958165,0.71864557807975,"TMK",0.333333333333333,0.813852813852814,0.101699570188967,0.929136952013621
"17",2009-01-27,0.882928475033738,0.726219648028514,"TMK",0.70995670995671,0.731601731601732,0.592636942587178,0.645815929829106
"18",2009-01-28,0.897773279352227,0.775228335932279,"TMK",0.83982683982684,0.965367965367965,0.375473201568844,0.954057571717933
"19",2009-01-29,0.857962213225371,0.681889062151927,"TMK",0.038961038961039,0.012987012987013,0.69645357592733,0.0504418717626861
"20",2009-01-30,0.785425101214575,0.668300289596792,"TMK",0.00432900432900433,0.181818181818182,0.000264169181004914,0.980288770603905
"21",2009-02-02,0.789473684210526,0.681889062151927,"TMK",0.632034632034632,0.818181818181818,0.386739843860714,0.827291432156146
"22",2009-02-03,0.792847503373819,0.668077522833593,"TMK",0.61038961038961,0.181818181818182,0.868452538861943,0.0571531121642644
"23",2009-02-04,0.791160593792173,0.647805747382491,"TMK",0.463203463203463,0.121212121212121,0.835040006269294,0.0407669718882824
"24",2009-02-05,0.802968960863698,0.689908665627088,"TMK",0.805194805194805,0.965367965367965,0.317998281762665,0.964301407136676
"25",2009-02-06,0.840080971659919,0.700155936734239,"TMK",0.978354978354978,0.783549783549784,0.984678975131221,0.220893472280562
"26",2009-02-09,0.819838056680162,0.701938070839831,"TMK",0.134199134199134,0.554112554112554,0.036942435447466,0.875181815977855
"27",2009-02-10,0.757422402159244,0.655379817331254,"TMK",0.00865800865800866,0.0432900432900433,0.0187256825365459,0.815367228327794
"28",2009-02-11,0.761808367071525,0.653597683225663,"TMK",0.653679653679654,0.458874458874459,0.718497473543329,0.307067797767396
"29",2009-02-12,0.769230769230769,0.650478948540878,"TMK",0.718614718614719,0.437229437229437,0.807122619841385,0.23948178093339
"30",2009-02-13,0.755060728744939,0.612385832033861,"TMK",0.16017316017316,0.051948051948052,0.714861656152751,0.0498204391142639
"31",2009-02-17,0.739541160593792,0.591222989529962,"TMK",0.155844155844156,0.103896103896104,0.471410641056406,0.177596685699824
"32",2009-02-18,0.723684210526316,0.602806861216306,"TMK",0.155844155844156,0.818181818181818,0.0209465424077445,0.971024673970752
