"","X1","TOL","LOW","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02732746641964,1.01413427561837,NA,0.722943722943723,0.722943722943723,0.599303059569637,0.599303059569637
"3",2009-01-06,1.04261232051876,1.01413427561837,NA,0.632034632034632,0.558441558441558,0.639585790860712,0.437626326467624
"4",2009-01-07,0.958314034275127,0.977473498233215,NA,0.025974025974026,0.12987012987013,0.0257960197505915,0.780442256133323
"5",2009-01-08,1.00509495136637,0.96952296819788,NA,0.857142857142857,0.445887445887446,0.958192926331042,0.0968317678155194
"6",2009-01-09,0.959703566465956,0.93595406360424,NA,0.16017316017316,0.142857142857143,0.3800206901977,0.29396399827645
"7",2009-01-12,0.904122278832793,0.893551236749117,NA,0.0822510822510823,0.0822510822510823,0.303176197709851,0.303176197709851
"8",2009-01-13,0.900416859657249,0.896643109540636,NA,0.45021645021645,0.606060606060606,0.306638074747133,0.710073472797412
"9",2009-01-14,0.864752200092636,0.863957597173145,NA,0.173160173160173,0.12987012987013,0.448182468374186,0.235293492670628
"10",2009-01-15,0.867531264474294,0.907243816254417,NA,0.532467532467532,0.917748917748918,0.092993687060935,0.977072308994177
"11",2009-01-16,0.885132005558129,0.929328621908127,NA,0.692640692640693,0.805194805194805,0.421896204000523,0.782091635795775
"12",2009-01-20,0.819360815192219,0.877650176678445,NA,0.0346320346320346,0.0432900432900433,0.21697372813071,0.354849974713909
"13",2009-01-21,0.846225104214914,0.894434628975265,NA,0.761904761904762,0.753246753246753,0.630708709214835,0.601503102467397
"14",2009-01-22,0.823529411764706,0.896201413427562,NA,0.294372294372294,0.571428571428571,0.147812985378582,0.806271150545788
"15",2009-01-23,0.829550717924965,0.885600706713781,NA,0.54978354978355,0.385281385281385,0.69707759728734,0.271054810912513
"16",2009-01-26,0.85317276516906,0.912102473498233,NA,0.731601731601732,0.835497835497836,0.43738012653358,0.7973299198284
"17",2009-01-27,0.841130152848541,0.880742049469965,NA,0.376623376623377,0.147186147186147,0.763706677329015,0.0900473491327178
"18",2009-01-28,0.893932376100046,0.880742049469965,NA,0.917748917748918,0.558441558441558,0.973855108497427,0.106938785242617
"19",2009-01-29,0.826771653543307,0.855565371024735,NA,0.0303030303030303,0.186147186147186,0.0182218967275896,0.833398984023096
"20",2009-01-30,0.788327929597036,0.806978798586572,NA,0.155844155844156,0.0346320346320346,0.772423081710878,0.0313849182199856
"21",2009-02-02,0.786475220009264,0.813162544169611,NA,0.480519480519481,0.653679653679654,0.300432479441721,0.74676563499106
"22",2009-02-03,0.836498378879111,0.836572438162544,NA,0.917748917748918,0.826839826839827,0.867890238276021,0.433132243520034
"23",2009-02-04,0.82260305697082,0.813162544169611,NA,0.367965367965368,0.194805194805195,0.679849406378035,0.155041200255617
"24",2009-02-05,0.84251968503937,0.831713780918728,NA,0.70995670995671,0.787878787878788,0.480083491949618,0.734025150515174
"25",2009-02-06,0.920796665122742,0.84982332155477,NA,0.987012987012987,0.779220779220779,0.995603658520653,0.0866201519633414
"26",2009-02-09,0.918480778138027,0.839664310954064,NA,0.480519480519481,0.385281385281385,0.597311150476687,0.337440772543864
"27",2009-02-10,0.860583603520148,0.803445229681979,NA,0.0735930735930736,0.0909090909090909,0.236003048347789,0.376700822999665
"28",2009-02-11,0.850856878184345,0.806978798586572,NA,0.402597402597403,0.61038961038961,0.240900203354053,0.758810097989132
"29",2009-02-12,0.855025474756832,0.818462897526502,NA,0.536796536796537,0.722943722943723,0.301955386906613,0.791964871688101
"30",2009-02-13,0.86845761926818,0.786219081272085,NA,0.653679653679654,0.112554112554113,0.959732306493432,0.0156011713457737
"31",2009-02-17,0.829087540528022,0.753975265017668,NA,0.16017316017316,0.0995670995670996,0.505533017340814,0.175910642665971
"32",2009-02-18,0.794812413154238,0.746024734982332,NA,0.173160173160173,0.398268398268398,0.109529422691103,0.750457716813646
"33",2009-02-19,0.729967577582214,0.75,NA,0.025974025974026,0.619047619047619,0.00119692581867359,0.986599233478321
"34",2009-02-20,0.744789254284391,0.700530035335689,NA,0.692640692640693,0.025974025974026,0.991833427410115,0.000848551979405365
"35",2009-02-23,0.738304770727188,0.666519434628975,NA,0.424242424242424,0.0649350649350649,0.912515828409099,0.0157584232977452
"36",2009-02-24,0.789717461787865,0.689487632508834,NA,0.939393939393939,0.848484848484849,0.898155331756198,0.406020376709738
"37",2009-02-25,0.774895785085688,0.678886925795053,NA,0.367965367965368,0.333333333333333,0.48036235974982,0.377279716044862
"38",2009-02-26,0.758684576192682,0.703180212014134,NA,0.350649350649351,0.848484848484849,0.0574724370785407,0.970101003454603
"39",2009-02-27,0.734136174154701,0.699646643109541,NA,0.246753246753247,0.489177489177489,0.144377851012741,0.764159072852108
"40",2009-03-02,0.708198239925892,0.649293286219081,NA,0.207792207792208,0.00865800865800866,0.947464277782907,0.00157825160517933
"41",2009-03-03,0.666512274201019,0.624558303886926,NA,0.0779220779220779,0.121212121212121,0.177616103858453,0.471602239164365
"42",2009-03-04,0.68967114404817,0.625441696113074,NA,0.770562770562771,0.558441558441558,0.837221518539839,0.27562428986252
"43",2009-03-05,0.667901806391848,0.592756183745583,NA,0.251082251082251,0.0562770562770563,0.810417710729169,0.0326599755799544
"44",2009-03-06,0.66049096804076,0.59143109540636,NA,0.402597402597403,0.523809523809524,0.319797744138779,0.642395997715115
"45",2009-03-09,0.661417322834646,0.604240282685512,NA,0.510822510822511,0.779220779220779,0.212354385237731,0.874908952003155
