"","X1","PG","HAE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.992834394904459,0.987145152651312,NA,0.268398268398268,0.220779220779221,0.39280093821081,0.261814275786625
"3",2009-01-06,0.989968152866242,0.98410998036065,NA,0.428571428571429,0.411255411255411,0.462488005866944,0.42330039906649
"4",2009-01-07,0.972611464968153,0.970362435279414,NA,0.112554112554113,0.207792207792208,0.129247885577976,0.455091072898743
"5",2009-01-08,0.961942675159236,0.965898946616676,NA,0.199134199134199,0.367965367965368,0.161247422439211,0.565206584090024
"6",2009-01-09,0.953184713375796,0.970898053918943,NA,0.251082251082251,0.623376623376623,0.13220992680718,0.795662655209304
"7",2009-01-12,0.954458598726115,0.982324584895554,NA,0.558441558441558,0.727272727272727,0.407029895941271,0.781324066701876
"8",2009-01-13,0.946974522292994,1.00571326548831,NA,0.25974025974026,0.87012987012987,0.113100294004993,0.953762255115592
"9",2009-01-14,0.921337579617834,1.00107123727906,"PG",0.0735930735930736,0.367965367965368,0.0320805729280258,0.702134457345682
"10",2009-01-15,0.914968152866242,1.02660239242992,"PG",0.277056277056277,0.883116883116883,0.121637691200646,0.960043354132272
"11",2009-01-16,0.919267515923567,1.02499553651134,"PG",0.649350649350649,0.458874458874459,0.735221911072244,0.336867515046446
"12",2009-01-20,0.914490445859873,1.00535618639529,"PG",0.329004329004329,0.164502164502165,0.553527838539912,0.135108263212056
"13",2009-01-21,0.91671974522293,1.03410105338332,"PG",0.614718614718615,0.9004329004329,0.312961571502232,0.950349694627637
"14",2009-01-22,0.907006369426752,1.05945366898768,"PG",0.212121212121212,0.874458874458874,0.0911755639098154,0.954618344999718
"15",2009-01-23,0.89171974522293,1.05159792894126,"PG",0.121212121212121,0.285714285714286,0.0982542800183957,0.556356717513566
"16",2009-01-26,0.897611464968153,1.07998571683628,"PG",0.696969696969697,0.891774891774892,0.40287517247662,0.92390998045703
"17",2009-01-27,0.902866242038217,1.06588109266202,"PG",0.67965367965368,0.216450216450216,0.846216652964265,0.0976399033854559
"18",2009-01-28,0.926433121019108,1.06980896268523,"PG",0.935064935064935,0.567099567099567,0.977945067338532,0.249501922158802
"19",2009-01-29,0.927070063694268,1.06123906445278,"PG",0.54978354978355,0.281385281385281,0.713540495498048,0.181405231078299
"20",2009-01-30,0.867834394904459,1.056061417604,"PG",0.012987012987013,0.363636363636364,0.00210573604884917,0.778841986739068
"21",2009-02-02,0.844745222929936,1.15425816818425,"PG",0.0779220779220779,1,0.185353006126101,0.9999999999
"22",2009-02-03,0.85843949044586,1.13319050169613,"PG",0.865800865800866,0.168831168831169,0.948251316565488,0.0706326351185473
"23",2009-02-04,0.836305732484076,1.1251562221032,"PG",0.0822510822510823,0.285714285714286,0.0524762777786422,0.619445007459543
"24",2009-02-05,0.849044585987261,1.12372790573112,"PG",0.83982683982684,0.467532467532468,0.924372486856716,0.241296444002102
"25",2009-02-06,0.859872611464968,1.13444027852169,"PG",0.800865800865801,0.692640692640693,0.803578549167243,0.519274049185222
"26",2009-02-09,0.842993630573248,1.12533476164971,"PG",0.103896103896104,0.281385281385281,0.078166534080369,0.578426260357284
"27",2009-02-10,0.819267515923567,1.10426709516158,"PG",0.0692640692640693,0.168831168831169,0.0798208078159364,0.491291280451567
"28",2009-02-11,0.814649681528662,1.08909123370827,"PG",0.316017316017316,0.212121212121212,0.478334557910109,0.20993215895313
"29",2009-02-12,0.81656050955414,1.11301553294055,"PG",0.61038961038961,0.844155844155844,0.365362365011075,0.898362585913478
"30",2009-02-13,0.813535031847134,1.08926977325478,"PG",0.376623376623377,0.142857142857143,0.634111262169443,0.091782498259987
"31",2009-02-17,0.797929936305733,1.06588109266202,"PG",0.112554112554113,0.142857142857143,0.197775117231494,0.324454315825004
"32",2009-02-18,0.811305732484077,1.03588644884842,"PG",0.865800865800866,0.0909090909090909,0.937559907412297,0.0359858038329942
"33",2009-02-19,0.814171974522293,1.0373147652205,"PG",0.627705627705628,0.528138528138528,0.664793623167865,0.444074321757352
"34",2009-02-20,0.80015923566879,1.02820924834851,"PG",0.121212121212121,0.264069264069264,0.108247227017249,0.527080613941804
"35",2009-02-23,0.778662420382166,1.00160685591859,"PG",0.0735930735930736,0.108225108225108,0.152769525935727,0.340207850712881
"36",2009-02-24,0.792515923566879,0.997857525441885,"PG",0.874458874458874,0.402597402597403,0.952897233286959,0.186565356898792
"37",2009-02-25,0.794904458598726,0.987145152651312,"PG",0.619047619047619,0.246753246753247,0.793500964355075,0.129525957481572
"38",2009-02-26,0.779777070063694,0.963220853419032,"PG",0.112554112554113,0.116883116883117,0.241686952047097,0.261430945900104
"39",2009-02-27,0.76703821656051,0.953044099267988,"PG",0.12987012987013,0.246753246753247,0.13087410267033,0.486848454146886
"40",2009-03-02,0.746337579617834,0.92840564184967,"PG",0.0735930735930736,0.108225108225108,0.152769525935727,0.340207850712881
"41",2009-03-03,0.742515923566879,0.947687912872701,"PG",0.329004329004329,0.826839826839827,0.152438048481842,0.929122314908274
"42",2009-03-04,0.753343949044586,0.955186573826103,"PG",0.831168831168831,0.666666666666667,0.861303618096015,0.446049771351956
"43",2009-03-05,0.722929936305733,0.938403856454205,"PG",0.025974025974026,0.173160173160173,0.0158322676015933,0.647525576959076
"44",2009-03-06,0.727866242038217,0.953044099267988,"PG",0.696969696969697,0.774891774891775,0.556528986742771,0.760576853563572
"45",2009-03-09,0.703503184713376,0.931619353686842,"PG",0.0432900432900433,0.138528138528139,0.0499500989176319,0.527119653638367
