,BANC,CFFI
2008-02-01,1.0,1.0
2008-02-04,0.9816091954022989,1.0131048387096773
2008-02-05,0.9798850574712645,1.0131048387096773
2008-02-06,0.9718390804597702,1.0648521505376345
2008-02-07,0.9787356321839082,1.0668682795698925
2008-02-08,0.9862068965517242,1.0315860215053763
2008-02-11,1.0040229885057472,1.0080645161290323
2008-02-12,1.0040229885057472,1.0416666666666665
2008-02-13,1.014367816091954,1.0248655913978495
2008-02-14,1.0057471264367817,1.0248655913978495
2008-02-15,1.0057471264367817,1.002016129032258
2008-02-19,0.9770114942528736,1.033266129032258
2008-02-20,0.9770114942528736,1.0104166666666665
2008-02-21,0.9844827586206897,1.0104166666666665
2008-02-22,0.9942528735632186,1.073252688172043
2008-02-25,1.0114942528735633,1.0540994623655913
2008-02-26,0.9885057471264368,1.0540994623655913
2008-02-27,0.9718390804597702,1.0540994623655913
2008-02-28,0.9689655172413794,1.0221774193548387
2008-02-29,0.9844827586206897,0.957997311827957
2008-03-03,0.975287356321839,0.9889112903225806
2008-03-04,0.9770114942528736,0.9889112903225806
2008-03-05,0.9885057471264368,0.9889112903225806
2008-03-06,0.960919540229885,0.9889112903225806
2008-03-07,0.9706896551724139,1.0080645161290323
2008-03-10,0.9833333333333334,1.0080645161290323
2008-03-11,0.9655172413793105,0.9576612903225806
2008-03-12,0.9695402298850576,0.9576612903225806
2008-03-13,0.9672413793103448,0.8403897849462366
2008-03-14,0.9517241379310345,0.9677419354838709
2008-03-17,0.9396551724137933,0.9889112903225806
2008-03-18,0.9482758620689656,0.8907930107526881
2008-03-19,0.9528735632183908,0.8558467741935483
2008-03-20,0.9379310344827587,0.938508064516129
2008-03-24,0.9436781609195404,0.8736559139784946
2008-03-25,0.9436781609195404,0.8702956989247311
2008-03-26,0.953448275862069,0.8904569892473118
2008-03-27,0.953448275862069,0.938508064516129
2008-03-28,0.9373563218390805,0.9391801075268816
2008-03-31,0.9373563218390805,0.9274193548387096
2008-04-01,0.9626436781609197,0.9301075268817204
2008-04-02,0.9591954022988507,0.9153225806451611
2008-04-03,0.9591954022988507,0.9153225806451611
2008-04-04,0.9649425287356322,0.907258064516129
2008-04-07,0.9482758620689656,0.9243951612903226
2008-04-08,0.960919540229885,0.9341397849462365
2008-04-09,0.9482758620689656,0.9341397849462365
2008-04-10,0.9540229885057473,0.9314516129032258
2008-04-11,0.9620689655172414,1.004032258064516
2008-04-14,0.9471264367816093,1.0080645161290323
2008-04-15,0.9454022988505747,0.9647177419354839
2008-04-16,0.9597701149425287,0.991263440860215
2008-04-17,0.9454022988505747,0.9996639784946236
2008-04-18,0.9597701149425287,0.9905913978494624
2008-04-21,0.9511494252873565,0.9979838709677419
2008-04-22,0.9431034482758621,0.9979838709677419
2008-04-23,0.9454022988505747,0.9586693548387096
2008-04-24,0.9321839080459771,0.9586693548387096
2008-04-25,0.9419540229885058,0.9586693548387096
2008-04-28,0.9454022988505747,0.9586693548387096
2008-04-29,0.9229885057471264,0.9576612903225806
2008-04-30,0.9385057471264368,0.9576612903225806
2008-05-01,0.9454022988505747,0.9576612903225806
2008-05-02,0.9454022988505747,0.9448924731182795
2008-05-05,0.9137931034482759,0.9448924731182795
2008-05-06,0.9396551724137933,1.007056451612903
2008-05-07,0.9396551724137933,1.007056451612903
2008-05-08,0.9419540229885058,1.007056451612903
2008-05-09,0.9522988505747128,1.0073924731182795
2008-05-12,0.9522988505747128,1.0073924731182795
2008-05-13,0.953448275862069,1.0073924731182795
2008-05-14,0.9235632183908047,0.9317876344086021
2008-05-15,0.9821839080459771,0.9374999999999999
2008-05-16,0.9137931034482759,0.9240591397849461
2008-05-19,0.9258620689655173,0.9374999999999999
2008-05-20,0.9195402298850576,0.9374999999999999
2008-05-21,0.9195402298850576,0.9374999999999999
2008-05-22,0.9057471264367817,0.9374999999999999
2008-05-23,0.9057471264367817,0.9294354838709677
2008-05-27,0.8879310344827587,0.9324596774193548
2008-05-28,0.885057471264368,0.9324596774193548
2008-05-29,0.8764367816091955,0.9324596774193548
2008-05-30,0.9178160919540231,0.9660618279569892
2008-06-02,0.9189655172413794,0.9005376344086021
2008-06-03,0.9189655172413794,0.9005376344086021
2008-06-04,0.8620689655172414,0.9005376344086021
2008-06-05,0.902873563218391,0.9005376344086021
2008-06-06,0.8678160919540231,0.8983534946236559
2008-06-09,0.8678160919540231,0.9240591397849461
2008-06-10,0.8678160919540231,0.907258064516129
2008-06-11,0.8660919540229886,0.9163306451612903
2008-06-12,0.8333333333333334,0.9163306451612903
2008-06-13,0.8545977011494253,0.9163306451612903
2008-06-16,0.8563218390804599,0.9163306451612903
2008-06-17,0.8258620689655173,0.8820564516129031
2008-06-18,0.8045977011494253,0.8800403225806451
2008-06-19,0.8045977011494253,0.7752016129032258
2008-06-20,0.8040229885057472,0.7752016129032258
2008-06-23,0.8045977011494253,0.7896505376344085
2008-06-24,0.7758620689655173,0.7728494623655914
2008-06-25,0.7758620689655173,0.7728494623655914
2008-06-26,0.7465517241379311,0.7728494623655914
2008-06-27,0.7465517241379311,0.8172043010752688
2008-06-30,0.7413793103448276,0.7728494623655914
2008-07-01,0.7413793103448276,0.8380376344086021
2008-07-02,0.6896551724137931,0.747983870967742
2008-07-03,0.6896551724137931,0.7560483870967741
2008-07-07,0.6896551724137931,0.7560483870967741
2008-07-08,0.6833333333333335,0.7577284946236559
2008-07-09,0.6885057471264369,0.7577284946236559
2008-07-10,0.6442528735632185,0.7563844086021505
2008-07-11,0.689080459770115,0.7563844086021505
2008-07-14,0.689080459770115,0.7563844086021505
