,INCY,DLLR
2008-02-01,1.0,1.0
2008-02-04,0.9546925566343043,0.9491916859122401
2008-02-05,0.9344660194174759,0.8852963818321786
2008-02-06,0.9296116504854369,0.8876058506543494
2008-02-07,0.9611650485436894,0.9141647421093149
2008-02-08,0.9692556634304208,0.951501154734411
2008-02-11,0.9417475728155341,0.9430331023864511
2008-02-12,0.9627831715210357,0.9280215550423402
2008-02-13,0.9862459546925566,0.926481909160893
2008-02-14,1.0048543689320388,0.9145496535796768
2008-02-15,0.9870550161812298,0.8922247882986912
2008-02-19,0.970873786407767,0.8852963818321786
2008-02-20,0.8527508090614886,0.8849114703618167
2008-02-21,0.8495145631067962,0.8583525789068515
2008-02-22,0.801779935275081,0.8548883756735951
2008-02-25,0.8551779935275081,0.8960739030023095
2008-02-26,0.854368932038835,0.9203233256351039
2008-02-27,0.8325242718446602,0.8979984603541185
2008-02-28,0.8268608414239483,0.8849114703618167
2008-02-29,0.801779935275081,0.8648960739030023
2008-03-03,0.801779935275081,0.8791377983063895
2008-03-04,0.7896440129449839,0.8806774441878368
2008-03-05,0.8300970873786409,0.8545034642032332
2008-03-06,0.7815533980582525,0.7952270977675134
2008-03-07,0.7653721682847897,0.772902232486528
2008-03-10,0.6901294498381877,0.7505773672055427
2008-03-11,0.6949838187702265,0.7652040030792917
2008-03-12,0.761326860841424,0.7594303310238645
2008-03-13,0.7516181229773462,0.8063895304080061
2008-03-14,0.75,0.7694380292532716
2008-03-17,0.6933656957928803,0.7536566589684371
2008-03-18,0.7629449838187702,0.8006158583525789
2008-03-19,0.7540453074433657,0.7598152424942263
2008-03-20,0.766990291262136,0.7890685142417244
2008-03-24,0.8050161812297735,0.848729792147806
2008-03-25,0.8462783171521037,0.8437259430331024
2008-03-26,0.8389967637540453,0.8652809853733642
2008-03-27,0.8276699029126214,0.8660508083140878
2008-03-28,0.8147249190938511,0.8722093918398768
2008-03-31,0.8503236245954693,0.8852963818321786
2008-04-01,0.8883495145631068,0.9234026173979983
2008-04-02,0.883495145631068,0.9222478829869131
2008-04-03,0.9142394822006473,0.9122401847575057
2008-04-04,0.9118122977346278,0.8610469591993841
2008-04-07,0.8875404530744337,0.8822170900692842
2008-04-08,0.8859223300970873,0.8833718244803694
2008-04-09,0.8770226537216829,0.8433410315627405
2008-04-10,0.8754045307443367,0.8537336412625096
2008-04-11,0.8462783171521037,0.838337182448037
2008-04-14,0.8729773462783171,0.8198614318706697
2008-04-15,0.8495145631067962,0.8364126250962278
2008-04-16,0.8899676375404532,0.8810623556581986
2008-04-17,0.8284789644012945,0.8922247882986912
2008-04-18,0.8519417475728155,0.8926096997690531
2008-04-21,0.8810679611650486,0.8918398768283295
2008-04-22,0.872168284789644,0.8622016936104695
2008-04-23,0.8818770226537217,0.8826020015396459
2008-04-24,0.9093851132686085,0.9045419553502694
2008-04-25,0.9077669902912622,0.9064665127020786
2008-04-28,0.9174757281553398,0.8864511162432641
2008-04-29,0.9093851132686085,0.8533487297921478
2008-04-30,0.877831715210356,0.8306389530408005
2008-05-01,0.8923948220064725,0.8826020015396459
2008-05-02,0.8843042071197411,0.8899153194765205
2008-05-05,0.8972491909385114,0.8764434180138568
2008-05-06,0.8705501618122977,0.8479599692070824
2008-05-07,0.8365695792880259,0.8202463433410315
2008-05-08,0.8584142394822006,0.8225558121632025
