"","X1","ARUN","MCRS","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.04961832061069,0.978352375225496,NA,0.857142857142857,0.242424242424242,0.943488873083629,0.0944016728742756
"3",2009-01-06,1.07251908396947,1.00120264582081,NA,0.714285714285714,0.80952380952381,0.577458406930386,0.774514822036354
"4",2009-01-07,1.01145038167939,0.986770895971137,NA,0.112554112554113,0.341991341991342,0.0942691829677467,0.586550779792383
"5",2009-01-08,1.08396946564885,0.904389657245941,"MCRS",0.930735930735931,0.025974025974026,0.993662522517279,0.00248746735006844
"6",2009-01-09,0.977099236641221,0.862898376428142,"MCRS",0.0432900432900433,0.0865800865800866,0.102794267082806,0.357586677982836
"7",2009-01-12,0.885496183206107,0.862297053517739,"MCRS",0.0476190476190476,0.523809523809524,0.0189893980292459,0.836381064575379
"8",2009-01-13,0.938931297709924,0.871918220084185,"MCRS",0.909090909090909,0.67965367965368,0.915290938367233,0.413279859040405
"9",2009-01-14,0.866412213740458,0.846662657847264,"MCRS",0.0822510822510823,0.177489177489178,0.111196429057058,0.420279880146384
"10",2009-01-15,0.919847328244275,0.852675886951293,"MCRS",0.917748917748918,0.627705627705628,0.935736754359736,0.342012096702086
"11",2009-01-16,0.904580152671756,0.871316897173782,"MCRS",0.380952380952381,0.796536796536797,0.22187157984849,0.872884288407087
"12",2009-01-20,0.824427480916031,0.82080577269994,"MCRS",0.0606060606060606,0.0562770562770563,0.222366001929426,0.194351616506211
"13",2009-01-21,0.874045801526718,0.87071557426338,"MCRS",0.909090909090909,0.956709956709957,0.670806357167728,0.892783842744149
"14",2009-01-22,0.904580152671756,0.857486470234516,"MCRS",0.774891774891775,0.329004329004329,0.8673365300055,0.187324470966983
"15",2009-01-23,0.958015267175572,0.871316897173782,"MCRS",0.909090909090909,0.761904761904762,0.889769427809189,0.519830381094495
"16",2009-01-26,1.02671755725191,0.898977751052315,"MCRS",0.930735930735931,0.87012987012987,0.867759022366173,0.656819675001679
"17",2009-01-27,1.01526717557252,0.892363199037883,"MCRS",0.467532467532468,0.411255411255411,0.504184855808327,0.407061897296006
"18",2009-01-28,1.07251908396947,0.915213469633193,"MCRS",0.878787878787879,0.818181818181818,0.813317573230369,0.653267434704347
"19",2009-01-29,0.965648854961832,0.881539386650631,"MCRS",0.038961038961039,0.134199134199134,0.0560145444383658,0.490502902310043
"20",2009-01-30,1.01908396946565,0.865904990980156,"MCRS",0.874458874458874,0.285714285714286,0.948067044072648,0.113362595650476
"21",2009-02-02,1.04580152671756,0.874323511725797,"MCRS",0.727272727272727,0.675324675324675,0.688201974509856,0.5899894313571
"22",2009-02-03,1.06870229007634,0.904389657245941,"MCRS",0.714285714285714,0.887445887445887,0.489531592585143,0.877995976587531
"23",2009-02-04,1.06106870229008,0.907997594708358,"MCRS",0.506493506493506,0.584415584415584,0.465015875215249,0.59792562980172
"24",2009-02-05,1.12213740458015,0.907396271797956,"MCRS",0.891774891774892,0.523809523809524,0.928491560764816,0.27725326016185
"25",2009-02-06,1.20229007633588,1.01803968731209,"MCRS",0.930735930735931,1,7.29042439204797e-05,0.9999999999
"26",2009-02-09,1.16793893129771,1.01563439567048,"MCRS",0.272727272727273,0.497835497835498,0.230035325595956,0.617474909441771
"27",2009-02-10,1.16412213740458,1.00420926037282,"MCRS",0.536796536796537,0.372294372294372,0.607119389018999,0.328898112731243
"28",2009-02-11,1.16030534351145,1.00481058328322,"MCRS",0.536796536796537,0.545454545454545,0.521215174340644,0.536026539233551
"29",2009-02-12,1.14503816793893,1.02224894768491,"MCRS",0.432900432900433,0.774891774891775,0.281906430085276,0.838995094468538
"30",2009-02-13,1.1412213740458,1.03968731208659,"MCRS",0.532467532467532,0.766233766233766,0.391380793533492,0.798196381697579
"31",2009-02-17,1.09541984732824,1.00721587492483,"MCRS",0.203463203463203,0.168831168831169,0.322778305355226,0.235301526377495
"32",2009-02-18,1.1030534351145,1.00541190619363,"MCRS",0.614718614718615,0.510822510822511,0.632063353909097,0.454665637102883
"33",2009-02-19,1.05343511450382,1.0006013229104,"MCRS",0.181818181818182,0.454545454545455,0.143059710760295,0.634254355351271
"34",2009-02-20,1.07251908396947,0.992784125075166,"MCRS",0.696969696969697,0.406926406926407,0.768796839867374,0.296147734503981
"35",2009-02-23,1.04198473282443,0.953698135898978,"MCRS",0.272727272727273,0.112554112554113,0.501569044468558,0.114046811887328
"36",2009-02-24,1.09923664122137,0.983764281419122,"MCRS",0.87012987012987,0.865800865800866,0.757342822687705,0.744914199763905
"37",2009-02-25,1.05343511450382,0.972339146121467,"MCRS",0.199134199134199,0.367965367965368,0.189760215689878,0.519417453326526
"38",2009-02-26,1.08778625954198,0.968129885748647,"MCRS",0.757575757575758,0.458874458874459,0.813665491663635,0.318043740233866
"39",2009-02-27,1.05343511450382,0.966927239927841,"MCRS",0.25974025974026,0.515151515151515,0.209786479184563,0.644604237557231
"40",2009-03-02,1.04961832061069,0.942874323511726,"MCRS",0.532467532467532,0.216450216450216,0.689900025983594,0.159073580593307
"41",2009-03-03,1.01145038167939,0.926638604930848,"MCRS",0.216450216450216,0.29004329004329,0.247839182255321,0.402418406087447
"42",2009-03-04,1.04198473282443,0.944678292242935,"MCRS",0.74025974025974,0.787878787878788,0.631156595240608,0.730454024150331
"43",2009-03-05,0.99236641221374,0.899579073962718,"MCRS",0.164502164502165,0.0735930735930736,0.419947860237257,0.1037585810369
