,WSM,CBS
2008-02-01,1.0,1.0
2008-02-04,0.9785610465116279,1.0015680125441002
2008-02-05,0.930232558139535,0.9506076048608388
2008-02-06,0.9236918604651163,0.9455115640925127
2008-02-07,0.9622093023255814,0.9576636613092904
2008-02-08,0.9280523255813954,0.9635437083496666
2008-02-11,0.9534883720930232,0.9611916895335162
2008-02-12,0.9480377906976745,0.9690317522540179
2008-02-13,0.9287790697674418,0.9968639749117992
2008-02-14,0.8931686046511628,0.9831438651509211
2008-02-15,0.8797238372093024,0.9949039592316737
2008-02-19,0.8604651162790697,0.9854958839670717
2008-02-20,0.8833575581395349,0.9894159153273225
2008-02-21,0.8615552325581396,0.9607996863974911
2008-02-22,0.8633720930232559,0.9705997647981184
2008-02-25,0.8811773255813954,0.9800078400627205
2008-02-26,0.909156976744186,0.9713837710701686
2008-02-27,0.9175145348837209,0.9404155233241864
2008-02-28,0.8826308139534883,0.9392395139161113
2008-02-29,0.8488372093023255,0.8945511564092512
2008-03-03,0.8601017441860466,0.8984711877695022
2008-03-04,0.8586482558139534,0.888671109368875
2008-03-05,0.8477470930232558,0.8874950999607997
2008-03-06,0.8099563953488372,0.866326930615445
2008-03-07,0.815406976744186,0.8620148961191688
2008-03-10,0.7994186046511628,0.8475107800862407
2008-03-11,0.8350290697674418,0.880047040376323
2008-03-12,0.8190406976744186,0.8651509212073696
2008-03-13,0.862281976744186,0.8616228929831439
2008-03-14,0.8415697674418605,0.8455507644061152
2008-03-17,0.8361191860465117,0.8584868678949431
2008-03-18,0.8829941860465117,0.8835750686005487
2008-03-19,0.887718023255814,0.8741669933359466
2008-03-20,0.9280523255813954,0.9086632693061544
2008-03-24,0.9625726744186046,0.9110152881223048
2008-03-25,0.9226017441860466,0.9039592316738533
2008-03-26,0.9080668604651162,0.8988631909055271
2008-03-27,0.8630087209302326,0.8784790278322226
2008-03-28,0.8648255813953489,0.8600548804390435
2008-03-31,0.8808139534883721,0.8655429243433946
2008-04-01,0.9331395348837209,0.8961191689533515
2008-04-02,0.9484011627906977,0.8933751470011759
2008-04-03,0.9585755813953488,0.8871030968247745
2008-04-04,0.9629360465116279,0.8737749901999216
2008-04-07,0.9371366279069767,0.8823990591924735
2008-04-08,0.9196947674418604,0.8749509996079968
2008-04-09,0.8880813953488372,0.8616228929831439
2008-04-10,0.9353197674418604,0.8651509212073696
2008-04-11,0.9276889534883721,0.8388867110936886
2008-04-14,0.9215116279069767,0.8216385731085849
2008-04-15,0.9320494186046512,0.8188945511564092
2008-04-16,0.9436773255813953,0.8326146609172872
2008-04-17,0.961482558139535,0.8502548020384163
2008-04-18,0.9836482558139535,0.8729909839278713
2008-04-21,1.007267441860465,0.8659349274794198
2008-04-22,0.970203488372093,0.8647589180713444
2008-04-23,0.9607558139534884,0.8384947079576637
2008-04-24,0.982921511627907,0.8612308898471187
2008-04-25,1.005813953488372,0.8722069776558212
2008-04-28,0.9905523255813954,0.8835750686005487
2008-04-29,0.9945494186046512,0.9094472755782046
2008-04-30,0.9593023255813953,0.9043512348098784
2008-05-01,0.975654069767442,0.9427675421403371
2008-05-02,0.9898255813953488,0.9537436299490395
2008-05-05,1.001453488372093,0.9415915327322618
2008-05-06,1.005450581395349,0.9670717365738926
2008-05-07,0.9538517441860466,0.9623676989415915
2008-05-08,0.9305959302325582,0.9623676989415915
2008-05-09,0.9327761627906977,0.9564876519012151
2008-05-12,0.9298691860465116,0.9709917679341434
2008-05-13,0.9498546511627908,0.9674637397099176
2008-05-14,0.9709302325581395,0.9729517836142688
2008-05-15,0.9952761627906977,0.9498235985887886
2008-05-16,0.9803779069767442,0.9180713445707566
2008-05-19,0.9720203488372093,0.91140729125833
2008-05-20,0.9469476744186046,0.9063112504900039
2008-05-21,0.9135174418604651,0.8976871814974519
2008-05-22,0.9037063953488372,0.9016072128577028
2008-05-23,0.8924418604651162,0.8898471187769501
2008-05-27,0.9029796511627908,0.8871030968247745
2008-05-28,0.9022529069767441,0.8694629557036455
2008-05-29,0.9186046511627908,0.8596628773030184
2008-05-30,0.9236918604651163,0.8459427675421403
2008-06-02,0.8931686046511628,0.8522148177185417
2008-06-03,0.9080668604651162,0.8447667581340651
2008-06-04,0.8655523255813954,0.8573108584868678
2008-06-05,0.8608284883720931,0.8737749901999216
2008-06-06,0.8179505813953489,0.8373186985495883
2008-06-09,0.8059593023255814,0.8235985887887103
2008-06-10,0.7965116279069768,0.8263426107408858
2008-06-11,0.751453488372093,0.8090944727557821
2008-06-12,0.7714389534883721,0.8071344570756566
2008-06-13,0.8085029069767442,0.8106624852998824
2008-06-16,0.8175872093023256,0.8177185417483339
2008-06-17,0.7994186046511628,0.809486475891807
2008-06-18,0.8081395348837209,0.790670325362603
2008-06-19,0.8223110465116279,0.8008624068992551
2008-06-20,0.8005087209302326,0.7840062720501764
2008-06-23,0.8023255813953488,0.7769502156017247
2008-06-24,0.7732558139534884,0.7698941591532732
2008-06-25,0.7921511627906977,0.7914543316346531
2008-06-26,0.7663517441860466,0.7840062720501764
2008-06-27,0.747093023255814,0.7745981967855743
2008-06-30,0.7209302325581396,0.7640141121128968
2008-07-01,0.712936046511628,0.7514700117600941
2008-07-02,0.6726017441860466,0.7342218737749902
2008-07-03,0.7056686046511629,0.7291258330066641
2008-07-07,0.7089389534883722,0.6950215601724814
2008-07-08,0.737281976744186,0.698157585260682
2008-07-09,0.7100290697674418,0.6911015288122304
2008-07-10,0.6795058139534883,0.684829478635829
2008-07-11,0.6944040697674418,0.6746373970991768
2008-07-14,0.6686046511627907,0.6609172873382987
