,WTFC,ZION
2008-02-01,1.0,1.0
2008-02-04,0.9501285347043702,0.966576332429991
2008-02-05,0.9167095115681233,0.9427280939476061
2008-02-06,0.916452442159383,0.9539295392953929
2008-02-07,0.9442159383033418,0.9559168925022583
2008-02-08,0.9383033419023137,0.9378500451671182
2008-02-11,0.9056555269922879,0.9280939476061426
2008-02-12,0.9182519280205655,0.9297199638663053
2008-02-13,0.9231362467866323,0.9244805781391148
2008-02-14,0.8946015424164524,0.9183378500451671
2008-02-15,0.8964010282776349,0.9358626919602528
2008-02-19,0.882776349614396,0.9042457091237578
2008-02-20,0.9161953727506427,0.9293586269196025
2008-02-21,0.8861182519280205,0.9102077687443542
2008-02-22,0.908483290488432,0.9150858175248419
2008-02-25,0.9231362467866323,0.9270099367660344
2008-02-26,0.9429305912596402,0.9351400180668473
2008-02-27,0.9401028277634962,0.9560975609756097
2008-02-28,0.903598971722365,0.9094850948509485
2008-02-29,0.8676092544987147,0.8626919602529358
2008-03-03,0.8637532133676094,0.8330623306233061
2008-03-04,0.8586118251928021,0.8346883468834688
2008-03-05,0.844987146529563,0.8323396567299006
2008-03-06,0.8300771208226221,0.7998193315266486
2008-03-07,0.8462724935732648,0.8130081300813008
2008-03-10,0.8473007712082262,0.8130081300813008
2008-03-11,0.9244215938303343,0.8970189701897019
2008-03-12,0.8984575835475579,0.8773261065943992
2008-03-13,0.9336760925449872,0.8809394760614272
2008-03-14,0.9030848329048844,0.8495031616982837
2008-03-17,0.8889460154241645,0.8439024390243902
2008-03-18,0.9190231362467867,0.8872628726287263
2008-03-19,0.9102827763496143,0.8556458897922312
2008-03-20,0.9534704370179949,0.9127371273712738
2008-03-24,0.9647814910025707,0.9275519421860886
2008-03-25,0.974293059125964,0.9140018066847335
2008-03-26,0.9321336760925449,0.8784101174345076
2008-03-27,0.9115681233933163,0.8429990966576332
2008-03-28,0.8850899742930591,0.8317976513098464
2008-03-31,0.8984575835475579,0.8229448961156277
2008-04-01,0.9473007712082263,0.879494128274616
2008-04-02,0.9305912596401029,0.8697380307136404
2008-04-03,0.9043701799485862,0.8746160794941282
2008-04-04,0.8858611825192803,0.8491418247515808
2008-04-07,0.8850899742930591,0.8614272809394761
2008-04-08,0.874293059125964,0.821680216802168
2008-04-09,0.8537275064267352,0.8128274616079494
2008-04-10,0.85706940874036,0.8112014453477867
2008-04-11,0.8347043701799486,0.8032520325203252
2008-04-14,0.8195372750642673,0.7499548328816621
2008-04-15,0.8511568123393316,0.7524841915085817
2008-04-16,0.8994858611825194,0.768383017163505
2008-04-17,0.9102827763496143,0.7902439024390244
2008-04-18,0.897172236503856,0.8404697380307137
2008-04-21,0.8331619537275063,0.7947606142728094
2008-04-22,0.8208226221079692,0.7913279132791328
2008-04-23,0.7809768637532134,0.7779584462511292
2008-04-24,0.7861182519280205,0.8543812104787715
2008-04-25,0.8025706940874036,0.8509485094850948
2008-04-28,0.8233933161953728,0.850587172538392
2008-04-29,0.8251928020565553,0.846070460704607
2008-04-30,0.8154241645244216,0.8373983739837398
2008-05-01,0.843444730077121,0.8914182475158086
2008-05-02,0.8408740359897173,0.8878048780487805
2008-05-05,0.8272493573264782,0.8728093947606143
2008-05-06,0.8352185089974294,0.8832881662149955
2008-05-07,0.8154241645244216,0.8581752484191508
2008-05-08,0.8138817480719794,0.8229448961156277
2008-05-09,0.8120822622107969,0.8106594399277326
2008-05-12,0.8352185089974294,0.8265582655826558
2008-05-13,0.8318766066838047,0.8043360433604336
2008-05-14,0.8123393316195373,0.8142728093947605
2008-05-15,0.8277634961439589,0.8231255645889792
2008-05-16,0.8136246786632391,0.7958446251129178
2008-05-19,0.8089974293059126,0.7974706413730804
2008-05-20,0.7902313624678663,0.7850045167118338
2008-05-21,0.7732647814910025,0.7763324299909665
2008-05-22,0.7858611825192803,0.7853658536585365
2008-05-23,0.7758354755784062,0.7734417344173442
2008-05-27,0.7928020565552699,0.7859078590785907
2008-05-28,0.7825192802056556,0.7716350496838301
2008-05-29,0.8100257069408741,0.7906052393857271
2008-05-30,0.8015424164524422,0.7785004516711834
2008-06-02,0.7822622107969152,0.7633242999096658
2008-06-03,0.7668380462724935,0.7537488708220416
2008-06-04,0.734961439588689,0.7465221318879856
2008-06-05,0.7526992287917739,0.759349593495935
2008-06-06,0.7329048843187661,0.7185185185185186
2008-06-09,0.7195372750642673,0.6798554652213189
2008-06-10,0.7167095115681233,0.6811201445347788
2008-06-11,0.6861182519280207,0.649683830171635
2008-06-12,0.674293059125964,0.6471544715447154
2008-06-13,0.6637532133676093,0.6312556458897922
2008-06-16,0.6863753213367609,0.671364046973803
2008-06-17,0.6658097686375322,0.6028906955736223
2008-06-18,0.6519280205655527,0.5785004516711835
2008-06-19,0.6354755784061696,0.5813911472448058
2008-06-20,0.6244215938303342,0.5797651309846432
2008-06-23,0.6002570694087405,0.5616982836495031
2008-06-24,0.6251928020565553,0.5598915989159892
2008-06-25,0.6377892030848329,0.5897018970189701
2008-06-26,0.6398457583547558,0.578319783197832
2008-06-27,0.6506426735218509,0.5880758807588076
2008-06-30,0.6131105398457584,0.5689250225835591
2008-07-01,0.6136246786632391,0.5862691960252936
2008-07-02,0.5976863753213368,0.5712737127371273
2008-07-03,0.5807197943444731,0.48870822041553746
2008-07-07,0.5591259640102828,0.48364950316169825
2008-07-08,0.602827763496144,0.5154471544715448
2008-07-09,0.5673521850899743,0.47588075880758807
2008-07-10,0.5737789203084833,0.47082204155374885
2008-07-11,0.5730077120822622,0.46413730803974707
