,NTRS,VNO
2008-02-01,1.0,1.0
2008-02-04,0.9829268292682928,0.9937234042553191
2008-02-05,0.9440379403794038,0.9597872340425532
2008-02-06,0.94579945799458,0.9327659574468086
2008-02-07,0.9785907859078591,0.9556382978723404
2008-02-08,0.9556910569105691,0.9158510638297873
2008-02-11,0.9565040650406504,0.9009574468085106
2008-02-12,0.9761517615176153,0.9285106382978724
2008-02-13,0.9888888888888889,0.94
2008-02-14,0.9857723577235773,0.9219148936170213
2008-02-15,0.9845528455284552,0.9240425531914893
2008-02-19,0.9651761517615177,0.9129787234042552
2008-02-20,0.9895663956639567,0.9321276595744681
2008-02-21,0.9674796747967481,0.9124468085106383
2008-02-22,0.9521680216802167,0.9304255319148935
2008-02-25,0.9794037940379404,0.958936170212766
2008-02-26,0.9701897018970189,0.9503191489361702
2008-02-27,0.9668021680216802,0.9272340425531914
2008-02-28,0.9459349593495936,0.8992553191489362
2008-02-29,0.9163956639566395,0.8889361702127659
2008-03-03,0.9277777777777778,0.8948936170212767
2008-03-04,0.9330623306233062,0.8814893617021277
2008-03-05,0.9350948509485096,0.8914893617021277
2008-03-06,0.9002710027100271,0.8486170212765957
2008-03-07,0.9066395663956639,0.8617021276595744
2008-03-10,0.8848238482384824,0.8393617021276596
2008-03-11,0.9490514905149052,0.9140425531914894
2008-03-12,0.9230352303523036,0.8841489361702127
2008-03-13,0.9322493224932249,0.8982978723404255
2008-03-14,0.8953929539295393,0.8561702127659575
2008-03-17,0.8784552845528455,0.837659574468085
2008-03-18,0.9516260162601627,0.874468085106383
2008-03-19,0.8991869918699187,0.8720212765957447
2008-03-20,0.9430894308943089,0.9161702127659574
2008-03-24,0.9344173441734417,0.9356382978723404
2008-03-25,0.948780487804878,0.9491489361702128
2008-03-26,0.9170731707317075,0.926595744680851
2008-03-27,0.9046070460704608,0.9251063829787234
2008-03-28,0.8879403794037941,0.9321276595744681
2008-03-31,0.9006775067750677,0.9171276595744681
2008-04-01,0.9646341463414634,0.967340425531915
2008-04-02,0.959078590785908,0.9695744680851064
2008-04-03,0.9710027100271003,0.9953191489361702
2008-04-04,0.9471544715447155,0.955
2008-04-07,0.9521680216802167,0.9524468085106383
2008-04-08,0.9329268292682926,0.9448936170212765
2008-04-09,0.9058265582655826,0.9291489361702128
2008-04-10,0.9047425474254742,0.9402127659574467
2008-04-11,0.910840108401084,0.9297872340425533
2008-04-14,0.8807588075880759,0.9180851063829787
2008-04-15,0.9219512195121953,0.9295744680851064
2008-04-16,0.9794037940379404,0.9693617021276596
2008-04-17,0.9911924119241193,0.9764893617021277
2008-04-18,0.987940379403794,0.9785106382978724
2008-04-21,1.0040650406504064,0.9678723404255319
2008-04-22,0.9949864498644988,0.9722340425531915
2008-04-23,1.0173441734417343,0.9924468085106384
2008-04-24,1.0150406504065042,1.0109574468085107
2008-04-25,1.0392953929539297,1.0080851063829788
2008-04-28,1.0155826558265584,1.0114893617021277
2008-04-29,1.010840108401084,1.0079787234042554
2008-04-30,1.00420054200542,0.9903191489361702
2008-05-01,1.0455284552845527,1.0165957446808511
2008-05-02,1.0287262872628726,1.021595744680851
2008-05-05,1.0307588075880758,1.0224468085106382
2008-05-06,1.038617886178862,1.0259574468085106
2008-05-07,1.000271002710027,1.0048936170212766
2008-05-08,1.0062330623306235,0.9935106382978723
2008-05-09,0.9884823848238483,0.9838297872340426
2008-05-12,1.0276422764227644,1.0162765957446809
2008-05-13,1.0223577235772359,1.020212765957447
2008-05-14,1.0306233062330623,1.0350000000000001
2008-05-15,1.051219512195122,1.0427659574468084
2008-05-16,1.0306233062330623,1.0336170212765956
2008-05-19,1.0220867208672089,1.0435106382978723
2008-05-20,1.0116531165311653,1.025531914893617
2008-05-21,0.9968834688346883,1.007340425531915
2008-05-22,1.0163956639566396,1.0067021276595745
2008-05-23,1.012330623306233,1.0032978723404256
2008-05-27,1.0188346883468835,1.021063829787234
2008-05-28,1.0205962059620595,1.0251063829787235
2008-05-29,1.0337398373983742,1.0441489361702128
2008-05-30,1.029810298102981,1.0396808510638298
2008-06-02,1.0100271002710028,1.011382978723404
2008-06-03,1.0032520325203254,1.013936170212766
2008-06-04,0.9752032520325203,1.0188297872340426
2008-06-05,1.0065040650406505,1.0507446808510639
2008-06-06,0.9670731707317074,0.9943617021276595
2008-06-09,0.9490514905149052,0.9752127659574469
2008-06-10,0.9592140921409216,0.9814893617021277
2008-06-11,0.9346883468834689,0.9646808510638298
2008-06-12,0.9540650406504065,0.9931914893617021
2008-06-13,0.960840108401084,1.0019148936170212
2008-06-16,0.9668021680216802,1.0278723404255319
2008-06-17,0.9570460704607046,0.9987234042553191
2008-06-18,0.9693766937669378,0.9822340425531915
2008-06-19,1.0001355013550137,1.0017021276595743
2008-06-20,0.984959349593496,0.981595744680851
2008-06-23,0.9592140921409216,0.9551063829787234
2008-06-24,0.9613821138211383,0.9537234042553192
2008-06-25,0.9601626016260163,0.9731914893617022
2008-06-26,0.9429539295392955,0.9324468085106383
2008-06-27,0.9346883468834689,0.9272340425531914
2008-06-30,0.9291327913279133,0.9361702127659575
2008-07-01,0.9516260162601627,0.9429787234042554
2008-07-02,0.9285907859078592,0.930531914893617
2008-07-03,0.9212737127371273,0.9338297872340425
2008-07-07,0.898238482384824,0.9106382978723404
2008-07-08,0.9612466124661246,0.9756382978723404
2008-07-09,0.9218157181571817,0.9136170212765957
2008-07-10,0.9399728997289973,0.931595744680851
2008-07-11,0.9449864498644986,0.9325531914893617
2008-07-14,0.9002710027100271,0.9070212765957447
