,HIFS,PCG
2008-08-12,0.932809375,0.9507211538461537
2008-08-13,0.9328125,0.9548076923076922
2008-08-14,0.921875,0.942548076923077
2008-08-15,0.921875,0.9495192307692307
2008-08-18,0.921875,0.9675480769230769
2008-08-19,0.921875,0.9615384615384615
2008-08-20,0.9225,0.9735576923076923
2008-08-21,0.96734375,0.9615384615384615
2008-08-22,0.9675,0.9781249999999999
2008-08-25,0.9675,0.9704326923076922
2008-08-26,0.9675,0.9834134615384614
2008-08-27,0.9675,0.9992788461538461
2008-08-28,0.9675,1.010096153846154
2008-08-29,0.9375,0.9935096153846154
2008-09-02,0.921875,0.99375
2008-09-03,0.921875,0.9911057692307691
2008-09-04,0.921875,0.9788461538461538
2008-09-05,0.9528125,0.991826923076923
2008-09-08,0.9528125,1.025
2008-09-09,0.953125,0.9954326923076922
2008-09-10,0.953125,0.9963942307692308
2008-09-11,0.953125,1.0021634615384614
2008-09-12,0.9109375,1.0004807692307691
2008-09-15,0.9109375,0.9899038461538461
2008-09-16,0.8984375,1.0043269230769232
2008-09-17,0.875,0.9509615384615385
2008-09-18,0.874996875,0.9689903846153847
2008-09-19,0.921875,0.9471153846153846
2008-09-22,0.8453125,0.9175480769230769
2008-09-23,0.8453125,0.9081730769230769
2008-09-24,0.8453125,0.9161057692307691
2008-09-25,0.8515625,0.9449519230769231
2008-09-26,0.8515625,0.9221153846153846
2008-09-29,0.8515625,0.898076923076923
2008-09-30,0.84375,0.9002403846153847
2008-10-01,0.8590625,0.9423076923076923
2008-10-02,0.8440625,0.9346153846153846
2008-10-03,0.8440625,0.9052884615384614
2008-10-06,0.8453125,0.8598557692307692
2008-10-07,0.84375,0.8550480769230769
2008-10-08,0.8125,0.8396634615384615
2008-10-09,0.8059375,0.7875
2008-10-10,0.84375,0.7139423076923076
2008-10-13,0.80875,0.8024038461538462
2008-10-14,0.871875,0.7920673076923077
2008-10-15,0.84375,0.7319711538461539
2008-10-16,0.84375,0.7629807692307692
2008-10-17,0.8734375,0.7403846153846154
2008-10-20,0.8046875,0.8213942307692308
2008-10-21,0.875,0.8081730769230768
2008-10-22,0.875,0.7728365384615384
2008-10-23,0.9375,0.8228365384615384
2008-10-24,0.875,0.828125
