,NFG,OXY
2008-02-01,1.0,1.0
2008-02-04,1.008497932935232,1.0005780346820807
2008-02-05,0.9726688102893891,0.9628612716763004
2008-02-06,0.9660082682590722,0.9369942196531792
2008-02-07,0.9761139182361047,0.9424855491329479
2008-02-08,1.056499770326137,0.9635838150289018
2008-02-11,1.0569591180523656,0.9904624277456648
2008-02-12,1.0440973817179606,0.9856936416184969
2008-02-13,1.0762517225539734,1.0134393063583813
2008-02-14,1.0624712907671108,1.0365606936416185
2008-02-15,1.056499770326137,1.0364161849710982
2008-02-19,1.0824529168580617,1.0846820809248554
2008-02-20,1.0932475884244373,1.1004335260115607
2008-02-21,1.0858980248047774,1.05621387283237
2008-02-22,1.099219108865411,1.063150289017341
2008-02-25,1.1127698667891595,1.098699421965318
2008-02-26,1.1164446485989894,1.128179190751445
2008-02-27,1.1017455213596692,1.1372832369942196
2008-02-28,1.1035829122645842,1.1619942196531792
2008-02-29,1.0806155259531465,1.118063583815029
2008-03-03,1.0927882406982086,1.130635838150289
2008-03-04,1.0849793293523198,1.0959537572254334
2008-03-05,1.1162149747358752,1.1338497109826589
2008-03-06,1.0934772622875517,1.0904624277456647
2008-03-07,1.1026642168121268,1.0735549132947977
2008-03-10,1.0746440055121727,1.0617052023121387
2008-03-11,1.0806155259531465,1.135693641618497
2008-03-12,1.0764813964170876,1.1041907514450866
2008-03-13,1.0794671566375746,1.118063583815029
2008-03-14,1.072347266881029,1.0877167630057802
2008-03-17,1.0574184657785943,1.021242774566474
2008-03-18,1.0916398713826367,1.06878612716763
2008-03-19,1.0574184657785943,0.9995664739884393
2008-03-20,1.0475424896646761,1.010693641618497
2008-03-24,1.0633899862195682,1.0222543352601154
2008-03-25,1.0764813964170876,1.0369942196531792
2008-03-26,1.0787781350482315,1.06864161849711
2008-03-27,1.0755627009646302,1.0578034682080926
2008-03-28,1.0751033532384016,1.058092485549133
2008-03-31,1.0842903077629766,1.0573699421965317
2008-04-01,1.0955443270555811,1.0820809248554912
2008-04-02,1.1093247588424437,1.0822254335260115
2008-04-03,1.093706936150666,1.0914739884393063
2008-04-04,1.1019751952227836,1.1091040462427746
2008-04-07,1.1146072576940744,1.1063583815028901
2008-04-08,1.1610013780431787,1.1153179190751445
2008-04-09,1.147909967845659,1.139450867052023
2008-04-10,1.1407900780891136,1.135693641618497
2008-04-11,1.1263206247129076,1.1160404624277456
2008-04-14,1.1338998621956822,1.1296242774566474
2008-04-15,1.1651355075792373,1.1484104046242773
2008-04-16,1.2071658245291688,1.2021676300578035
2008-04-17,1.1846577859439595,1.197543352601156
2008-04-18,1.2062471290767112,1.1973988439306358
2008-04-21,1.1961414790996785,1.2255780346820808
2008-04-22,1.1862655029857603,1.2436416184971097
2008-04-23,1.1961414790996785,1.2209537572254334
2008-04-24,1.2018833256775379,1.1969653179190751
2008-04-25,1.2023426734037668,1.2553468208092486
2008-04-28,1.2064768029398254,1.2361271676300578
2008-04-29,1.180064308681672,1.2030346820809248
2008-04-30,1.1754708314193845,1.2024566473988438
2008-05-01,1.1713367018833256,1.170809248554913
2008-05-02,1.2377124483233808,1.210115606936416
2008-05-05,1.2581534221405604,1.2404624277456648
2008-05-06,1.2735415709692237,1.2885838150289017
2008-05-07,1.2769866789159394,1.253757225433526
2008-05-08,1.2818098300413414,1.2705202312138728
2008-05-09,1.2772163527790537,1.269508670520231
2008-05-12,1.2976573265962335,1.271820809248555
2008-05-13,1.310289389067524,1.3026011560693642
2008-05-14,1.3038585209003217,1.283236994219653
2008-05-15,1.3185576481396417,1.31257225433526
2008-05-16,1.3504823151125402,1.3726878612716762
2008-05-19,1.3429030776297657,1.379479768786127
2008-05-20,1.349104271933854,1.4140173410404624
2008-05-21,1.4223702342673403,1.39378612716763
2008-05-22,1.4079007808911346,1.3877167630057803
2008-05-23,1.3817179604960954,1.3488439306358382
2008-05-27,1.3994028479559026,1.3202312138728323
2008-05-28,1.4039963252181902,1.345664739884393
2008-05-29,1.3909049150206707,1.3138728323699422
2008-05-30,1.3851630684428113,1.3284682080924857
2008-06-02,1.3573725310059717,1.3367052023121386
2008-06-03,1.355764813964171,1.295664739884393
2008-06-04,1.3474965548920534,1.2630057803468209
2008-06-05,1.3702342673403767,1.3242774566473987
2008-06-06,1.3543867707854846,1.3395953757225434
2008-06-09,1.364951768488746,1.3520231213872833
2008-06-10,1.356453835553514,1.2986994219653178
2008-06-11,1.3474965548920534,1.3297687861271674
2008-06-12,1.3392282958199357,1.2773121387283237
2008-06-13,1.3284336242535602,1.272687861271676
2008-06-16,1.3456591639871385,1.2939306358381504
2008-06-17,1.3525493798805697,1.3170520231213871
2008-06-18,1.3550757923748278,1.3043352601156069
2008-06-19,1.3389986219568213,1.255635838150289
2008-06-20,1.3252181901699587,1.23757225433526
2008-06-23,1.3548461185117135,1.2660404624277457
2008-06-24,1.3389986219568213,1.2436416184971097
2008-06-25,1.3344051446945338,1.226300578034682
2008-06-26,1.3261368856224163,1.2274566473988437
2008-06-27,1.3348644924207624,1.278179190751445
2008-06-30,1.3661001378043178,1.2985549132947976
2008-07-01,1.3695452457510335,1.3213872832369942
2008-07-02,1.3518603582912265,1.2777456647398844
2008-07-03,1.3233807992650437,1.2608381502890174
2008-07-07,1.2967386311437759,1.2199421965317918
2008-07-08,1.2751492880110245,1.192630057803468
2008-07-09,1.2976573265962335,1.1703757225433524
2008-07-10,1.299265043638034,1.2080924855491328
2008-07-11,1.318098300413413,1.2145953757225432
2008-07-14,1.3344051446945338,1.2147398843930635
2008-07-15,1.2976573265962335,1.1589595375722543
2008-07-16,1.2533302710151586,1.1127167630057804
2008-07-17,1.2046394120349104,1.0852601156069364
2008-07-18,1.2011943040881947,1.121242774566474
2008-07-21,1.2239320165365182,1.155635838150289
2008-07-22,1.1860358291226458,1.1127167630057804
2008-07-23,1.1704180064308682,1.0436416184971098
2008-07-24,1.1628387689480937,1.0598265895953758
2008-07-25,1.1380339917317408,1.0940751445086705
2008-07-28,1.1511254019292605,1.099421965317919
2008-07-29,1.1373449701423979,1.097543352601156
2008-07-30,1.1598530087276069,1.1660404624277456
2008-07-31,1.143546164446486,1.1391618497109826
2008-08-01,1.1226458429030777,1.1460982658959538
2008-08-04,1.0955443270555811,1.0726878612716764
2008-08-05,1.1175930179145612,1.0926300578034682
2008-08-06,1.1469912723932016,1.1215317919075143
2008-08-07,1.150206706476803,1.1036127167630059
2008-08-08,1.0668350941662839,1.0995664739884392
2008-08-11,1.0840606338998622,1.0966763005780347
2008-08-12,1.094395957740009,1.0907514450867053
2008-08-13,1.1084060633899862,1.1290462427745664
2008-08-14,1.0902618282039505,1.11878612716763
2008-08-15,1.0895728066146073,1.0940751445086705
2008-08-18,1.0776297657326597,1.0927745664739885
2008-08-19,1.0976113918236106,1.1232658959537571
2008-08-20,1.0953146531924667,1.1734104046242775
2008-08-21,1.107717041800643,1.2111271676300577
2008-08-22,1.1038125861276988,1.1817919075144507
2008-08-25,1.080845199816261,1.1682080924855491
2008-08-26,1.0836012861736335,1.1923410404624277
2008-08-27,1.0969223702342674,1.216329479768786
2008-08-28,1.1012861736334405,1.1643063583815028
2008-08-29,1.0865870463941205,1.1468208092485548
2008-09-02,1.059485530546624,1.0885838150289016
2008-09-03,1.0532843362425357,1.0908959537572254
2008-09-04,1.0491502067064769,1.0634393063583816
2008-09-05,1.0404225999081305,1.058815028901734
2008-09-08,1.0463941203491043,1.0394508670520233
2008-09-09,0.9894350022967386,0.9562138728323699
2008-09-10,1.0163068442811207,1.0095375722543352
2008-09-11,1.0280202112999541,1.0095375722543352
