,LAMR,LBTYA
2008-02-01,1.0,1.0
2008-02-04,1.0022629554197782,0.9831542968750001
2008-02-05,0.9687712152070606,0.959716796875
2008-02-06,0.9429735234215887,0.9267578125
2008-02-07,0.9563249603982802,0.9140624999999999
2008-02-08,0.9493097985969677,0.9133300781249999
2008-02-11,0.9441050011314778,0.92578125
2008-02-12,0.9445575922154335,0.9091796875
2008-02-13,0.9712604661688166,0.92578125
2008-02-14,0.9619823489477257,0.934814453125
2008-02-15,0.9434261145055443,0.951171875
2008-02-19,0.9366372482462096,0.925048828125
2008-02-20,0.9128762163385382,0.9479980468749999
2008-02-21,0.9033718035754696,0.917236328125
2008-02-22,0.9103869653767821,0.93115234375
2008-02-25,0.9235121068114959,0.9201660156249999
2008-02-26,0.9665082597872823,0.9357910156249999
2008-02-27,0.8970355284000906,0.9587402343750001
2008-02-28,0.8793844761258204,0.9709472656250001
2008-02-29,0.8624123104774837,0.91796875
2008-03-03,0.852907897714415,0.9099121093750001
2008-03-04,0.8248472505091651,0.888671875
2008-03-05,0.814663951120163,0.9035644531249999
2008-03-06,0.8119484046164291,0.887451171875
2008-03-07,0.8001810364335823,0.89599609375
2008-03-10,0.7829825752432678,0.862060546875
2008-03-11,0.778909255487667,0.8857421875
2008-03-12,0.7709889115184432,0.8852539062499999
2008-03-13,0.789092554876669,0.88134765625
2008-03-14,0.7727992758542657,0.8662109374999999
2008-03-17,0.7587689522516408,0.8496093749999999
2008-03-18,0.7875084860828242,0.878173828125
2008-03-19,0.7875084860828242,0.8525390625
2008-03-20,0.8038017651052275,0.8513183593749999
2008-03-24,0.8477031002489251,0.86669921875
2008-03-25,0.8316361167684997,0.876953125
2008-03-26,0.8198687485856528,0.867431640625
2008-03-27,0.8101380402806064,0.86376953125
2008-03-28,0.7929395790902919,0.822998046875
2008-03-31,0.8130798823263182,0.8320312499999999
2008-04-01,0.8400090518216791,0.8540039062499999
2008-04-02,0.8307309346005884,0.858154296875
2008-04-03,0.8223579995474091,0.86572265625
2008-04-04,0.8094591536546731,0.85791015625
2008-04-07,0.8178320887078525,0.8679199218749999
2008-04-08,0.7940710568001812,0.87109375
2008-04-09,0.7854718262050239,0.8574218749999999
2008-04-10,0.7933921701742477,0.8522949218749999
2008-04-11,0.7909029192124917,0.84814453125
2008-04-14,0.776193708983933,0.82275390625
2008-04-15,0.7795881421136005,0.8134765625
2008-04-16,0.8058384249830278,0.8425292968749999
2008-04-17,0.8047069472731389,0.843017578125
2008-04-18,0.8345779588142115,0.8479003906249999
2008-04-21,0.8379723919438787,0.8486328124999999
2008-04-22,0.8323150033944332,0.8547363281249999
2008-04-23,0.847929395790903,0.853515625
2008-04-24,0.8703326544467075,0.8452148437499999
2008-04-25,0.8601493550577054,0.816650390625
2008-04-28,0.8938673908124011,0.82373046875
2008-04-29,0.8956777551482236,0.8469238281249999
2008-04-30,0.8947725729803123,0.864013671875
2008-05-01,0.9402579769178547,0.892578125
2008-05-02,0.9230595157275402,0.897216796875
2008-05-05,0.9047295768273365,0.87255859375
2008-05-06,0.9056347589952479,0.8818359374999999
2008-05-07,0.8988458927359131,0.8872070312500001
2008-05-08,0.8821000226295542,0.859619140625
2008-05-09,0.8766689296220865,0.8515625
2008-05-12,0.8965829373161348,0.8544921875
2008-05-13,0.9090291921249152,0.8540039062499999
2008-05-14,0.9253224711473185,0.84814453125
2008-05-15,0.9250961756053406,0.86572265625
2008-05-16,0.9255487666892962,0.8642578125
2008-05-19,0.9287169042769857,0.8652343749999999
2008-05-20,0.9296220864448971,0.8601074218749999
2008-05-21,0.909255487666893,0.85791015625
2008-05-22,0.913102511880516,0.864013671875
2008-05-23,0.8787055894998869,0.86474609375
2008-05-27,0.8936410952704232,0.8798828125
2008-05-28,0.8922833220185563,0.8706054687499999
2008-05-29,0.9194387870558951,0.8779296875
2008-05-30,0.9470468431771895,0.875244140625
2008-06-02,0.9031455080334917,0.878662109375
2008-06-03,0.8956777551482236,0.86669921875
2008-06-04,0.9074451233310704,0.881591796875
2008-06-05,0.9162706494682056,0.8808593749999999
2008-06-06,0.892735913102512,0.8652343749999999
2008-06-09,0.855623444218149,0.8557128906249999
2008-06-10,0.8282416836388324,0.833251953125
2008-06-11,0.800633627517538,0.8198242187499999
2008-06-12,0.7922606924643585,0.8056640625
2008-06-13,0.8015388096854493,0.8291015625
2008-06-16,0.8053858338990723,0.830078125
2008-06-17,0.8112695179904956,0.815185546875
2008-06-18,0.7823036886173342,0.8017578125000001
2008-06-19,0.7798144376555782,0.7893066406249999
2008-06-20,0.7678207739307535,0.779052734375
2008-06-23,0.7592215433355962,0.772216796875
2008-06-24,0.7601267255035077,0.766357421875
2008-06-25,0.7913555102964471,0.7832031249999999
2008-06-26,0.7929395790902919,0.770263671875
2008-06-27,0.7958814211360037,0.76806640625
2008-06-30,0.8153428377460965,0.767333984375
2008-07-01,0.7940710568001812,0.75830078125
2008-07-02,0.7945236478841368,0.7421875
2008-07-03,0.8035754695632497,0.757080078125
2008-07-07,0.776420004525911,0.73779296875
2008-07-08,0.7866033039149128,0.73828125
2008-07-09,0.7664630006788866,0.7343749999999999
2008-07-10,0.7684996605566871,0.73388671875
2008-07-11,0.748133061778683,0.718994140625
2008-07-14,0.7223353699932112,0.721923828125
2008-07-15,0.7076261597646527,0.7158203125
2008-07-16,0.7571848834577959,0.73779296875
2008-07-17,0.8060647205250057,0.73291015625
2008-07-18,0.797918081013804,0.72412109375
2008-07-21,0.7768725956098664,0.728759765625
2008-07-22,0.8232631817153203,0.720703125
