,GPS,VFC
2008-02-01,1.0,1.0
2008-02-04,0.9684591520165461,0.956123856086248
2008-02-05,0.939503619441572,0.9245330324683465
2008-02-06,0.9477766287487073,0.9711671054281058
2008-02-07,1.016028955532575,1.0021311269900965
2008-02-08,1.0227507755946226,0.9996239187664535
2008-02-11,1.033092037228542,1.0200576657891438
2008-02-12,1.031023784901758,1.0259496051147048
2008-02-13,1.0372285418821097,1.0287075341607121
2008-02-14,1.0046535677352637,1.0089005891939327
2008-02-15,1.0186142709410548,0.9929798169737997
2008-02-19,0.9943123061013444,0.9848313902469601
2008-02-20,1.0108583247156153,1.0002507208223643
2008-02-21,0.9974146845915202,0.9842045881910494
2008-02-22,1.0191313340227508,0.9827002632568635
2008-02-25,1.03205791106515,0.9840792277798671
2008-02-26,1.048086866597725,1.002507208223643
2008-02-27,1.0274043433298863,0.9972420709539928
2008-02-28,1.0056876938986556,0.9863357151811459
2008-02-29,1.0429162357807653,0.9532405666290586
2008-03-03,1.0589451913133403,0.9521123229284193
2008-03-04,1.0517063081695968,0.9605114704776233
2008-03-05,1.0610134436401242,0.9676557603108938
2008-03-06,1.001551189245088,0.9304249717939075
2008-03-07,1.0124095139607032,0.9344365049517364
2008-03-10,0.9994829369183039,0.9052275291462956
2008-03-11,1.0299896587383661,0.9353140278300113
2008-03-12,1.0217166494312306,0.978061928043124
2008-03-13,1.0460186142709411,0.9724207095399272
2008-03-14,1.0243019648397105,0.956123856086248
2008-03-17,1.017580144777663,0.957878901842798
2008-03-18,1.062047569803516,0.9791901717437633
2008-03-19,1.063598759048604,0.9606368308888054
2008-03-20,1.1049638055842814,0.9893443650495174
2008-03-24,1.1034126163391933,0.9919769336843425
2008-03-25,1.0718717683557395,0.9919769336843425
2008-03-26,1.065149948293692,0.988216121348878
2008-03-27,1.0434332988624613,0.983953867368685
2008-03-28,1.0093071354705274,0.9498558355271405
2008-03-31,1.017580144777663,0.9716685470728346
2008-04-01,1.0532574974146847,0.9921022940955246
2008-04-02,1.0558428128231645,0.9829509840792278
2008-04-03,1.0263702171664943,0.9912247712172496
2008-04-04,0.985005170630817,0.9810705779114957
2008-04-07,0.9922440537745606,0.9756800802306632
2008-04-08,0.9829369183040332,0.974677196941206
2008-04-09,0.9767321613236816,0.9580042622539803
2008-04-10,0.9550155118924508,0.9596339475993482
2008-04-11,0.9281282316442606,0.9534912874514229
2008-04-14,0.9555325749741469,0.9532405666290586
2008-04-15,0.9694932781799379,0.9453428607245832
2008-04-16,0.9762150982419855,0.9546195311520623
2008-04-17,0.9860392967942089,0.9691613388491915
2008-04-18,0.9824198552223371,0.9888429234047887
2008-04-21,0.9617373319544985,0.9840792277798671
2008-04-22,0.9369183040330921,0.9784380092766705
2008-04-23,0.9581178903826267,0.9430863733233046
2008-04-24,0.9741468459152016,0.9348125861852826
2008-04-25,1.0,0.9581296226651624
2008-04-28,0.9767321613236816,0.9479754293594084
2008-04-29,0.9906928645294726,0.9432117337344866
2008-04-30,0.9627714581178904,0.9324307383728219
2008-05-01,0.983453981385729,0.9615143537670804
2008-05-02,0.9658738366080661,0.9702895825498309
2008-05-05,0.9446742502585316,0.9518616021060551
2008-05-06,0.9601861427094106,0.9395762818102045
2008-05-07,0.9431230610134436,0.9345618653629184
2008-05-08,0.922440537745605,0.9245330324683465
2008-05-09,0.9276111685625648,0.9213990221887928
2008-05-12,0.952947259565667,0.947599348125862
2008-05-13,0.954498448810755,0.9546195311520623
2008-05-14,0.9798345398138573,0.9727967907734737
2008-05-15,0.9917269906928645,0.9873385984706031
2008-05-16,0.952947259565667,0.9679077347373699
2008-05-19,0.9674250258531542,0.9612636329447162
2008-05-20,0.9658738366080661,0.9410806067443901
2008-05-21,0.9343329886246122,0.9286699260373574
2008-05-22,0.9457083764219234,0.9311771342610005
2008-05-23,0.9276111685625648,0.924909113701893
2008-05-27,0.9358841778697001,0.9459696627804939
2008-05-28,0.9415718717683558,0.963770841168359
2008-05-29,0.9576008273009307,0.9684091763820986
2008-05-30,0.9436401240951396,0.9489783126488656
2008-06-02,0.9327817993795242,0.9343111445405542
2008-06-03,0.9307135470527405,0.9299235301491791
2008-06-04,0.9203722854188211,0.9251598345242572
2008-06-05,0.9245087900723888,0.9395762818102045
2008-06-06,0.8877973112719753,0.9123730725836782
2008-06-09,0.8784901758014477,0.8969537420082738
2008-06-10,0.9146845915201656,0.9017174376331956
2008-06-11,0.8996897621509824,0.8772721574526765
2008-06-12,0.9188210961737332,0.8787764823868622
2008-06-13,0.9307135470527405,0.9123730725836782
2008-06-16,0.9276111685625648,0.919017174376332
2008-06-17,0.9307135470527405,0.919769336843425
2008-06-18,0.904343329886246,0.9039739250344742
2008-06-19,0.9239917269906929,0.90547824996866
2008-06-20,0.9022750775594622,0.8742635075843048
2008-06-23,0.873836608066184,0.8926914880280807
2008-06-24,0.8660806618407446,0.8941958129622666
2008-06-25,0.8733195449844882,0.9136266766954996
2008-06-26,0.8614270941054809,0.9211483013664286
2008-06-27,0.8655635987590485,0.9039739250344742
2008-06-30,0.861944157187177,0.8923154067945345
2008-07-01,0.8826266804550156,0.9433370941456688
2008-07-02,0.8629782833505688,0.9402030838661152
2008-07-03,0.8505687693898656,0.9338097028958254
2008-07-07,0.8200620475698035,0.9245330324683465
2008-07-08,0.8660806618407446,0.9432117337344866
2008-07-09,0.8376421923474664,0.9237808700012536
2008-07-10,0.8247156153050672,0.9038485646232919
2008-07-11,0.7885211995863496,0.8855459445906984
2008-07-14,0.7947259565667011,0.8740127867619406
