"","X1","CMS","GXP","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02488038277512,0.999497234791352,NA,0.887445887445887,0.528138528138528,0.969187552537639,0.146755480091723
"3",2009-01-06,1.05741626794258,0.975364504776269,"GXP",0.935064935064935,0.0995670995670996,0.986080260928408,0.0256462075192178
"4",2009-01-07,1.04019138755981,0.969834087481146,"GXP",0.212121212121212,0.376623376623377,0.150112116990298,0.673070568708369
"5",2009-01-08,1.06985645933014,0.980392156862745,"GXP",0.917748917748918,0.800865800865801,0.925985111010573,0.343461510713021
"6",2009-01-09,1.06985645933014,0.972347913524384,"GXP",0.536796536796537,0.29004329004329,0.783011755014431,0.147440569010965
"7",2009-01-12,1.05167464114833,0.976370035193565,"GXP",0.203463203463203,0.649350649350649,0.0546744028666154,0.902302768233659
"8",2009-01-13,1.02870813397129,0.960281548516843,"GXP",0.151515151515152,0.194805194805195,0.234387795396245,0.4487406151185
"9",2009-01-14,1.03827751196172,0.936651583710407,"GXP",0.744588744588745,0.0995670995670996,0.944075895758241,0.0167676989888154
"10",2009-01-15,1.06698564593301,0.939165409753645,"GXP",0.913419913419913,0.606060606060606,0.974727013201452,0.16702845814728
"11",2009-01-16,1.07751196172249,0.961287078934138,"GXP",0.753246753246753,0.926406926406926,0.256769246852957,0.959181737208751
"12",2009-01-20,1.08325358851675,0.941176470588235,"GXP",0.653679653679654,0.12987012987013,0.917881717684452,0.026223831087708
"13",2009-01-21,1.11291866028708,0.95676219205631,"GXP",0.909090909090909,0.874458874458874,0.806760843082164,0.561056149555517
"14",2009-01-22,1.11578947368421,0.948717948717949,"GXP",0.601731601731602,0.29004329004329,0.841996251106971,0.118594947888919
"15",2009-01-23,1.15023923444976,0.947712418300654,"GXP",0.935064935064935,0.510822510822511,0.988513804667841,0.115427762148329
"16",2009-01-26,1.15980861244019,0.971342383107089,"GXP",0.722943722943723,0.939393939393939,0.205119031384004,0.976789580440785
"17",2009-01-27,1.13684210526316,0.985419808949221,"GXP",0.177489177489178,0.852813852813853,0.0365608935968443,0.971298474952386
"18",2009-01-28,1.1444976076555,0.993966817496229,"GXP",0.688311688311688,0.748917748917749,0.498630642292116,0.71904426493267
"19",2009-01-29,1.13014354066986,0.980392156862745,"GXP",0.255411255411255,0.216450216450216,0.447188427939197,0.288900910204654
"20",2009-01-30,1.1244019138756,0.9587732528909,"GXP",0.428571428571429,0.108225108225108,0.833673524163719,0.0332248175324956
"21",2009-02-02,1.1444976076555,0.982403217697335,"GXP",0.844155844155844,0.935064935064935,0.367026851725194,0.926837125339924
"22",2009-02-03,1.13014354066986,0.997486173956762,"GXP",0.255411255411255,0.865800865800866,0.0562816733493479,0.974640314072065
"23",2009-02-04,1.10813397129187,1.00754147812971,"GXP",0.177489177489178,0.792207792207792,0.036514652405005,0.955632160878505
"24",2009-02-05,1.13588516746411,1.01206636500754,"GXP",0.887445887445887,0.662337662337662,0.946929584514766,0.235285876425319
"25",2009-02-06,1.15693779904306,1.02262443438914,"GXP",0.844155844155844,0.792207792207792,0.776529798753186,0.529714257654425
"26",2009-02-09,1.14545454545455,1.01156359979889,"GXP",0.294372294372294,0.255411255411255,0.458853872548246,0.313674899686568
"27",2009-02-10,1.10526315789474,0.982905982905983,"GXP",0.0822510822510823,0.0779220779220779,0.316717173423656,0.276049671247524
"28",2009-02-11,1.09282296650718,0.773755656108597,"GXP",0.285714285714286,0,0.911038938874399,1e-10
"29",2009-02-12,1.10717703349282,0.77526395173454,"GXP",0.787878787878788,0.584415584415584,0.873916774716175,0.277064626820784
"30",2009-02-13,1.09665071770335,0.779788838612368,"GXP",0.311688311688312,0.696969696969697,0.102749722259223,0.900078402700104
"31",2009-02-17,1.03444976076555,0.735042735042735,"GXP",0.0346320346320346,0.0173160173160173,0.520501105109193,0.0935562707456369
"32",2009-02-18,1.02296650717703,0.710910005027652,"GXP",0.285714285714286,0.0606060606060606,0.800852897953979,0.0220507536860939
"33",2009-02-19,1.00765550239234,0.727501256913022,"GXP",0.225108225108225,0.926406926406926,0.0505273148397478,0.988607910683366
"34",2009-02-20,0.996172248803828,0.710407239819005,"GXP",0.281385281385281,0.103896103896104,0.721092122730291,0.0626504442229462
"35",2009-02-23,0.96555023923445,0.686777275012569,"GXP",0.0995670995670996,0.0562770562770563,0.513429789221357,0.123065807643976
"36",2009-02-24,1.01722488038278,0.71744595274007,"GXP",0.974025974025974,0.978354978354978,0.661750484052333,0.786188055183144
"37",2009-02-25,1.02870813397129,0.701860231271996,"GXP",0.757575757575758,0.112554112554113,0.947236886980004,0.0198525166881643
"38",2009-02-26,1.05263157894737,0.685268979386626,"GXP",0.878787878787879,0.0995670995670996,0.9736917338002,0.0200414989852258
"39",2009-02-27,1.05837320574163,0.680744092508798,"GXP",0.653679653679654,0.32034632034632,0.868247302225735,0.12254482254734
"40",2009-03-02,1.05167464114833,0.626948215183509,"GXP",0.415584415584416,0.00432900432900433,0.904441331360792,0.000185731192844675
"41",2009-03-03,1.02679425837321,0.59376571141277,"GXP",0.138528138528139,0.0216450216450216,0.788726458055773,0.0113630538571054
"42",2009-03-04,1.04114832535885,0.606334841628959,"GXP",0.792207792207792,0.913419913419913,0.341270313540694,0.92432501403575
"43",2009-03-05,1.01148325358852,0.575666163901458,"GXP",0.112554112554113,0.0216450216450216,0.758320279245822,0.0164246312424859
"44",2009-03-06,1.04019138755981,0.583710407239819,"GXP",0.917748917748918,0.852813852813853,0.874401069695422,0.457483348516277
