"","X1","CTWS","JNJ","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.987277353689568,0.990107172300082,NA,0.272727272727273,0.19047619047619,0.417623928658451,0.203547494642556
"3",2009-01-06,0.986005089058524,0.984171475680132,NA,0.493506493506494,0.285714285714286,0.629094671925518,0.214196284489051
"4",2009-01-07,0.959287531806616,0.974938169826876,NA,0.142857142857143,0.199134199134199,0.18534616111028,0.361959956474714
"5",2009-01-08,0.988973706530959,0.973124484748557,NA,0.9004329004329,0.445887445887446,0.962789954647796,0.230059957750824
"6",2009-01-09,0.940203562340967,0.973619126133553,NA,0.0346320346320346,0.545454545454545,0.00759321657878349,0.782661687116056
"7",2009-01-12,0.943596268023749,0.961912613355318,NA,0.571428571428571,0.16017316017316,0.762814701980064,0.0755738959812785
"8",2009-01-13,0.963528413910093,0.970156636438582,NA,0.861471861471861,0.787878787878788,0.83367021113906,0.608387432153736
"9",2009-01-14,0.935114503816794,0.955482275350371,NA,0.138528138528139,0.116883116883117,0.288316332297727,0.204214056082313
"10",2009-01-15,0.963104325699746,0.950041220115416,NA,0.896103896103896,0.294372294372294,0.96236250989677,0.150412155820231
"11",2009-01-16,0.970313825275657,0.947073371805441,NA,0.666666666666667,0.38961038961039,0.775943018372137,0.263100237755136
"12",2009-01-20,0.93596268023749,0.935696619950536,NA,0.121212121212121,0.16017316017316,0.185211704964403,0.325598652362903
"13",2009-01-21,0.953350296861747,0.929266281945589,NA,0.844155844155844,0.25974025974026,0.933851496368412,0.129049778610602
"14",2009-01-22,0.935114503816794,0.937675185490519,NA,0.177489177489178,0.805194805194805,0.0806175510321971,0.908662892490709
"15",2009-01-23,0.937234944868533,0.922835943940643,NA,0.554112554112554,0.108225108225108,0.767349632931773,0.0422643070748938
"16",2009-01-26,0.972858354537744,0.93239901071723,NA,0.909090909090909,0.818181818181818,0.892820462292561,0.569851028334048
"17",2009-01-27,0.99618320610687,0.948722176422094,NA,0.87012987012987,0.896103896103896,0.704673042855138,0.812318908198371
"18",2009-01-28,1.01229855810008,0.965539983511954,NA,0.835497835497836,0.904761904761905,0.611737967463434,0.870972423130089
"19",2009-01-29,0.970737913486005,0.960923330585326,NA,0.0779220779220779,0.329004329004329,0.0409184129608034,0.634117564366428
"20",2009-01-30,0.981340118744699,0.951195383347073,NA,0.757575757575758,0.186147186147186,0.881693728447572,0.084018871085486
"21",2009-02-02,1.03859202714165,0.951195383347073,NA,0.956709956709957,0.541125541125541,0.98834464988833,0.252984424645029
"22",2009-02-03,1.01145038167939,0.965869744435284,NA,0.142857142857143,0.887445887445887,0.0729305733527983,0.948157331996313
"23",2009-02-04,0.997031382527566,0.955647155812036,NA,0.242424242424242,0.173160173160173,0.391504719635126,0.199244712636692
"24",2009-02-05,0.994910941475827,0.958120362737016,NA,0.467532467532468,0.627705627705628,0.374168712915202,0.696414036188821
"25",2009-02-06,1.00763358778626,0.964715581203627,NA,0.787878787878788,0.748917748917749,0.744780497217828,0.641763770842386
"26",2009-02-09,0.999151823579305,0.964550700741962,NA,0.341991341991342,0.506493506493506,0.277864662711291,0.610655062368023
"27",2009-02-10,0.959287531806616,0.935366859027205,NA,0.0865800865800866,0.051948051948052,0.335447185867134,0.118534442632595
"28",2009-02-11,0.966921119592875,0.945259686727123,NA,0.67965367965368,0.818181818181818,0.503218182189505,0.838364104977199
"29",2009-02-12,0.965648854961832,0.952679307502061,NA,0.493506493506494,0.787878787878788,0.31431183998114,0.869946615924902
"30",2009-02-13,0.961832061068702,0.941467436108821,NA,0.441558441558442,0.164502164502165,0.652331607820576,0.0989506270141883
"31",2009-02-17,0.942324003392706,0.923000824402308,NA,0.173160173160173,0.0865800865800866,0.42489638563887,0.105708532298875
"32",2009-02-18,0.942748091603054,0.920527617477329,NA,0.523809523809524,0.406926406926407,0.593532832620303,0.35408121329056
"33",2009-02-19,0.927480916030535,0.922176422093982,NA,0.225108225108225,0.601731601731602,0.122849541530937,0.766634562856928
"34",2009-02-20,0.933418150975403,0.901071723000824,NA,0.636363636363636,0.0735930735930736,0.815218690188306,0.0227182592683958
"35",2009-02-23,0.919847328244275,0.884583676834295,NA,0.242424242424242,0.0865800865800866,0.530072399293924,0.0699628408963691
"36",2009-02-24,0.92832909245123,0.899258037922506,NA,0.701298701298701,0.887445887445887,0.444245265250276,0.917469982471645
"37",2009-02-25,0.91136556403732,0.889694971145919,NA,0.181818181818182,0.173160173160173,0.286254732992957,0.259376861593619
"38",2009-02-26,0.868108566581849,0.864633140972795,NA,0.0432900432900433,0.0562770562770563,0.154523609198549,0.264576196437843
"39",2009-02-27,0.86217133163698,0.824402308326463,NA,0.372294372294372,0.012987012987013,0.747841421167004,0.00212786276206108
"40",2009-03-02,0.800254452926209,0.790107172300083,NA,0.00865800865800866,0.0216450216450216,0.060200376057701,0.389472884820804
"41",2009-03-03,0.768447837150127,0.785490519373454,NA,0.0865800865800866,0.29004329004329,0.0562261337774833,0.584875167993786
"42",2009-03-04,0.783290924512299,0.809563066776587,NA,0.852813852813853,0.961038961038961,0.472475443013406,0.961831145731554
"43",2009-03-05,0.737489397794741,0.78598516075845,NA,0.0173160173160173,0.0562770562770563,0.0426889551638252,0.458118035513591
"44",2009-03-06,0.750636132315522,0.790931574608409,NA,0.83982683982684,0.735930735930736,0.836786780819934,0.557159148665241
"45",2009-03-09,0.737913486005089,0.768342951360264,NA,0.207792207792208,0.0562770562770563,0.554191774272881,0.0429689463327201
