,SJW,ACE
2008-02-01,1.0,1.0
2008-02-04,0.9586670938801667,1.0043830074173972
2008-02-05,0.9365587952579302,0.9828051247471341
2008-02-06,0.9519384812560077,0.9946055293324343
2008-02-07,0.9852611342518424,0.9998314227916386
2008-02-08,0.9740467798782441,0.9659474039109912
2008-02-11,0.9830182633771227,0.9538098449089683
2008-02-12,0.9974367190003204,0.9514497639919083
2008-02-13,1.0291573213713552,0.9602157788267026
2008-02-14,0.9910285165011214,0.9541469993256911
2008-02-15,0.9833386735020827,0.9745448415374242
2008-02-19,0.9676385773790451,0.9688132164531356
2008-02-20,0.9929509772508811,0.980782198246797
2008-02-21,0.9240628003844921,0.959541469993257
2008-02-22,0.9384812560076898,0.9848280512474714
2008-02-25,0.9464915091316886,0.98347943358058
2008-02-26,0.9746876001281641,0.9940997977073499
2008-02-27,0.9548221723806473,1.0161834120026974
2008-02-28,0.9397628965075295,0.979602157788267
2008-02-29,0.968279397628965,0.9480782198246798
2008-03-03,0.9509772508811278,0.9286918408631154
2008-03-04,0.9724447292534444,0.9140256237356709
2008-03-05,0.9926305671259211,0.9212744436952124
2008-03-06,0.9192566485100929,0.9168914362778152
2008-03-07,0.917975008010253,0.9256574511126096
2008-03-10,0.8987504005126562,0.9135198921105866
2008-03-11,0.9410445370073695,0.948583951449764
2008-03-12,0.9365587952579302,0.9182400539447066
2008-03-13,0.9426465876321692,0.9297033041132838
2008-03-14,0.9064402435116949,0.9045853000674309
2008-03-17,0.9234219801345722,0.9062710721510452
2008-03-18,0.9846203140019224,0.9573499662845583
2008-03-19,0.962191605254726,0.9249831422791638
2008-03-20,1.0096123037487985,0.9801078894133514
2008-03-24,0.9913489266260814,0.9578556979096426
2008-03-25,0.9977571291252804,0.9455495616992583
2008-03-26,1.0169817366228773,0.9313890761968981
2008-03-27,0.9461710990067286,0.9276803776129467
2008-03-28,0.9022749118872156,0.9182400539447066
2008-03-31,0.9160525472604935,0.928186109238031
2008-04-01,0.93719961550785,0.9731962238705326
2008-04-02,0.9320730535084908,0.9661159811193527
2008-04-03,0.9349567446331304,0.9667902899527984
2008-04-04,0.9234219801345722,0.9612272420768713
2008-04-07,0.917975008010253,0.9743762643290627
2008-04-08,0.9288689522588913,0.9590357383681726
2008-04-09,0.9025953220121756,0.9635873229939311
2008-04-10,0.9275873117590515,0.9571813890761969
2008-04-11,0.8990708106376161,0.9472353337828725
2008-04-14,0.9038769625120154,0.9536412677006069
2008-04-15,0.9295097725088113,0.9551584625758597
2008-04-16,0.9602691445049663,0.9763991908293999
2008-04-17,0.9423261775072093,0.9863452461227241
2008-04-18,0.9676385773790451,0.99763991908294
2008-04-21,0.9512976610060878,0.9875252865812542
2008-04-22,0.9362383851329701,0.9861766689143627
2008-04-23,0.9458506888817686,0.9683074848280512
2008-04-24,0.9641140660044857,0.9951112609575186
2008-04-25,0.9612303748798462,0.997302764666217
2008-04-28,0.9676385773790451,0.9927511800404585
2008-04-29,0.9913489266260814,0.9836480107889414
2008-04-30,0.9634732457545658,1.0163519892110586
2008-05-01,1.017942966997757,1.0375927174645987
2008-05-02,0.9907081063761615,1.0367498314227916
2008-05-05,0.9903876962512015,1.0170262980445044
2008-05-06,0.9862223646267222,1.0354012137559003
2008-05-07,0.974367190003204,1.0111260957518542
2008-05-08,0.9644344761294457,1.0170262980445044
2008-05-09,0.9724447292534444,1.00708024275118
2008-05-12,0.9971163088753605,1.0236008091706001
2008-05-13,0.9859019545017622,1.017194875252866
2008-05-14,0.9961550785004806,1.0303438975050572
2008-05-15,0.9919897468760013,1.0389413351314902
2008-05-16,0.9817366228772829,1.0330411328388402
2008-05-19,0.975328420378084,1.0348954821308158
2008-05-20,0.9791733418776033,1.0187120701281187
2008-05-21,0.9891060557513618,0.997302764666217
2008-05-22,1.0150592758731176,1.0052258934592044
2008-05-23,1.0048061518743991,0.9890424814565071
2008-05-27,1.0214674783723166,1.0026972353337829
2008-05-28,1.0137776353732777,0.9927511800404585
2008-05-29,1.0221082986222363,1.0165205664194201
2008-05-30,0.9951938481256007,1.0126432906271072
2008-06-02,0.9945530278756808,1.0045515846257587
2008-06-03,0.9849407241268824,1.0163519892110586
2008-06-04,1.0048061518743991,1.0295010114632501
2008-06-05,1.0400512656199936,1.056473364801079
2008-06-06,1.005446972124319,1.0320296695886715
2008-06-09,1.0073694328740788,1.0264666217127445
2008-06-10,1.0166613264979174,1.025118004045853
2008-06-11,0.9887856456264017,0.9951112609575186
2008-06-12,0.9900672861262415,1.0156776803776129
2008-06-13,1.0044857417494393,1.0237693863789614
2008-06-16,0.9859019545017622,1.0119689817936615
2008-06-17,0.9711630887536046,0.9942683749157113
2008-06-18,0.9727651393784044,0.9870195549561699
2008-06-19,0.9929509772508811,0.9856709372892785
2008-06-20,0.9842999038769624,0.9627444369521241
2008-06-23,0.9830182633771227,0.9517869184086312
2008-06-24,0.9548221723806473,0.9686446392447741
2008-06-25,0.9416853572572893,0.9683074848280512
2008-06-26,0.8795257930150592,0.9396493594066082
2008-06-27,0.8603011855174624,0.9312204989885368
2008-06-30,0.8458827298942646,0.9286918408631154
2008-07-01,0.8413969881448254,0.9302090357383682
2008-07-02,0.8388337071451457,0.9206001348617667
2008-07-03,0.8176866388977891,0.9243088334457181
2008-07-07,0.806472284524191,0.9103169251517195
2008-07-08,0.8548542133931432,0.9379635873229939
2008-07-09,0.8221723806472284,0.9010451786918409
2008-07-10,0.8154437680230695,0.8910991233985165
2008-07-11,0.7991028516501122,0.8310856372218476
