"","X1","MLM","STNR","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.02861653838563,0.96882333221589,NA,0.796536796536797,0.199134199134199,0.947475030365702,0.0388384212736551
"3",2009-01-06,1.0065127294257,0.976868923902112,NA,0.255411255411255,0.619047619047619,0.107921277305793,0.818969973273647
"4",2009-01-07,0.975527925794356,0.971840429098223,NA,0.181818181818182,0.463203463203463,0.0953841865076289,0.754465954678607
"5",2009-01-08,0.985987763962897,0.921555481059336,NA,0.653679653679654,0.0779220779220779,0.949957812876714,0.0105586384242751
"6",2009-01-09,0.930136175251628,0.837747234327858,NA,0.0649350649350649,0.0173160173160173,0.68065102488947,0.0406906966217001
"7",2009-01-12,0.867179790803237,0.846798524974858,NA,0.0562770562770563,0.645021645021645,0.00598629572877296,0.960568745414703
"8",2009-01-13,0.854746398263272,0.851156553804895,NA,0.324675324675325,0.575757575757576,0.190580494946263,0.723556029356794
"9",2009-01-14,0.823366883757647,0.814280925243044,NA,0.138528138528139,0.112554112554113,0.380363572588156,0.240901697187547
"10",2009-01-15,0.860667061377541,0.848809922896413,NA,0.904761904761905,0.883116883116883,0.78052883106791,0.710806606982576
"11",2009-01-16,0.876159463193211,0.829701642641636,NA,0.727272727272727,0.272727272727273,0.885915978169519,0.0889752521904049
"12",2009-01-20,0.817446220643379,0.784109956419712,NA,0.0606060606060606,0.0692640692640693,0.244751096864913,0.328134992146272
"13",2009-01-21,0.821788040260509,0.855514582634931,NA,0.571428571428571,0.982683982683983,0.151824921076976,0.989897584650433
"14",2009-01-22,0.813104401026248,0.812604760308414,NA,0.380952380952381,0.0822510822510823,0.829378926394465,0.0319802191756656
"15",2009-01-23,0.807085060193408,0.806905799530674,NA,0.393939393939394,0.424242424242424,0.389246666369124,0.46228186170257
"16",2009-01-26,0.783599763173475,0.837076768354006,NA,0.19047619047619,0.844155844155844,0.0302466878209842,0.965762502997678
"17",2009-01-27,0.804223406354845,0.868253436138116,NA,0.779220779220779,0.844155844155844,0.580440353700186,0.748094379266248
"18",2009-01-28,0.82445233866193,0.915856520281596,NA,0.770562770562771,0.930735930735931,0.459991295445014,0.897535191274938
"19",2009-01-29,0.80639431616341,0.843446195105598,NA,0.246753246753247,0.025974025974026,0.879901839706073,0.00860090204340058
"20",2009-01-30,0.794552989934873,0.835735836406302,NA,0.311688311688312,0.406926406926407,0.286841567031128,0.527026970727881
"21",2009-02-02,0.798894809552003,0.846128059001006,NA,0.575757575757576,0.662337662337662,0.438661080105374,0.628348240020184
"22",2009-02-03,0.817939609236234,0.893060677170634,NA,0.761904761904762,0.930735930735931,0.44614587727522,0.900722802361919
"23",2009-02-04,0.825143082691928,0.905799530673818,NA,0.645021645021645,0.675324675324675,0.524541446340469,0.592279164215832
"24",2009-02-05,0.846062759029011,0.924907810928595,NA,0.770562770562771,0.731601731601732,0.665252969047054,0.572440620090427
"25",2009-02-06,0.844187882376159,0.950385517934965,"MLM",0.458874458874459,0.787878787878788,0.211881423917075,0.849996514080897
"26",2009-02-09,0.82958358002763,0.944016091183372,"MLM",0.285714285714286,0.428571428571429,0.233870321273564,0.587855143922021
"27",2009-02-10,0.81665679889481,0.900100569896078,"MLM",0.303030303030303,0.103896103896104,0.714600875133853,0.0707605972689694
"28",2009-02-11,0.788829682257746,0.894066376131411,"MLM",0.16017316017316,0.428571428571429,0.0864247175481823,0.749470631378616
"29",2009-02-12,0.807874481941978,0.906805229634596,"MLM",0.761904761904762,0.675324675324675,0.694011597707695,0.495461471528185
"30",2009-02-13,0.762680086836392,0.919879316124707,"MLM",0.0692640692640693,0.675324675324675,0.00793021026277374,0.959549695240129
"31",2009-02-17,0.720446023287942,0.906805229634596,"MLM",0.0735930735930736,0.354978354978355,0.0295768297297843,0.82702334918459
"32",2009-02-18,0.70564436550227,0.886691250419041,"MLM",0.272727272727273,0.281385281385281,0.354755394310759,0.380534959190689
"33",2009-02-19,0.687685020722321,0.896748240026819,"MLM",0.212121212121212,0.645021645021645,0.0702936096371544,0.86680254811485
"34",2009-02-20,0.678211959739491,0.870264834059672,"MLM",0.341991341991342,0.207792207792208,0.573583983520842,0.189103529135209
"35",2009-02-23,0.67465956187093,0.809587663426081,"MLM",0.41991341991342,0.0346320346320346,0.929383380120915,0.00565948155835394
"36",2009-02-24,0.737714624037892,0.833053972510895,"MLM",0.978354978354978,0.792207792207792,0.96860673632953,0.395749292974878
"37",2009-02-25,0.737813301756463,0.79986590680523,"MLM",0.502164502164502,0.121212121212121,0.853976413726398,0.0397335418409325
"38",2009-02-26,0.728142885336491,0.815957090177673,"MLM",0.346320346320346,0.718614718614719,0.145636070890874,0.843190317219174
"39",2009-02-27,0.755476613380699,0.845122360040228,"MLM",0.852813852813853,0.835497835497836,0.719171019672128,0.671144117673738
"40",2009-03-02,0.745016775212157,0.727455581629232,NA,0.341991341991342,0,0.999999979445665,1e-10
"41",2009-03-03,0.710380895993685,0.692591350988937,NA,0.103896103896104,0.0952380952380952,0.326897286968047,0.269981164985671
"42",2009-03-04,0.733668837576475,0.72276231981227,NA,0.831168831168831,0.887445887445887,0.626021272447547,0.787580137438929
"43",2009-03-05,0.703276100256562,0.646999664767013,NA,0.116883116883117,0,0.999999928881611,1e-10
"44",2009-03-06,0.690349319123742,0.648340596714717,NA,0.277056277056277,0.541125541125541,0.157865572804934,0.73008062447181
"45",2009-03-09,0.693210972962305,0.626550452564532,NA,0.567099567099567,0.186147186147186,0.834360910418873,0.0701905996583554
