,PWOD,UTL
2008-02-01,1.0,1.0
2008-02-04,1.0,1.0038841807909604
2008-02-05,1.0095384615384617,0.9851694915254237
2008-02-06,0.9849261538461539,1.0134180790960452
2008-02-07,0.9846153846153847,1.012005649717514
2008-02-08,0.9904615384615384,1.00635593220339
2008-02-11,0.9846184615384617,1.006002824858757
2008-02-12,0.9846153846153847,1.0151836158192091
2008-02-13,1.0055384615384615,1.0088276836158192
2008-02-14,1.0055384615384615,1.0187146892655368
2008-02-15,1.0055384615384615,1.0180084745762712
2008-02-19,1.0255384615384615,1.0240112994350283
2008-02-20,0.9846153846153847,1.0204802259887005
2008-02-21,0.9846153846153847,1.0190677966101696
2008-02-22,0.9846153846153847,0.9989406779661016
2008-02-25,0.9846153846153847,0.9304378531073447
2008-02-26,0.9846153846153847,0.9477401129943502
2008-02-27,0.9846153846153847,0.9551553672316384
2008-02-28,0.9846153846153847,0.9509180790960452
2008-02-29,1.0153846153846153,0.9463276836158192
2008-03-03,0.966156923076923,0.9692796610169491
2008-03-04,0.9661538461538461,0.9742231638418078
2008-03-05,0.9661538461538461,0.9728107344632768
2008-03-06,0.9307692307692308,0.9766949152542372
2008-03-07,0.9843076923076922,0.9576271186440678
2008-03-10,0.9252307692307692,0.9569209039548023
2008-03-11,1.0123076923076924,0.9445621468926554
2008-03-12,1.0076923076923077,0.9632768361581922
2008-03-13,1.0076923076923077,0.9675141242937852
2008-03-14,1.0,0.9668079096045197
2008-03-17,1.0,0.9646892655367232
2008-03-18,0.9541538461538462,0.9364406779661016
2008-03-19,0.992923076923077,0.9565677966101694
2008-03-20,1.0153815384615383,0.9533898305084746
2008-03-24,0.9923107692307693,0.9357344632768362
2008-03-25,1.0153846153846153,0.9675141242937852
2008-03-26,1.02,0.9795197740112994
2008-03-27,1.0298461538461539,0.9788135593220338
2008-03-28,1.0298461538461539,0.9841101694915254
2008-03-31,1.02,0.9516242937853107
2008-04-01,1.02,0.9477401129943502
2008-04-02,0.9692307692307692,0.9463276836158192
2008-04-03,0.9692307692307692,0.936087570621469
2008-04-04,0.9615384615384616,0.9593926553672317
2008-04-07,0.9812061538461538,0.9703389830508474
2008-04-08,0.9804615384615384,0.9604519774011299
2008-04-09,0.9806153846153847,0.9636299435028248
2008-04-10,0.9686153846153847,0.9788135593220338
2008-04-11,0.9923076923076923,0.9692796610169491
2008-04-14,0.984,0.9918785310734464
2008-04-15,0.9541538461538462,0.9975282485875706
2008-04-16,0.9827692307692308,1.002824858757062
2008-04-17,0.9705846153846154,1.0081214689265536
2008-04-18,0.9818461538461538,1.0035310734463276
2008-04-21,0.9818461538461538,0.9947033898305085
2008-04-22,0.9904615384615384,0.9936440677966102
2008-04-23,1.0138461538461538,0.9925847457627118
2008-04-24,0.9953846153846154,0.9661016949152542
2008-04-25,0.9926153846153846,0.9622175141242938
2008-04-28,0.9827692307692308,0.951271186440678
2008-04-29,0.9836923076923076,0.9523305084745762
2008-04-30,0.9920000000000001,0.9463276836158192
2008-05-01,0.9904615384615384,0.9685734463276836
2008-05-02,0.9873846153846155,0.9639830508474576
2008-05-05,0.9860000000000001,0.9671610169491526
2008-05-06,1.0058461538461538,0.9661016949152542
2008-05-07,1.0064615384615385,0.9590395480225988
2008-05-08,0.9938461538461537,0.954449152542373
2008-05-09,0.9938461538461537,0.9657485875706215
2008-05-12,0.9938461538461537,0.9745762711864407
2008-05-13,0.9938461538461537,0.9745762711864407
2008-05-14,0.9938461538461537,0.971045197740113
2008-05-15,0.9846153846153847,0.9826977401129943
2008-05-16,0.9846153846153847,0.98340395480226
2008-05-19,0.9575384615384616,0.9805790960451977
2008-05-20,0.9818461538461538,0.9992937853107344
2008-05-21,0.9818461538461538,1.0098870056497176
2008-05-22,0.9818461538461538,0.9749293785310734
2008-05-23,0.9923076923076923,1.0024717514124293
2008-05-27,0.9923076923076923,0.9939971751412429
2008-05-28,0.9523076923076923,0.9936440677966102
2008-05-29,0.9421538461538462,0.9745762711864407
2008-05-30,0.9384615384615385,0.981638418079096
2008-06-02,0.9670769230769231,0.9855225988700564
2008-06-03,0.9732307692307692,0.9735169491525424
2008-06-04,0.9732307692307692,0.9738700564971751
2008-06-05,0.9406153846153846,0.9565677966101694
2008-06-06,0.9406153846153846,0.983050847457627
2008-06-09,0.9406153846153846,0.9932909604519774
2008-06-10,0.9406153846153846,0.9759887005649718
2008-06-11,0.9292307692307692,0.9766949152542372
2008-06-12,0.9378461538461539,0.972457627118644
2008-06-13,0.9378461538461539,0.9636299435028248
2008-06-16,0.9944615384615385,0.958686440677966
2008-06-17,0.9944615384615385,0.9632768361581922
2008-06-18,0.9846153846153847,0.9622175141242938
2008-06-19,0.9956923076923077,0.9604519774011299
2008-06-20,0.9313846153846154,0.9325564971751412
2008-06-23,0.9596923076923077,0.9562146892655367
2008-06-24,0.9376923076923077,0.9533898305084746
2008-06-25,0.9233846153846155,0.9636299435028248
2008-06-26,0.9643076923076923,0.9593926553672317
2008-06-27,0.9643076923076923,0.9569209039548023
2008-06-30,0.9615384615384616,0.957274011299435
2008-07-01,0.9695384615384616,0.9562146892655367
2008-07-02,0.9692307692307692,0.9653954802259886
2008-07-03,0.9692307692307692,0.9562146892655367
2008-07-07,0.9661538461538461,0.9367937853107345
2008-07-08,0.9661538461538461,0.952683615819209
2008-07-09,0.9661538461538461,0.9427966101694915
2008-07-10,0.9400000000000001,0.9463276836158192
2008-07-11,0.9256923076923077,0.9516242937853107
2008-07-14,0.9249230769230768,0.9533898305084746
2008-07-15,0.9384646153846153,0.9551553672316384
