"","X1","MRO","OKE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.01242236024845,1.0062091503268,NA,0.649350649350649,0.653679653679654,0.570102823818325,0.581442380411215
"3",2009-01-06,1.03071083505866,1.0156862745098,NA,0.727272727272727,0.722943722943723,0.627955104166606,0.61527590748813
"4",2009-01-07,0.990683229813665,0.983006535947712,NA,0.155844155844156,0.116883116883117,0.445152923655302,0.223525582975137
"5",2009-01-08,1.02518978605935,0.990196078431372,NA,0.857142857142857,0.683982683982684,0.878836591553896,0.35445197424259
"6",2009-01-09,0.995859213250518,0.961764705882353,NA,0.216450216450216,0.125541125541126,0.566032509565709,0.153624982239523
"7",2009-01-12,0.957902001380262,0.952287581699346,NA,0.155844155844156,0.329004329004329,0.113294693264542,0.68044666204349
"8",2009-01-13,0.988267770876467,0.960457516339869,NA,0.831168831168831,0.701298701298701,0.828968326496255,0.427198355597317
"9",2009-01-14,0.946859903381642,0.917647058823529,NA,0.138528138528139,0.0735930735930736,0.576220275970976,0.126507549700923
"10",2009-01-15,0.954451345755694,0.921895424836601,NA,0.619047619047619,0.614718614718615,0.559440759993736,0.54844680449789
"11",2009-01-16,0.982056590752243,0.933660130718954,NA,0.822510822510823,0.770562770562771,0.750284229639344,0.567136411115235
"12",2009-01-20,0.91407867494824,0.901307189542484,NA,0.0606060606060606,0.103896103896104,0.145936800830765,0.531829219726902
"13",2009-01-21,0.985507246376812,0.947385620915033,NA,0.952380952380952,0.961038961038961,0.659591568032594,0.783081698504272
"14",2009-01-22,0.973429951690821,0.946078431372549,NA,0.367965367965368,0.510822510822511,0.278026738436059,0.629307092956676
"15",2009-01-23,1.00172532781228,0.961437908496732,NA,0.822510822510823,0.822510822510823,0.676433658275109,0.676433658275109
"16",2009-01-26,1.02173913043478,0.998039215686274,NA,0.744588744588745,0.943722943722944,0.223667588937595,0.967364658990157
"17",2009-01-27,0.987232574189096,1.0156862745098,NA,0.168831168831169,0.835497835497836,0.0137420417015901,0.983289414321616
"18",2009-01-28,1.0175983436853,1.00522875816993,NA,0.826839826839827,0.324675324675325,0.954573838742731,0.0674955064084648
"19",2009-01-29,0.977225672877847,0.980392156862745,NA,0.155844155844156,0.142857142857143,0.365777358044493,0.29699692089813
"20",2009-01-30,0.939613526570048,0.954901960784314,NA,0.155844155844156,0.138528138528139,0.377755286539833,0.284936671573537
"21",2009-02-02,0.927536231884058,0.962418300653595,NA,0.363636363636364,0.688311688311688,0.157185871595035,0.841305916332007
"22",2009-02-03,0.926155969634231,0.96797385620915,NA,0.519480519480519,0.640692640692641,0.382024099784211,0.676420877508
"23",2009-02-04,0.926155969634231,0.941830065359477,NA,0.523809523809524,0.12987012987013,0.895540151547358,0.0304072504470797
"24",2009-02-05,0.922015182884748,0.946732026143791,NA,0.471861471861472,0.623376623376623,0.330083659833854,0.690355884156436
"25",2009-02-06,0.936853002070393,0.916666666666667,NA,0.692640692640693,0.116883116883117,0.965432415579842,0.0115968225144836
"26",2009-02-09,0.9648033126294,0.916666666666667,NA,0.822510822510823,0.532467532467532,0.898596326794227,0.222569215840142
"27",2009-02-10,0.908902691511387,0.887254901960784,NA,0.0865800865800866,0.116883116883117,0.21409116210799,0.439557789002334
"28",2009-02-11,0.91304347826087,0.902941176470588,NA,0.593073593073593,0.835497835497836,0.272505886975392,0.890878081210893
"29",2009-02-12,0.924775707384403,0.913071895424837,NA,0.658008658008658,0.744588744588745,0.483210328885029,0.722180671267737
"30",2009-02-13,0.93167701863354,0.912418300653595,NA,0.61038961038961,0.519480519480519,0.631974837063872,0.40996323935447
"31",2009-02-17,0.854727398205659,0.861764705882353,NA,0.038961038961039,0.051948051948052,0.211118320200096,0.421526537974799
"32",2009-02-18,0.844375431331953,0.834967320261438,NA,0.367965367965368,0.125541125541126,0.788413374359038,0.0596160088157619
"33",2009-02-19,0.854382332643202,0.825490196078431,NA,0.640692640692641,0.298701298701299,0.838095184126721,0.120861188780943
"34",2009-02-20,0.819530710835059,0.795424836601307,NA,0.151515151515152,0.0909090909090909,0.532691203822744,0.156667821156859
"35",2009-02-23,0.777777777777778,0.755228758169935,NA,0.0995670995670996,0.0649350649350649,0.486569356461267,0.174497366542945
"36",2009-02-24,0.834023464458247,0.724509803921569,"OKE",0.952380952380952,0.0735930735930736,0.999478273402089,0.000621398285859188
"37",2009-02-25,0.821946169772257,0.749346405228758,"OKE",0.346320346320346,0.935064935064935,0.0331026912028042,0.991874836277233
"38",2009-02-26,0.833333333333333,0.741503267973856,"OKE",0.662337662337662,0.316017316017316,0.845858786868435,0.126629181753579
"39",2009-02-27,0.802967563837129,0.730065359477124,"OKE",0.164502164502165,0.229437229437229,0.219880567647893,0.487689417097931
"40",2009-03-02,0.721877156659765,0.668627450980392,"OKE",0.0216450216450216,0.0173160173160173,0.392323101894997,0.229264889284499
"41",2009-03-03,0.724292615596963,0.651960784313725,"OKE",0.562770562770563,0.142857142857143,0.903323197756732,0.0318985820569105
"42",2009-03-04,0.757763975155279,0.662418300653595,"OKE",0.887445887445887,0.813852813852814,0.83565110734868,0.511229270203112
"43",2009-03-05,0.733264320220842,0.629411764705882,"OKE",0.181818181818182,0.0692640692640693,0.703111899480397,0.0696067720395692
"44",2009-03-06,0.721877156659765,0.618627450980392,"OKE",0.346320346320346,0.216450216450216,0.590564913930246,0.190660616154196
"45",2009-03-09,0.732229123533471,0.594444444444444,"OKE",0.666666666666667,0.0822510822510823,0.974580414000199,0.00567731751132235
