,BDC,ARCC
2008-02-01,1.0,1.0
2008-02-04,0.9719139297848244,0.9846153846153846
2008-02-05,0.929105322763307,0.9531468531468531
2008-02-06,0.9214043035107587,0.9258741258741259
2008-02-07,0.9402038505096263,0.9377622377622378
2008-02-08,0.9275198187995471,0.9265734265734266
2008-02-11,0.9259343148357871,0.9167832167832167
2008-02-12,0.9562853907134767,0.923076923076923
2008-02-13,1.0058890147225368,0.9328671328671329
2008-02-14,0.9614949037372594,0.9076923076923077
2008-02-15,0.9340883352208381,0.8965034965034965
2008-02-19,0.9340883352208381,0.8909090909090909
2008-02-20,0.9277463193657984,0.9020979020979021
2008-02-21,0.9180067950169876,0.888111888111888
2008-02-22,0.9173272933182334,0.8979020979020979
2008-02-25,0.9397508493771235,0.8986013986013985
2008-02-26,0.9716874292185731,0.9048951048951048
2008-02-27,0.9583238958097396,0.979020979020979
2008-02-28,0.9295583238958097,0.9482517482517483
2008-02-29,0.8901472253680633,0.8965034965034965
2008-03-03,0.9050962627406569,0.8755244755244754
2008-03-04,0.8722536806342016,0.8909090909090909
2008-03-05,0.8808607021517554,0.920979020979021
2008-03-06,0.8742921857304644,0.8888111888111888
2008-03-07,0.8462061155152888,0.9132867132867133
2008-03-10,0.7941109852774633,0.8846153846153846
2008-03-11,0.7970554926387315,0.9363706293706293
2008-03-12,0.7941109852774633,0.9321678321678322
2008-03-13,0.7988674971687431,0.9104895104895104
2008-03-14,0.7784824462061155,0.8671328671328671
2008-03-17,0.7669309173272933,0.848951048951049
2008-03-18,0.7925254813137034,0.8930069930069929
2008-03-19,0.7660249150622876,0.8657342657342657
2008-03-20,0.7814269535673839,0.916083916083916
2008-03-24,0.8178935447338619,0.9174825174825174
2008-03-25,0.8373725934314836,0.9048951048951048
2008-03-26,0.8181200453001132,0.8874125874125873
2008-03-27,0.8067950169875424,0.8902097902097902
2008-03-28,0.7866364665911665,0.8664335664335664
2008-03-31,0.8,0.879020979020979
2008-04-01,0.8439411098527746,0.9076923076923077
2008-04-02,0.8971687429218573,0.8713286713286713
2008-04-03,0.8890147225368064,0.8734265734265734
2008-04-04,0.8733861834654587,0.8587412587412586
2008-04-07,0.8543601359003398,0.8727272727272727
2008-04-08,0.8788221970554926,0.881118881118881
2008-04-09,0.8255945639864101,0.8412587412587412
2008-04-10,0.8371460928652322,0.8384615384615385
2008-04-11,0.8099660249150623,0.8048951048951049
2008-04-14,0.7943374858437147,0.7853146853146853
2008-04-15,0.797281993204983,0.7797202797202797
2008-04-16,0.8308040770101925,0.7916083916083916
2008-04-17,0.8301245753114382,0.8013986013986014
2008-04-18,0.8792751981879955,0.8111888111888111
2008-04-21,0.8690826727066817,0.7958041958041958
2008-04-22,0.8262740656851641,0.7853146853146853
2008-04-23,0.8253680634201586,0.7678321678321678
2008-04-24,0.7725934314835787,0.7797202797202797
2008-04-25,0.8033975084937712,0.7713286713286712
2008-04-28,0.7904869762174406,0.7825174825174824
2008-04-29,0.77440543601359,0.788111888111888
2008-04-30,0.7642129105322764,0.7874125874125874
2008-05-01,0.7882219705549264,0.8155594405594405
2008-05-02,0.7800679501698754,0.8223776223776224
2008-05-05,0.7861834654586637,0.8251748251748252
2008-05-06,0.7782559456398641,0.83006993006993
2008-05-07,0.7802944507361269,0.820979020979021
2008-05-08,0.7814269535673839,0.8167832167832167
2008-05-09,0.7882219705549264,0.83006993006993
2008-05-12,0.7850509626274065,0.8552447552447552
2008-05-13,0.8101925254813138,0.8657342657342657
2008-05-14,0.862061155152888,0.8664335664335664
2008-05-15,0.8908267270668176,0.8692307692307691
2008-05-16,0.8851642129105323,0.8559440559440559
2008-05-19,0.8776896942242356,0.8566433566433566
2008-05-20,0.8817667044167611,0.8524475524475523
2008-05-21,0.8724801812004531,0.8524475524475523
2008-05-22,0.884484711211778,0.8622377622377622
2008-05-23,0.8745186862967158,0.8426573426573427
2008-05-27,0.8713476783691959,0.8643356643356642
2008-05-28,0.8930917327293318,0.8594405594405593
2008-05-29,0.9223103057757644,0.8762237762237761
2008-05-30,0.9488108720271801,0.8664335664335664
2008-06-02,0.9379388448471121,0.8601398601398601
2008-06-03,0.9352208380520951,0.851048951048951
2008-06-04,0.9467723669309173,0.8552447552447552
2008-06-05,0.9660249150622876,0.8797202797202797
2008-06-06,0.9202718006795018,0.853146853146853
2008-06-09,0.8783691959229899,0.8454545454545453
2008-06-10,0.8729331823329558,0.8524475524475523
2008-06-11,0.8165345413363533,0.8384615384615385
2008-06-12,0.8160815402038506,0.8069930069930069
2008-06-13,0.8706681766704416,0.8258741258741259
2008-06-16,0.8695356738391846,0.8328671328671329
2008-06-17,0.8387315968289921,0.8062937062937062
2008-06-18,0.8382785956964892,0.7993006993006992
2008-06-19,0.8584371460928653,0.8069930069930069
2008-06-20,0.8380520951302378,0.7937062937062936
2008-06-23,0.8364665911664779,0.7671328671328671
2008-06-24,0.8233295583238959,0.7636363636363636
2008-06-25,0.836013590033975,0.7636363636363636
2008-06-26,0.7882219705549264,0.748951048951049
2008-06-27,0.7721404303510759,0.7342657342657343
2008-06-30,0.7673839184597963,0.7048951048951049
2008-07-01,0.7626274065685165,0.7006993006993006
2008-07-02,0.7152887882219705,0.6909090909090909
2008-07-03,0.7001132502831258,0.6692307692307692
2008-07-07,0.7048697621744054,0.6503496503496504
2008-07-08,0.6840317100792752,0.7027972027972028
2008-07-09,0.6772366930917327,0.679020979020979
2008-07-10,0.6835787089467724,0.6867132867132867
2008-07-11,0.6867497168742922,0.6909090909090909
2008-07-14,0.6860702151755379,0.6643356643356643
