,BBGI,ANF
2008-02-01,1.0,1.0
2008-02-04,0.8407079646017699,0.9713624177431147
2008-02-05,0.9805309734513273,0.9493053863027053
2008-02-06,1.0053097345132742,0.9189617353156226
2008-02-07,0.95929203539823,0.9614915915184012
2008-02-08,1.0132743362831858,0.9521082135023153
2008-02-11,0.9734513274336283,0.9785522788203753
2008-02-12,1.0106194690265486,0.9689251766999757
2008-02-13,0.9539823008849556,0.9607604192054594
2008-02-14,0.9575221238938053,0.9266390446015111
2008-02-15,0.95929203539823,0.9185961491591518
2008-02-19,0.9734513274336283,0.9086034608822813
2008-02-20,1.008849557522124,0.9390689739215209
2008-02-21,1.0176991150442478,0.9323665610528882
2008-02-22,0.9946902654867256,0.9441871801121131
2008-02-25,1.0053097345132742,0.9718498659517426
2008-02-26,1.015929203539823,0.9893980014623446
2008-02-27,1.0176991150442478,0.9987813794784303
2008-02-28,1.008849557522124,0.9657567633438947
2008-02-29,0.9557522123893806,0.9447964903728978
2008-03-03,0.9840707964601768,0.9451620765293688
2008-03-04,0.9451327433628318,0.9584450402144773
2008-03-05,0.9398230088495574,0.9631976602485987
2008-03-06,0.9469026548672566,0.897392152083841
2008-03-07,0.9575221238938053,0.8870338776504997
2008-03-10,1.015929203539823,0.8659517426273459
2008-03-11,0.8141592920353982,0.9194491835242505
2008-03-12,0.8761061946902655,0.8930051182061906
2008-03-13,0.8884955752212388,0.9144528393858153
2008-03-14,0.8902654867256637,0.8921520838410918
2008-03-17,0.7610619469026548,0.8895929807457957
2008-03-18,0.8176991150442477,0.9315135266877894
2008-03-19,0.8017699115044248,0.909578357299537
2008-03-20,0.8247787610619469,0.9407750426517183
2008-03-24,0.9362831858407079,0.9582013161101632
2008-03-25,0.9398230088495574,0.9706312454301731
2008-03-26,0.8637168141592919,0.9422373872776016
2008-03-27,0.8566371681415929,0.9340726297830856
2008-03-28,0.8849557522123893,0.8834998781379478
2008-03-31,0.6300884955752212,0.8912990494759931
2008-04-01,0.9716814159292035,0.9345600779917134
2008-04-02,0.7522123893805309,0.9407750426517183
2008-04-03,0.8486725663716813,0.9385815257128929
2008-04-04,0.8300884955752212,0.9341944918352424
2008-04-07,0.9610619469026548,0.9140872532293444
2008-04-08,0.9132743362831858,0.9129904947599318
2008-04-09,0.9522123893805309,0.9015354618571777
2008-04-10,0.8424778761061946,0.9019010480136486
2008-04-11,0.8530973451327434,0.8614428466975383
2008-04-14,0.9362831858407079,0.8538873994638069
2008-04-15,0.927433628318584,0.8608335364367535
2008-04-16,0.9504424778761061,0.8685108457226419
2008-04-17,0.895575221238938,0.8853278089203023
2008-04-18,0.8672566371681416,0.9025103582744334
2008-04-21,0.8991150442477875,0.8923958079454059
2008-04-22,0.8654867256637166,0.8669266390446015
2008-04-23,0.8654867256637166,0.8737509139653912
2008-04-24,0.8725663716814158,0.9079941506214965
2008-04-25,0.8460176991150442,0.9195710455764075
2008-04-28,0.8707964601769911,0.9192054594199367
2008-04-29,0.8424778761061946,0.9231050450889593
2008-04-30,0.8849557522123893,0.9055569095783573
2008-05-01,0.8407079646017699,0.9128686327077747
2008-05-02,0.868141592920354,0.9078722885693394
2008-05-05,0.815929203539823,0.8866682914940288
2008-05-06,0.9734513274336283,0.8877650499634413
2008-05-07,0.9486725663716814,0.8854496709724591
2008-05-08,0.9079646017699115,0.8903241530587375
2008-05-09,0.927433628318584,0.8956860833536436
2008-05-12,0.8247787610619469,0.9143309773336583
2008-05-13,0.8407079646017699,0.9171338045332684
2008-05-14,0.8707964601769911,0.9196929076285644
2008-05-15,0.8212389380530972,0.9271264928101389
2008-05-16,0.8584070796460176,0.9284669753838654
2008-05-19,0.8495575221238937,0.9107969778211065
2008-05-20,0.8194690265486725,0.8962953936144284
2008-05-21,0.8389380530973451,0.8700950524006825
2008-05-22,0.7964601769911503,0.8722885693395076
2008-05-23,0.831858407079646,0.8647331221057761
2008-05-27,0.847787610619469,0.8853278089203023
2008-05-28,0.8442477876106194,0.8942237387277601
2008-05-29,0.847787610619469,0.9026322203265902
2008-05-30,0.831858407079646,0.8847184986595173
2008-06-02,0.8637168141592919,0.8649768462100902
2008-06-03,0.8513274336283184,0.8362174019010481
2008-06-04,0.8831858407079646,0.8326834023884961
2008-06-05,0.8194690265486725,0.8560809164026322
2008-06-06,0.8637168141592919,0.8209846453814282
2008-06-09,0.8176991150442477,0.8242749207896661
2008-06-10,0.7982300884955751,0.8376797465269314
2008-06-11,0.7964601769911503,0.8134291981476968
2008-06-12,0.7610619469026548,0.807092371435535
2008-06-13,0.7964601769911503,0.8443821593955643
2008-06-16,0.8938053097345132,0.8544967097245918
2008-06-17,0.7999999999999998,0.8473068486473312
2008-06-18,0.8300884955752212,0.8275651961979039
2008-06-19,0.8831858407079646,0.8388983670485011
2008-06-20,0.7769911504424778,0.8226907141116256
2008-06-23,0.7539823008849557,0.8129417499390689
2008-06-24,0.7539823008849557,0.798196441628077
2008-06-25,0.7628318584070796,0.8124543017304411
2008-06-26,0.7398230088495574,0.7839385815257128
2008-06-27,0.7929203539823009,0.7811357543261027
2008-06-30,0.8088495575221238,0.7638313429198147
2008-07-01,0.8106194690265487,0.7663904460151109
2008-07-02,0.7398230088495574,0.748354862295881
2008-07-03,0.7504424778761062,0.7400682427492078
2008-07-07,0.7415929203539823,0.739702656592737
2008-07-08,0.7486725663716814,0.739702656592737
2008-07-09,0.8141592920353982,0.6968072142334877
2008-07-10,0.743362831858407,0.6584206678040458
2008-07-11,0.7398230088495574,0.6411162563977577
