"","X1","XEL","DTE","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,0.990445859872611,1.01021817177575,NA,0.25974025974026,0.787878787878788,0.0415210689823353,0.966887366370495
"3",2009-01-06,0.977707006369427,1.001104667219,NA,0.212121212121212,0.303030303030303,0.205928480082541,0.607691419337254
"4",2009-01-07,0.967622080679406,0.985915492957746,NA,0.251082251082251,0.199134199134199,0.518645676956286,0.257782553013897
"5",2009-01-08,0.98036093418259,0.988677161005247,NA,0.831168831168831,0.58008658008658,0.937581719277734,0.168186976761357
"6",2009-01-09,0.968152866242038,0.983153824910246,NA,0.212121212121212,0.354978354978355,0.148448642740473,0.701581429284591
"7",2009-01-12,0.974522292993631,0.987296326981497,NA,0.727272727272727,0.601731601731602,0.796024745538143,0.327157247521755
"8",2009-01-13,0.959660297239915,0.95912731289699,NA,0.177489177489178,0.103896103896104,0.614232534233598,0.132849232715719
"9",2009-01-14,0.953821656050955,0.943385805026236,NA,0.316017316017316,0.19047619047619,0.676874161203614,0.149643167785653
"10",2009-01-15,0.960191082802548,0.947252140292737,NA,0.727272727272727,0.601731601731602,0.796024745538143,0.327157247521755
"11",2009-01-16,0.970276008492569,0.95967964650649,NA,0.792207792207792,0.835497835497836,0.502912235785139,0.751359949367619
"12",2009-01-20,0.954352441613588,0.942004971002485,NA,0.16017316017316,0.164502164502165,0.344314226493205,0.372525503113337
"13",2009-01-21,0.971868365180467,0.946423639878487,NA,0.887445887445887,0.614718614718615,0.967917914748171,0.139732275194178
"14",2009-01-22,0.978768577494692,0.947252140292737,NA,0.735930735930736,0.506493506493506,0.883258576266282,0.190073476949745
"15",2009-01-23,0.975583864118896,0.931234465617233,NA,0.424242424242424,0.19047619047619,0.814212468069725,0.0792189474045575
"16",2009-01-26,0.988853503184713,0.951946975973488,NA,0.83982683982684,0.922077922077922,0.329992715254263,0.910709985518655
"17",2009-01-27,0.991507430997877,0.975144987572494,NA,0.606060606060606,0.939393939393939,0.0958964159265231,0.990488655371245
"18",2009-01-28,0.99203821656051,0.980392156862745,NA,0.532467532467532,0.636363636363636,0.346598007796601,0.720737812986202
"19",2009-01-29,0.994692144373673,0.964650648991991,NA,0.606060606060606,0.19047619047619,0.921086905211429,0.0381709603225562
"20",2009-01-30,0.979830148619958,0.952775476387738,NA,0.177489177489178,0.246753246753247,0.211246132755558,0.563929240076153
"21",2009-02-02,0.974522292993631,0.954156310411488,NA,0.329004329004329,0.536796536796537,0.159115856095911,0.796958441258942
"22",2009-02-03,0.979830148619958,0.949461474730737,NA,0.696969696969697,0.359307359307359,0.914952246778092,0.0989260779181157
"23",2009-02-04,0.993099787685775,0.953327809997238,NA,0.835497835497836,0.601731601731602,0.933953455575594,0.181686172138828
"24",2009-02-05,1.00212314225053,0.95829881248274,NA,0.779220779220779,0.627705627705628,0.85348378684007,0.286100963543013
"25",2009-02-06,1.01008492569002,0.965479149406241,NA,0.753246753246753,0.718614718614719,0.679382428715576,0.51896460179487
"26",2009-02-09,0.998407643312102,0.963269814968241,NA,0.225108225108225,0.432900432900433,0.10969935096598,0.785776835088357
"27",2009-02-10,0.968683651804671,0.924606462303231,NA,0.051948051948052,0.038961038961039,0.446729684157867,0.198243615541333
"28",2009-02-11,0.962314225053079,0.916873791770229,NA,0.307359307359307,0.311688311688312,0.408940616765943,0.427532496780691
"29",2009-02-12,0.962845010615711,0.905274785970726,NA,0.532467532467532,0.238095238095238,0.862612897767201,0.0779315635808193
"30",2009-02-13,0.957006369426752,0.901132283899475,NA,0.316017316017316,0.367965367965368,0.329055099906675,0.538183040742113
"31",2009-02-17,0.929405520169851,0.848660590996962,"DTE",0.0562770562770563,0.0173160173160173,0.74420336648125,0.0327344582224378
"32",2009-02-18,0.939490445859873,0.843413421706711,"DTE",0.796536796536797,0.346320346320346,0.962382291630169,0.0652192986430437
"33",2009-02-19,0.95276008492569,0.833195249930958,"DTE",0.844155844155844,0.255411255411255,0.979444888562149,0.0369430436544552
"34",2009-02-20,0.941082802547771,0.811101905550953,"DTE",0.216450216450216,0.116883116883117,0.663354765348864,0.11390006203485
"35",2009-02-23,0.932590233545648,0.792598729632698,"DTE",0.264069264069264,0.125541125541126,0.726104054897514,0.087798440741655
"36",2009-02-24,0.957537154989384,0.806959403479702,"DTE",0.939393939393939,0.891774891774892,0.882911176554223,0.403656241002606
"37",2009-02-25,0.937898089171975,0.787075393537697,"DTE",0.121212121212121,0.116883116883117,0.359797256569721,0.323721036791254
"38",2009-02-26,0.928874734607219,0.764982049157691,"DTE",0.25974025974026,0.108225108225108,0.757264918262068,0.065943003997424
"39",2009-02-27,0.941613588110403,0.739298536315935,"DTE",0.83982683982684,0.0692640692640693,0.976568139491149,0.00747465165853921
"40",2009-03-02,0.910297239915074,0.700359016846175,"DTE",0.0432900432900433,0.0173160173160173,0.67640481043652,0.0565402849486791
"41",2009-03-03,0.897027600849257,0.664733499033416,"DTE",0.177489177489178,0.0173160173160173,0.88967622452081,0.00358860780123132
"42",2009-03-04,0.89755838641189,0.685169842584921,"DTE",0.532467532467532,0.943722943722944,0.0763004534239718,0.993449576339561
"43",2009-03-05,0.874734607218684,0.652582159624413,"DTE",0.0735930735930736,0.025974025974026,0.720398930075849,0.0439270573682274
"44",2009-03-06,0.879511677282378,0.664181165423916,"DTE",0.696969696969697,0.887445887445887,0.201552247828103,0.947997978449116
