,MBRG,DX
2008-02-01,1.0,1.0
2008-02-04,1.0666666666666667,1.001137656427759
2008-02-05,1.0152380952380953,0.9829351535836179
2008-02-06,1.0357142857142858,1.0036860068259386
2008-02-07,1.0714285714285714,1.0022753128555177
2008-02-08,1.0928571428571427,1.0159271899886235
2008-02-11,1.0952380952380953,1.013651877133106
2008-02-12,1.1361904761904762,1.0341296928327646
2008-02-13,1.1619047619047618,1.0716723549488056
2008-02-14,1.1738095238095236,1.0853242320819112
2008-02-15,1.230952380952381,1.093287827076223
2008-02-19,1.1666666666666667,1.075085324232082
2008-02-20,1.1619047619047618,1.075085324232082
2008-02-21,1.1904761904761905,1.075085324232082
2008-02-22,1.1895238095238096,1.0739476678043232
2008-02-25,1.1895238095238096,1.075085324232082
2008-02-26,1.1895238095238096,1.0773606370875997
2008-02-27,1.1266666666666667,1.1023890784982935
2008-02-28,1.1195238095238096,1.106939704209329
2008-02-29,1.0857142857142859,1.1092150170648465
2008-03-03,1.051904761904762,1.1023890784982935
2008-03-04,1.051904761904762,1.0796359499431174
2008-03-05,1.051904761904762,1.081911262798635
2008-03-06,0.9476190476190476,0.9931740614334472
2008-03-07,0.9542857142857143,1.0238907849829353
2008-03-10,0.9814285714285714,1.069397042093288
2008-03-11,0.9814285714285714,1.0864618885096702
2008-03-12,0.9814285714285714,1.0671217292377704
2008-03-13,1.1214285714285714,1.069397042093288
2008-03-14,1.1582380952380953,1.1035267349260525
2008-03-17,1.1904761904761905,1.0807736063708762
2008-03-18,1.1185714285714285,1.069397042093288
2008-03-19,1.2042857142857142,1.0671217292377704
2008-03-20,1.168095238095238,1.0523321956769056
2008-03-24,1.1099999999999999,1.0641638225255974
2008-03-25,1.2142857142857142,1.069397042093288
2008-03-26,1.1404761904761904,1.069397042093288
2008-03-27,1.1457142857142857,1.0659840728100114
2008-03-28,1.150952380952381,1.0580204778156999
2008-03-31,1.150952380952381,1.0864618885096702
2008-04-01,1.1495238095238096,1.076222980659841
2008-04-02,1.1495238095238096,1.0728100113765644
2008-04-03,1.1171428571428572,1.0625711035267351
2008-04-04,1.1185714285714285,1.0489192263936293
2008-04-07,1.1885714285714286,1.0455062571103526
2008-04-08,1.1071428571428572,1.0466439135381116
2008-04-09,1.0699999999999998,1.0386803185438
2008-04-10,1.0657142857142856,1.025028441410694
2008-04-11,1.061904761904762,1.0238907849829353
2008-04-14,1.0757142857142856,1.0227531285551765
2008-04-15,1.0854761904761905,1.018202502844141
2008-04-16,1.0661904761904761,0.9988623435722412
2008-04-17,1.0480952380952382,0.9920364050056885
2008-04-18,1.0476190476190477,0.9931740614334472
2008-04-21,1.0595238095238095,1.0034129692832765
2008-04-22,1.0476190476190477,1.0034129692832765
2008-04-23,1.0857142857142859,1.0034129692832765
2008-04-24,1.0476190476190477,1.0056882821387942
2008-04-25,1.0480952380952382,1.0216154721274178
2008-04-28,1.0714285714285714,1.0113765642775883
2008-04-29,1.0714285714285714,1.013651877133106
2008-04-30,1.0513809523809523,1.012514220705347
2008-05-01,1.0714285714285714,1.018202502844141
2008-05-02,1.0257142857142856,1.013651877133106
2008-05-05,1.0423809523809524,1.0204778156996588
2008-05-06,1.130952380952381,1.0147895335608648
2008-05-07,1.100952380952381,1.012514220705347
2008-05-08,1.0714285714285714,1.0045506257110355
2008-05-09,1.1161904761904762,1.006825938566553
2008-05-12,1.0342857142857143,1.0091012514220705
2008-05-13,1.1428571428571428,1.0102389078498295
2008-05-14,1.1595238095238096,1.0034129692832765
2008-05-15,1.1557142857142857,1.013651877133106
2008-05-16,1.1547619047619047,1.0144482366325371
2008-05-19,1.1547571428571428,1.0216154721274178
2008-05-20,1.130952380952381,1.0079635949943118
2008-05-21,1.1071428571428572,1.0079635949943118
2008-05-22,1.1104761904761904,1.0045506257110355
2008-05-23,1.119047619047619,1.0045506257110355
2008-05-27,1.0952380952380953,1.0056882821387942
2008-05-28,1.0938095238095238,1.0091012514220705
2008-05-29,1.0857142857142859,0.9954493742889648
2008-05-30,1.0952380952380953,0.9931740614334472
2008-06-02,1.0914285714285714,1.0045506257110355
2008-06-03,1.0904761904761904,1.0034129692832765
2008-06-04,1.0938095238095238,0.9954493742889648
2008-06-05,1.0895238095238096,1.0045506257110355
2008-06-06,1.0928571428571427,1.0022866894197953
2008-06-09,1.071904761904762,0.9988623435722412
2008-06-10,1.08,0.9954493742889648
2008-06-11,1.0904761904761904,1.0045506257110355
2008-06-12,1.0642857142857143,0.9738339021615474
2008-06-13,1.0938095238095238,1.0113765642775883
2008-06-16,1.06,1.018202502844141
2008-06-17,1.06,1.0056882821387942
2008-06-18,1.0476190476190477,0.9886234357224118
2008-06-19,1.0476190476190477,0.9863481228668943
2008-06-20,1.0476190476190477,0.9829351535836179
2008-06-23,1.059047619047619,0.9806598407281001
2008-06-24,1.0242857142857145,0.9806598407281001
2008-06-25,1.0019047619047619,0.9840728100113767
2008-06-26,0.9523809523809523,0.9954493742889648
2008-06-27,0.9542857142857143,1.0
2008-06-30,0.9147619047619048,1.001137656427759
2008-07-01,0.9285714285714286,0.9795221843003413
2008-07-02,0.8761904761904761,0.9761092150170649
2008-07-03,0.9141904761904762,0.9715585893060296
2008-07-07,0.9142857142857143,0.9522184300341296
2008-07-08,0.8147619047619047,0.9362912400455063
2008-07-09,0.8576190476190477,0.9340159271899888
2008-07-10,0.8571428571428571,0.8930602957906713
2008-07-11,0.8576190476190477,0.8737201365187713
2008-07-14,0.821904761904762,0.8543799772468715
2008-07-15,0.7976190476190477,0.8759954493742891
