,MBRG,DX
2008-08-07,0.8809523809523809,0.9215017064846417
2008-08-08,0.8809523809523809,0.9419795221843004
2008-08-11,0.8809523809523809,0.9237770193401593
2008-08-12,0.8704285714285714,0.9237770193401593
2008-08-13,0.8690476190476191,0.9271899886234358
2008-08-14,0.8690476190476191,0.9271899886234358
2008-08-15,0.8666666666666666,0.9124004550625712
2008-08-18,0.8583333333333333,0.9226393629124005
2008-08-19,0.8585714285714287,0.9271786120591583
2008-08-20,0.8561904761904762,0.9203640500568829
2008-08-21,0.8566666666666666,0.9203640500568829
2008-08-22,0.8571428571428571,0.9328782707622298
2008-08-25,0.8571428571428571,0.9306143344709898
2008-08-26,0.8571428571428571,0.9294653014789535
2008-08-27,0.8452380952380952,0.9044368600682595
2008-08-28,0.8452380952380952,0.907849829351536
2008-08-29,0.8547619047619047,0.9032992036405006
2008-09-02,0.8809523809523809,0.8998862343572243
2008-09-03,0.8728571428571428,0.907849829351536
2008-09-04,0.8685714285714285,0.901023890784983
2008-09-05,0.8652380952380954,0.9089874857792948
2008-09-08,0.8797619047619049,0.9271899886234358
2008-09-09,0.8728571428571428,0.9169510807736065
2008-09-10,0.8571428571428571,0.9226393629124005
2008-09-11,0.8685714285714285,0.9226393629124005
2008-09-12,0.8523809523809524,0.9192263936291241
2008-09-15,0.8571428571428571,0.9215017064846417
2008-09-16,0.8566666666666666,0.9249146757679183
2008-09-17,0.8333333333333334,0.9101251422070535
2008-09-18,0.8452380952380952,0.9203640500568829
2008-09-19,0.8528571428571429,0.9670079635949944
2008-09-22,0.8214285714285714,0.9226393629124005
2008-09-23,0.8500000000000001,0.931740614334471
2008-09-24,0.8571428571428571,0.9271899886234358
2008-09-25,0.8333333333333334,0.9215017064846417
2008-09-26,0.8538095238095238,0.8976109215017065
2008-09-29,0.819047619047619,0.8907849829351536
2008-09-30,0.8328571428571427,0.8930602957906713
2008-10-01,0.8328571428571427,0.8873720136518772
2008-10-02,0.819047619047619,0.882821387940842
2008-10-03,0.8138095238095238,0.8862343572241184
2008-10-06,0.7976190476190477,0.8282138794084187
2008-10-07,0.7857142857142857,0.8293515358361776
2008-10-08,0.7857142857142857,0.8088737201365189
2008-10-09,0.7266666666666667,0.7736063708759955
2008-10-10,0.6917619047619048,0.7622298065984073
2008-10-13,0.7147619047619047,0.7962798634812287
2008-10-14,0.7738095238095238,0.7849829351535837
2008-10-15,0.7371428571428572,0.7588168373151309
2008-10-16,0.7619047619047619,0.739476678043231
2008-10-17,0.7380952380952381,0.7440273037542663
2008-10-20,0.7380952380952381,0.7406143344709898
2008-10-21,0.7438095238095238,0.739476678043231
2008-10-22,0.7238095238095238,0.7258248009101252
2008-10-23,0.7261904761904762,0.7144482366325371
2008-10-24,0.75,0.7042093287827077
2008-10-27,0.7742857142857144,0.6985210466439136
2008-10-28,0.7857142857142857,0.6928327645051195
2008-10-29,0.7471428571428571,0.6939704209328783
2008-10-30,0.75,0.7383390216154723
2008-10-31,0.769047619047619,0.7906712172923778
2008-11-03,0.7828571428571429,0.7736063708759955
2008-11-04,0.8119047619047619,0.7918088737201366
2008-11-05,0.8095238095238095,0.7906712172923778
2008-11-06,0.8038095238095238,0.7747440273037542
2008-11-07,0.7947619047619048,0.7747440273037542
2008-11-10,0.7804761904761905,0.7736063708759955
2008-11-11,0.7809523809523808,0.7667804323094426
2008-11-12,0.7738095238095238,0.7599544937428897
2008-11-13,0.7738095238095238,0.7508532423208192
2008-11-14,0.7776190476190475,0.7110352673492606
2008-11-17,0.8133333333333332,0.6973833902161548
2008-11-18,0.7857142857142857,0.6985210466439136
2008-11-19,0.7804761904761905,0.6860068259385667
2008-11-20,0.7779761904761904,0.6655290102389079
2008-11-21,0.7380952380952381,0.6643913538111491
2008-11-24,0.7380952380952381,0.698509670079636
2008-11-25,0.7380952380952381,0.7178612059158135
2008-11-26,0.6666666666666666,0.7360637087599545
2008-11-28,0.6723809523809523,0.7406143344709898
2008-12-01,0.6647619047619048,0.6985210466439136
2008-12-02,0.6628571428571428,0.6939704209328783
2008-12-03,0.6904761904761905,0.6973833902161548
2008-12-04,0.6904761904761905,0.7042093287827077
2008-12-05,0.6904761904761905,0.7315130830489193
2008-12-08,0.6904761904761905,0.7315130830489193
2008-12-09,0.719047619047619,0.7201365187713311
2008-12-10,0.7333333333333334,0.7508532423208192
2008-12-11,0.7614285714285715,0.7474402730375428
2008-12-12,0.7328571428571429,0.7622298065984073
2008-12-15,0.7285714285714286,0.7474402730375428
2008-12-16,0.7380952380952381,0.7974971558589307
2008-12-17,0.7261904761904762,0.7952104664391354
2008-12-18,0.7369047619047618,0.7758816837315132
2008-12-19,0.7142857142857143,0.7736063708759955
2008-12-22,0.7142857142857143,0.7781569965870307
2008-12-23,0.7114285714285714,0.7508532423208192
2008-12-24,0.7138095238095238,0.7872582480091013
2008-12-26,0.7138095238095238,0.7622298065984073
2008-12-29,0.6880952380952381,0.7679180887372015
2008-12-30,0.7,0.7542662116040956
2008-12-31,0.6947619047619048,0.7440273037542663
