"","X1","MDCA","HOG","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.07861635220126,1.02880434782609,NA,0.974025974025974,0.83982683982684,0.966303684768634,0.785802815571572
"3",2009-01-06,1.05345911949686,1.07608695652174,NA,0.207792207792208,0.909090909090909,0.115887253695265,0.930738180341723
"4",2009-01-07,0.937106918238994,0.942934782608696,NA,0,0.0173160173160173,1e-10,0.999431176465315
"5",2009-01-08,0.952830188679245,0.955434782608696,NA,0.796536796536797,0.705627705627706,0.755643385068292,0.636937722412357
"6",2009-01-09,1.02201257861635,0.869565217391304,"HOG",0.974025974025974,0.025974025974026,0.991355436724046,0.00623548518071504
"7",2009-01-12,1.02830188679245,0.767934782608696,"HOG",0.688311688311688,0.0216450216450216,0.896146795866224,0.00570319162053967
"8",2009-01-13,1.0188679245283,0.759239130434783,"HOG",0.393939393939394,0.385281385281385,0.380141629979752,0.367533585977163
"9",2009-01-14,1.02201257861635,0.729891304347826,"HOG",0.658008658008658,0.151515151515152,0.755952652293303,0.0865155084840219
"10",2009-01-15,1.00943396226415,0.758152173913043,"HOG",0.329004329004329,0.887445887445887,0.220735552177624,0.897369955963358
"11",2009-01-16,1.0314465408805,0.744565217391304,"HOG",0.835497835497836,0.316017316017316,0.851244405046413,0.213242204979373
"12",2009-01-20,0.99685534591195,0.653260869565217,"HOG",0.151515151515152,0.0173160173160173,0.60985730827104,0.0158599573700964
"13",2009-01-21,0.933962264150943,0.736956521739131,"HOG",0.0562770562770563,0.995670995670996,0.0181578205514913,0.998055006028962
"14",2009-01-22,0.930817610062893,0.673913043478261,"HOG",0.528138528138528,0.038961038961039,0.789779359596567,0.0151674717534646
"15",2009-01-23,0.955974842767296,0.625,"HOG",0.87012987012987,0.0476190476190476,0.943899746614664,0.0152160446618749
"16",2009-01-26,1.0314465408805,0.627173913043478,"HOG",0.974025974025974,0.575757575757576,0.970861204491566,0.465877426413968
"17",2009-01-27,1.0440251572327,0.660326086956522,"HOG",0.74025974025974,0.917748917748918,0.665272984446529,0.898724228308278
"18",2009-01-28,1.0314465408805,0.701086956521739,"HOG",0.329004329004329,0.939393939393939,0.216634029258158,0.945087748994224
"19",2009-01-29,1.0377358490566,0.69945652173913,"HOG",0.688311688311688,0.493506493506494,0.666148447933058,0.41266981244683
"20",2009-01-30,1.03459119496855,0.66195652173913,"HOG",0.528138528138528,0.0735930735930736,0.731611652572134,0.0364952837477971
"21",2009-02-02,1.01415094339623,0.644565217391304,"HOG",0.238095238095238,0.238095238095238,0.274877482286808,0.274877482286808
"22",2009-02-03,1.0377358490566,0.746195652173913,"HOG",0.844155844155844,0.995670995670996,0.789970764377739,0.994358747447056
"23",2009-02-04,0.974842767295597,0.690217391304348,"HOG",0.0562770562770563,0.0476190476190476,0.218562667079467,0.162239801587132
"24",2009-02-05,1.00314465408805,0.710869565217391,"HOG",0.87012987012987,0.844155844155844,0.83335875885701,0.798760213357879
"25",2009-02-06,1.07547169811321,0.783695652173913,"HOG",0.974025974025974,0.982683982683983,0.964224075849411,0.976191259120053
"26",2009-02-09,1.15723270440252,0.777173913043478,"HOG",0.974025974025974,0.415584415584416,0.974325880173853,0.296295699061988
"27",2009-02-10,1.15094339622642,0.714130434782609,"HOG",0.497835497835498,0.0432900432900433,0.763692743741266,0.0182653239762011
"28",2009-02-11,1.16981132075472,0.728804347826087,"HOG",0.787878787878788,0.757575757575758,0.739662927991521,0.699928312414033
"29",2009-02-12,1.15094339622642,0.668478260869565,"HOG",0.285714285714286,0.0432900432900433,0.613647818701656,0.0285668279377057
"30",2009-02-13,1.07547169811321,0.668478260869565,"HOG",0.051948051948052,0.528138528138528,0.0225827965645983,0.765069464492045
"31",2009-02-17,1.09748427672956,0.644565217391304,"HOG",0.818181818181818,0.164502164502165,0.871206227193648,0.0874924620515675
"32",2009-02-18,1.09119496855346,0.616847826086957,"HOG",0.493506493506494,0.125541125541126,0.643705096408208,0.0788771317868681
"33",2009-02-19,1.01572327044025,0.585326086956522,"HOG",0.0476190476190476,0.0865800865800866,0.107367294541657,0.307941442865655
"34",2009-02-20,1.03459119496855,0.58804347826087,"HOG",0.805194805194805,0.584415584415584,0.780046453907201,0.495485742033722
"35",2009-02-23,1.0377358490566,0.560326086956522,"HOG",0.658008658008658,0.112554112554113,0.781768664569628,0.0575396012741825
"36",2009-02-24,1.06918238993711,0.570108695652174,"HOG",0.883116883116883,0.74025974025974,0.856449261040327,0.668751306531559
"37",2009-02-25,1.03459119496855,0.54945652173913,"HOG",0.16017316017316,0.16017316017316,0.233305097874066,0.233305097874066
"38",2009-02-26,1.03459119496855,0.555978260869565,"HOG",0.614718614718615,0.696969696969697,0.545846914829854,0.652963196577374
"39",2009-02-27,1.07861635220126,0.548913043478261,"HOG",0.922077922077922,0.367965367965368,0.926151259860515,0.254428397970526
"40",2009-03-02,0.974842767295597,0.494021739130435,"HOG",0.00432900432900433,0.025974025974026,0.0224651145067384,0.519929882498662
"41",2009-03-03,0.981132075471698,0.503260869565217,"HOG",0.696969696969697,0.744588744588745,0.633455907756479,0.69556491980563
"42",2009-03-04,0.981132075471698,0.483695652173913,"HOG",0.614718614718615,0.151515151515152,0.721636317578416,0.0896281702799921
"43",2009-03-05,0.940251572327044,0.445652173913043,"HOG",0.125541125541126,0.0432900432900433,0.412017077854375,0.0652506821404285
"44",2009-03-06,0.921383647798742,0.452717391304348,"HOG",0.238095238095238,0.731601731601732,0.152556965396083,0.777560665340055
