"","X1","SCG","WEC","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.0027495188342,0.990126939351199,NA,0.61038961038961,0.233766233766234,0.865286419056533,0.0741187235867053
"3",2009-01-06,0.989551828430025,0.98589562764457,NA,0.186147186147186,0.350649350649351,0.137207954408227,0.661973569484478
"4",2009-01-07,0.977728897442948,0.991537376586742,NA,0.216450216450216,0.714285714285714,0.0408106955892469,0.935477764428201
"5",2009-01-08,0.976354138025845,1.0148095909732,NA,0.454545454545455,0.939393939393939,0.0585145746850972,0.989154572288524
"6",2009-01-09,0.964256255155348,1.00564174894217,NA,0.207792207792208,0.251082251082251,0.277820735848717,0.444213197583363
"7",2009-01-12,0.966455870222711,1.01128349788434,NA,0.588744588744589,0.714285714285714,0.405563466748802,0.728788288023229
"8",2009-01-13,0.941985152598295,0.994593323930419,NA,0.112554112554113,0.134199134199134,0.260765025930326,0.40364463753633
"9",2009-01-14,0.932361836678581,0.975317348377997,NA,0.242424242424242,0.108225108225108,0.685355752439936,0.0926431700203844
"10",2009-01-15,0.935661259279626,0.984250117536436,NA,0.632034632034632,0.770562770562771,0.404973562795644,0.781755515628878
"11",2009-01-16,0.940610393181193,1.00634696755994,"SCG",0.67965367965368,0.939393939393939,0.175266859173104,0.973418049189822
"12",2009-01-20,0.919989001924663,0.98589562764457,"SCG",0.121212121212121,0.0995670995670996,0.409477530387905,0.251124103328441
"13",2009-01-21,0.929887269727798,1.00282087447109,"SCG",0.783549783549784,0.891774891774892,0.435307818191787,0.872335036970032
"14",2009-01-22,0.924938135826231,1.01339915373766,"SCG",0.38961038961039,0.800865800865801,0.113000363312906,0.924797204763833
"15",2009-01-23,0.919989001924663,1.03361542078044,"SCG",0.38961038961039,0.917748917748918,0.0514537167132363,0.985257865252162
"16",2009-01-26,0.940060489414352,1.06088387400094,"SCG",0.874458874458874,0.948051948051948,0.416731673937458,0.915238382498587
"17",2009-01-27,0.958207313720099,1.07968970380818,"SCG",0.874458874458874,0.9004329004329,0.625610934844818,0.77517776084498
"18",2009-01-28,0.956832554302997,1.07075693464974,"SCG",0.454545454545455,0.272727272727273,0.667007123385365,0.184790727441336
"19",2009-01-29,0.953533131701952,1.06746591443347,"SCG",0.41991341991342,0.398268398268398,0.460768059413463,0.402902816108779
"20",2009-01-30,0.942810008248557,1.04795486600846,"SCG",0.229437229437229,0.108225108225108,0.662361389400494,0.102636476282595
"21",2009-02-02,0.944184767665659,1.05923836389281,"SCG",0.558441558441558,0.805194805194805,0.264406657247912,0.869656317755149
"22",2009-02-03,0.948583997800385,1.06252938410907,"SCG",0.653679653679654,0.627705627705628,0.599265579329196,0.531213065527076
"23",2009-02-04,0.954632939235634,1.0667606958157,"SCG",0.696969696969697,0.658008658008658,0.641181999244497,0.535037803545174
"24",2009-02-05,0.960131976904042,1.05735778091208,"SCG",0.692640692640693,0.255411255411255,0.906098469075216,0.0659691125375268
"25",2009-02-06,0.968655485290074,1.05477197931359,"SCG",0.748917748917749,0.415584415584416,0.873309384813945,0.164268261852229
"26",2009-02-09,0.953533131701952,1.04301833568406,"SCG",0.155844155844156,0.212121212121212,0.223984762269676,0.481112793732764
"27",2009-02-10,0.939235633764091,1.01598495533615,"SCG",0.164502164502165,0.0606060606060606,0.730241952548495,0.0609630986368083
"28",2009-02-11,0.93841077811383,1.0173953925717,"SCG",0.467532467532468,0.571428571428571,0.363525352478867,0.61970791909844
"29",2009-02-12,0.935111355512785,1.00446638457922,"SCG",0.41991341991342,0.199134199134199,0.728938499472874,0.11335663788714
"30",2009-02-13,0.923288424525708,1.02491772449459,"SCG",0.199134199134199,0.922077922077922,0.00931340746826439,0.995143200211628
"31",2009-02-17,0.874896893043717,0.996473906911142,"SCG",0.0173160173160173,0.0606060606060606,0.0346014615528783,0.790679849027092
"32",2009-02-18,0.870222711025571,0.99083215796897,"SCG",0.38961038961039,0.316017316017316,0.513102006895293,0.303640745845477
"33",2009-02-19,0.857025020621391,0.993653032440057,"SCG",0.164502164502165,0.614718614718615,0.0322457341153019,0.918187506542891
"34",2009-02-20,0.851800934836404,0.992477668077104,"SCG",0.367965367965368,0.484848484848485,0.29410884640443,0.594271262656591
"35",2009-02-23,0.84245257080011,0.977668077103902,"SCG",0.233766233766234,0.16017316017316,0.517510994894151,0.202663205997878
"36",2009-02-24,0.857299972504812,0.980724024447579,"SCG",0.848484848484849,0.627705627705628,0.892202580773542,0.290992575284539
"37",2009-02-25,0.845202089634314,0.974377056887635,"SCG",0.181818181818182,0.311688311688312,0.160378895290898,0.61119428596594
"38",2009-02-26,0.84217761891669,0.96262341325811,"SCG",0.41991341991342,0.203463203463203,0.722206043598984,0.118460498077991
"39",2009-02-27,0.82843002474567,0.936060178655383,"SCG",0.151515151515152,0.0606060606060606,0.701292646916916,0.0717966894242071
"40",2009-03-02,0.795710750618642,0.907616361071932,"SCG",0.0303030303030303,0.051948051948052,0.141432145729907,0.54319541042774
"41",2009-03-03,0.783887819631565,0.877997179125529,"SCG",0.168831168831169,0.051948051948052,0.782984551448443,0.0417281594655319
"42",2009-03-04,0.794061039318119,0.890456041372826,"SCG",0.822510822510823,0.852813852813853,0.615943369923389,0.743960838941129
"43",2009-03-05,0.766565850976079,0.866948754113775,"SCG",0.051948051948052,0.0606060606060606,0.259564467257164,0.381231878135973
"44",2009-03-06,0.751993401154798,0.88316878232252,"SCG",0.138528138528139,0.904761904761905,0.00453156228782831,0.995864788936307
