"","X1","BTU","SFY","long_distance","Fx","Fy","MI_X","MI_Y"
"1",2009-01-02,1,1,NA,NA,NA,NA,NA
"2",2009-01-05,1.07102952913009,1.05602988260406,NA,0.904761904761905,0.904761904761905,0.668345478802192,0.668345478802192
"3",2009-01-06,1.13527533918595,1.13287086446105,NA,0.878787878787879,0.952380952380952,0.311262544287623,0.931684436991235
"4",2009-01-07,1.01675977653631,1.05976520811099,NA,0.0606060606060606,0.116883116883117,0.115409265601916,0.602687566002118
"5",2009-01-08,1.06464485235435,1.05709711846318,NA,0.800865800865801,0.493506493506494,0.935847716088226,0.127737501258436
"6",2009-01-09,1.08100558659218,0.985058697972252,NA,0.619047619047619,0.103896103896104,0.95436907164608,0.0126393944553397
"7",2009-01-12,0.976855546687949,0.955176093916756,NA,0.0692640692640693,0.25974025974026,0.0318940559846971,0.83099364958278
"8",2009-01-13,1.02474062250599,0.950373532550694,NA,0.818181818181818,0.463203463203463,0.95348064121132,0.0994230256281388
"9",2009-01-14,0.93096568236233,0.878335112059765,NA,0.0779220779220779,0.0865800865800866,0.282865985949329,0.370037580087133
"10",2009-01-15,0.948523543495611,0.882604055496265,NA,0.645021645021645,0.554112554112554,0.697209938201626,0.377948490890235
"11",2009-01-16,0.954110135674382,0.874599786552828,NA,0.567099567099567,0.424242424242424,0.729604099052059,0.267372273060397
"12",2009-01-20,0.887470071827614,0.787620064034152,NA,0.125541125541126,0.0303030303030303,0.791886501698092,0.0266162913806064
"13",2009-01-21,0.96927374301676,0.883137673425827,NA,0.943722943722944,0.982683982683983,0.290665555749175,0.957745954476232
"14",2009-01-22,0.93096568236233,0.8025613660619,"SFY",0.225108225108225,0.038961038961039,0.866965196571703,0.0140344523053952
"15",2009-01-23,0.944533120510774,0.83991462113127,"SFY",0.614718614718615,0.865800865800866,0.158604658264335,0.947355631187803
"16",2009-01-26,0.951316839584996,0.860192102454643,"SFY",0.58008658008658,0.731601731601732,0.292046572603919,0.811953681643358
"17",2009-01-27,1.06544293695132,0.856990394877268,"SFY",0.965367965367965,0.484848484848485,0.997082230240048,0.0453106724890038
"18",2009-01-28,1.10853950518755,0.893810032017076,"SFY",0.779220779220779,0.857142857142857,0.414487136466744,0.816911304871329
"19",2009-01-29,1.04429369513168,0.832977588046958,"SFY",0.147186147186147,0.103896103896104,0.505937501333291,0.204678692806429
"20",2009-01-30,0.997605746209098,0.817502668089648,"SFY",0.194805194805195,0.337662337662338,0.150783946008396,0.697428367380214
"21",2009-02-02,1.0219473264166,0.776947705442903,"SFY",0.666666666666667,0.147186147186147,0.956471509614574,0.0196852296827044
"22",2009-02-03,1.05945730247406,0.783351120597652,"SFY",0.757575757575758,0.575757575757576,0.852478956727108,0.250037776491583
"23",2009-02-04,1.05107741420591,0.8025613660619,"SFY",0.432900432900433,0.735930735930736,0.127838582613393,0.911362964652723
"24",2009-02-05,1.1025538707103,0.827107790821772,"SFY",0.813852813852814,0.796536796536797,0.66906187831434,0.57841180000693
"25",2009-02-06,1.15323224261772,0.854322305229456,"SFY",0.792207792207792,0.813852813852814,0.56631731267375,0.678629721267463
"26",2009-02-09,1.17198723064645,0.847385272145144,"SFY",0.627705627705628,0.437229437229437,0.800976546509759,0.219552982828477
"27",2009-02-10,1.11053471667997,0.782283884738527,"SFY",0.16017316017316,0.0865800865800866,0.615628341557722,0.127082541297364
"28",2009-02-11,1.0925778132482,0.756136606189968,"SFY",0.38961038961039,0.233766233766234,0.713656236150423,0.164129680627096
"29",2009-02-12,1.13367916999202,0.738527214514408,"SFY",0.757575757575758,0.303030303030303,0.956612231819694,0.0529668560768137
"30",2009-02-13,1.12729449321628,0.742262540021345,"SFY",0.45021645021645,0.554112554112554,0.325889990490676,0.675721334665025
"31",2009-02-17,1.0047885075818,0.666488794023479,"SFY",0.0476190476190476,0.0303030303030303,0.481292914553182,0.157387687781205
"32",2009-02-18,0.957701516360734,0.605122732123799,"SFY",0.181818181818182,0.0303030303030303,0.85780765261594,0.0131160616284736
"33",2009-02-19,0.966081404628891,0.602454642475987,"SFY",0.584415584415584,0.467532467532468,0.704265336107032,0.314691593595994
"34",2009-02-20,0.956903431763767,0.535752401280683,"SFY",0.424242424242424,0.025974025974026,0.946151620333036,0.00241307130561899
"35",2009-02-23,0.877893056664006,0.484525080042689,"SFY",0.0952380952380952,0.0303030303030303,0.724822413016559,0.0453284586289141
"36",2009-02-24,0.965283320031924,0.459978655282818,"SFY",0.948051948051948,0.142857142857143,0.996216508049214,0.0129020199109868
"37",2009-02-25,0.963288108539505,0.426894343649947,"SFY",0.506493506493506,0.0909090909090909,0.931828968068876,0.0144223425161512
"38",2009-02-26,0.952513966480447,0.42315901814301,"SFY",0.402597402597403,0.424242424242424,0.426199748919264,0.504439243108658
"39",2009-02-27,0.944533120510774,0.38367129135539,"SFY",0.428571428571429,0.0303030303030303,0.94422941146862,0.00303794349208602
"40",2009-03-02,0.815243415802075,0.330843116328709,"SFY",0.0303030303030303,0.012987012987013,0.602316867354799,0.0777525874459559
"41",2009-03-03,0.863527533918595,0.331376734258271,"SFY",0.865800865800866,0.532467532467532,0.965262953842083,0.10637885189763
"42",2009-03-04,0.929369513168396,0.338847385272145,"SFY",0.913419913419913,0.722943722943723,0.956539271187007,0.185707861063557
"43",2009-03-05,0.901835594573025,0.294023479188901,"SFY",0.316017316017316,0.012987012987013,0.941454998910554,0.00121612903304375
"44",2009-03-06,0.871508379888268,0.269477054429029,"SFY",0.272727272727273,0.051948051948052,0.87212871229806,0.0167077678009234
