,UTX,HUB_B
2008-02-01,1.0,1.0
2008-02-04,0.9990555855369669,1.0065566835871405
2008-02-05,0.9761198057204532,0.9900592216582065
2008-02-06,0.9696438208310847,0.9566412859560067
2008-02-07,0.9642471667566108,0.9955583756345178
2008-02-08,0.9626281705342686,0.989424703891709
2008-02-11,0.9655963302752292,1.0065566835871405
2008-02-12,0.9824608742579599,1.004653130287648
2008-02-13,0.9919050188882892,1.0160744500846024
2008-02-14,0.9801672962763087,0.9877326565143825
2008-02-15,0.965056664867782,0.984771573604061
2008-02-19,0.9707231516459794,0.9849830795262268
2008-02-20,0.9720723151645978,0.9959813874788495
2008-02-21,0.9564220183486238,0.9718697123519459
2008-02-22,0.9745008094981111,0.9826565143824028
2008-02-25,0.9904209390178088,0.98582910321489
2008-02-26,0.9888019427954668,0.9877326565143825
2008-02-27,0.9839449541284404,1.0173434856175974
2008-02-28,0.9736913113869401,1.0063451776649746
2008-02-29,0.9512951969778737,0.9596023688663282
2008-03-03,0.9363194819212088,0.9991539763113367
2008-03-04,0.9295736643281166,0.9818104906937395
2008-03-05,0.9407717215326498,0.9919627749576988
2008-03-06,0.9286292498650836,0.9543147208121827
2008-03-07,0.9105504587155963,0.94331641285956
2008-03-10,0.8935509983810038,0.911590524534687
2008-03-11,0.9224230976794388,0.9397208121827411
2008-03-12,0.9201295196977873,0.9454314720812184
2008-03-13,0.9243119266055047,0.9447969543147208
2008-03-14,0.9135186184565568,0.9217428087986463
2008-03-17,0.9114948731786292,0.9130710659898478
2008-03-18,0.9421208850512681,0.9348561759729273
2008-03-19,0.9276848354020507,0.9054568527918782
2008-03-20,0.9310577441985969,0.8967851099830795
2008-03-24,0.9490016189962224,0.9086294416243654
2008-03-25,0.946573124662709,0.9217428087986463
2008-03-26,0.9391527253103076,0.9217428087986463
2008-03-27,0.9364543982730706,0.910321489001692
2008-03-28,0.9248515920129519,0.9107445008460238
2008-03-31,0.9284943335132216,0.9240693739424704
2008-04-01,0.9611440906637884,0.9354906937394246
2008-04-02,0.9603345925526174,0.9496615905245346
2008-04-03,0.9546681057744199,0.9490270727580371
2008-04-04,0.9677549919050189,0.9557952622673435
2008-04-07,0.9685644900161899,0.9445854483925549
2008-04-08,0.9686994063680517,0.9357021996615905
2008-04-09,0.9553426875337291,0.924492385786802
2008-04-10,0.9693739881273609,0.935067681895093
2008-04-11,0.9380733944954128,0.9177241962774958
2008-04-14,0.9442795466810576,0.9223773265651438
2008-04-15,0.9557474365893146,0.9384517766497461
2008-04-16,0.9798974635725849,0.9782148900169204
2008-04-17,0.9550728548300054,0.9782148900169204
2008-04-18,0.9782784673502428,0.9983079526226735
2008-04-21,0.9726119805720453,1.013959390862944
2008-04-22,0.9638424177010253,1.0038071065989849
2008-04-23,0.9695089044792228,0.9913282571912013
2008-04-24,0.9808418780356178,0.9405668358714043
2008-04-25,0.9805720453318942,0.9471235194585449
2008-04-28,0.9854290339989207,0.9397208121827411
2008-04-29,0.9863734484619535,0.9357021996615905
2008-04-30,0.9777388019427954,0.9460659898477156
2008-05-01,1.00512682137075,0.973984771573604
2008-05-02,1.0132218024824606,1.0196700507614214
2008-05-05,1.0067458175930923,0.984560067681895
2008-05-06,1.0075553157042634,0.9777918781725887
2008-05-07,0.9852941176470588,0.9701776649746192
2008-05-08,0.9991905018888289,0.9788494077834179
2008-05-09,0.9866432811656771,0.9733502538071066
2008-05-12,1.0060712358337829,0.9792724196277495
2008-05-13,1.0107933081489475,0.9883671742808797
2008-05-14,1.014031300593632,0.9890016920473773
2008-05-15,1.0022935779816513,1.004653130287648
2008-05-16,0.9978413383702103,1.0285532994923858
2008-05-19,1.0032379924446841,1.0207275803722504
2008-05-20,0.9902860226659471,1.0084602368866329
2008-05-21,0.9716675661090123,0.9911167512690355
2008-05-22,0.9692390717754992,0.9875211505922165
2008-05-23,0.9445493793847815,0.984560067681895
2008-05-27,0.9552077711818672,0.9830795262267342
2008-05-28,0.947517539125742,0.9896362098138748
2008-05-29,0.947517539125742,0.9841370558375635
2008-05-30,0.9584457636265515,0.9892131979695432
2008-06-02,0.9542633567188343,0.9744077834179357
2008-06-03,0.9411764705882353,0.9615059221658206
2008-06-04,0.934430652995143,0.9674280879864636
2008-06-05,0.944009713977334,0.9898477157360406
2008-06-06,0.9040744738262277,0.9528341793570219
2008-06-09,0.9113599568267673,0.9581218274111675
2008-06-10,0.9050188882892606,0.9418358714043993
2008-06-11,0.8992174851592013,0.9056683587140439
2008-06-12,0.9163518618456556,0.906725888324873
2008-06-13,0.9249865083648138,0.9238578680203046
2008-06-16,0.9293038316243928,0.9359137055837563
2008-06-17,0.9229627630868861,0.9335871404399323
2008-06-18,0.9183756071235832,0.9217428087986463
2008-06-19,0.9284943335132216,0.9397208121827411
2008-06-20,0.928224500809498,0.9217428087986463
2008-06-23,0.9284943335132216,0.9316835871404399
2008-06-24,0.9195898542903399,0.9128595600676818
2008-06-25,0.8907177549919049,0.9073604060913705
2008-06-26,0.8471397733405288,0.8739424703891708
2008-06-27,0.8250134916351861,0.8439086294416244
2008-06-30,0.8324338909875877,0.8432741116751268
2008-07-01,0.8186724230976794,0.8204314720812182
2008-07-02,0.8054506206152185,0.7840524534686971
2008-07-03,0.8236643281165676,0.7903976311336717
2008-07-07,0.8173232595790609,0.7927241962774957
2008-07-08,0.8333783054506206,0.7798223350253807
2008-07-09,0.8246087425796006,0.7667089678510998
2008-07-10,0.8387749595250944,0.7793993231810491
2008-07-11,0.8188073394495412,0.7732656514382403
